Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,True,LAA,"L,1-3",50,42,1,3,1,0,0,0,5,2,13,1,2,0,2,0,0,0,0.071,0.188,0.095,0.283,10,17,R,J.Weaver(66),0.07142857142857142,0.18,0.09523809523809523,0.2752380952380952
2,Apr 3,True,LAA,"W,5-4",39,31,5,6,1,0,1,5,6,2,9,1,1,0,1,0,1,0,0.123,0.256,0.192,0.448,9,13,L,C.Wilson(48),0.1935483870967742,0.3333333333333333,0.3225806451612903,0.6559139784946236
3,Apr 4,True,LAA,"W,5-4",32,30,5,7,2,0,3,5,1,0,5,0,0,1,0,0,0,0,0.155,0.254,0.311,0.565,3,13,R,J.Blanton(38),0.23333333333333334,0.25,0.6,0.85
4,Apr 5,True,WSN,"W,15-0",45,42,15,19,3,0,6,15,1,0,10,1,0,1,1,1,1,0,0.241,0.313,0.497,0.809,6,16,R,D.Haren(25),0.4523809523809524,0.4666666666666667,0.9523809523809523,1.419047619047619
5,Apr 6,True,WSN,"L,6-7",50,45,6,13,3,1,1,4,2,1,9,2,1,0,2,2,0,0,0.253,0.321,0.489,0.81,11,17,L,R.Detwiler(58),0.28888888888888886,0.34,0.4666666666666667,0.8066666666666666
6,Apr 7,True,WSN,"W,6-3",43,37,6,11,1,0,0,6,6,1,7,0,0,0,1,0,1,0,0.26,0.333,0.463,0.796,13,14,R,S.Strasburg(27),0.2972972972972973,0.3953488372093023,0.32432432432432434,0.7196731615336267
7,Apr 8,False,STL,"W,13-4",51,42,13,14,4,0,1,13,8,2,12,1,0,0,1,0,0,0,0.271,0.353,0.468,0.821,11,16,L,J.García(57),0.3333333333333333,0.45098039215686275,0.5,0.9509803921568627
8,Apr 9,False,STL,"L,1-5",32,30,1,5,0,0,0,1,1,0,14,0,0,1,0,1,0,0,0.261,0.337,0.438,0.775,4,11,R,L.Lynn(69),0.16666666666666666,0.1875,0.16666666666666666,0.35416666666666663
9,Apr 10,False,STL,"L,0-10",35,29,0,5,1,0,0,0,4,0,3,1,1,0,0,1,0,1,0.253,0.333,0.418,0.751,8,13,R,J.Westbrook(76),0.1724137931034483,0.2857142857142857,0.20689655172413793,0.4926108374384236
10,Apr 12,False,PIT,"L,5-6",40,35,5,8,1,0,2,5,5,0,12,0,0,0,0,0,0,0,0.251,0.333,0.419,0.751,8,13,R,A.Burnett(53),0.22857142857142856,0.325,0.42857142857142855,0.7535714285714286
11,Apr 13,False,PIT,"L,1-3",40,32,1,7,2,0,1,1,7,1,3,1,0,0,0,1,0,1,0.248,0.336,0.415,0.751,12,13,L,J.Locke(51),0.21875,0.375,0.375,0.75
12,Apr 14,False,PIT,"L,7-10",42,36,7,11,2,0,1,6,5,0,8,1,0,0,0,1,3,0,0.253,0.342,0.418,0.76,8,14,R,P.Irwin(34),0.3055555555555556,0.40476190476190477,0.4444444444444444,0.8492063492063492
13,Apr 15,True,PHI,"W,4-2",34,30,4,9,2,0,0,3,2,1,5,0,1,1,1,1,0,0,0.256,0.342,0.414,0.756,6,11,L,C.Lee(62),0.3,0.3235294117647059,0.36666666666666664,0.6901960784313725
14,Apr 16 susp,True,PHI,"W,1-0",32,28,1,4,0,0,0,1,3,0,5,0,1,0,1,0,0,0,0.249,0.335,0.399,0.734,7,11,R,K.Kendrick(75),0.14285714285714285,0.21875,0.14285714285714285,0.36160714285714285
