Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,False,CHW,"L,0-1",35,32,0,7,0,0,0,0,3,0,9,0,0,0,0,2,2,0,0.219,0.286,0.219,0.504,8,10,L,C.Sale(71),0.21875,0.2857142857142857,0.21875,0.5044642857142857
2,Apr 3,False,CHW,"L,2-5",35,34,2,5,2,0,0,1,1,0,7,0,0,0,2,0,0,0,0.182,0.229,0.212,0.441,6,10,R,J.Peavy(64),0.14705882352941177,0.17142857142857143,0.20588235294117646,0.3773109243697479
3,Apr 4,False,CHW,"W,3-1",33,30,3,5,2,0,0,3,2,0,7,1,0,0,0,2,0,0,0.177,0.233,0.219,0.452,3,9,R,G.Floyd(58),0.16666666666666666,0.24242424242424243,0.23333333333333334,0.47575757575757577
4,Apr 5,False,PHI,"W,13-4",49,44,13,19,4,2,1,13,4,1,4,0,0,1,0,1,1,0,0.257,0.309,0.364,0.673,9,17,R,K.Kendrick(34),0.4318181818181818,0.46938775510204084,0.6818181818181818,1.1512059369202226
5,Apr 6,False,PHI,"L,3-4",34,31,3,6,3,0,0,3,1,0,6,1,1,0,1,1,1,0,0.246,0.297,0.351,0.648,4,15,L,J.Lannan(60),0.1935483870967742,0.23529411764705882,0.2903225806451613,0.5256166982922201
6,Apr 7,False,PHI,"W,9-8",44,37,9,13,4,0,1,9,7,0,6,0,0,0,0,2,2,1,0.264,0.328,0.385,0.712,8,16,L,C.Hamels(17),0.35135135135135137,0.45454545454545453,0.5405405405405406,0.9950859950859952
7,Apr 8,True,MIN,"W,3-1",32,29,3,9,2,0,0,3,2,0,1,0,1,0,0,2,0,1,0.27,0.331,0.384,0.715,5,10,R,K.Correia(50),0.3103448275862069,0.34375,0.3793103448275862,0.7230603448275862
8,Apr 9,True,MIN,"W,7-4",36,36,7,13,4,1,0,7,0,0,4,0,0,0,0,1,0,0,0.282,0.334,0.403,0.737,5,9,R,M.Pelfrey(17),0.3611111111111111,0.3611111111111111,0.5277777777777778,0.8888888888888888
9,Apr 10,True,MIN,"W,3-0",36,33,3,9,1,0,2,3,2,0,4,1,0,0,0,1,0,0,0.281,0.334,0.412,0.746,9,9,R,L.Hendriks(59),0.2727272727272727,0.3333333333333333,0.48484848484848486,0.8181818181818181
10,Apr 12,True,TOR,"L,4-8",35,32,4,5,1,0,0,4,3,0,6,0,0,0,0,0,1,0,0.269,0.324,0.391,0.715,4,9,L,J.Happ(42),0.15625,0.22857142857142856,0.1875,0.41607142857142854
11,Apr 13,True,TOR,"L,2-3",38,34,2,8,3,0,0,2,3,0,8,1,0,0,0,1,1,0,0.266,0.323,0.384,0.708,9,9,R,R.Dickey(61),0.23529411764705882,0.3157894736842105,0.3235294117647059,0.6393188854489165
12,Apr 14,True,TOR,"W,3-2",37,33,3,10,1,1,0,3,2,1,5,0,1,1,0,0,1,0,0.269,0.324,0.385,0.709,9,9,R,B.Morrow(54),0.30303030303030304,0.32432432432432434,0.3939393939393939,0.7182637182637183
13,Apr 16,False,ATL,"L,3-6",38,37,3,9,0,0,1,3,0,0,8,0,0,0,2,1,0,0,0.267,0.318,0.38,0.698,8,12,R,K.Medlen(64),0.24324324324324326,0.23684210526315788,0.32432432432432434,0.5611664295874822
14,Apr 17,False,ATL,"W,1-0",33,33,1,8,0,0,0,1,0,0,8,0,0,0,0,1,1,1,0.265,0.313,0.371,0.684,5,13,L,M.Minor(63),0.24242424242424243,0.24242424242424243,0.24242424242424243,0.48484848484848486
15,Apr 20,False,BOS,"L,3-4",37,34,3,10,3,1,1,3,2,0,7,0,1,0,0,2,2,0,0.267,0.314,0.381,0.696,7,11,R,C.Buchholz(63),0.29411764705882354,0.32432432432432434,0.5294117647058824,0.8537360890302067
16,Apr 21 (1),False,BOS,"W,4-2",36,33,4,8,1,0,1,4,3,0,10,0,0,0,0,2,1,0,0.266,0.314,0.38,0.694,5,9,R,R.Dempster(54),0.24242424242424243,0.3055555555555556,0.36363636363636365,0.6691919191919192
17,Apr 21 (2),False,BOS,"W,5-4",42,38,5,9,1,0,3,4,3,0,12,1,0,0,0,0,0,1,0.264,0.314,0.388,0.702,7,12,R,A.Webster(56),0.23684210526315788,0.30952380952380953,0.5,0.8095238095238095
18,Apr 24,False,DET,"L,5-7",39,33,5,8,2,0,0,5,5,0,9,0,0,1,0,1,0,0,0.263,0.315,0.383,0.698,7,9,R,M.Scherzer(36),0.24242424242424243,0.3333333333333333,0.30303030303030304,0.6363636363636364
19,Apr 25,False,DET,"W,8-3",48,40,8,14,4,0,1,8,5,2,5,0,1,2,0,1,3,0,0.268,0.321,0.392,0.713,10,12,R,J.Verlander(58),0.35,0.3958333333333333,0.525,0.9208333333333334
20,Apr 27,True,CLE,"W,3-2",35,30,3,6,1,0,1,3,5,1,7,0,0,0,1,1,2,0,0.265,0.32,0.389,0.71,8,10,L,S.Kazmir(51),0.2,0.3142857142857143,0.3333333333333333,0.6476190476190475
21,Apr 28 (1),True,CLE,"W,9-0",40,33,9,10,2,0,2,9,6,0,10,1,0,0,0,1,1,0,0.267,0.326,0.397,0.722,7,9,R,J.Masterson(32),0.30303030303030304,0.425,0.5454545454545454,0.9704545454545455
22,Apr 28 (2),True,CLE,"L,3-10",36,33,3,8,3,0,0,3,2,0,8,0,0,1,0,0,0,0,0.266,0.324,0.394,0.717,6,10,R,C.Kluber(61),0.24242424242424243,0.2777777777777778,0.3333333333333333,0.6111111111111112
23,Apr 29,True,CLE,"L,0-9",31,29,0,3,1,0,0,0,2,0,7,0,0,0,0,1,0,0,0.26,0.318,0.384,0.702,4,12,R,U.Jiménez(73),0.10344827586206896,0.16129032258064516,0.13793103448275862,0.2992213570634038
24,Apr 30,True,TBR,"W,8-2",40,36,8,14,2,1,1,7,2,1,7,0,0,2,0,0,3,0,0.265,0.321,0.393,0.715,8,9,R,A.Cobb(38),0.3888888888888889,0.4,0.5833333333333334,0.9833333333333334
25,May 1,True,TBR,"W,9-8",41,37,9,15,1,1,1,9,2,0,8,1,0,1,0,1,0,0,0.271,0.327,0.401,0.727,8,9,R,J.Hellickson(37),0.40540540540540543,0.43902439024390244,0.5675675675675675,1.00659195781147
