Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 2,True,CLE,"L,1-4",34,29,1,4,2,0,0,0,4,0,8,1,0,0,0,1,0,0,0.138,0.265,0.207,0.472,6,9,R,J.Masterson(63),0.13793103448275862,0.2647058823529412,0.20689655172413793,0.47160243407707914
2,Apr 3,True,CLE,"L,2-3",40,36,2,5,0,0,2,2,4,0,10,0,0,0,0,2,0,0,0.138,0.243,0.262,0.505,5,10,R,U.Jiménez(66),0.1388888888888889,0.225,0.3055555555555556,0.5305555555555556
3,Apr 4,True,CLE,"W,10-8",40,34,10,9,1,0,5,9,6,0,2,0,0,0,2,1,1,0,0.182,0.289,0.424,0.714,6,10,R,B.Myers(23),0.2647058823529412,0.375,0.7352941176470589,1.1102941176470589
4,Apr 5,True,BOS,"L,4-6",40,37,4,12,5,1,2,4,2,0,11,0,0,1,0,1,0,0,0.221,0.305,0.493,0.798,9,10,L,F.Doubront(43),0.32432432432432434,0.35,0.6756756756756757,1.0256756756756755
5,Apr 6,True,BOS,"W,5-0",35,32,5,8,1,0,2,5,3,0,13,0,0,0,0,0,2,0,0.226,0.307,0.488,0.795,6,9,R,J.Lackey(52),0.25,0.3142857142857143,0.46875,0.7830357142857143
6,Apr 7,True,BOS,"L,0-13",35,34,0,7,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0.223,0.295,0.441,0.735,8,9,L,J.Lester(73),0.20588235294117646,0.22857142857142856,0.20588235294117646,0.43445378151260505
7,Apr 9,False,DET,"L,3-7",36,35,3,8,1,1,1,3,1,0,9,0,0,0,0,0,1,0,0.224,0.288,0.435,0.723,6,10,R,A.Sánchez(66),0.22857142857142856,0.25,0.4,0.65
8,Apr 10,False,DET,"W,8-6",43,38,8,12,5,0,0,8,5,0,8,0,0,0,0,1,2,0,0.236,0.304,0.436,0.74,8,10,R,R.Porcello(36),0.3157894736842105,0.3953488372093023,0.4473684210526316,0.8427172582619339
9,Apr 11,False,DET,"L,1-11",37,33,1,9,1,0,0,1,2,0,6,1,0,1,0,1,1,0,0.24,0.306,0.422,0.728,9,12,R,D.Fister(66),0.2727272727272727,0.32432432432432434,0.30303030303030304,0.6273546273546273
10,Apr 12,False,KCR,"W,8-4",39,34,8,8,5,0,0,7,4,0,8,0,0,1,1,0,2,0,0.24,0.306,0.418,0.724,4,10,R,L.Mendoza(24),0.23529411764705882,0.3076923076923077,0.38235294117647056,0.6900452488687783
11,Apr 13,False,KCR,"W,3-2",31,27,3,2,1,0,1,3,3,0,6,0,0,1,0,1,0,0,0.228,0.295,0.404,0.699,1,9,R,J.Shields(74),0.07407407407407407,0.16129032258064516,0.2222222222222222,0.38351254480286734
12,Apr 14,False,KCR,"L,2-3",35,32,2,7,0,0,1,2,3,0,5,0,0,0,0,2,2,0,0.227,0.294,0.397,0.691,6,10,R,E.Santana(63),0.21875,0.2857142857142857,0.3125,0.5982142857142857
13,Apr 15,True,CHW,"W,4-3",36,31,4,10,3,1,2,4,3,0,6,0,0,2,0,1,0,0,0.234,0.299,0.417,0.716,8,9,R,G.Floyd(32),0.3225806451612903,0.3611111111111111,0.6774193548387096,1.0385304659498207
