Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 22,False,ARI,"W,3-1",37,33,3,5,2,0,1,3,3,0,11,1,0,0,1,0,0,0,0.152,0.243,0.303,0.546,7,14,L,W.Miley(55),0.15151515151515152,0.24324324324324326,0.30303030303030304,0.5462735462735463
2,Mar 23,False,ARI,"W,7-5",47,34,7,13,3,0,0,6,8,0,7,2,1,2,1,1,1,0,0.269,0.386,0.388,0.774,13,19,R,T.Cahill(23),0.38235294117647056,0.48936170212765956,0.47058823529411764,0.9599499374217773
3,Mar 30,False,SDP,"L,1-3",34,31,1,4,0,0,0,1,3,0,9,0,0,0,0,0,0,0,0.224,0.333,0.306,0.639,6,12,R,A.Cashner(63),0.12903225806451613,0.20588235294117646,0.12903225806451613,0.3349146110056926
4,Apr 1,False,SDP,"W,3-2",37,34,3,7,1,0,1,3,3,0,6,0,0,0,0,0,1,0,0.22,0.318,0.311,0.629,7,15,R,I.Kennedy(48),0.20588235294117646,0.2702702702702703,0.3235294117647059,0.5937996820349762
5,Apr 2,False,SDP,"W,5-1",39,34,5,9,3,0,0,5,4,0,11,0,1,0,1,2,3,0,0.229,0.323,0.319,0.642,7,14,R,T.Ross(46),0.2647058823529412,0.3333333333333333,0.35294117647058826,0.6862745098039216
6,Apr 4,True,SFG,"L,4-8",38,36,4,10,2,0,2,4,2,0,11,0,0,0,0,0,3,1,0.238,0.322,0.351,0.673,7,16,R,R.Vogelsong(34),0.2777777777777778,0.3157894736842105,0.5,0.8157894736842105
7,Apr 5,True,SFG,"L,2-7",36,33,2,9,3,0,0,2,3,0,12,0,0,0,0,1,0,1,0.243,0.323,0.353,0.676,7,19,L,M.Bumgarner(58),0.2727272727272727,0.3333333333333333,0.36363636363636365,0.696969696969697
8,Apr 6,True,SFG,"W,6-2",31,30,6,7,3,0,4,6,0,0,4,0,0,1,0,0,0,0,0.242,0.313,0.396,0.709,1,14,R,M.Cain(43),0.23333333333333334,0.22580645161290322,0.7333333333333333,0.9591397849462365
9,Apr 8,True,DET,"W,3-2",38,35,3,10,5,0,1,3,2,0,11,0,0,1,0,1,1,1,0.247,0.313,0.41,0.723,7,15,R,M.Scherzer(60),0.2857142857142857,0.3157894736842105,0.5142857142857142,0.8300751879699247
10,Apr 9,True,DET,"L,6-7",42,38,6,11,2,0,1,5,3,0,12,0,1,0,0,1,3,1,0.251,0.316,0.411,0.728,6,19,R,A.Sánchez(52),0.2894736842105263,0.3333333333333333,0.42105263157894735,0.7543859649122806
