Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 31,True,ATL,"W,2-0",30,28,2,8,1,0,0,2,1,0,3,0,1,0,0,1,2,0,0.286,0.31,0.321,0.632,4,14,R,J.Teherán(51),0.2857142857142857,0.3,0.32142857142857145,0.6214285714285714
2,Apr 1,True,ATL,"L,2-5",35,31,2,6,0,0,1,2,4,0,9,0,0,0,0,2,1,0,0.237,0.297,0.305,0.602,6,13,L,A.Wood(65),0.1935483870967742,0.2857142857142857,0.2903225806451613,0.5760368663594471
3,Apr 2,True,ATL,"L,0-1",30,28,0,2,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0.184,0.237,0.23,0.466,3,13,R,A.Harang(72),0.07142857142857142,0.1,0.07142857142857142,0.17142857142857143
4,Apr 4,False,BOS,"W,6-2",43,38,6,12,4,1,1,6,4,0,6,0,1,0,1,1,1,1,0.224,0.281,0.328,0.609,10,9,R,J.Peavy(54),0.3157894736842105,0.37209302325581395,0.5526315789473685,0.9247246022031824
5,Apr 5,False,BOS,"W,7-6",53,52,7,19,6,0,2,7,1,0,18,0,0,0,0,0,1,0,0.266,0.309,0.407,0.715,13,9,R,C.Buchholz(16),0.36538461538461536,0.37735849056603776,0.5961538461538461,0.9735123367198839
6,Apr 6,False,BOS,"W,4-0",38,36,4,9,2,0,0,3,2,0,8,0,0,0,0,0,2,0,0.263,0.305,0.39,0.695,7,10,L,J.Lester(57),0.25,0.2894736842105263,0.3055555555555556,0.5950292397660819
7,Apr 8,False,PHI,"W,10-4",46,42,10,15,5,0,3,9,2,1,5,1,1,0,3,0,0,2,0.278,0.321,0.439,0.76,9,16,R,K.Kendrick(30),0.35714285714285715,0.391304347826087,0.6904761904761905,1.0817805383022774
8,Apr 9,False,PHI,"W,9-4",45,41,9,13,3,1,2,8,2,0,13,1,1,0,1,0,3,0,0.284,0.327,0.459,0.786,9,13,R,R.Hernández(47),0.3170731707317073,0.35555555555555557,0.5853658536585366,0.9409214092140921
9,Apr 10,False,PHI,"W,6-2",38,35,6,11,3,1,0,6,1,0,9,0,1,1,1,1,0,1,0.287,0.327,0.459,0.786,5,14,L,C.Lee(52),0.3142857142857143,0.3157894736842105,0.45714285714285713,0.7729323308270677
10,Apr 11,True,PIT,"W,4-2",32,30,4,6,1,0,2,4,2,0,10,0,0,0,0,0,0,0,0.28,0.32,0.457,0.777,4,12,L,F.Liriano(53),0.2,0.25,0.43333333333333335,0.6833333333333333
11,Apr 12,True,PIT,"W,3-2",34,31,3,7,0,0,1,2,2,0,5,0,1,0,2,1,0,0,0.276,0.317,0.446,0.763,7,15,R,E.Vólquez(61),0.22580645161290322,0.2647058823529412,0.3225806451612903,0.5872865275142315
12,Apr 13,True,PIT,"W,4-1",34,28,4,7,3,0,0,2,3,0,4,1,1,1,0,1,1,0,0.274,0.318,0.44,0.758,6,10,R,C.Morton(53),0.25,0.3235294117647059,0.35714285714285715,0.680672268907563
13,Apr 14,True,STL,"L,0-4",33,30,0,3,2,0,0,0,3,0,12,0,0,0,1,1,0,0,0.262,0.308,0.422,0.731,6,13,R,L.Lynn(79),0.1,0.18181818181818182,0.16666666666666666,0.3484848484848485
14,Apr 15,True,STL,"L,1-6",32,28,1,3,0,0,1,1,3,0,11,1,0,0,0,1,0,1,0.253,0.303,0.41,0.713,4,14,R,S.Miller(66),0.10714285714285714,0.21875,0.21428571428571427,0.4330357142857143
15,Apr 16,True,STL,"W,5-1",37,32,5,8,1,0,0,5,3,0,6,1,1,0,2,1,0,0,0.253,0.305,0.402,0.707,8,14,R,J.Kelly(56),0.25,0.32432432432432434,0.28125,0.6055743243243243
16,Apr 17,False,PIT,"L,2-11",34,31,2,8,1,0,0,2,1,0,4,0,2,0,0,0,0,2,0.253,0.304,0.396,0.699,5,13,R,E.Vólquez(55),0.25806451612903225,0.2647058823529412,0.2903225806451613,0.5550284629981025
17,Apr 18,False,PIT,"W,5-3",39,33,5,10,2,0,1,5,3,0,6,2,1,0,0,0,0,1,0.256,0.309,0.399,0.708,7,14,R,C.Morton(37),0.30303030303030304,0.38461538461538464,0.45454545454545453,0.8391608391608392
18,Apr 19,False,PIT,"W,8-7",42,39,8,12,4,0,3,8,2,0,7,1,0,0,0,1,0,0,0.259,0.312,0.414,0.727,7,16,L,W.Rodríguez(36),0.3076923076923077,0.35714285714285715,0.6410256410256411,0.9981684981684982
19,Apr 20,False,PIT,"W,3-2",55,49,3,12,1,1,3,3,4,3,10,0,2,0,0,2,0,0,0.258,0.311,0.42,0.731,10,19,R,G.Cole(71),0.24489795918367346,0.2909090909090909,0.4897959183673469,0.7807050092764378
20,Apr 21,True,SDP,"W,4-3",34,29,4,11,2,1,1,4,3,1,5,0,1,1,0,1,2,1,0.263,0.316,0.428,0.745,6,13,R,A.Cashner(44),0.3793103448275862,0.4117647058823529,0.6206896551724138,1.0324543610547667
21,Apr 22,True,SDP,"L,1-2",48,44,1,7,1,0,1,1,4,1,13,0,0,0,1,0,4,0,0.257,0.311,0.418,0.729,11,14,R,I.Kennedy(62),0.1590909090909091,0.22916666666666666,0.25,0.47916666666666663
22,Apr 23,True,SDP,"W,5-2",33,31,5,9,1,0,2,5,2,0,4,0,0,0,0,0,0,2,0.258,0.312,0.422,0.734,4,12,R,T.Ross(35),0.2903225806451613,0.3333333333333333,0.5161290322580645,0.8494623655913978
23,Apr 25,True,CHC,"W,5-2",38,35,5,11,1,0,1,4,2,1,5,0,0,1,1,0,3,0,0.261,0.313,0.422,0.735,9,12,R,C.Villanueva(29),0.3142857142857143,0.34210526315789475,0.42857142857142855,0.7706766917293233
24,Apr 26,True,CHC,"W,5-3",35,30,5,8,0,0,1,5,3,0,5,1,0,1,0,0,0,0,0.261,0.315,0.42,0.734,6,14,L,T.Wood(35),0.26666666666666666,0.34285714285714286,0.36666666666666664,0.7095238095238094
25,Apr 27,True,CHC,"L,0-4",32,30,0,3,1,0,0,0,2,0,10,0,0,0,1,1,0,0,0.256,0.309,0.41,0.719,5,12,R,J.Hammel(76),0.1,0.15625,0.13333333333333333,0.2895833333333333
26,Apr 28,False,STL,"W,5-3",52,44,5,11,1,1,0,5,4,0,16,3,0,1,0,2,0,0,0.255,0.311,0.406,0.717,11,18,R,M.Wacha(52),0.25,0.34615384615384615,0.3181818181818182,0.6643356643356644
27,Apr 29,False,STL,"W,5-4",44,41,5,9,2,0,1,5,2,0,12,0,1,0,0,0,0,0,0.254,0.309,0.403,0.711,6,15,R,L.Lynn(47),0.21951219512195122,0.25,0.34146341463414637,0.5914634146341464
28,Apr 30,False,STL,"L,3-9",39,35,3,9,1,0,2,3,3,0,3,1,0,0,1,1,0,1,0.254,0.31,0.405,0.714,9,14,R,S.Miller(46),0.2571428571428571,0.3333333333333333,0.45714285714285713,0.7904761904761904
29,May 1,False,CIN,"L,3-8",35,33,3,8,1,0,0,3,1,0,5,0,1,0,0,1,0,0,0.253,0.308,0.4,0.709,5,13,R,H.Bailey(57),0.24242424242424243,0.2571428571428571,0.2727272727272727,0.5298701298701298
30,May 2,False,CIN,"W,2-0",34,32,2,7,2,0,0,2,2,0,6,0,0,0,0,2,0,0,0.252,0.307,0.397,0.704,5,10,R,M.Leake(63),0.21875,0.2647058823529412,0.28125,0.5459558823529411
31,May 3,False,CIN,"L,2-6",31,30,2,3,0,0,2,2,1,0,10,0,0,0,0,0,0,0,0.248,0.302,0.394,0.696,2,12,R,J.Cueto(77),0.1,0.12903225806451613,0.3,0.4290322580645161
32,May 4,False,CIN,"L,3-4",37,34,3,6,2,0,2,3,3,0,4,0,0,0,0,2,0,0,0.246,0.3,0.395,0.695,4,15,R,A.Simón(54),0.17647058823529413,0.24324324324324326,0.4117647058823529,0.6550079491255962
33,May 5,True,ARI,"W,8-3",38,30,8,9,2,0,3,8,7,0,8,0,0,1,0,2,1,0,0.247,0.304,0.402,0.706,6,14,R,M.Bolsinger(37),0.3,0.42105263157894735,0.6666666666666666,1.0877192982456139
34,May 6,True,ARI,"L,5-7",37,36,5,8,1,0,0,4,1,0,9,0,0,0,1,0,0,0,0.247,0.302,0.397,0.699,5,14,R,J.Collmenter(43),0.2222222222222222,0.24324324324324326,0.25,0.49324324324324326
35,May 7,True,ARI,"L,2-3",32,29,2,7,1,0,0,1,2,0,5,0,0,1,1,4,0,1,0.246,0.302,0.394,0.696,3,14,R,B.Arroyo(68),0.2413793103448276,0.28125,0.27586206896551724,0.5571120689655172
