Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 31,False,ARI,"W,9-8",41,38,9,12,3,0,2,9,2,0,6,0,1,0,0,0,0,0,0.316,0.35,0.553,0.903,5,16,R,B.McCarthy(45),0.3157894736842105,0.34146341463414637,0.5526315789473685,0.8940949935815148
2,Apr 1,False,ARI,"L,4-5",36,34,4,7,2,0,1,4,2,0,9,0,0,0,0,0,0,0,0.264,0.303,0.458,0.761,5,15,L,W.Miley(53),0.20588235294117646,0.25,0.35294117647058826,0.6029411764705883
3,Apr 2,False,ARI,"W,2-0",37,32,2,6,1,0,0,2,4,0,6,0,1,0,0,0,1,0,0.24,0.295,0.385,0.679,8,13,R,T.Cahill(56),0.1875,0.2702702702702703,0.21875,0.4890202702702703
4,Apr 3,False,ARI,"W,8-5",41,34,8,9,3,0,3,8,5,1,5,0,1,1,0,0,1,0,0.246,0.309,0.442,0.751,6,18,R,B.Arroyo(46),0.2647058823529412,0.34146341463414637,0.6176470588235294,0.9591104734576759
5,Apr 4,False,LAD,"W,8-4",39,35,8,8,3,0,0,8,4,1,12,0,0,0,1,0,0,1,0.243,0.309,0.416,0.725,4,15,L,H.Ryu(11),0.22857142857142856,0.3076923076923077,0.3142857142857143,0.621978021978022
6,Apr 5,False,LAD,"W,7-2",42,35,7,11,3,0,3,7,6,0,5,0,1,0,0,2,0,0,0.255,0.328,0.457,0.784,8,14,L,P.Maholm(28),0.3142857142857143,0.40476190476190477,0.6571428571428571,1.061904761904762
7,Apr 6,False,LAD,"L,2-6",35,35,2,8,0,0,2,2,0,0,16,0,0,0,0,0,0,0,0.251,0.315,0.449,0.763,6,13,R,Z.Greinke(60),0.22857142857142856,0.22857142857142856,0.4,0.6285714285714286
8,Apr 8,True,ARI,"W,7-3",36,33,7,10,2,0,1,7,3,1,12,0,0,0,0,1,1,0,0.257,0.32,0.449,0.769,5,12,R,T.Cahill(29),0.30303030303030304,0.3611111111111111,0.45454545454545453,0.8156565656565656
9,Apr 9,True,ARI,"L,3-7",38,34,3,9,0,0,2,3,2,0,6,1,1,0,0,1,1,0,0.258,0.321,0.448,0.769,8,16,R,B.Arroyo(44),0.2647058823529412,0.3157894736842105,0.4411764705882353,0.7569659442724458
10,Apr 10,True,ARI,"L,5-6",45,37,5,10,5,0,0,5,7,1,5,0,1,0,0,2,0,0,0.259,0.328,0.444,0.772,10,20,R,R.Delgado(33),0.2702702702702703,0.37777777777777777,0.40540540540540543,0.7831831831831833
11,Apr 11,True,COL,"W,6-5",35,29,6,6,2,1,1,6,2,0,11,2,1,1,0,0,0,0,0.255,0.325,0.444,0.77,5,15,L,J.De La Rosa(35),0.20689655172413793,0.2857142857142857,0.4482758620689655,0.7339901477832512
12,Apr 12,True,COL,"L,0-1",33,29,0,3,2,0,0,0,4,0,8,0,0,0,0,1,0,0,0.244,0.317,0.425,0.742,6,12,L,B.Anderson(58),0.10344827586206896,0.21212121212121213,0.1724137931034483,0.38453500522466044
13,Apr 13,True,COL,"W,5-4",34,31,5,9,0,1,2,5,1,0,9,1,0,1,0,2,0,1,0.248,0.318,0.433,0.751,2,13,R,T.Chatwood(49),0.2903225806451613,0.3235294117647059,0.5483870967741935,0.8719165085388993
14,Apr 15,True,LAD,"W,3-2",54,41,3,12,1,0,0,3,9,1,9,1,2,1,1,2,1,1,0.252,0.328,0.423,0.751,16,21,R,J.Beckett(62),0.2926829268292683,0.4074074074074074,0.3170731707317073,0.7244805781391147
15,Apr 16,True,LAD,"W,2-1",34,28,2,7,0,0,0,2,5,1,4,0,1,0,1,3,0,0,0.251,0.33,0.414,0.744,8,15,L,P.Maholm(57),0.25,0.35294117647058826,0.25,0.6029411764705883
16,Apr 17,True,LAD,"L,1-2",37,34,1,6,1,0,0,1,3,0,6,0,0,0,0,0,1,0,0.247,0.325,0.401,0.725,9,15,L,H.Ryu(71),0.17647058823529413,0.24324324324324326,0.20588235294117646,0.4491255961844197
17,Apr 18,False,SDP,"L,1-2",33,31,1,5,1,0,1,1,2,0,12,0,0,0,0,1,3,0,0.242,0.319,0.395,0.713,5,13,R,T.Ross(82),0.16129032258064516,0.21212121212121213,0.2903225806451613,0.5024437927663734
18,Apr 19,False,SDP,"L,1-3",30,30,1,4,0,0,1,1,0,0,7,0,0,0,0,1,0,0,0.237,0.31,0.387,0.697,2,14,L,E.Stults(64),0.13333333333333333,0.13333333333333333,0.23333333333333334,0.3666666666666667
19,Apr 20,False,SDP,"W,4-3",34,29,4,3,0,0,1,4,4,0,5,0,1,0,0,0,0,0,0.231,0.306,0.378,0.684,3,14,L,R.Erlin(50),0.10344827586206896,0.20588235294117646,0.20689655172413793,0.4127789046653144
20,Apr 21,False,COL,"L,2-8",37,33,2,6,1,0,0,0,4,0,11,0,0,0,2,2,0,0,0.228,0.304,0.37,0.674,8,15,L,J.De La Rosa(55),0.18181818181818182,0.2702702702702703,0.21212121212121213,0.48239148239148244
