Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 31,True,PHI,"L,10-14",44,40,10,14,3,0,1,9,4,0,4,0,0,0,0,1,0,0,0.35,0.409,0.5,0.909,7,12,L,C.Lee(13),0.35,0.4090909090909091,0.5,0.9090909090909092
2,Apr 1,True,PHI,"W,3-2",40,32,3,10,3,0,0,3,5,1,6,1,2,0,0,0,1,0,0.333,0.415,0.458,0.873,12,10,R,A.Burnett(55),0.3125,0.4,0.40625,0.80625
3,Apr 2,True,PHI,"W,4-3",37,34,4,9,1,1,0,4,3,0,5,0,0,0,2,1,0,0,0.311,0.387,0.425,0.811,8,12,R,K.Kendrick(66),0.2647058823529412,0.32432432432432434,0.35294117647058826,0.6772655007949127
4,Apr 4,False,TBR,"L,1-8",35,32,1,6,1,0,0,1,3,0,6,0,0,0,0,0,0,0,0.283,0.357,0.377,0.734,7,11,R,J.Odorizzi(67),0.1875,0.2571428571428571,0.21875,0.4758928571428571
5,Apr 5,False,TBR,"L,4-5",37,34,4,9,1,0,0,4,0,0,6,1,1,1,0,0,1,0,0.279,0.342,0.36,0.703,6,10,L,D.Price(44),0.2647058823529412,0.2702702702702703,0.29411764705882354,0.5643879173290938
6,Apr 6,False,TBR,"W,3-0",35,34,3,7,0,0,1,3,1,0,7,0,0,0,1,1,0,0,0.267,0.324,0.35,0.674,5,9,R,A.Cobb(76),0.20588235294117646,0.22857142857142856,0.29411764705882354,0.5226890756302521
7,Apr 7,False,BOS,"L,1-5",35,32,1,8,1,1,0,1,2,0,6,0,0,1,0,2,2,0,0.265,0.319,0.349,0.668,7,9,R,J.Lackey(68),0.25,0.2857142857142857,0.34375,0.6294642857142857
8,Apr 8,False,BOS,"W,10-7",44,36,10,13,6,0,1,10,4,0,5,0,2,2,0,0,0,0,0.277,0.331,0.383,0.714,7,10,L,F.Doubront(25),0.3611111111111111,0.38636363636363635,0.6111111111111112,0.9974747474747475
9,Apr 9,False,BOS,"L,2-4",35,30,2,5,2,0,1,2,4,0,9,0,0,1,0,0,1,1,0.266,0.323,0.378,0.702,6,11,R,J.Peavy(68),0.16666666666666666,0.2571428571428571,0.3333333333333333,0.5904761904761904
10,Apr 11,True,HOU,"W,1-0",52,41,1,8,1,0,0,1,9,3,8,2,0,0,0,0,4,2,0.258,0.329,0.359,0.688,16,11,R,S.Feldman(72),0.1951219512195122,0.36538461538461536,0.21951219512195122,0.5848968105065666
11,Apr 12,True,HOU,"L,5-6",42,35,5,9,2,0,1,4,5,1,10,1,1,0,0,2,1,1,0.258,0.333,0.363,0.696,7,11,R,J.Cosart(59),0.2571428571428571,0.35714285714285715,0.4,0.7571428571428571
12,Apr 13,True,HOU,"W,1-0",29,28,1,5,1,0,0,1,0,0,8,0,0,1,0,0,0,0,0.252,0.322,0.353,0.675,4,10,L,B.Oberholtzer(70),0.17857142857142858,0.1724137931034483,0.21428571428571427,0.3866995073891626
13,Apr 14,True,SEA,"L,1-7",34,30,1,7,1,0,0,1,4,0,6,0,0,0,0,4,0,0,0.251,0.323,0.347,0.67,6,12,L,R.Elías(63),0.23333333333333334,0.3235294117647059,0.26666666666666666,0.5901960784313726
14,Apr 15,True,SEA,"W,5-0",34,31,5,11,3,0,2,5,2,1,5,0,1,0,0,1,0,2,0.258,0.327,0.367,0.694,5,10,R,B.Beavan(43),0.3548387096774194,0.38235294117647056,0.6451612903225806,1.027514231499051
15,Apr 16,True,SEA,"W,3-2",35,32,3,6,1,1,0,2,2,0,12,0,0,1,1,0,0,0,0.253,0.321,0.361,0.682,6,13,R,F.Hernández(73),0.1875,0.22857142857142856,0.28125,0.5098214285714285
16,Apr 17,True,SEA,"W,8-6",41,34,8,12,4,0,1,7,5,2,6,0,2,0,0,1,3,0,0.26,0.328,0.374,0.702,9,9,R,E.Ramírez(24),0.35294117647058826,0.4146341463414634,0.5588235294117647,0.9734576757532281
17,Apr 18,True,CHW,"W,12-0",45,40,12,18,4,1,2,12,4,1,5,1,0,0,0,2,2,0,0.273,0.341,0.4,0.741,9,11,R,F.Paulino(-5),0.45,0.5111111111111111,0.75,1.261111111111111
18,Apr 19,True,CHW,"W,6-3",36,34,6,13,3,0,2,6,2,0,2,0,0,0,0,1,0,1,0.279,0.345,0.414,0.759,6,9,L,J.Quintana(28),0.38235294117647056,0.4166666666666667,0.6470588235294118,1.0637254901960784
19,Apr 20,True,CHW,"L,2-16",33,24,2,2,0,0,0,1,6,1,5,2,0,1,0,2,2,1,0.272,0.343,0.401,0.744,4,12,R,E.Johnson(56),0.08333333333333333,0.30303030303030304,0.08333333333333333,0.38636363636363635
20,Apr 21,False,OAK,"W,4-3",41,36,4,11,3,0,1,4,3,1,9,1,1,0,0,0,2,1,0.274,0.345,0.405,0.75,10,10,R,D.Straily(47),0.3055555555555556,0.36585365853658536,0.4722222222222222,0.8380758807588076
21,Apr 22,False,OAK,"W,5-4",38,32,5,9,2,0,0,4,4,1,1,1,1,0,0,3,1,0,0.274,0.346,0.402,0.749,6,11,L,T.Milone(47),0.28125,0.3684210526315789,0.34375,0.712171052631579
22,Apr 23,False,OAK,"W,3-0",38,32,3,7,0,1,1,3,5,0,11,0,1,0,1,2,1,0,0.271,0.345,0.401,0.747,8,9,R,S.Gray(59),0.21875,0.3157894736842105,0.375,0.6907894736842105
23,Apr 25,False,SEA,"L,5-6",39,31,5,8,3,0,0,3,6,0,7,1,1,0,0,2,1,0,0.271,0.348,0.399,0.747,7,11,L,R.Elías(50),0.25806451612903225,0.38461538461538464,0.3548387096774194,0.7394540942928041
24,Apr 26,False,SEA,"W,6-3",41,34,6,11,1,0,0,5,3,0,6,1,1,2,0,0,1,0,0.273,0.349,0.397,0.746,8,9,R,F.Hernández(51),0.3235294117647059,0.36585365853658536,0.35294117647058826,0.7187948350071736
25,Apr 27,False,SEA,"L,5-6",38,35,5,8,3,0,0,4,3,0,9,0,0,0,0,0,1,0,0.271,0.346,0.394,0.74,6,9,R,B.Maurer(29),0.22857142857142856,0.2894736842105263,0.3142857142857143,0.6037593984962406
26,Apr 28,True,OAK,"L,0-4",30,28,0,2,0,0,0,0,1,0,6,1,0,0,1,2,0,0,0.265,0.34,0.383,0.723,3,11,R,S.Gray(88),0.07142857142857142,0.13333333333333333,0.07142857142857142,0.20476190476190476
27,Apr 29,True,OAK,"L,3-9",37,34,3,8,1,0,0,3,2,0,9,1,0,0,0,1,1,0,0.264,0.338,0.379,0.717,7,10,L,S.Kazmir(44),0.23529411764705882,0.2972972972972973,0.2647058823529412,0.5620031796502385
28,Apr 30,True,OAK,"L,1-12",32,31,1,4,1,0,0,1,1,0,9,0,0,0,1,1,0,0,0.259,0.333,0.371,0.704,4,12,R,J.Chavez(82),0.12903225806451613,0.15625,0.16129032258064516,0.31754032258064513
29,May 2,False,LAA,"W,5-2",38,35,5,9,0,0,2,5,3,0,10,0,0,0,0,1,0,1,0.259,0.332,0.374,0.706,6,11,L,H.Santiago(41),0.2571428571428571,0.3157894736842105,0.42857142857142855,0.744360902255639
30,May 3,False,LAA,"L,3-5",38,36,3,10,1,0,0,3,2,1,12,0,0,0,0,1,1,0,0.26,0.332,0.371,0.703,8,9,R,G.Richards(49),0.2777777777777778,0.3157894736842105,0.3055555555555556,0.6213450292397661
31,May 4,False,LAA,"W,14-3",52,40,14,15,3,1,2,14,9,1,9,1,0,2,0,0,1,0,0.264,0.338,0.382,0.72,11,9,L,T.Skaggs(17),0.375,0.4807692307692308,0.65,1.1307692307692307
32,May 5,False,COL,"L,2-8",35,32,2,9,2,0,0,2,2,0,5,0,1,0,1,4,1,0,0.265,0.338,0.381,0.718,6,15,R,J.Lyles(64),0.28125,0.3142857142857143,0.34375,0.6580357142857143
33,May 6,False,COL,"L,1-12",39,32,1,8,1,0,1,1,7,0,2,0,0,0,0,2,0,0,0.264,0.339,0.381,0.72,11,16,R,J.Nicasio(55),0.25,0.38461538461538464,0.375,0.7596153846153846
34,May 7,True,COL,"L,2-9",35,32,2,5,1,0,1,2,3,0,6,0,0,0,0,0,0,0,0.261,0.336,0.378,0.714,6,10,L,J.De La Rosa(59),0.15625,0.22857142857142856,0.28125,0.5098214285714285
35,May 8,True,COL,"W,5-0",37,31,5,7,2,0,1,3,5,2,6,1,0,0,0,0,2,0,0.26,0.337,0.378,0.715,8,9,L,F.Morales(44),0.22580645161290322,0.35135135135135137,0.3870967741935484,0.7384481255448998
