Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 6,False,MIL,"W,10-0",44,42,10,16,6,0,2,10,1,0,6,0,1,0,2,1,0,0,0.381,0.395,0.667,1.062,7,15,R,K.Lohse(9),0.38095238095238093,0.38636363636363635,0.6666666666666666,1.053030303030303
2,Apr 7,False,MIL,"W,5-2",41,38,5,12,6,0,0,5,2,0,6,0,0,1,0,0,1,0,0.35,0.369,0.575,0.944,9,14,R,M.Garza(36),0.3157894736842105,0.34146341463414637,0.47368421052631576,0.8151476251604621
3,Apr 8,False,MIL,"W,5-4",38,38,5,10,4,0,3,5,0,0,7,0,0,0,0,0,0,2,0.322,0.336,0.585,0.921,3,16,R,W.Peralta(57),0.2631578947368421,0.2631578947368421,0.6052631578947368,0.868421052631579
4,Apr 10,True,CHC,"W,5-1",37,34,5,11,2,0,1,5,3,1,7,0,0,0,1,0,0,0,0.322,0.346,0.559,0.905,8,16,L,T.Wood(41),0.3235294117647059,0.3783783783783784,0.47058823529411764,0.848966613672496
5,Apr 11,True,CHC,"L,5-9",40,38,5,12,3,0,1,5,2,0,10,0,0,0,1,2,0,0,0.321,0.347,0.542,0.889,8,14,R,J.Hammel(50),0.3157894736842105,0.35,0.47368421052631576,0.8236842105263158
6,Apr 12,True,CHC,"L,5-6",38,37,5,11,4,1,0,5,1,0,8,0,0,0,0,0,1,0,0.317,0.342,0.529,0.87,6,14,R,K.Hendricks(29),0.2972972972972973,0.3157894736842105,0.4594594594594595,0.77524893314367
7,Apr 13,False,SFG,"W,2-0",38,35,2,11,2,0,0,1,3,1,5,0,0,0,0,2,0,1,0.317,0.345,0.508,0.853,9,16,R,C.Heston(60),0.3142857142857143,0.3684210526315789,0.37142857142857144,0.7398496240601504
8,Apr 14,False,SFG,"W,4-1",37,32,4,9,2,1,0,3,2,0,6,1,2,0,0,1,0,1,0.313,0.345,0.497,0.842,6,16,R,T.Hudson(53),0.28125,0.32432432432432434,0.40625,0.7305743243243243
9,Apr 15,False,SFG,"W,4-2",35,32,4,6,0,0,1,4,1,0,10,0,1,1,1,0,1,0,0.301,0.331,0.475,0.807,4,14,R,T.Lincecum(44),0.1875,0.2,0.28125,0.48125
10,Apr 17,False,LAD,"L,3-7",35,34,3,7,1,0,2,3,1,0,16,0,0,0,1,0,1,0,0.292,0.322,0.469,0.791,5,14,L,C.Kershaw(63),0.20588235294117646,0.22857142857142856,0.4117647058823529,0.6403361344537815
11,Apr 18,False,LAD,"L,3-6",34,31,3,5,2,0,1,3,2,0,5,1,0,0,0,1,0,0,0.281,0.315,0.458,0.773,4,12,R,Z.Greinke(54),0.16129032258064516,0.23529411764705882,0.3225806451612903,0.5578747628083491
12,Apr 19,False,LAD,"L,0-7",32,29,0,4,0,0,0,0,3,0,9,0,0,0,0,1,0,1,0.271,0.308,0.436,0.744,5,15,R,B.McCarthy(70),0.13793103448275862,0.21875,0.13793103448275862,0.3566810344827586
13,Apr 20,True,SDP,"L,3-14",38,34,3,9,1,1,0,3,4,0,6,0,0,0,0,1,0,0,0.271,0.311,0.43,0.74,8,19,R,O.Despaigne(57),0.2647058823529412,0.34210526315789475,0.35294117647058826,0.695046439628483
14,Apr 21,True,SDP,"L,6-7",35,33,6,7,1,2,1,6,1,0,6,0,0,1,0,0,0,0,0.267,0.305,0.431,0.736,2,16,R,B.Morrow(42),0.21212121212121213,0.22857142857142856,0.45454545454545453,0.6831168831168831
15,Apr 22,True,SDP,"W,5-4",36,32,5,11,4,0,2,5,4,1,8,0,0,0,0,2,1,1,0.272,0.312,0.445,0.757,6,13,R,J.Shields(50),0.34375,0.4166666666666667,0.65625,1.0729166666666667
16,Apr 23,True,SDP,"W,2-1",37,31,2,8,1,0,1,2,5,0,10,0,1,0,0,0,1,0,0.271,0.315,0.442,0.757,11,15,R,T.Ross(50),0.25806451612903225,0.35135135135135137,0.3870967741935484,0.7384481255448998
17,Apr 24,True,SFG,"W,6-4",41,38,6,15,7,0,1,6,3,1,4,0,0,0,0,0,0,1,0.279,0.323,0.456,0.779,11,15,R,C.Heston(25),0.39473684210526316,0.43902439024390244,0.6578947368421053,1.0969191270860077
18,Apr 25,True,SFG,"L,4-5",42,42,4,12,0,0,2,4,0,0,3,0,0,0,0,2,0,1,0.279,0.321,0.454,0.775,5,18,R,T.Hudson(51),0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7142857142857142
19,Apr 27,False,ARI,"W,5-4",38,32,5,11,1,0,1,5,5,1,5,0,0,1,0,3,0,1,0.282,0.326,0.455,0.781,6,14,R,C.Anderson(34),0.34375,0.42105263157894735,0.46875,0.8898026315789473
20,Apr 28,False,ARI,"L,5-12",41,39,5,13,3,0,0,5,2,0,11,0,0,0,0,0,0,0,0.285,0.328,0.452,0.781,9,12,R,A.Bradley(48),0.3333333333333333,0.36585365853658536,0.41025641025641024,0.7761100687929956
21,Apr 29,False,ARI,"L,1-9",31,31,1,5,2,0,0,1,0,0,6,0,0,0,1,0,0,0,0.28,0.322,0.443,0.764,3,13,R,J.Collmenter(76),0.16129032258064516,0.16129032258064516,0.22580645161290322,0.3870967741935484
22,May 1,False,SDP,"L,3-14",35,32,3,6,2,0,2,3,3,0,9,0,0,0,0,1,0,0,0.276,0.319,0.442,0.761,5,16,R,I.Kennedy(60),0.1875,0.2571428571428571,0.4375,0.6946428571428571
23,May 2,False,SDP,"L,2-4",34,33,2,7,2,0,1,2,1,0,7,0,0,0,0,1,0,0,0.274,0.316,0.439,0.755,5,13,R,B.Morrow(53),0.21212121212121213,0.23529411764705882,0.36363636363636365,0.5989304812834224
24,May 3,False,SDP,"L,6-8",39,37,6,11,1,0,4,6,1,0,12,1,0,0,0,0,0,1,0.275,0.316,0.448,0.765,6,14,R,J.Shields(37),0.2972972972972973,0.3333333333333333,0.6486486486486487,0.9819819819819819
25,May 6 (1),True,ARI,"L,7-13",41,37,7,12,3,1,3,7,2,0,7,1,0,1,0,0,0,0,0.277,0.319,0.459,0.778,7,19,R,J.Collmenter(42),0.32432432432432434,0.36585365853658536,0.7027027027027027,1.068556361239288
