Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 6,False,CIN,"L,2-5",35,34,2,7,1,0,1,2,1,0,13,0,0,0,0,0,0,0,0.206,0.229,0.324,0.552,6,12,R,J.Cueto(78),0.20588235294117646,0.22857142857142856,0.3235294117647059,0.5521008403361345
2,Apr 8,False,CIN,"L,4-5",48,39,4,8,3,0,0,4,7,2,9,0,1,1,0,0,1,0,0.205,0.28,0.301,0.582,11,21,R,M.Leake(47),0.20512820512820512,0.3125,0.28205128205128205,0.594551282051282
3,Apr 9,False,CIN,"L,2-3",35,31,2,6,1,0,1,2,2,0,11,1,1,0,0,1,1,0,0.202,0.276,0.308,0.584,6,15,R,A.DeSclafani(59),0.1935483870967742,0.2571428571428571,0.3225806451612903,0.5797235023041474
4,Apr 10,False,MIL,"W,6-2",41,33,6,10,4,0,2,6,2,1,12,2,2,2,0,0,1,0,0.226,0.297,0.38,0.676,8,15,R,M.Fiers(40),0.30303030303030304,0.34146341463414637,0.6060606060606061,0.9475240206947524
5,Apr 11,False,MIL,"L,0-6",29,26,0,2,0,0,0,0,2,0,11,1,0,0,0,2,0,1,0.202,0.277,0.331,0.608,2,11,R,J.Nelson(80),0.07692307692307693,0.1724137931034483,0.07692307692307693,0.24933687002652521
6,Apr 12,False,MIL,"W,10-2",41,39,10,13,1,0,2,10,0,0,9,1,1,0,1,0,0,1,0.228,0.29,0.366,0.657,4,16,R,K.Lohse(46),0.3333333333333333,0.34146341463414637,0.5128205128205128,0.8542839274546592
7,Apr 13,True,DET,"W,5-4",33,31,5,9,1,0,3,5,0,0,10,0,1,1,0,0,0,0,0.236,0.289,0.399,0.688,4,15,R,A.Sánchez(46),0.2903225806451613,0.2727272727272727,0.6129032258064516,0.8856304985337243
8,Apr 14,True,DET,"L,0-2",29,29,0,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0.221,0.27,0.366,0.637,2,12,R,S.Greene(79),0.10344827586206896,0.10344827586206896,0.10344827586206896,0.20689655172413793
9,Apr 15,True,DET,"L,0-1",29,28,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0.207,0.255,0.338,0.593,2,14,R,A.Simón(80),0.07142857142857142,0.10344827586206896,0.07142857142857142,0.1748768472906404
10,Apr 17,True,MIL,"W,6-3",36,32,6,11,2,0,1,6,2,1,7,1,1,0,0,0,3,1,0.22,0.269,0.354,0.623,6,15,R,J.Nelson(50),0.34375,0.3888888888888889,0.5,0.8888888888888888
11,Apr 18,True,MIL,"W,6-2",36,31,6,7,1,0,1,6,4,0,6,1,0,0,0,0,1,0,0.221,0.275,0.354,0.629,6,12,R,K.Lohse(37),0.22580645161290322,0.3333333333333333,0.3548387096774194,0.6881720430107527
12,Apr 19,True,MIL,"W,5-2",35,30,5,7,1,0,1,4,4,0,4,1,0,0,1,2,0,0,0.222,0.281,0.355,0.636,6,15,R,M.Garza(38),0.23333333333333334,0.34285714285714286,0.36666666666666664,0.7095238095238094
13,Apr 20,True,CHC,"L,2-5",33,33,2,5,2,0,1,2,0,0,10,0,0,0,1,0,1,0,0.216,0.272,0.351,0.622,4,13,R,J.Arrieta(72),0.15151515151515152,0.15151515151515152,0.30303030303030304,0.4545454545454546
14,Apr 21,True,CHC,"L,8-9",40,35,8,9,1,0,2,8,4,1,8,1,0,0,0,0,0,0,0.22,0.278,0.359,0.637,5,18,L,T.Wood(50),0.2571428571428571,0.35,0.45714285714285713,0.8071428571428572
15,Apr 22,True,CHC,"W,4-3",34,31,4,7,2,0,1,4,0,0,9,1,0,2,2,0,0,0,0.22,0.275,0.361,0.636,6,16,R,J.Hammel(46),0.22580645161290322,0.23529411764705882,0.3870967741935484,0.6223908918406071
16,Apr 23,True,CHC,"W,5-4",36,34,5,10,4,0,1,5,2,1,7,0,0,0,0,0,1,0,0.225,0.279,0.37,0.649,7,17,R,K.Hendricks(48),0.29411764705882354,0.3333333333333333,0.5,0.8333333333333333
17,Apr 24,False,ARI,"W,4-1",36,33,4,7,3,0,0,4,3,1,5,0,0,0,0,0,1,0,0.224,0.279,0.366,0.645,5,14,R,J.Collmenter(51),0.21212121212121213,0.2777777777777778,0.30303030303030304,0.5808080808080809
18,Apr 25,False,ARI,"W,2-1",34,34,2,7,4,0,0,2,0,0,10,0,0,0,1,0,1,0,0.223,0.275,0.364,0.639,5,13,R,R.De La Rosa(73),0.20588235294117646,0.20588235294117646,0.3235294117647059,0.5294117647058824
19,Apr 26,False,ARI,"W,8-0",44,39,8,14,3,0,0,8,3,0,8,0,0,2,0,0,0,0,0.232,0.282,0.368,0.65,9,14,R,J.Hellickson(38),0.358974358974359,0.38636363636363635,0.4358974358974359,0.8222610722610723
20,Apr 27,False,CHC,"L,0-4",32,31,0,4,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0.227,0.275,0.357,0.632,5,11,R,J.Hammel(81),0.12903225806451613,0.125,0.12903225806451613,0.2540322580645161
21,Apr 28,False,CHC,"L,2-6",32,32,2,5,1,0,1,2,0,0,11,0,0,0,1,0,0,0,0.223,0.27,0.353,0.624,3,14,L,T.Wood(68),0.15625,0.15625,0.28125,0.4375
