Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 4,True,CHW,"L,3-4",36,33,3,7,2,0,0,3,3,0,10,0,0,0,0,0,0,0,0.212,0.278,0.273,0.551,6,12,L,C.Sale(58),0.21212121212121213,0.2777777777777778,0.2727272727272727,0.5505050505050505
2,Apr 5,True,CHW,"L,4-5",39,37,4,10,3,0,0,4,0,0,10,2,0,0,0,0,0,0,0.243,0.293,0.314,0.608,8,11,L,J.Quintana(54),0.2702702702702703,0.3076923076923077,0.35135135135135137,0.659043659043659
3,Apr 6,True,CHW,"W,2-1",34,30,2,7,0,0,1,2,3,0,8,0,0,1,0,0,0,0,0.24,0.294,0.32,0.614,8,11,L,C.Rodón(60),0.23333333333333334,0.29411764705882354,0.3333333333333333,0.6274509803921569
4,Apr 7,True,CHW,"L,1-6",35,32,1,4,0,0,0,1,3,0,6,0,0,0,1,0,0,0,0.212,0.271,0.273,0.544,7,15,R,M.Latos(71),0.125,0.2,0.125,0.325
5,Apr 8,False,SEA,"W,3-2",37,36,3,9,1,0,2,3,1,0,7,0,0,0,2,2,1,0,0.22,0.271,0.31,0.58,7,10,R,T.Walker(54),0.25,0.2702702702702703,0.4444444444444444,0.7147147147147147
6,Apr 9,False,SEA,"W,6-1",38,37,6,11,3,0,1,6,1,0,11,0,0,0,0,0,2,0,0.234,0.279,0.337,0.615,5,9,R,N.Karns(42),0.2972972972972973,0.3157894736842105,0.4594594594594595,0.77524893314367
7,Apr 10,False,SEA,"W,2-1",38,35,2,5,1,0,2,2,3,0,12,0,0,0,0,0,0,0,0.221,0.268,0.338,0.606,6,11,R,F.Hernández(79),0.14285714285714285,0.21052631578947367,0.34285714285714286,0.5533834586466165
8,Apr 11,True,LAA,"L,1-4",37,35,1,10,1,1,0,1,2,1,8,0,0,0,0,2,0,0,0.229,0.276,0.342,0.617,9,10,R,N.Tropeano(59),0.2857142857142857,0.32432432432432434,0.37142857142857144,0.6957528957528958
9,Apr 12,True,LAA,"L,4-5",35,34,4,7,0,0,2,4,1,0,4,0,0,0,1,1,2,0,0.227,0.271,0.346,0.617,4,12,L,H.Santiago(51),0.20588235294117646,0.22857142857142856,0.38235294117647056,0.6109243697478991
10,Apr 13,True,LAA,"L,1-5",34,31,1,3,0,0,1,1,3,0,6,0,0,0,1,0,1,0,0.215,0.262,0.332,0.594,6,10,R,M.Shoemaker(72),0.0967741935483871,0.17647058823529413,0.1935483870967742,0.3700189753320683
11,Apr 15,True,KCR,"L,2-4",37,32,2,5,1,0,1,2,5,0,4,0,0,0,1,1,0,0,0.21,0.263,0.328,0.59,8,9,R,E.Vólquez(58),0.15625,0.2702702702702703,0.28125,0.5515202702702703
12,Apr 16,True,KCR,"W,5-3",39,33,5,10,0,0,2,5,4,1,3,0,1,1,1,0,0,0,0.217,0.272,0.341,0.612,10,9,R,C.Young(30),0.30303030303030304,0.358974358974359,0.48484848484848486,0.8438228438228439
13,Apr 17,True,KCR,"W,3-2",31,26,3,4,1,1,0,2,4,0,4,0,0,1,0,2,0,0,0.213,0.271,0.336,0.607,4,10,R,K.Medlen(63),0.15384615384615385,0.25806451612903225,0.2692307692307692,0.5272952853598014
14,Apr 19,False,NYY,"W,3-2",44,43,3,11,1,2,0,3,1,0,12,0,0,0,0,0,0,1,0.217,0.271,0.34,0.611,8,11,R,M.Pineda(56),0.2558139534883721,0.2727272727272727,0.37209302325581395,0.6448202959830867
15,Apr 20,False,NYY,"W,5-2",39,35,5,11,4,0,0,5,3,1,8,0,0,1,0,1,0,0,0.224,0.277,0.346,0.623,7,14,R,N.Eovaldi(50),0.3142857142857143,0.358974358974359,0.42857142857142855,0.7875457875457875
16,Apr 21,False,NYY,"W,7-3",39,35,7,10,1,0,4,7,3,0,8,0,0,1,0,0,3,0,0.228,0.281,0.366,0.647,5,9,R,L.Severino(54),0.2857142857142857,0.3333333333333333,0.6571428571428571,0.9904761904761905
17,Apr 22,False,TOR,"W,8-5",44,40,8,14,2,0,1,6,2,1,5,2,0,0,0,0,0,1,0.236,0.29,0.373,0.663,9,10,R,A.Sanchez(21),0.35,0.4090909090909091,0.475,0.884090909090909
18,Apr 23,False,TOR,"L,3-9",33,31,3,7,0,0,1,3,1,0,3,1,0,0,0,3,0,0,0.236,0.289,0.371,0.66,3,9,L,J.Happ(51),0.22580645161290322,0.2727272727272727,0.3225806451612903,0.595307917888563
19,Apr 24,False,TOR,"L,3-6",33,30,3,5,0,0,3,3,3,0,8,0,0,0,0,1,1,1,0.233,0.287,0.375,0.662,3,10,R,D.Hutchison(55),0.16666666666666666,0.24242424242424243,0.4666666666666667,0.7090909090909091
20,Apr 25,False,DET,"L,3-7",38,37,3,10,3,0,0,3,1,0,2,0,0,0,1,1,0,0,0.235,0.287,0.374,0.661,8,11,R,J.Zimmermann(52),0.2702702702702703,0.2894736842105263,0.35135135135135137,0.6408250355618776
21,Apr 26,False,DET,"W,5-1",35,34,5,10,1,0,1,5,0,0,4,0,0,1,0,2,1,0,0.237,0.287,0.376,0.663,3,9,R,M.Pelfrey(37),0.29411764705882354,0.2857142857142857,0.4117647058823529,0.6974789915966386
22,Apr 27,False,DET,"L,4-9",37,35,4,8,2,1,1,4,2,0,10,0,0,0,0,0,0,0,0.237,0.286,0.378,0.664,6,10,R,J.Verlander(55),0.22857142857142856,0.2702702702702703,0.42857142857142855,0.6988416988416988
23,Apr 28,False,DET,"L,3-7",41,32,3,6,2,0,1,3,9,0,11,0,0,0,0,1,3,0,0.235,0.29,0.377,0.667,11,10,R,A.Sánchez(57),0.1875,0.36585365853658536,0.34375,0.7096036585365854
24,Apr 29,True,HOU,"W,7-4",35,32,7,11,3,0,3,7,1,1,5,0,1,1,0,0,1,2,0.239,0.292,0.39,0.683,3,11,R,M.Fiers(60),0.34375,0.34285714285714286,0.71875,1.061607142857143
25,Apr 30,True,HOU,"W,2-0",32,29,2,5,2,0,0,2,3,0,7,0,0,0,0,0,0,0,0.237,0.291,0.385,0.676,6,9,R,C.Devenski(50),0.1724137931034483,0.25,0.2413793103448276,0.4913793103448276
26,May 1,True,HOU,"L,1-2",36,35,1,8,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0.237,0.289,0.38,0.669,8,11,R,D.Fister(60),0.22857142857142856,0.25,0.2571428571428571,0.5071428571428571
27,May 2,True,SEA,"L,3-4",34,32,3,6,1,0,2,3,2,0,10,0,0,0,0,0,1,0,0.235,0.287,0.381,0.668,4,11,R,N.Karns(52),0.1875,0.23529411764705882,0.40625,0.6415441176470589
28,May 3,True,SEA,"L,2-8",33,31,2,6,0,0,1,2,2,0,4,0,0,0,0,2,1,0,0.234,0.286,0.378,0.664,4,12,R,H.Iwakuma(66),0.1935483870967742,0.24242424242424243,0.2903225806451613,0.5327468230694037
29,May 4,True,SEA,"L,8-9",40,39,8,11,1,0,1,6,1,0,3,0,0,0,2,1,0,0,0.235,0.287,0.378,0.665,5,10,R,F.Hernández(21),0.28205128205128205,0.3,0.38461538461538464,0.6846153846153846
30,May 7 (1),False,BAL,"W,8-4",45,39,8,15,2,0,1,7,5,0,6,0,0,1,0,2,0,0,0.241,0.293,0.383,0.676,10,9,R,M.Wright(28),0.38461538461538464,0.4444444444444444,0.5128205128205128,0.9572649572649572
31,May 7 (2),False,BAL,"L,2-5",35,34,2,9,1,0,0,2,1,0,7,0,0,0,0,1,0,1,0.242,0.293,0.38,0.673,6,10,R,U.Jiménez(61),0.2647058823529412,0.2857142857142857,0.29411764705882354,0.5798319327731092
32,May 8,False,BAL,"L,3-11",38,33,3,7,1,0,0,3,4,0,9,1,0,0,1,0,0,1,0.241,0.293,0.376,0.67,8,10,R,C.Tillman(52),0.21212121212121213,0.3157894736842105,0.24242424242424243,0.5582137161084529
33,May 9,False,BOS,"L,7-14",41,38,7,11,4,0,1,6,3,0,6,0,0,0,1,1,0,0,0.243,0.295,0.38,0.675,7,11,R,C.Buchholz(39),0.2894736842105263,0.34146341463414637,0.47368421052631576,0.8151476251604621
34,May 10,False,BOS,"L,5-13",42,41,5,15,3,0,0,5,1,0,8,0,0,0,0,0,0,0,0.247,0.298,0.382,0.68,10,10,R,S.O'Sullivan(35),0.36585365853658536,0.38095238095238093,0.43902439024390244,0.8199767711962833
35,May 11,False,BOS,"L,3-13",39,34,3,8,1,0,0,3,3,0,8,1,1,0,0,0,0,0,0.247,0.298,0.378,0.677,9,10,R,R.Porcello(53),0.23529411764705882,0.3076923076923077,0.2647058823529412,0.5723981900452488
36,May 13,False,TBR,"W,6-3",40,37,6,11,0,0,4,6,3,1,7,0,0,0,0,1,3,0,0.248,0.3,0.386,0.686,7,10,R,J.Odorizzi(29),0.2972972972972973,0.35,0.6216216216216216,0.9716216216216216
37,May 14,False,TBR,"L,0-6",29,28,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0.244,0.296,0.379,0.674,2,9,R,M.Andriese(88),0.07142857142857142,0.10344827586206896,0.07142857142857142,0.1748768472906404
38,May 15,False,TBR,"W,7-6",40,38,7,12,2,0,4,7,2,0,8,0,0,0,0,0,0,1,0.246,0.297,0.388,0.685,6,12,L,M.Moore(39),0.3157894736842105,0.35,0.6842105263157895,1.0342105263157895
39,May 16,True,TEX,"W,3-1",29,25,3,4,0,0,1,3,2,0,2,1,0,1,1,2,0,1,0.245,0.296,0.386,0.682,2,10,L,D.Holland(58),0.16,0.2413793103448276,0.28,0.5213793103448277
40,May 17,True,TEX,"W,8-5",41,38,8,12,2,0,4,8,3,1,8,0,0,0,0,1,0,0,0.247,0.298,0.394,0.692,7,12,L,C.Hamels(46),0.3157894736842105,0.36585365853658536,0.6842105263157895,1.0500641848523748
41,May 18,True,TEX,"W,8-1",38,33,8,12,1,0,1,8,4,0,5,0,0,1,0,2,2,0,0.249,0.301,0.396,0.697,6,10,L,M.Pérez(46),0.36363636363636365,0.42105263157894735,0.48484848484848486,0.9059011164274322
42,May 19,True,NYY,"L,1-4",31,31,1,6,0,0,1,1,0,0,8,0,0,0,0,2,1,0,0.248,0.299,0.394,0.693,3,12,R,I.Nova(63),0.1935483870967742,0.1935483870967742,0.2903225806451613,0.4838709677419355
43,May 20,True,NYY,"L,3-8",36,34,3,6,1,1,0,3,1,0,9,1,0,0,1,0,0,0,0.247,0.297,0.391,0.688,6,10,L,C.Sabathia(69),0.17647058823529413,0.2222222222222222,0.2647058823529412,0.4869281045751634
44,May 21,True,NYY,"L,1-5",35,32,1,6,0,0,0,1,2,0,4,0,0,1,0,0,0,0,0.245,0.296,0.386,0.682,7,10,R,M.Tanaka(65),0.1875,0.22857142857142856,0.1875,0.41607142857142854
45,May 22,True,NYY,"L,4-5",36,35,4,6,3,0,0,4,1,0,10,0,0,0,2,0,2,0,0.244,0.294,0.383,0.677,5,13,R,M.Pineda(53),0.17142857142857143,0.19444444444444445,0.2571428571428571,0.45158730158730154
46,May 23,False,SEA,"W,5-0",40,36,5,7,1,0,1,5,3,1,8,1,0,0,2,0,1,0,0.243,0.293,0.382,0.675,8,10,R,T.Walker(63),0.19444444444444445,0.275,0.3055555555555556,0.5805555555555556
47,May 24,False,SEA,"L,5-6",39,35,5,9,4,0,1,5,3,1,8,0,0,1,0,0,0,0,0.243,0.294,0.383,0.677,7,10,R,N.Karns(46),0.2571428571428571,0.3076923076923077,0.45714285714285713,0.7648351648351648
48,May 25,False,SEA,"L,3-13",34,34,3,10,2,0,1,3,0,0,6,0,0,0,0,1,0,1,0.244,0.294,0.384,0.678,4,13,R,H.Iwakuma(53),0.29411764705882354,0.29411764705882354,0.4411764705882353,0.7352941176470589
