Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 4,False,ATL,"W,4-3",43,37,4,8,1,0,2,4,5,0,11,0,0,1,2,1,1,1,0.216,0.302,0.405,0.708,9,16,R,J.Teherán(55),0.21621621621621623,0.3023255813953488,0.40540540540540543,0.7077309868007542
2,Apr 6,False,ATL,"W,3-1",36,34,3,8,2,0,0,3,2,1,6,0,0,0,0,0,0,0,0.225,0.291,0.352,0.643,6,14,R,B.Norris(55),0.23529411764705882,0.2777777777777778,0.29411764705882354,0.5718954248366013
3,Apr 7,True,MIA,"L,4-6",42,32,4,6,2,1,1,4,9,0,10,0,1,0,0,0,1,0,0.214,0.317,0.369,0.686,11,17,L,A.Conley(37),0.1875,0.35714285714285715,0.40625,0.7633928571428572
4,Apr 10,True,MIA,"W,4-2",38,33,4,11,3,0,0,4,5,2,6,0,0,0,0,0,0,1,0.243,0.342,0.382,0.724,10,12,R,T.Koehler(51),0.3333333333333333,0.42105263157894735,0.42424242424242425,0.8452950558213717
5,Apr 11,True,ATL,"W,6-4",40,33,6,11,1,0,1,6,5,1,7,0,0,2,0,0,4,0,0.26,0.354,0.396,0.75,10,15,R,B.Norris(31),0.3333333333333333,0.4,0.45454545454545453,0.8545454545454545
6,Apr 12,True,ATL,"W,2-1",31,29,2,8,1,0,0,2,1,0,10,0,1,0,0,0,0,0,0.263,0.346,0.384,0.73,5,15,R,J.Chacín(70),0.27586206896551724,0.2903225806451613,0.3103448275862069,0.6006674082313682
7,Apr 13,True,ATL,"W,3-0",30,28,3,4,0,0,2,3,2,0,5,0,0,0,0,0,0,0,0.248,0.329,0.381,0.71,3,13,R,M.Wisler(55),0.14285714285714285,0.2,0.35714285714285715,0.5571428571428572
8,Apr 14,True,ATL,"W,6-2",31,30,6,6,2,0,2,6,1,0,7,0,0,0,0,0,0,0,0.242,0.318,0.391,0.709,1,10,R,J.Teherán(46),0.2,0.22580645161290322,0.4666666666666667,0.6924731182795699
9,Apr 15,False,PHI,"W,9-1",46,43,9,16,5,0,2,8,3,0,10,0,0,0,1,0,0,0,0.261,0.331,0.425,0.756,10,13,R,J.Hellickson(25),0.37209302325581395,0.41304347826086957,0.627906976744186,1.0409504550050557
10,Apr 16,False,PHI,"W,8-1",37,33,8,8,2,1,2,8,3,1,10,0,0,1,0,0,0,0,0.259,0.328,0.437,0.765,2,12,R,A.Nola(28),0.24242424242424243,0.2972972972972973,0.5454545454545454,0.8427518427518428
11,Apr 17,False,PHI,"L,2-3",40,35,2,8,2,0,1,2,5,0,10,0,0,0,0,2,0,0,0.256,0.328,0.431,0.758,8,15,R,C.Morton(64),0.22857142857142856,0.325,0.37142857142857144,0.6964285714285714
12,Apr 18,False,MIA,"L,1-6",38,31,1,6,1,0,0,1,5,1,11,1,0,1,0,0,0,1,0.251,0.327,0.415,0.741,10,14,R,J.Fernández(67),0.1935483870967742,0.3157894736842105,0.22580645161290322,0.5415959252971138
13,Apr 19,False,MIA,"W,7-0",39,36,7,10,3,0,4,7,3,0,9,0,0,0,0,1,0,0,0.253,0.327,0.438,0.765,5,13,L,A.Conley(49),0.2777777777777778,0.3333333333333333,0.6944444444444444,1.0277777777777777
14,Apr 20,False,MIA,"W,3-1",34,32,3,7,2,0,1,3,2,0,9,0,0,0,0,1,0,0,0.251,0.323,0.433,0.757,4,15,L,W.Chen(58),0.21875,0.2647058823529412,0.375,0.6397058823529411
15,Apr 21,False,MIA,"L,1-5",32,28,1,2,0,0,1,1,1,0,7,2,1,0,0,0,0,0,0.241,0.314,0.419,0.733,4,13,R,T.Koehler(63),0.07142857142857142,0.15625,0.17857142857142858,0.3348214285714286
16,Apr 22,True,MIN,"W,8-4",39,30,8,9,1,1,1,8,5,0,4,2,1,1,0,1,0,0,0.244,0.321,0.424,0.745,7,14,R,K.Gibson(16),0.3,0.41025641025641024,0.5,0.9102564102564102
17,Apr 23,True,MIN,"W,2-0",32,30,2,7,2,0,0,2,2,0,4,0,0,0,0,0,0,0,0.244,0.319,0.417,0.736,6,13,R,P.Hughes(57),0.23333333333333334,0.28125,0.3,0.58125
18,Apr 24,True,MIN,"W,6-5",65,60,6,16,2,0,3,5,4,0,12,1,0,0,1,2,1,0,0.246,0.319,0.42,0.739,14,20,R,T.Duffey(47),0.26666666666666666,0.3230769230769231,0.45,0.7730769230769231
