Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 4,False,CHW,"W,6-3",39,32,6,6,1,0,3,6,6,0,5,1,0,0,1,0,1,0,0.188,0.333,0.5,0.833,6,10,L,J.Quintana(33),0.1875,0.3333333333333333,0.5,0.8333333333333333
2,Apr 6,False,CHW,"L,2-11",36,30,2,4,2,0,1,2,6,0,9,0,0,0,1,2,1,0,0.161,0.307,0.403,0.71,7,13,R,J.Shields(60),0.13333333333333333,0.2777777777777778,0.3,0.5777777777777777
3,Apr 7,True,BOS,"W,6-5",36,27,6,8,1,1,1,6,7,1,7,1,0,1,0,3,0,1,0.202,0.351,0.438,0.79,6,11,R,S.Wright(45),0.2962962962962963,0.4444444444444444,0.5185185185185185,0.9629629629629629
4,Apr 8,True,BOS,"W,4-1",31,26,4,5,2,0,2,4,5,0,9,0,0,0,0,1,0,1,0.2,0.345,0.452,0.797,3,9,L,E.Rodríguez(43),0.19230769230769232,0.3225806451612903,0.5,0.8225806451612903
5,Apr 9,True,BOS,"L,5-7",42,39,5,13,2,0,1,5,3,0,14,0,0,0,0,0,0,1,0.234,0.353,0.455,0.808,10,10,R,R.Porcello(43),0.3333333333333333,0.38095238095238093,0.46153846153846156,0.8424908424908425
6,Apr 10,True,BOS,"W,2-1",30,29,2,5,2,0,1,2,1,0,10,0,0,0,0,0,0,0,0.224,0.332,0.437,0.769,4,9,L,C.Sale(70),0.1724137931034483,0.2,0.3448275862068966,0.5448275862068965
7,Apr 11,True,MIN,"W,2-1",31,28,2,4,0,0,1,2,2,0,2,1,0,0,1,1,0,0,0.213,0.318,0.412,0.731,5,9,L,H.Santiago(59),0.14285714285714285,0.22580645161290322,0.25,0.47580645161290325
8,Apr 12,True,MIN,"W,5-3",33,29,5,6,2,0,1,5,2,0,4,1,1,0,0,0,0,0,0.213,0.314,0.408,0.722,4,9,R,K.Gibson(35),0.20689655172413793,0.2727272727272727,0.3793103448275862,0.6520376175548589
9,Apr 13,True,MIN,"L,5-11",38,35,5,9,1,1,2,5,3,0,11,0,0,0,0,0,0,1,0.218,0.314,0.422,0.736,6,12,R,P.Hughes(45),0.2571428571428571,0.3157894736842105,0.5142857142857142,0.8300751879699247
10,Apr 14,False,CLE,"W,7-6",40,37,7,11,2,0,2,7,3,0,8,0,0,0,1,2,0,0,0.228,0.318,0.433,0.751,6,9,R,T.Bauer(31),0.2972972972972973,0.35,0.5135135135135135,0.8635135135135135
11,Apr 15,False,CLE,"L,6-13",40,38,6,11,3,0,1,6,2,0,12,0,0,0,0,0,0,0,0.234,0.319,0.434,0.753,7,12,R,C.Kluber(39),0.2894736842105263,0.325,0.4473684210526316,0.7723684210526316
12,Apr 16,False,CLE,"W,4-1",36,30,4,7,2,0,1,3,6,0,8,0,0,0,0,2,1,2,0.234,0.323,0.432,0.754,5,10,R,C.Carrasco(58),0.23333333333333334,0.3611111111111111,0.4,0.7611111111111111
13,Apr 18,False,TBR,"L,1-5",32,31,1,4,0,0,1,1,1,0,8,0,0,0,0,0,1,0,0.226,0.311,0.416,0.727,4,10,R,M.Andriese(64),0.12903225806451613,0.15625,0.22580645161290322,0.38205645161290325
14,Apr 19,False,TBR,"L,7-8",40,33,7,9,2,2,0,7,6,1,14,1,0,0,0,3,1,0,0.23,0.318,0.419,0.737,6,9,R,C.Archer(44),0.2727272727272727,0.4,0.45454545454545453,0.8545454545454545
15,Apr 20,False,TBR,"L,1-8",34,32,1,5,0,0,1,1,2,0,8,0,0,0,0,0,0,0,0.225,0.311,0.408,0.719,6,9,R,E.Ramírez(64),0.15625,0.20588235294117646,0.25,0.45588235294117646
16,Apr 21,False,MIN,"L,3-6",36,35,3,8,1,0,1,3,1,0,7,0,0,0,0,0,0,0,0.225,0.307,0.403,0.71,6,12,L,H.Santiago(52),0.22857142857142856,0.25,0.34285714285714286,0.5928571428571429
17,Apr 22,False,MIN,"W,5-4",47,38,5,11,2,0,2,5,6,1,11,1,1,1,2,0,0,0,0.23,0.313,0.41,0.723,15,11,L,A.Mejía(39),0.2894736842105263,0.3829787234042553,0.5,0.8829787234042553
18,Apr 23,False,MIN,"W,13-4",45,39,13,13,2,0,2,11,6,0,8,0,0,0,1,2,0,0,0.236,0.321,0.418,0.739,5,9,R,K.Gibson(17),0.3333333333333333,0.4222222222222222,0.5384615384615384,0.9606837606837606
19,Apr 25,True,SEA,"W,19-9",55,48,19,24,5,1,4,18,7,1,5,0,0,0,0,0,0,0,0.256,0.339,0.454,0.794,12,12,R,F.Hernández(28),0.5,0.5636363636363636,0.8958333333333334,1.459469696969697
20,Apr 26,True,SEA,"L,0-8",33,31,0,4,1,0,0,0,2,0,10,0,0,0,0,1,0,0,0.25,0.332,0.441,0.773,6,9,L,J.Paxton(77),0.12903225806451613,0.18181818181818182,0.16129032258064516,0.343108504398827
21,Apr 27,True,SEA,"L,1-2",35,32,1,4,2,0,0,0,2,0,6,1,0,0,1,0,0,0,0.245,0.327,0.429,0.756,7,11,R,H.Iwakuma(63),0.125,0.2,0.1875,0.3875
22,Apr 28,True,CHW,"L,3-7",37,33,3,7,0,0,0,3,4,0,7,0,0,0,0,1,2,0,0.243,0.325,0.419,0.745,7,9,R,M.Pelfrey(38),0.21212121212121213,0.2972972972972973,0.21212121212121213,0.5094185094185094
23,Apr 29,True,CHW,"L,4-6",40,37,4,8,2,1,1,4,3,0,9,0,0,0,1,1,1,1,0.242,0.323,0.419,0.742,6,12,L,D.Holland(57),0.21621621621621623,0.275,0.40540540540540543,0.6804054054054054
24,Apr 30,True,CHW,"W,7-3",39,35,7,14,3,0,1,7,4,0,2,0,0,0,1,1,0,1,0.249,0.329,0.425,0.754,8,9,R,M.González(18),0.4,0.46153846153846156,0.5714285714285714,1.0329670329670328
25,May 1,True,CLE,"W,7-1",41,34,7,10,3,0,1,7,7,0,9,0,0,0,1,0,1,0,0.251,0.333,0.427,0.76,10,9,R,T.Bauer(18),0.29411764705882354,0.4146341463414634,0.47058823529411764,0.8852223816355811
26,May 2,True,CLE,"W,5-2",34,30,5,7,2,0,1,5,3,0,10,1,0,0,0,1,1,0,0.25,0.332,0.426,0.759,5,10,R,C.Kluber(28),0.23333333333333334,0.3235294117647059,0.4,0.723529411764706
27,May 3,True,CLE,"L,2-3",35,31,2,6,2,0,0,2,3,0,11,0,0,1,0,0,0,0,0.248,0.33,0.42,0.75,6,13,R,C.Carrasco(58),0.1935483870967742,0.2571428571428571,0.25806451612903225,0.5152073732718894
28,May 5,False,OAK,"W,7-2",41,37,7,11,3,2,0,7,3,1,10,0,0,1,2,1,1,0,0.25,0.33,0.423,0.753,7,9,R,A.Triggs(40),0.2972972972972973,0.34146341463414637,0.4864864864864865,0.8279499011206328
29,May 6,False,OAK,"L,5-6",45,39,5,9,1,1,0,5,6,0,14,0,0,0,2,0,0,0,0.249,0.33,0.418,0.749,13,9,R,J.Hahn(35),0.23076923076923078,0.3333333333333333,0.3076923076923077,0.641025641025641
30,May 7,False,OAK,"L,6-8",38,35,6,8,2,0,1,5,3,0,6,0,0,0,2,1,0,1,0.249,0.329,0.417,0.746,5,9,R,S.Gray(41),0.22857142857142856,0.2894736842105263,0.37142857142857144,0.6609022556390978
31,May 9,False,ARI,"W,7-3",41,33,7,8,1,0,2,7,7,1,12,0,1,0,0,0,0,0,0.248,0.331,0.418,0.749,7,15,L,R.Ray(40),0.24242424242424243,0.36585365853658536,0.45454545454545453,0.8203991130820398
32,May 10,False,ARI,"L,1-7",30,29,1,5,0,0,0,1,1,0,10,0,0,0,0,3,0,0,0.246,0.327,0.411,0.739,2,12,R,Z.Godley(70),0.1724137931034483,0.2,0.1724137931034483,0.3724137931034483
