Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 29,False,SEA,"L,1-2",35,30,1,5,1,0,0,1,2,0,8,2,0,0,0,2,2,0,0.167,0.265,0.2,0.465,7,10,R,F.Hernández(66),0.16666666666666666,0.2571428571428571,0.2,0.45714285714285713
2,Mar 31,False,SEA,"W,6-5",37,33,6,6,1,0,2,6,4,0,8,0,0,0,0,0,0,0,0.175,0.268,0.302,0.569,4,10,L,J.Paxton(28),0.18181818181818182,0.2702702702702703,0.3939393939393939,0.6642096642096642
3,Apr 1,False,SEA,"L,4-5",37,34,4,7,1,0,2,4,3,1,8,0,0,0,1,1,1,0,0.186,0.269,0.34,0.609,6,9,R,M.Leake(60),0.20588235294117646,0.2702702702702703,0.4117647058823529,0.6820349761526232
4,Apr 2,False,LAA,"W,6-0",40,34,6,7,1,0,3,5,6,0,8,0,0,0,0,0,1,0,0.191,0.284,0.382,0.665,7,11,R,J.Ramírez(37),0.20588235294117646,0.325,0.5,0.825
5,Apr 3,False,LAA,"L,2-13",34,29,2,1,0,0,1,2,4,0,12,1,0,0,1,0,0,0,0.163,0.264,0.338,0.601,5,12,R,G.Richards(64),0.034482758620689655,0.17647058823529413,0.13793103448275862,0.3144016227180527
6,Apr 4,False,LAA,"L,2-3",51,45,2,7,0,0,0,2,6,1,14,0,0,0,0,1,2,0,0.161,0.262,0.298,0.559,10,12,L,T.Skaggs(49),0.15555555555555556,0.2549019607843137,0.15555555555555556,0.41045751633986927
7,Apr 6,True,KCR,"W,3-2",34,30,3,4,2,0,0,3,4,1,3,0,0,0,1,0,1,0,0.157,0.258,0.285,0.544,7,9,L,D.Duffy(51),0.13333333333333333,0.23529411764705882,0.2,0.43529411764705883
8,Apr 7,True,KCR,"L,0-1",33,32,0,6,1,0,0,0,1,0,10,0,0,0,0,0,2,1,0.161,0.253,0.277,0.53,6,10,R,I.Kennedy(72),0.1875,0.21212121212121213,0.21875,0.43087121212121215
9,Apr 8,True,KCR,"W,3-1",34,29,3,4,0,0,1,3,4,0,6,0,1,0,1,0,1,0,0.159,0.252,0.274,0.526,6,11,R,J.Hammel(69),0.13793103448275862,0.23529411764705882,0.2413793103448276,0.4766734279918864
10,Apr 9,True,DET,"W,2-0",31,26,2,4,1,0,1,2,5,0,7,0,0,0,0,1,0,1,0.158,0.255,0.276,0.532,5,10,L,F.Liriano(59),0.15384615384615385,0.2903225806451613,0.3076923076923077,0.598014888337469
11,Apr 10,True,DET,"W,2-1",29,27,2,4,0,0,2,2,1,0,6,1,0,0,0,1,0,0,0.158,0.252,0.284,0.536,3,10,L,M.Boyd(70),0.14814814814814814,0.20689655172413793,0.37037037037037035,0.5772669220945083
12,Apr 11,True,DET,"W,5-1",38,34,5,10,2,0,0,5,4,0,6,0,0,0,0,0,2,0,0.17,0.262,0.29,0.552,9,11,R,J.Zimmermann(52),0.29411764705882354,0.3684210526315789,0.35294117647058826,0.7213622291021672
13,Apr 12,True,DET,"W,9-3",42,40,9,15,3,0,2,8,1,1,5,1,0,0,1,1,0,0,0.189,0.275,0.319,0.594,9,12,R,M.Fulmer(15),0.375,0.40476190476190477,0.6,1.0047619047619047
