Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 29,False,TEX,"W,4-1",37,30,4,6,2,0,2,4,6,0,13,0,0,1,0,2,0,0,0.2,0.324,0.467,0.791,6,9,L,C.Hamels(50),0.2,0.32432432432432434,0.4666666666666667,0.790990990990991
2,Mar 30,False,TEX,"L,1-5",36,31,1,5,2,0,0,1,5,0,6,0,0,0,1,3,0,0,0.18,0.301,0.344,0.646,8,10,R,D.Fister(55),0.16129032258064516,0.2777777777777778,0.22580645161290322,0.503584229390681
3,Mar 31,False,TEX,"W,9-3",45,40,9,14,4,0,2,9,4,0,9,0,0,1,0,0,0,0,0.248,0.339,0.446,0.785,9,10,L,M.Moore(38),0.35,0.4,0.6,1.0
4,Apr 1,False,TEX,"W,8-2",43,39,8,13,5,1,0,8,2,0,11,1,0,1,0,0,2,0,0.271,0.348,0.464,0.812,8,10,L,M.Minor(53),0.3333333333333333,0.37209302325581395,0.5128205128205128,0.8849135360763267
5,Apr 2,True,BAL,"W,6-1",40,33,6,11,3,1,1,6,5,0,6,1,0,1,0,0,0,1,0.283,0.363,0.486,0.849,10,10,R,C.Tillman(28),0.3333333333333333,0.425,0.5757575757575758,1.0007575757575757
6,Apr 3,True,BAL,"W,10-6",38,32,10,10,1,0,3,10,3,0,11,2,0,1,0,0,1,0,0.288,0.368,0.507,0.876,4,12,R,M.Wright(52),0.3125,0.39473684210526316,0.625,1.0197368421052633
7,Apr 4,True,BAL,"W,3-2",34,30,3,7,1,0,0,3,3,0,10,0,1,0,0,0,1,0,0.281,0.36,0.477,0.837,7,9,R,D.Bundy(62),0.23333333333333334,0.29411764705882354,0.26666666666666666,0.5607843137254902
8,Apr 6,True,SDP,"L,1-4",35,30,1,4,0,0,0,1,4,0,12,0,0,1,0,0,0,0,0.264,0.345,0.438,0.783,7,10,R,L.Perdomo(56),0.13333333333333333,0.22857142857142856,0.13333333333333333,0.3619047619047619
9,Apr 7,True,SDP,"W,1-0",38,32,1,6,0,0,0,1,6,0,8,0,0,0,0,2,2,0,0.256,0.342,0.411,0.753,8,10,R,B.Mitchell(58),0.1875,0.3157894736842105,0.1875,0.5032894736842105
10,Apr 8,True,SDP,"W,4-1",30,30,4,6,0,0,2,4,0,0,10,0,0,0,0,0,0,0,0.251,0.331,0.41,0.74,2,10,R,T.Ross(51),0.2,0.2,0.4,0.6000000000000001
11,Apr 9,False,MIN,"W,2-0",37,33,2,7,2,0,0,2,4,0,13,0,0,0,0,0,0,1,0.247,0.328,0.397,0.725,8,9,R,L.Lynn(66),0.21212121212121213,0.2972972972972973,0.2727272727272727,0.5700245700245701
12,Apr 10,False,MIN,"L,1-4",37,31,1,7,0,0,0,1,5,0,5,1,0,0,0,2,0,0,0.246,0.33,0.384,0.713,9,11,R,J.Odorizzi(57),0.22580645161290322,0.35135135135135137,0.22580645161290322,0.5771578029642546
