Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 29,False,OAK,"L,5-6",47,46,5,13,2,1,3,5,1,0,7,0,0,0,0,0,0,0,0.283,0.298,0.565,0.863,9,11,R,K.Graveman(34),0.2826086956521739,0.2978723404255319,0.5652173913043478,0.8630897317298797
2,Mar 30,False,OAK,"W,2-1",32,32,2,6,0,0,1,1,0,0,7,0,0,0,0,1,0,0,0.244,0.253,0.449,0.702,3,10,L,S.Manaea(74),0.1875,0.1875,0.28125,0.46875
3,Mar 31,False,OAK,"W,8-3",43,41,8,12,6,1,0,8,1,0,6,1,0,0,1,0,1,0,0.261,0.279,0.462,0.741,8,9,R,D.Mengden(37),0.2926829268292683,0.32558139534883723,0.4878048780487805,0.8133862733976177
4,Apr 1,False,OAK,"W,7-4",40,37,7,13,4,0,0,7,2,0,3,0,0,1,0,1,0,0,0.282,0.302,0.462,0.764,6,9,R,D.Gossett(32),0.35135135135135137,0.375,0.4594594594594595,0.8344594594594594
5,Apr 2,True,CLE,"L,0-6",37,33,0,6,1,0,0,0,2,0,7,2,0,0,0,0,0,0,0.265,0.296,0.418,0.714,10,9,R,M.Clevinger(63),0.18181818181818182,0.2702702702702703,0.21212121212121213,0.48239148239148244
6,Apr 3,True,CLE,"W,13-2",39,36,13,13,2,0,5,12,3,0,5,0,0,0,0,1,0,0,0.28,0.315,0.484,0.8,2,12,R,J.Tomlin(11),0.3611111111111111,0.41025641025641024,0.8333333333333334,1.2435897435897436
7,Apr 4,True,CLE,"W,3-2",46,41,3,6,0,0,2,3,4,0,11,1,0,0,0,1,0,0,0.259,0.303,0.455,0.758,6,13,R,C.Kluber(67),0.14634146341463414,0.2391304347826087,0.2926829268292683,0.531813361611877
8,Apr 6,True,OAK,"W,13-9",44,38,13,14,3,0,2,10,5,2,7,1,0,0,1,1,1,0,0.273,0.323,0.474,0.797,7,11,R,D.Gossett(32),0.3684210526315789,0.45454545454545453,0.6052631578947368,1.0598086124401913
9,Apr 7,True,OAK,"L,3-7",35,33,3,7,1,0,2,3,2,0,11,0,0,0,0,1,0,0,0.267,0.317,0.469,0.786,5,10,R,A.Triggs(57),0.21212121212121213,0.2571428571428571,0.42424242424242425,0.6813852813852814
10,Apr 8,True,OAK,"W,6-1",36,30,6,7,1,0,2,6,4,0,8,1,0,1,0,1,1,0,0.264,0.318,0.469,0.787,6,10,R,K.Graveman(29),0.23333333333333334,0.3333333333333333,0.4666666666666667,0.8
