Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 29,True,CHC,"L,4-8",40,33,4,8,2,1,0,4,6,0,7,1,0,0,0,2,0,0,0.242,0.375,0.364,0.739,9,16,L,J.Lester(31),0.24242424242424243,0.375,0.36363636363636365,0.7386363636363636
2,Mar 30,True,CHC,"W,2-1",70,61,2,12,0,0,0,2,8,0,14,1,0,0,1,1,0,1,0.213,0.327,0.255,0.583,18,21,R,K.Hendricks(62),0.19672131147540983,0.3,0.19672131147540983,0.4967213114754098
3,Mar 31,True,CHC,"L,6-10",42,37,6,10,0,0,1,6,3,0,7,2,0,0,0,2,0,1,0.229,0.336,0.282,0.618,6,16,R,Y.Darvish(35),0.2702702702702703,0.35714285714285715,0.35135135135135137,0.7084942084942085
4,Apr 1,True,CHC,"W,6-0",36,30,6,8,4,0,0,5,5,1,5,0,1,0,0,0,0,0,0.236,0.342,0.304,0.647,6,15,L,J.Quintana(34),0.26666666666666666,0.3611111111111111,0.4,0.7611111111111111
5,Apr 2,True,BOS,"L,3-7",40,36,3,10,1,0,1,3,3,0,7,1,0,0,0,1,0,0,0.244,0.344,0.32,0.663,10,15,L,B.Johnson(59),0.2777777777777778,0.35,0.3888888888888889,0.7388888888888889
6,Apr 3,True,BOS,"L,2-4",49,45,2,9,2,0,0,2,4,0,16,0,0,0,0,1,2,0,0.236,0.33,0.306,0.635,8,17,L,C.Sale(59),0.2,0.2653061224489796,0.24444444444444444,0.509750566893424
7,Apr 5,False,PHI,"L,0-5",31,31,0,4,1,0,0,0,0,0,12,0,0,0,1,1,0,0,0.223,0.309,0.289,0.599,4,13,R,N.Pivetta(70),0.12903225806451613,0.12903225806451613,0.16129032258064516,0.29032258064516125
8,Apr 7,False,PHI,"L,1-20",33,32,1,5,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0.216,0.297,0.279,0.576,5,17,R,V.Velasquez(65),0.15625,0.18181818181818182,0.1875,0.3693181818181818
9,Apr 8,False,PHI,"W,6-3",38,31,6,7,1,0,1,6,5,1,10,1,0,0,0,2,0,0,0.217,0.302,0.286,0.588,5,15,R,J.Arrieta(49),0.22580645161290322,0.34210526315789475,0.3548387096774194,0.6969439728353142
10,Apr 9,True,NYM,"L,2-4",39,35,2,9,2,0,0,2,3,0,9,1,0,0,1,1,1,0,0.221,0.305,0.288,0.594,10,16,R,N.Syndergaard(59),0.2571428571428571,0.3333333333333333,0.3142857142857143,0.6476190476190475
