Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Mar 29,False,ATL,"L,5-8",38,31,5,6,2,0,1,5,6,0,11,1,0,0,0,2,1,0,0.194,0.342,0.355,0.697,6,16,R,J.Teherán(45),0.1935483870967742,0.34210526315789475,0.3548387096774194,0.6969439728353142
2,Mar 30,False,ATL,"W,5-4",48,40,5,10,2,0,2,5,5,0,10,0,0,2,0,1,3,0,0.225,0.329,0.408,0.738,10,20,R,M.Foltynewicz(53),0.25,0.3125,0.45,0.7625
3,Mar 31,False,ATL,"L,2-15",36,31,2,6,3,0,0,2,4,0,9,0,1,0,0,0,0,1,0.216,0.317,0.373,0.689,7,17,R,B.McCarthy(50),0.1935483870967742,0.2777777777777778,0.2903225806451613,0.5681003584229392
4,Apr 3,False,NYM,"L,0-2",34,31,0,3,0,0,0,0,3,0,11,0,0,0,1,0,0,0,0.188,0.286,0.308,0.594,7,15,R,M.Harvey(69),0.0967741935483871,0.17647058823529413,0.0967741935483871,0.2732447817836812
5,Apr 4,False,NYM,"L,2-4",33,31,2,5,2,0,0,1,2,0,15,0,0,0,0,1,2,0,0.183,0.273,0.293,0.565,4,14,R,N.Syndergaard(51),0.16129032258064516,0.21212121212121213,0.22580645161290322,0.43792766373411535
6,Apr 5,True,MIA,"W,5-0",39,30,5,6,0,1,1,5,9,2,9,0,0,0,1,0,4,1,0.186,0.292,0.304,0.596,10,13,L,C.Smith(41),0.2,0.38461538461538464,0.36666666666666664,0.7512820512820513
7,Apr 7,True,MIA,"W,20-1",49,42,20,20,4,0,4,20,6,0,11,0,0,1,0,1,0,0,0.237,0.335,0.403,0.737,5,12,L,D.Peters(4),0.47619047619047616,0.5306122448979592,0.8571428571428571,1.3877551020408163
8,Apr 8,True,MIA,"L,3-6",36,31,3,7,3,0,0,3,4,0,5,0,0,1,0,0,0,2,0.236,0.331,0.393,0.724,6,18,R,T.Richards(37),0.22580645161290322,0.3055555555555556,0.3225806451612903,0.6281362007168458
9,Apr 9,True,CIN,"W,6-5",35,30,6,6,1,0,3,6,4,0,6,0,0,1,1,0,0,0,0.232,0.327,0.407,0.734,5,15,L,C.Reed(38),0.2,0.2857142857142857,0.5333333333333333,0.819047619047619
10,Apr 10,True,CIN,"W,6-1",34,30,6,6,3,0,1,6,2,1,11,1,1,0,1,0,1,0,0.229,0.322,0.407,0.729,4,11,R,H.Bailey(71),0.2,0.2647058823529412,0.4,0.6647058823529413
11,Apr 11,True,CIN,"W,4-3",47,39,4,6,0,0,2,4,6,2,12,0,1,1,1,0,0,1,0.221,0.315,0.396,0.711,8,18,R,L.Castillo(54),0.15384615384615385,0.2553191489361702,0.3076923076923077,0.5630114566284778
12,Apr 13,False,TBR,"W,2-1",36,33,2,7,2,0,0,2,3,1,13,0,0,0,0,0,0,0,0.221,0.312,0.386,0.698,7,9,R,J.Faria(65),0.21212121212121213,0.2777777777777778,0.2727272727272727,0.5505050505050505
13,Apr 14,False,TBR,"W,9-4",42,38,9,13,4,0,1,9,3,0,3,0,0,1,0,1,0,0,0.231,0.318,0.398,0.716,6,9,R,C.Archer(18),0.34210526315789475,0.38095238095238093,0.5263157894736842,0.9072681704260651
14,Apr 15,False,TBR,"W,10-4",43,36,10,8,2,0,1,10,6,0,8,1,0,0,1,0,1,0,0.23,0.321,0.395,0.716,6,9,L,R.Yarbrough(44),0.2222222222222222,0.3488372093023256,0.3611111111111111,0.7099483204134367
15,Apr 16,False,ATL,"L,1-2",38,32,1,6,1,0,1,1,6,0,11,0,0,0,0,0,0,0,0.228,0.32,0.39,0.71,10,14,R,J.Teherán(64),0.1875,0.3157894736842105,0.3125,0.6282894736842105
16,Apr 17,False,ATL,"W,5-1",44,34,5,8,2,0,0,5,10,1,13,0,0,0,0,4,2,0,0.228,0.326,0.384,0.71,9,20,R,M.Foltynewicz(64),0.23529411764705882,0.4090909090909091,0.29411764705882354,0.7032085561497327
17,Apr 18,False,ATL,"L,3-7",35,31,3,6,1,0,0,2,4,0,10,0,0,0,1,3,0,0,0.226,0.324,0.375,0.7,5,13,R,B.McCarthy(58),0.1935483870967742,0.2857142857142857,0.22580645161290322,0.511520737327189
18,Apr 19,True,PIT,"W,7-0",38,32,7,9,0,0,1,7,5,0,16,1,0,0,0,1,2,0,0.229,0.328,0.375,0.704,7,12,R,J.Taillon(28),0.28125,0.39473684210526316,0.375,0.7697368421052632
19,Apr 20,True,PIT,"W,2-1",31,30,2,8,2,1,0,2,1,0,5,0,0,0,0,0,0,1,0.231,0.327,0.377,0.703,5,13,R,I.Nova(61),0.26666666666666666,0.2903225806451613,0.4,0.6903225806451614
