Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,False,PHI,"L,2-3",40,37,2,7,2,0,1,2,2,0,10,1,0,0,1,0,0,0,0.189,0.25,0.324,0.574,9,16,R,A.Nola(60),0.1891891891891892,0.25,0.32432432432432434,0.5743243243243243
2,Apr 3,False,PHI,"L,0-4",28,28,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0.123,0.162,0.2,0.362,1,15,R,Z.Wheeler(85),0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142
3,Apr 4,False,PHI,"L,1-2",32,29,1,4,1,0,1,1,3,0,11,0,0,0,0,1,0,0,0.128,0.18,0.223,0.403,4,15,R,Z.Eflin(72),0.13793103448275862,0.21875,0.27586206896551724,0.49461206896551724
4,Apr 6,False,WSN,"L,5-6",37,34,5,7,0,0,4,5,3,0,11,0,0,0,0,0,0,0,0.148,0.204,0.313,0.517,5,16,R,M.Scherzer(55),0.20588235294117646,0.2702702702702703,0.5588235294117647,0.829093799682035
5,Apr 7 (1),False,WSN,"W,7-6",33,30,7,9,3,0,0,5,3,2,10,0,0,0,0,0,2,0,0.177,0.235,0.329,0.564,5,16,R,E.Fedde(19),0.3,0.36363636363636365,0.4,0.7636363636363637
6,Apr 7 (2),False,WSN,"W,2-0",27,24,2,3,0,0,1,2,3,0,8,0,0,0,0,0,1,0,0.17,0.234,0.319,0.552,4,14,R,S.Strasburg(76),0.125,0.2222222222222222,0.25,0.4722222222222222
7,Apr 9,True,PHI,"W,8-1",40,35,8,12,3,0,3,8,5,0,7,0,0,0,1,1,0,0,0.198,0.266,0.378,0.644,8,14,R,Z.Wheeler(38),0.34285714285714286,0.425,0.6857142857142857,1.1107142857142858
8,Apr 10,True,PHI,"W,5-4",35,33,5,9,4,0,1,5,1,1,6,0,1,0,1,1,0,0,0.208,0.269,0.392,0.661,6,14,R,Z.Eflin(43),0.2727272727272727,0.2857142857142857,0.48484848484848486,0.7705627705627706
9,Apr 11,True,PHI,"L,6-7",38,35,6,10,3,0,3,6,1,0,7,0,1,1,0,0,0,0,0.218,0.273,0.421,0.694,5,15,L,M.Moore(34),0.2857142857142857,0.2894736842105263,0.6285714285714286,0.9180451127819549
10,Apr 12,True,MIA,"L,3-5",41,30,3,4,1,1,0,3,5,0,8,3,1,2,0,0,1,0,0.21,0.276,0.403,0.679,9,17,R,S.Alcántara(54),0.13333333333333333,0.2926829268292683,0.23333333333333334,0.5260162601626016
11,Apr 13,True,MIA,"L,8-14",44,39,8,11,3,0,2,6,4,0,12,1,0,0,1,0,0,0,0.218,0.286,0.415,0.701,9,16,R,P.López(25),0.28205128205128205,0.36363636363636365,0.5128205128205128,0.8764568764568764
12,Apr 14,True,MIA,"L,5-6",39,34,5,8,1,0,2,5,5,0,8,0,0,0,0,2,0,0,0.219,0.29,0.418,0.708,5,15,R,N.Neidert(41),0.23529411764705882,0.3333333333333333,0.4411764705882353,0.7745098039215685
13,Apr 15,True,MIA,"W,7-6",41,33,7,8,1,0,2,7,5,0,11,3,0,0,0,0,0,0,0.221,0.299,0.42,0.719,9,17,L,T.Rogers(57),0.24242424242424243,0.3902439024390244,0.45454545454545453,0.8447893569844789
14,Apr 16,False,CHC,"W,5-2",43,33,5,9,2,0,0,5,8,0,7,1,0,1,0,1,0,1,0.225,0.309,0.414,0.723,11,18,R,Z.Davies(30),0.2727272727272727,0.4186046511627907,0.3333333333333333,0.751937984496124
15,Apr 17,False,CHC,"L,4-13",38,31,4,7,0,1,0,3,6,0,6,0,0,1,1,2,0,0,0.225,0.311,0.406,0.717,7,17,R,T.Williams(56),0.22580645161290322,0.34210526315789475,0.2903225806451613,0.6324278438030561
16,Apr 18,False,CHC,"W,13-4",50,38,13,14,2,0,5,13,7,1,7,3,0,2,0,0,0,0,0.235,0.325,0.436,0.761,10,15,R,K.Hendricks(19),0.3684210526315789,0.48,0.8157894736842105,1.2957894736842106
17,Apr 20,False,NYY,"L,1-3",36,31,1,6,2,0,0,1,4,0,10,1,0,0,0,2,0,0,0.233,0.324,0.426,0.75,8,11,R,J.Taillon(59),0.1935483870967742,0.3055555555555556,0.25806451612903225,0.5636200716845878
18,Apr 21,False,NYY,"W,4-1",40,30,4,5,0,0,1,4,8,1,7,0,1,1,0,0,0,0,0.229,0.324,0.418,0.742,9,9,R,C.Kluber(50),0.16666666666666666,0.325,0.26666666666666666,0.5916666666666667
19,Apr 23,True,ARI,"W,5-4",35,31,5,7,3,1,2,5,4,1,10,0,0,0,0,0,0,0,0.229,0.324,0.426,0.75,6,13,R,L.Weaver(40),0.22580645161290322,0.3142857142857143,0.5806451612903226,0.8949308755760369
20,Apr 25 (1),True,ARI,"L,0-5",24,21,0,1,0,0,0,0,2,0,6,1,0,0,0,1,0,0,0.223,0.319,0.414,0.732,3,13,R,Z.Gallen(79),0.047619047619047616,0.16666666666666666,0.047619047619047616,0.21428571428571427
21,Apr 25 (2),True,ARI,"L,0-7",21,21,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0.216,0.31,0.4,0.71,0,13,L,M.Bumgarner(84),0.0,0.0,0.0,0.0
22,Apr 26,True,CHC,"W,8-7",42,34,8,10,3,0,2,8,7,0,8,1,0,0,0,0,1,0,0.22,0.316,0.408,0.724,10,14,R,Z.Davies(29),0.29411764705882354,0.42857142857142855,0.5588235294117647,0.9873949579831933
23,Apr 27,True,CHC,"W,5-0",39,35,5,10,3,0,1,5,4,0,13,0,0,0,1,0,1,0,0.223,0.318,0.41,0.729,10,12,R,T.Williams(53),0.2857142857142857,0.358974358974359,0.45714285714285713,0.8161172161172161
24,Apr 28,True,CHC,"W,10-0",45,42,10,18,4,0,5,10,2,0,6,1,0,0,0,0,0,0,0.234,0.326,0.436,0.762,11,13,R,K.Hendricks(14),0.42857142857142855,0.4666666666666667,0.8809523809523809,1.3476190476190477
25,Apr 29,True,CHC,"L,3-9",37,33,3,7,1,0,1,3,3,0,7,1,0,0,0,2,0,0,0.233,0.325,0.432,0.757,7,16,R,A.Alzolay(61),0.21212121212121213,0.2972972972972973,0.3333333333333333,0.6306306306306306
26,Apr 30,False,TOR,"L,5-13",36,34,5,9,2,0,1,5,2,0,7,0,0,0,0,1,0,0,0.235,0.324,0.431,0.755,4,10,L,R.Ray(61),0.2647058823529412,0.3055555555555556,0.4117647058823529,0.7173202614379085
27,May 1,False,TOR,"L,5-6",44,39,5,11,1,0,2,5,3,1,10,1,1,0,1,2,0,0,0.237,0.325,0.432,0.757,10,11,L,T.Bergen(53),0.28205128205128205,0.3409090909090909,0.46153846153846156,0.8024475524475525
28,May 2,False,TOR,"L,2-7",37,34,2,9,1,0,0,2,1,0,13,1,0,1,1,1,0,0,0.238,0.324,0.427,0.751,8,9,R,R.Stripling(48),0.2647058823529412,0.2972972972972973,0.29411764705882354,0.5914149443561209
29,May 4,False,WSN,"W,6-1",39,34,6,7,1,0,2,6,5,2,5,0,0,0,2,2,0,0,0.237,0.323,0.427,0.75,6,12,R,J.Ross(51),0.20588235294117646,0.3076923076923077,0.4117647058823529,0.7194570135746606
30,May 5,False,WSN,"W,5-3",34,31,5,5,0,0,2,5,2,1,7,0,1,0,0,0,1,0,0.234,0.32,0.424,0.745,2,15,R,E.Fedde(38),0.16129032258064516,0.20588235294117646,0.3548387096774194,0.5607210626185959
31,May 6,False,WSN,"W,3-2",31,29,3,4,1,0,0,3,2,0,7,0,0,0,0,1,1,1,0.232,0.317,0.417,0.734,1,14,L,J.Lester(50),0.13793103448275862,0.1935483870967742,0.1724137931034483,0.3659621802002225
32,May 7,True,PHI,"L,2-12",32,31,2,5,1,0,1,2,1,0,10,0,0,0,0,1,0,0,0.229,0.313,0.413,0.726,3,15,R,Z.Eflin(63),0.16129032258064516,0.1875,0.2903225806451613,0.4778225806451613
33,May 8,True,PHI,"W,8-7",54,41,8,9,1,1,2,7,10,3,11,1,2,0,0,0,0,0,0.229,0.316,0.414,0.731,16,19,R,V.Velasquez(63),0.21951219512195122,0.37037037037037035,0.43902439024390244,0.8093947606142728
34,May 9,True,PHI,"W,6-1",32,30,6,9,1,1,2,6,2,0,7,0,0,0,0,1,1,1,0.231,0.317,0.419,0.736,2,13,R,A.Nola(35),0.3,0.34375,0.6,0.94375
35,May 11,True,TOR,"L,3-5",35,33,3,7,1,0,2,3,1,0,13,1,0,0,0,0,0,1,0.23,0.315,0.42,0.735,5,17,L,R.Ray(60),0.21212121212121213,0.2571428571428571,0.42424242424242425,0.6813852813852814
36,May 12,True,TOR,"L,1-4",34,32,1,5,1,0,1,1,2,0,8,0,0,0,0,0,0,0,0.228,0.312,0.416,0.728,6,13,L,H.Ryu(68),0.15625,0.20588235294117646,0.28125,0.48713235294117646
37,May 13,True,TOR,"L,4-8",35,33,4,6,0,0,2,4,2,0,15,0,0,0,0,0,1,0,0.227,0.31,0.414,0.725,4,17,R,R.Stripling(59),0.18181818181818182,0.22857142857142856,0.36363636363636365,0.5922077922077922
38,May 14,False,MIL,"W,6-3",41,34,6,8,0,1,2,6,5,0,9,1,1,0,0,0,0,0,0.227,0.311,0.416,0.727,8,15,R,A.Houser(45),0.23529411764705882,0.34146341463414637,0.47058823529411764,0.812051649928264
39,May 15,False,MIL,"W,5-1",42,36,5,11,3,0,2,5,4,0,12,1,0,1,0,1,0,0,0.23,0.313,0.42,0.733,10,13,L,B.Anderson(29),0.3055555555555556,0.38095238095238093,0.5555555555555556,0.9365079365079365
40,May 16,False,MIL,"L,9-10",43,36,9,8,0,0,1,9,5,0,13,0,1,1,0,0,1,0,0.229,0.313,0.417,0.73,7,15,R,F.Peralta(75),0.2222222222222222,0.3023255813953488,0.3055555555555556,0.6078811369509044
41,May 17,True,NYM,"L,1-3",31,30,1,3,1,0,1,1,1,0,8,0,0,0,0,0,0,0,0.226,0.31,0.413,0.722,3,15,R,T.Walker(59),0.1,0.12903225806451613,0.23333333333333334,0.36236559139784946
42,May 18,True,NYM,"L,3-4",34,31,3,5,2,0,2,3,3,0,15,0,0,0,0,1,0,0,0.225,0.308,0.413,0.721,4,14,R,M.Castro(54),0.16129032258064516,0.23529411764705882,0.41935483870967744,0.6546489563567363
43,May 19,True,NYM,"W,5-4",37,32,5,10,3,0,1,4,3,1,10,2,0,0,0,1,0,1,0.227,0.31,0.415,0.725,8,15,L,D.Peterson(46),0.3125,0.40540540540540543,0.5,0.9054054054054055
44,May 20,True,PIT,"L,4-6",40,37,4,8,1,0,2,4,3,0,12,0,0,0,0,0,0,0,0.227,0.309,0.414,0.724,7,17,R,W.Crowe(41),0.21621621621621623,0.275,0.40540540540540543,0.6804054054054054
45,May 21,True,PIT,"W,20-1",49,41,20,20,7,0,7,20,5,0,9,0,1,2,0,0,0,0,0.234,0.315,0.435,0.751,5,12,L,T.Anderson(16),0.4878048780487805,0.5102040816326531,1.170731707317073,1.6809357889497263
46,May 22,True,PIT,"W,6-1",37,33,6,10,2,0,3,6,3,0,10,1,0,0,0,1,2,0,0.235,0.317,0.44,0.757,7,13,R,M.Keller(36),0.30303030303030304,0.3783783783783784,0.6363636363636364,1.0147420147420148
47,May 23,True,PIT,"W,7-1",32,29,7,7,0,0,3,7,1,0,8,1,1,0,0,1,0,0,0.236,0.316,0.442,0.758,1,12,R,J.Brubaker(33),0.2413793103448276,0.28125,0.5517241379310345,0.8329741379310345
48,May 25,False,BOS,"W,3-1",40,35,3,8,3,0,0,3,5,1,7,0,0,0,0,0,0,0,0.235,0.316,0.439,0.756,10,11,R,G.Richards(45),0.22857142857142856,0.325,0.3142857142857143,0.6392857142857142
49,May 26,False,BOS,"L,5-9",38,34,5,9,3,1,2,5,2,0,9,1,0,1,0,1,1,0,0.236,0.316,0.442,0.759,6,9,R,N.Pivetta(49),0.2647058823529412,0.3157894736842105,0.5882352941176471,0.9040247678018576
50,May 29,False,NYM,"L,2-13",34,29,2,5,1,0,0,1,5,0,13,0,0,0,0,2,0,1,0.235,0.316,0.438,0.754,5,17,R,T.Walker(70),0.1724137931034483,0.29411764705882354,0.20689655172413793,0.5010141987829615
51,May 31,True,WSN,"W,5-3",35,29,5,6,0,0,1,5,5,0,11,0,0,1,0,0,0,0,0.234,0.316,0.436,0.752,6,15,R,J.Ross(49),0.20689655172413793,0.3142857142857143,0.3103448275862069,0.6246305418719211
52,Jun 1,True,WSN,"L,6-11",41,35,6,8,2,0,1,6,4,0,9,0,1,1,1,0,2,0,0.234,0.316,0.435,0.75,8,17,R,S.Strasburg(47),0.22857142857142856,0.2926829268292683,0.37142857142857144,0.6641114982578398
53,Jun 2,True,WSN,"L,3-5",37,34,3,7,2,0,1,3,3,0,10,0,0,0,1,0,1,1,0.234,0.315,0.433,0.748,7,17,L,J.Lester(56),0.20588235294117646,0.2702702702702703,0.35294117647058826,0.6232114467408585
54,Jun 3,True,WSN,"W,5-1",34,31,5,7,2,0,1,5,3,0,9,0,0,0,0,0,2,0,0.234,0.315,0.432,0.747,5,14,L,P.Corbin(42),0.22580645161290322,0.29411764705882354,0.3870967741935484,0.6812144212523719
55,Jun 4,True,LAD,"L,5-9",39,33,5,7,1,0,1,3,5,0,11,0,1,0,1,0,0,1,0.233,0.315,0.43,0.745,7,16,L,J.Urías(58),0.21212121212121213,0.3076923076923077,0.3333333333333333,0.641025641025641
56,Jun 5,True,LAD,"W,6-4",36,33,6,11,2,0,1,6,3,0,12,0,0,0,0,1,3,0,0.235,0.316,0.431,0.747,6,17,L,C.Kershaw(44),0.3333333333333333,0.3888888888888889,0.48484848484848486,0.8737373737373737
57,Jun 6,True,LAD,"W,4-2",37,29,4,7,3,0,0,4,6,0,10,0,1,1,0,0,0,0,0.235,0.317,0.43,0.747,9,14,R,T.Bauer(51),0.2413793103448276,0.35135135135135137,0.3448275862068966,0.6961789375582479
58,Jun 8,False,PHI,"W,9-5",41,37,9,12,2,0,3,8,4,0,7,0,0,0,0,2,0,1,0.237,0.318,0.434,0.752,5,18,R,A.Nola(42),0.32432432432432434,0.3902439024390244,0.6216216216216216,1.011865524060646
59,Jun 9,False,PHI,"L,1-2",35,33,1,8,1,1,0,1,2,0,10,0,0,0,1,2,0,0,0.237,0.317,0.432,0.749,7,14,R,Z.Eflin(57),0.24242424242424243,0.2857142857142857,0.3333333333333333,0.6190476190476191
60,Jun 10,False,PHI,"L,3-4",38,34,3,5,0,0,1,1,4,0,15,0,0,0,0,0,1,0,0.235,0.316,0.429,0.745,6,16,R,Z.Wheeler(86),0.14705882352941177,0.23684210526315788,0.23529411764705882,0.47213622291021673
61,Jun 11,False,MIA,"L,3-4",40,36,3,9,4,0,0,3,4,0,10,0,0,0,0,0,1,0,0.236,0.316,0.427,0.744,10,17,R,S.Alcántara(58),0.25,0.325,0.3611111111111111,0.6861111111111111
62,Jun 12,False,MIA,"L,2-4",34,33,2,7,1,0,1,2,1,0,10,0,0,0,0,1,0,0,0.235,0.315,0.426,0.741,5,13,R,Z.Thompson(65),0.21212121212121213,0.23529411764705882,0.3333333333333333,0.5686274509803921
