Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 2,True,BAL,"L,0-3",31,29,0,2,1,0,0,0,2,0,8,0,0,0,1,0,0,0,0.069,0.129,0.103,0.232,4,9,L,J.Means(80),0.06896551724137931,0.12903225806451613,0.10344827586206896,0.23248053392658508
2,Apr 3,True,BAL,"L,2-4",37,33,2,7,1,0,0,2,2,0,8,1,0,1,0,0,1,0,0.145,0.206,0.177,0.383,8,10,R,M.Harvey(47),0.21212121212121213,0.2702702702702703,0.24242424242424243,0.5126945126945127
3,Apr 4,True,BAL,"L,3-11",35,32,3,6,2,0,1,3,2,0,8,0,0,1,0,0,0,0,0.16,0.214,0.234,0.448,5,10,L,B.Zimmermann(56),0.1875,0.22857142857142856,0.34375,0.5723214285714285
4,Apr 5,True,TBR,"W,11-2",41,36,11,16,4,0,1,10,3,0,8,0,0,2,0,2,0,0,0.238,0.285,0.346,0.631,6,9,R,M.Wacha(37),0.4444444444444444,0.4634146341463415,0.6388888888888888,1.1023035230352303
5,Apr 6,True,TBR,"W,6-5",48,44,6,10,6,0,1,5,3,1,15,1,0,0,0,0,2,0,0.236,0.286,0.368,0.654,10,10,R,T.Glasnow(67),0.22727272727272727,0.2916666666666667,0.4318181818181818,0.7234848484848485
6,Apr 7,True,TBR,"W,9-2",37,35,9,13,2,0,1,7,1,0,4,1,0,0,1,3,0,0,0.258,0.306,0.392,0.698,4,10,L,R.Yarbrough(20),0.37142857142857144,0.40540540540540543,0.5142857142857142,0.9196911196911197
7,Apr 8,False,BAL,"W,7-3",42,38,7,12,5,0,2,7,3,0,10,1,0,0,0,0,2,0,0.267,0.317,0.425,0.742,8,9,R,M.Harvey(41),0.3157894736842105,0.38095238095238093,0.6052631578947368,0.9862155388471178
8,Apr 10,False,BAL,"W,6-4",42,38,6,10,2,0,1,4,4,0,6,0,0,0,0,0,0,1,0.267,0.319,0.421,0.741,7,12,L,B.Zimmermann(49),0.2631578947368421,0.3333333333333333,0.39473684210526316,0.7280701754385965
9,Apr 11,False,BAL,"W,14-9",50,44,14,17,2,0,6,13,3,0,11,3,0,0,1,2,0,0,0.283,0.339,0.477,0.816,9,10,R,J.López(21),0.38636363636363635,0.46,0.8409090909090909,1.300909090909091
10,Apr 13,False,MIN,"W,4-2",34,32,4,7,3,0,2,4,2,0,5,0,0,0,0,2,0,0,0.277,0.332,0.479,0.812,3,9,L,J.Happ(50),0.21875,0.2647058823529412,0.5,0.7647058823529411
11,Apr 14 (1),False,MIN,"W,3-2",36,32,3,11,3,0,0,2,3,0,7,0,1,0,0,0,0,0,0.282,0.338,0.476,0.814,12,10,R,K.Maeda(42),0.34375,0.3888888888888889,0.4375,0.8263888888888888
12,Apr 14 (2),False,MIN,"W,7-1",32,27,7,8,1,0,1,6,5,0,11,0,0,0,0,1,0,0,0.283,0.343,0.474,0.816,4,10,R,J.Berríos(41),0.2962962962962963,0.40625,0.4444444444444444,0.8506944444444444
13,Apr 15,False,MIN,"L,3-4",35,30,3,4,2,0,0,3,4,1,10,1,0,0,0,1,1,0,0.273,0.337,0.456,0.792,5,10,R,M.Pineda(78),0.13333333333333333,0.2571428571428571,0.2,0.45714285714285713
14,Apr 17,True,CHW,"W,7-4",42,34,7,13,3,0,1,7,6,1,11,0,0,2,0,1,0,0,0.281,0.346,0.463,0.808,11,9,R,D.Cease(47),0.38235294117647056,0.4523809523809524,0.5588235294117647,1.011204481792717
15,Apr 18 (1),True,CHW,"L,2-3",26,26,2,8,1,0,1,2,0,0,3,0,0,0,0,2,0,1,0.282,0.344,0.463,0.807,3,9,L,D.Keuchel(48),0.3076923076923077,0.3076923076923077,0.46153846153846156,0.7692307692307693
16,Apr 18 (2),True,CHW,"L,1-5",26,25,1,4,1,0,0,1,1,0,8,0,0,0,0,0,0,0,0.277,0.337,0.45,0.788,4,10,R,M.Kopech(56),0.16,0.19230769230769232,0.2,0.39230769230769236
17,Apr 19,True,CHW,"W,11-4",46,38,11,16,1,0,3,9,6,0,8,1,0,1,1,0,1,0,0.286,0.349,0.466,0.815,11,9,R,L.Giolito(5),0.42105263157894735,0.5,0.6842105263157895,1.1842105263157894
18,Apr 20,True,TOR,"W,4-2",33,33,4,9,3,1,1,4,0,0,5,0,0,0,1,1,0,0,0.285,0.345,0.469,0.814,5,10,L,H.Ryu(37),0.2727272727272727,0.2727272727272727,0.5151515151515151,0.7878787878787878
19,Apr 21,True,TOR,"L,3-6",39,36,3,10,5,0,1,3,3,0,10,0,0,0,1,2,0,0,0.285,0.345,0.47,0.815,9,10,R,T.Thornton(52),0.2777777777777778,0.3333333333333333,0.5,0.8333333333333333
20,Apr 22,True,SEA,"L,3-7",41,38,3,8,0,2,1,2,2,0,11,1,0,0,0,0,3,0,0.281,0.34,0.466,0.807,9,9,R,J.Dunn(51),0.21052631578947367,0.2682926829268293,0.39473684210526316,0.6630295250320924
21,Apr 23,True,SEA,"W,6-5",38,35,6,11,0,0,2,4,3,0,7,0,0,0,1,1,0,0,0.283,0.342,0.467,0.809,8,9,L,Y.Kikuchi(30),0.3142857142857143,0.3684210526315789,0.4857142857142857,0.8541353383458646
22,Apr 24,True,SEA,"L,2-8",33,31,2,6,3,0,0,2,1,0,9,1,0,0,0,2,0,0,0.279,0.338,0.46,0.798,4,9,R,C.Flexen(71),0.1935483870967742,0.24242424242424243,0.2903225806451613,0.5327468230694037
23,Apr 25,True,SEA,"W,5-3",34,26,5,5,3,0,0,5,7,0,6,1,0,0,0,2,0,0,0.276,0.34,0.455,0.794,5,9,L,N.Margevicius(28),0.19230769230769232,0.38235294117647056,0.3076923076923077,0.6900452488687783
24,Apr 27,False,NYM,"W,2-1",31,29,2,5,2,0,1,2,2,0,8,0,0,0,0,2,0,0,0.272,0.336,0.451,0.786,2,13,L,D.Peterson(57),0.1724137931034483,0.22580645161290322,0.3448275862068966,0.5706340378197998
25,Apr 28,False,NYM,"W,1-0",31,30,1,4,3,0,0,1,1,0,15,0,0,0,0,1,0,0,0.267,0.33,0.443,0.773,3,14,R,J.deGrom(70),0.13333333333333333,0.16129032258064516,0.23333333333333334,0.3946236559139785
26,Apr 29,False,TEX,"L,1-4",34,30,1,3,2,0,0,1,3,0,6,0,0,0,0,0,0,0,0.261,0.325,0.433,0.758,6,10,R,K.Gibson(63),0.1,0.17647058823529413,0.16666666666666666,0.3431372549019608
27,Apr 30,False,TEX,"W,6-1",38,34,6,6,0,0,4,6,3,0,6,1,0,0,1,0,0,0,0.258,0.322,0.437,0.759,5,9,R,K.Arihara(25),0.17647058823529413,0.2631578947368421,0.5294117647058824,0.7925696594427245
28,May 1,False,TEX,"L,6-8",43,38,6,12,2,0,1,6,4,1,12,0,0,1,0,0,2,0,0.26,0.324,0.437,0.762,10,10,R,J.Lyles(31),0.3157894736842105,0.37209302325581395,0.4473684210526316,0.8194614443084456
29,May 2,False,TEX,"L,3-5",35,32,3,9,2,0,1,3,1,0,7,1,1,0,0,2,0,1,0.261,0.324,0.437,0.762,5,9,R,M.Foltynewicz(54),0.28125,0.3142857142857143,0.4375,0.7517857142857143
30,May 4,True,DET,"W,11-7",41,38,11,14,2,0,4,10,3,0,6,0,0,0,0,1,0,0,0.265,0.328,0.449,0.776,6,9,R,M.Fulmer(31),0.3684210526315789,0.4146341463414634,0.7368421052631579,1.1514762516046213
31,May 5,True,DET,"L,5-6",46,39,5,9,1,0,1,5,6,1,8,1,0,0,0,0,0,0,0.264,0.328,0.444,0.773,12,11,R,C.Mize(61),0.23076923076923078,0.34782608695652173,0.3333333333333333,0.681159420289855
32,May 6,True,DET,"W,12-9",48,43,12,16,4,0,0,11,3,0,8,2,0,0,4,0,0,1,0.268,0.333,0.445,0.778,12,12,R,S.Turnbull(36),0.37209302325581395,0.4375,0.46511627906976744,0.9026162790697674
33,May 7,False,BAL,"W,6-2",39,35,6,7,3,0,1,6,3,0,6,1,0,0,1,0,3,0,0.266,0.331,0.443,0.774,6,9,R,M.Harvey(48),0.2,0.28205128205128205,0.37142857142857144,0.6534798534798535
34,May 8,False,BAL,"W,11-6",47,42,11,14,1,0,2,10,5,0,11,0,0,0,1,0,0,0,0.269,0.334,0.445,0.779,9,11,L,Z.Lowther(16),0.3333333333333333,0.40425531914893614,0.5,0.9042553191489362
35,May 9,False,BAL,"W,4-3",38,35,4,8,2,0,2,4,3,0,7,0,0,0,1,0,0,0,0.267,0.333,0.445,0.778,7,10,R,D.Kremer(47),0.22857142857142856,0.2894736842105263,0.45714285714285713,0.7466165413533834
36,May 10,False,BAL,"L,1-4",32,30,1,4,2,0,0,1,0,0,11,1,0,1,0,0,0,0,0.264,0.328,0.439,0.768,4,9,R,J.López(62),0.13333333333333333,0.15625,0.2,0.35625
37,May 11,True,OAK,"L,2-3",33,30,2,4,0,0,1,2,2,0,11,0,0,1,0,0,0,0,0.261,0.325,0.434,0.759,4,9,R,C.Bassitt(73),0.13333333333333333,0.18181818181818182,0.23333333333333334,0.41515151515151516
