Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,False,LAA,"L,3-4",35,33,3,7,2,0,1,2,2,0,10,0,0,0,0,0,1,1,0.212,0.257,0.364,0.621,5,9,R,D.Bundy(53),0.21212121212121213,0.2571428571428571,0.36363636363636365,0.6207792207792208
2,Apr 2,False,LAA,"W,12-8",45,40,12,13,2,0,2,12,5,0,11,0,0,0,0,0,0,0,0.274,0.338,0.452,0.79,6,10,L,A.Heaney(23),0.325,0.4,0.525,0.925
3,Apr 3,False,LAA,"L,3-5",39,35,3,9,1,0,1,3,3,0,10,1,0,0,0,1,0,0,0.269,0.336,0.426,0.762,9,10,R,A.Cobb(50),0.2571428571428571,0.3333333333333333,0.37142857142857144,0.7047619047619047
4,Apr 4,False,LAA,"L,4-7",41,33,4,5,0,0,0,0,6,0,12,1,1,0,0,0,2,0,0.241,0.327,0.362,0.689,10,10,R,S.Ohtani(54),0.15151515151515152,0.2926829268292683,0.15151515151515152,0.4441980783444198
5,Apr 5,False,SEA,"W,6-0",42,37,6,10,1,0,1,5,4,0,8,1,0,0,0,1,0,0,0.247,0.333,0.365,0.699,9,9,L,J.Sheffield(34),0.2702702702702703,0.35714285714285715,0.3783783783783784,0.7355212355212355
6,Apr 6,False,SEA,"W,10-4",44,36,10,10,2,0,3,10,6,0,10,1,0,1,1,1,1,0,0.252,0.343,0.402,0.745,7,10,L,J.Paxton(51),0.2777777777777778,0.38636363636363635,0.5833333333333334,0.9696969696969697
7,Apr 7,False,SEA,"L,4-8",40,30,4,6,2,0,0,4,10,0,8,0,0,0,0,1,3,0,0.246,0.351,0.385,0.736,9,10,R,J.Dunn(45),0.2,0.4,0.26666666666666666,0.6666666666666667
8,Apr 8,True,KCR,"W,6-0",38,31,6,10,1,0,2,6,5,0,5,1,0,1,0,1,0,0,0.255,0.359,0.404,0.763,8,9,R,B.Keller(32),0.3225806451612903,0.42105263157894735,0.5483870967741935,0.9694397283531409
9,Apr 11,True,KCR,"L,3-4",44,35,3,5,2,0,1,3,9,0,8,0,0,0,1,1,0,0,0.242,0.354,0.39,0.745,12,11,L,M.Minor(50),0.14285714285714285,0.3181818181818182,0.2857142857142857,0.6038961038961039
10,Apr 12,True,CLE,"W,4-3",34,29,4,5,1,0,1,3,4,0,8,1,0,0,0,2,0,0,0.236,0.349,0.383,0.733,5,10,R,T.McKenzie(50),0.1724137931034483,0.29411764705882354,0.3103448275862069,0.6044624746450304
