Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,True,ARI,"W,8-7",39,32,8,10,1,1,2,8,5,0,10,1,0,1,0,1,0,0,0.313,0.41,0.594,1.004,7,16,L,M.Bumgarner(27),0.3125,0.41025641025641024,0.59375,1.0040064102564101
2,Apr 2,True,ARI,"W,4-2",36,28,4,9,3,0,1,4,7,0,8,0,0,1,0,1,0,2,0.317,0.427,0.567,0.993,8,15,R,M.Kelly(41),0.32142857142857145,0.4444444444444444,0.5357142857142857,0.9801587301587301
3,Apr 3,True,ARI,"W,7-0",42,35,7,10,3,0,1,7,6,1,8,0,0,0,1,0,0,0,0.305,0.414,0.526,0.94,11,12,L,C.Smith(36),0.2857142857142857,0.38095238095238093,0.45714285714285713,0.838095238095238
4,Apr 4,True,ARI,"L,1-3",38,32,1,6,1,0,1,1,5,1,7,1,0,0,0,1,1,0,0.276,0.39,0.472,0.862,10,16,R,T.Widener(68),0.1875,0.3157894736842105,0.3125,0.6282894736842105
5,Apr 5,True,SFG,"L,2-3",41,35,2,8,0,1,0,2,4,0,6,1,0,1,1,0,1,0,0.265,0.374,0.432,0.806,12,17,R,A.DeSclafani(56),0.22857142857142856,0.3170731707317073,0.2857142857142857,0.602787456445993
6,Apr 6,True,SFG,"W,3-1",31,29,3,8,0,0,1,3,2,0,5,0,0,0,0,2,1,1,0.267,0.367,0.424,0.791,4,13,R,A.Sanchez(55),0.27586206896551724,0.3225806451612903,0.3793103448275862,0.7018909899888766
7,Apr 7,True,SFG,"L,2-3",36,35,2,6,0,0,1,2,1,0,8,0,0,0,0,1,0,0,0.252,0.344,0.398,0.742,5,17,R,K.Gausman(67),0.17142857142857143,0.19444444444444445,0.2571428571428571,0.45158730158730154
8,Apr 9,False,TEX,"W,3-0",35,33,3,8,3,0,0,2,2,0,9,0,0,0,0,1,0,1,0.251,0.337,0.39,0.727,5,9,R,K.Arihara(42),0.24242424242424243,0.2857142857142857,0.3333333333333333,0.6190476190476191
9,Apr 10,False,TEX,"W,7-4",42,36,7,14,1,0,3,6,4,0,4,1,0,1,1,4,0,0,0.268,0.351,0.424,0.775,8,11,R,J.Lyles(38),0.3888888888888889,0.4523809523809524,0.6666666666666666,1.119047619047619
10,Apr 11,False,TEX,"W,2-0",35,32,2,5,1,0,2,2,3,0,4,0,0,0,0,0,0,0,0.257,0.34,0.419,0.759,6,9,R,M.Foltynewicz(69),0.15625,0.22857142857142856,0.375,0.6035714285714285
11,Apr 12,False,PIT,"W,6-2",41,37,6,10,1,0,1,6,4,0,10,0,0,0,0,0,1,0,0.258,0.34,0.415,0.755,8,12,R,T.Cahill(63),0.2702702702702703,0.34146341463414637,0.3783783783783784,0.7198417930125247
12,Apr 13,False,PIT,"L,4-8",46,30,4,6,1,0,1,3,13,0,6,3,0,0,0,3,3,0,0.254,0.354,0.409,0.762,15,17,R,C.Kuhl(33),0.2,0.4782608695652174,0.3333333333333333,0.8115942028985508
13,Apr 14,False,PIT,"L,1-5",33,30,1,6,1,0,0,1,3,0,5,0,0,0,0,3,1,0,0.25,0.348,0.396,0.744,5,16,L,T.Anderson(56),0.2,0.2727272727272727,0.23333333333333334,0.5060606060606061
14,Apr 15,False,PIT,"W,8-3",42,35,8,10,5,0,1,8,5,0,4,0,0,2,1,0,3,1,0.253,0.349,0.405,0.754,7,12,R,M.Keller(12),0.2857142857142857,0.35714285714285715,0.5142857142857142,0.8714285714285714
15,Apr 16,True,LAD,"L,6-11",54,46,6,12,1,0,1,5,6,1,14,1,1,0,1,2,3,0,0.253,0.35,0.4,0.75,15,22,R,W.Buehler(53),0.2608695652173913,0.35185185185185186,0.34782608695652173,0.6996779388083736
16,Apr 17,True,LAD,"L,0-2",34,29,0,3,0,0,0,0,4,0,12,0,0,0,0,1,1,0,0.245,0.342,0.384,0.726,7,12,L,C.Kershaw(74),0.10344827586206896,0.20588235294117646,0.10344827586206896,0.3093306288032454
17,Apr 18,True,LAD,"W,5-2",34,31,5,7,2,0,1,5,3,0,8,0,0,0,1,1,1,0,0.244,0.34,0.384,0.724,5,16,R,T.Bauer(68),0.22580645161290322,0.29411764705882354,0.3870967741935484,0.6812144212523719
18,Apr 19,True,MIL,"L,1-3",32,27,1,2,0,0,0,1,5,0,8,0,0,0,0,1,0,1,0.236,0.334,0.37,0.704,4,12,R,B.Woodruff(70),0.07407407407407407,0.21875,0.07407407407407407,0.29282407407407407
19,Apr 20,True,MIL,"L,0-6",35,34,0,6,0,0,0,0,0,0,14,1,0,0,1,0,0,0,0.233,0.328,0.359,0.687,8,14,R,C.Burnes(74),0.17647058823529413,0.2,0.17647058823529413,0.3764705882352941
20,Apr 21,True,MIL,"L,2-4",40,33,2,7,3,0,0,2,6,0,13,0,1,0,0,0,2,0,0.232,0.328,0.357,0.685,11,19,R,A.Houser(46),0.21212121212121213,0.325,0.30303030303030304,0.628030303030303
21,Apr 22,False,LAD,"W,3-2",33,33,3,7,0,0,1,2,0,0,10,0,0,0,0,1,2,0,0.231,0.323,0.354,0.677,3,15,R,W.Buehler(70),0.21212121212121213,0.21212121212121213,0.30303030303030304,0.5151515151515151
22,Apr 23,False,LAD,"W,6-1",37,33,6,8,0,0,3,6,4,1,8,0,0,0,1,2,1,1,0.232,0.323,0.361,0.685,4,12,L,C.Kershaw(61),0.24242424242424243,0.32432432432432434,0.5151515151515151,0.8394758394758395
23,Apr 24,False,LAD,"L,4-5",38,35,4,8,0,0,2,3,2,0,15,1,0,0,0,0,5,0,0.232,0.322,0.363,0.685,7,15,R,T.Bauer(61),0.22857142857142856,0.2894736842105263,0.4,0.6894736842105263
24,Apr 25,False,LAD,"W,8-7",50,43,8,11,0,0,1,8,6,0,16,0,0,1,0,1,6,0,0.233,0.323,0.361,0.684,11,21,R,D.May(73),0.2558139534883721,0.34,0.32558139534883723,0.6655813953488372
25,Apr 27,False,ARI,"L,1-5",33,29,1,4,2,0,0,1,3,0,9,0,1,0,0,1,0,0,0.23,0.319,0.356,0.675,5,13,R,M.Kelly(63),0.13793103448275862,0.21212121212121213,0.20689655172413793,0.41901776384535006
26,Apr 28,False,ARI,"W,12-3",45,41,12,15,2,1,2,11,3,0,4,0,0,1,1,1,1,0,0.236,0.323,0.368,0.691,6,21,R,R.Smith(38),0.36585365853658536,0.4,0.6097560975609756,1.0097560975609756
