Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,True,SFG,"W,8-7",43,32,8,5,3,0,0,7,9,0,9,1,0,1,0,0,0,0,0.156,0.349,0.25,0.599,9,11,R,K.Gausman(70),0.15625,0.3488372093023256,0.25,0.5988372093023255
2,Apr 2,True,SFG,"L,3-6",35,31,3,6,3,0,0,3,4,0,12,0,0,0,0,2,0,0,0.175,0.321,0.27,0.59,5,9,R,J.Cueto(49),0.1935483870967742,0.2857142857142857,0.2903225806451613,0.5760368663594471
3,Apr 3,True,SFG,"W,4-0",34,31,4,8,4,0,2,4,3,0,8,0,0,0,0,1,1,0,0.202,0.321,0.372,0.694,6,9,R,L.Webb(44),0.25806451612903225,0.3235294117647059,0.5806451612903226,0.9041745730550286
4,Apr 5,True,CHW,"L,0-6",36,30,0,3,2,0,0,0,4,0,15,2,0,0,0,0,1,0,0.177,0.304,0.323,0.627,9,9,L,C.Rodón(69),0.1,0.25,0.16666666666666666,0.41666666666666663
5,Apr 6,True,CHW,"L,4-10",40,37,4,9,2,0,0,3,3,0,15,0,0,0,0,0,1,0,0.193,0.303,0.317,0.62,9,11,R,L.Giolito(57),0.24324324324324326,0.3,0.2972972972972973,0.5972972972972973
6,Apr 7,True,CHW,"W,8-4",38,32,8,9,1,0,0,8,4,0,7,0,0,1,0,0,0,0,0.207,0.311,0.316,0.627,6,11,L,D.Keuchel(47),0.28125,0.34210526315789475,0.3125,0.6546052631578947
7,Apr 8,False,MIN,"L,2-10",36,32,2,7,1,0,1,2,4,0,10,0,0,0,0,1,0,1,0.209,0.31,0.32,0.63,7,9,R,J.Berríos(56),0.21875,0.3055555555555556,0.34375,0.6493055555555556
8,Apr 10,False,MIN,"W,4-3",38,36,4,7,0,0,2,4,1,0,8,0,0,1,0,0,2,0,0.207,0.298,0.326,0.623,5,10,R,M.Pineda(62),0.19444444444444445,0.21052631578947367,0.3611111111111111,0.5716374269005848
9,Apr 11,False,MIN,"W,8-6",43,39,8,14,1,0,3,8,1,0,12,2,1,0,0,1,0,0,0.227,0.311,0.363,0.674,8,12,R,M.Shoemaker(43),0.358974358974359,0.3953488372093023,0.6153846153846154,1.0107334525939178
10,Apr 13 (1),False,BAL,"W,4-3",32,30,4,7,1,0,2,4,2,0,10,0,0,0,0,0,0,0,0.227,0.308,0.373,0.681,5,11,L,J.Means(48),0.23333333333333334,0.28125,0.4666666666666667,0.7479166666666667
11,Apr 13 (2),False,BAL,"L,6-7",31,28,6,8,2,0,2,6,2,0,6,0,0,1,0,0,0,0,0.232,0.309,0.388,0.698,4,9,R,D.Kremer(37),0.2857142857142857,0.3225806451612903,0.5714285714285714,0.8940092165898617
