Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,False,CIN,"W,11-6",41,37,11,10,2,0,2,9,3,0,7,1,0,0,1,1,0,0,0.27,0.341,0.486,0.828,3,15,R,L.Castillo(6),0.2702702702702703,0.34146341463414637,0.4864864864864865,0.8279499011206328
2,Apr 3,False,CIN,"L,6-9",40,34,6,7,0,0,3,5,5,0,13,0,0,1,1,0,0,0,0.239,0.321,0.479,0.8,7,16,R,T.Mahle(56),0.20588235294117646,0.3,0.47058823529411764,0.7705882352941176
3,Apr 4,False,CIN,"L,1-12",33,30,1,5,2,0,0,1,2,0,9,1,0,0,0,2,0,0,0.218,0.298,0.406,0.704,5,17,R,J.Hoffman(63),0.16666666666666666,0.24242424242424243,0.23333333333333334,0.47575757575757577
4,Apr 5,False,MIA,"W,4-1",35,31,4,5,1,0,1,3,4,0,14,0,0,0,0,0,0,1,0.205,0.289,0.379,0.667,4,14,L,T.Rogers(50),0.16129032258064516,0.2571428571428571,0.2903225806451613,0.5474654377880184
5,Apr 6,False,MIA,"W,4-2",38,33,4,6,0,0,1,3,4,1,12,0,0,1,1,0,1,0,0.2,0.283,0.358,0.641,7,17,R,S.Alcántara(62),0.18181818181818182,0.2631578947368421,0.2727272727272727,0.5358851674641147
6,Apr 7,False,MIA,"W,7-0",39,34,7,8,0,0,2,7,4,0,9,1,0,0,0,1,1,0,0.206,0.292,0.367,0.659,5,13,R,P.López(64),0.23529411764705882,0.3333333333333333,0.4117647058823529,0.7450980392156863
7,Apr 8,True,MIL,"W,3-1",32,29,3,5,1,1,1,3,2,1,12,1,0,0,0,0,0,0,0.202,0.287,0.368,0.655,5,15,R,C.Burnes(79),0.1724137931034483,0.25,0.3793103448275862,0.6293103448275862
8,Apr 10,True,MIL,"L,5-9",42,36,5,11,1,0,1,3,5,0,7,1,0,0,1,2,0,0,0.216,0.303,0.375,0.678,10,18,R,A.Houser(52),0.3055555555555556,0.40476190476190477,0.4166666666666667,0.8214285714285714
9,Apr 11,True,MIL,"L,3-9",38,33,3,8,2,0,0,3,4,0,3,1,0,0,0,1,0,0,0.219,0.308,0.367,0.675,8,15,L,B.Anderson(52),0.24242424242424243,0.34210526315789475,0.30303030303030304,0.6451355661881978
10,Apr 12,True,WSN,"L,2-5",36,31,2,6,0,0,1,2,3,0,11,0,2,0,0,0,1,0,0.216,0.304,0.36,0.664,7,17,R,E.Fedde(59),0.1935483870967742,0.25,0.2903225806451613,0.5403225806451613
11,Apr 13,True,WSN,"W,14-3",46,37,14,15,0,0,3,13,7,2,7,0,0,2,1,1,0,0,0.236,0.323,0.389,0.712,8,16,R,S.Strasburg(14),0.40540540540540543,0.4782608695652174,0.6486486486486487,1.126909518213866
12,Apr 14,True,WSN,"L,0-6",34,30,0,4,2,0,0,0,3,0,8,1,0,0,0,1,0,0,0.228,0.316,0.375,0.691,7,17,R,J.Ross(68),0.13333333333333333,0.23529411764705882,0.2,0.43529411764705883
13,Apr 16,False,PHI,"L,2-9",32,32,2,6,1,0,1,2,0,0,7,0,0,0,0,1,0,0,0.225,0.308,0.37,0.678,3,14,R,Z.Eflin(63),0.1875,0.1875,0.3125,0.5
14,Apr 17,False,PHI,"W,9-4",45,37,9,11,2,0,4,8,8,1,11,0,0,0,1,1,0,1,0.231,0.318,0.394,0.712,9,17,L,M.Moore(26),0.2972972972972973,0.4222222222222222,0.6756756756756757,1.097897897897898
