Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 1,False,MIA,"W,1-0",36,32,1,5,1,0,1,1,3,0,12,1,0,0,0,0,0,0,0.156,0.25,0.281,0.531,8,13,R,S.Alcántara(73),0.15625,0.25,0.28125,0.53125
2,Apr 2,False,MIA,"W,6-4",36,32,6,8,0,1,3,6,3,0,7,0,0,1,0,1,0,0,0.203,0.278,0.438,0.715,3,16,R,P.López(65),0.25,0.3055555555555556,0.59375,0.8993055555555556
3,Apr 3,False,MIA,"L,7-12",37,35,7,9,2,0,1,6,1,0,6,0,1,0,1,0,0,0,0.222,0.278,0.424,0.702,3,16,R,E.Hernández(48),0.2571428571428571,0.2702702702702703,0.4,0.6702702702702703
4,Apr 5,False,BOS,"L,2-11",38,32,2,7,1,0,0,2,6,0,8,0,0,0,0,2,0,0,0.221,0.295,0.382,0.676,9,12,R,N.Pivetta(63),0.21875,0.34210526315789475,0.25,0.5921052631578947
5,Apr 6,False,BOS,"L,5-6",48,40,5,8,2,0,0,5,5,0,13,2,1,0,0,0,0,1,0.216,0.301,0.351,0.651,10,11,L,M.Pérez(49),0.2,0.3125,0.25,0.5625
6,Apr 7,False,BOS,"L,2-9",35,31,2,5,3,0,0,2,4,0,8,0,0,0,0,1,0,0,0.208,0.294,0.337,0.63,6,12,R,N.Eovaldi(71),0.16129032258064516,0.2571428571428571,0.25806451612903225,0.5152073732718894
7,Apr 9,True,NYY,"W,10-5",40,35,10,13,6,0,1,10,3,0,11,1,0,1,1,1,1,0,0.232,0.313,0.38,0.693,6,9,R,C.Kluber(32),0.37142857142857144,0.425,0.6285714285714286,1.0535714285714286
8,Apr 10,True,NYY,"W,4-0",39,35,4,10,1,0,2,4,3,0,12,1,0,0,1,0,0,0,0.239,0.319,0.393,0.713,11,9,R,D.Germán(34),0.2857142857142857,0.358974358974359,0.4857142857142857,0.8446886446886447
9,Apr 11,True,NYY,"L,4-8",39,35,4,6,2,0,2,4,2,0,13,2,0,0,0,1,0,0,0.231,0.312,0.394,0.706,6,11,L,J.Montgomery(43),0.17142857142857143,0.2564102564102564,0.4,0.6564102564102564
10,Apr 12,True,TEX,"W,1-0",31,26,1,3,2,0,1,1,5,0,12,0,0,0,0,1,1,0,0.222,0.308,0.387,0.695,6,9,R,D.Dunning(61),0.11538461538461539,0.25806451612903225,0.3076923076923077,0.56575682382134
11,Apr 13,True,TEX,"L,3-8",36,33,3,7,1,0,0,2,2,0,6,1,0,0,0,1,0,0,0.221,0.305,0.374,0.679,6,11,R,K.Gibson(64),0.21212121212121213,0.2777777777777778,0.24242424242424243,0.5202020202020202
12,Apr 14,True,TEX,"L,1-5",34,34,1,8,1,0,1,1,0,0,10,0,0,0,0,1,0,0,0.223,0.3,0.373,0.672,6,9,R,K.Arihara(68),0.23529411764705882,0.23529411764705882,0.35294117647058826,0.5882352941176471
13,Apr 15,True,TEX,"L,4-6",45,37,4,7,2,0,1,3,8,0,12,0,0,0,0,0,1,0,0.22,0.303,0.368,0.671,12,11,R,J.Lyles(49),0.1891891891891892,0.3333333333333333,0.32432432432432434,0.6576576576576576
14,Apr 16,False,NYY,"W,8-2",46,38,8,11,4,0,0,6,7,0,11,1,0,0,1,1,0,0,0.225,0.312,0.371,0.683,11,10,R,N.Nelson(41),0.2894736842105263,0.41304347826086957,0.39473684210526316,0.8077803203661327
15,Apr 17,False,NYY,"W,6-3",35,33,6,6,1,0,3,6,2,0,12,0,0,0,0,0,1,0,0.222,0.307,0.378,0.685,2,10,L,J.Montgomery(57),0.18181818181818182,0.22857142857142856,0.48484848484848486,0.7134199134199134
16,Apr 18,False,NYY,"W,4-2",34,31,4,6,1,0,1,4,1,0,12,1,0,1,0,0,0,1,0.221,0.303,0.375,0.678,3,11,R,G.Cole(63),0.1935483870967742,0.23529411764705882,0.3225806451612903,0.5578747628083491
17,Apr 19,False,KCR,"W,4-1",39,35,4,7,0,0,0,2,4,0,12,0,0,0,1,1,1,0,0.22,0.302,0.364,0.666,8,10,L,D.Duffy(66),0.2,0.28205128205128205,0.2,0.48205128205128206
18,Apr 20,False,KCR,"W,14-7",49,42,14,17,3,1,3,14,6,0,5,0,0,1,0,3,0,0,0.232,0.314,0.39,0.703,8,10,R,B.Keller(27),0.40476190476190477,0.46938775510204084,0.7380952380952381,1.207482993197279
19,Apr 21,False,KCR,"L,8-9",41,35,8,11,5,0,1,8,5,0,7,0,0,1,0,0,1,1,0.237,0.318,0.398,0.716,6,12,R,J.Junis(35),0.3142857142857143,0.3902439024390244,0.5428571428571428,0.9331010452961672
20,Apr 23,True,TOR,"L,3-5",37,34,3,5,1,0,1,3,3,0,12,0,0,0,3,0,0,0,0.232,0.313,0.391,0.704,7,10,L,S.Matz(50),0.14705882352941177,0.21621621621621623,0.2647058823529412,0.4809220985691574
21,Apr 24,True,TOR,"W,5-3",34,32,5,6,1,0,2,4,2,0,12,0,0,0,2,0,0,0,0.23,0.31,0.392,0.702,5,9,L,R.Ray(57),0.1875,0.23529411764705882,0.40625,0.6415441176470589
22,Apr 25,True,TOR,"L,0-1",36,32,0,5,0,0,0,0,2,0,9,2,0,0,0,0,0,0,0.227,0.307,0.382,0.689,9,9,L,H.Ryu(59),0.15625,0.25,0.15625,0.40625
23,Apr 26,True,OAK,"L,1-2",36,31,1,6,0,0,0,1,4,0,10,0,0,1,0,0,1,1,0.226,0.306,0.374,0.68,8,13,L,S.Manaea(59),0.1935483870967742,0.2777777777777778,0.1935483870967742,0.471326164874552
24,Apr 27,True,OAK,"W,4-3",38,35,4,10,4,1,1,4,2,0,7,0,1,0,2,0,0,0,0.228,0.307,0.382,0.688,10,10,R,F.Montas(51),0.2857142857142857,0.3157894736842105,0.5428571428571428,0.8586466165413533
25,Apr 28,True,OAK,"W,2-0",33,30,2,8,2,0,1,2,3,1,10,0,0,0,0,0,0,1,0.23,0.308,0.383,0.691,7,11,L,C.Irvin(57),0.26666666666666666,0.3333333333333333,0.43333333333333335,0.7666666666666666
26,Apr 29,True,OAK,"L,2-3",37,32,2,5,3,0,1,2,2,0,12,3,0,0,0,0,2,0,0.227,0.306,0.382,0.688,8,11,R,C.Bassitt(64),0.15625,0.2702702702702703,0.34375,0.6140202702702703
27,Apr 30,True,HOU,"L,2-9",37,32,2,6,1,0,0,2,5,0,12,0,0,0,0,0,0,1,0.226,0.306,0.376,0.682,8,9,R,L.McCullers(77),0.1875,0.2972972972972973,0.21875,0.5160472972972974
28,May 1,True,HOU,"L,1-3",34,32,1,5,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0.223,0.303,0.369,0.672,6,10,R,J.Urquidy(73),0.15625,0.20588235294117646,0.15625,0.36213235294117646
29,May 2,True,HOU,"W,5-4",36,31,5,7,1,0,1,4,2,0,11,3,0,0,0,1,1,0,0.223,0.304,0.368,0.672,7,12,R,C.Javier(49),0.22580645161290322,0.3333333333333333,0.3548387096774194,0.6881720430107527
30,May 3,False,LAA,"W,7-3",42,36,7,9,1,0,2,7,6,0,15,0,0,0,0,0,0,0,0.224,0.306,0.371,0.677,8,11,L,J.Quintana(37),0.25,0.35714285714285715,0.4444444444444444,0.8015873015873016
31,May 4,False,LAA,"W,8-3",44,37,8,10,1,0,2,7,6,0,13,1,0,0,1,1,3,0,0.226,0.309,0.374,0.683,9,12,R,A.Cobb(62),0.2702702702702703,0.38636363636363635,0.4594594594594595,0.8458230958230959
32,May 5,False,LAA,"W,3-1",39,30,3,4,1,0,1,3,8,0,8,1,0,0,0,1,1,0,0.223,0.31,0.371,0.681,9,11,R,S.Ohtani(66),0.13333333333333333,0.3333333333333333,0.26666666666666666,0.6
33,May 6,False,LAA,"W,8-3",42,39,8,12,3,0,1,7,3,0,13,0,0,0,1,1,4,0,0.226,0.311,0.374,0.685,7,10,L,A.Heaney(75),0.3076923076923077,0.35714285714285715,0.46153846153846156,0.8186813186813187
34,May 7,False,OAK,"L,1-2",31,30,1,3,1,0,0,1,1,0,12,0,0,0,0,0,0,0,0.223,0.307,0.368,0.675,3,12,L,S.Manaea(79),0.1,0.12903225806451613,0.13333333333333333,0.26236559139784943
35,May 8,False,OAK,"L,3-6",41,37,3,10,1,0,1,3,3,0,13,1,0,0,1,0,1,1,0.224,0.308,0.368,0.676,11,11,R,F.Montas(54),0.2702702702702703,0.34146341463414637,0.3783783783783784,0.7198417930125247
36,May 9,False,OAK,"W,4-3",33,32,4,4,1,0,2,4,1,0,8,0,0,0,1,0,0,0,0.222,0.304,0.368,0.672,2,9,L,C.Irvin(52),0.125,0.15151515151515152,0.34375,0.4952651515151515
37,May 11,True,NYY,"L,1-3",33,30,1,3,1,0,1,1,3,0,11,0,0,0,1,0,0,0,0.219,0.301,0.364,0.666,5,12,L,J.Montgomery(72),0.1,0.18181818181818182,0.23333333333333334,0.41515151515151516
