Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 7,True,SDP,"W,4-2",34,26,4,3,0,0,1,3,7,0,6,1,0,0,0,1,0,0,0.115,0.324,0.231,0.554,6,12,R,Y.Darvish(71),0.11538461538461539,0.3235294117647059,0.23076923076923078,0.5542986425339367
2,Apr 8,True,SDP,"L,0-3",30,29,0,2,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0.091,0.219,0.145,0.364,3,11,L,S.Manaea(83),0.06896551724137931,0.1,0.06896551724137931,0.16896551724137931
3,Apr 9,True,SDP,"L,2-5",33,31,2,5,2,0,1,2,2,0,10,0,0,0,0,1,0,0,0.116,0.216,0.209,0.426,4,10,R,J.Musgrove(62),0.16129032258064516,0.21212121212121213,0.3225806451612903,0.5347018572825024
4,Apr 10,True,SDP,"L,5-10",39,30,5,5,1,0,2,5,9,0,10,0,0,0,0,2,1,0,0.129,0.257,0.259,0.516,7,10,R,N.Crismatt(58),0.16666666666666666,0.358974358974359,0.4,0.7589743589743589
5,Apr 12,True,HOU,"L,1-2",36,30,1,4,1,0,1,1,5,0,7,0,1,0,0,0,0,0,0.13,0.257,0.26,0.518,8,13,R,L.García(57),0.13333333333333333,0.25,0.26666666666666666,0.5166666666666666
6,Apr 13,True,HOU,"W,3-2",47,33,3,6,0,0,0,3,9,0,13,3,1,1,1,0,2,0,0.14,0.286,0.246,0.532,17,13,L,F.Valdez(49),0.18181818181818182,0.3829787234042553,0.18181818181818182,0.5647969052224371
7,Apr 15,False,NYM,"L,3-10",35,29,3,3,2,0,1,3,5,0,11,1,0,0,0,0,0,1,0.135,0.282,0.25,0.532,5,12,R,C.Bassitt(68),0.10344827586206896,0.2571428571428571,0.27586206896551724,0.5330049261083744
8,Apr 16,False,NYM,"W,3-2",40,36,3,9,2,0,1,3,4,2,16,0,0,0,0,0,2,0,0.152,0.288,0.27,0.558,10,10,R,C.Carrasco(67),0.25,0.325,0.3888888888888889,0.7138888888888889
9,Apr 17,False,NYM,"L,0-5",36,32,0,5,2,0,0,0,4,0,10,0,0,0,0,0,0,0,0.152,0.284,0.264,0.548,9,11,L,D.Peterson(59),0.15625,0.25,0.21875,0.46875
10,Apr 19 (1),False,WSN,"L,1-6",34,31,1,6,2,0,1,1,3,0,12,0,0,0,0,1,0,1,0.156,0.282,0.274,0.555,6,11,R,J.Gray(64),0.1935483870967742,0.2647058823529412,0.3548387096774194,0.6195445920303606
11,Apr 19 (2),False,WSN,"L,0-1",35,32,0,5,1,0,0,0,3,0,9,0,0,0,0,0,0,0,0.156,0.277,0.265,0.543,8,12,R,J.Adon(70),0.15625,0.22857142857142856,0.1875,0.41607142857142854
12,Apr 20,False,WSN,"W,11-2",42,35,11,10,2,0,1,10,4,0,4,0,0,3,2,1,1,0,0.168,0.282,0.281,0.563,4,12,R,E.Fedde(20),0.2857142857142857,0.3333333333333333,0.42857142857142855,0.7619047619047619
13,Apr 21,False,WSN,"W,4-3",39,35,4,9,1,0,3,4,2,0,8,2,0,0,0,0,0,1,0.176,0.287,0.303,0.59,8,14,L,J.Rogers(36),0.2571428571428571,0.3333333333333333,0.5428571428571428,0.8761904761904762
14,Apr 22,True,NYM,"L,5-6",40,36,5,8,3,0,2,5,3,0,11,0,0,1,0,0,0,0,0.18,0.286,0.317,0.603,6,13,L,D.Peterson(61),0.2222222222222222,0.275,0.4722222222222222,0.7472222222222222
15,Apr 23,True,NYM,"W,5-2",38,34,5,11,2,1,0,5,3,0,7,0,0,1,0,0,1,0,0.19,0.291,0.326,0.617,9,10,R,T.Williams(26),0.3235294117647059,0.3684210526315789,0.4411764705882353,0.8095975232198143
16,Apr 24,True,NYM,"L,2-6",34,33,2,6,2,0,1,2,1,0,9,0,0,0,0,0,0,0,0.189,0.286,0.326,0.613,5,12,R,T.Megill(62),0.18181818181818182,0.20588235294117646,0.3333333333333333,0.5392156862745098
17,Apr 25,True,LAD,"L,0-4",31,30,0,3,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0.185,0.279,0.314,0.592,4,13,R,W.Buehler(91),0.1,0.12903225806451613,0.1,0.22903225806451613
18,Apr 26,True,LAD,"W,5-3",33,29,5,4,1,0,1,4,3,0,10,1,0,0,1,0,0,0,0.182,0.277,0.312,0.588,4,12,R,T.Gonsolin(50),0.13793103448275862,0.24242424242424243,0.27586206896551724,0.5182863113897597
19,Apr 27,True,LAD,"W,3-1",31,26,3,2,0,0,1,2,4,0,4,0,1,0,1,1,0,0,0.178,0.273,0.307,0.58,4,10,L,J.Urías(68),0.07692307692307693,0.1935483870967742,0.19230769230769232,0.38585607940446653
20,Apr 28,False,STL,"L,3-8",37,33,3,6,2,0,1,3,4,0,7,0,0,0,0,0,0,0,0.178,0.273,0.308,0.581,7,9,R,D.Hudson(71),0.18181818181818182,0.2702702702702703,0.3333333333333333,0.6036036036036037
21,Apr 29,False,STL,"W,6-2",40,33,6,9,3,0,0,6,6,0,8,0,0,1,0,2,0,0,0.183,0.279,0.311,0.589,7,11,R,A.Wainwright(51),0.2727272727272727,0.375,0.36363636363636365,0.7386363636363636
22,Apr 30,False,STL,"W,2-0",33,33,2,5,1,0,2,2,0,0,8,0,0,0,2,1,1,0,0.181,0.273,0.313,0.587,4,12,R,M.Mikolas(69),0.15151515151515152,0.15151515151515152,0.36363636363636365,0.5151515151515151
23,May 1,False,STL,"L,5-7",37,33,5,7,1,1,4,5,3,0,12,1,0,0,0,0,0,1,0.182,0.274,0.329,0.604,5,10,R,J.Hicks(50),0.21212121212121213,0.2972972972972973,0.6666666666666666,0.9639639639639639
24,May 2,False,MIA,"W,5-4",37,34,5,9,2,0,1,5,3,0,12,0,0,0,0,1,1,1,0.186,0.276,0.333,0.609,5,9,R,P.López(43),0.2647058823529412,0.32432432432432434,0.4117647058823529,0.7360890302066773
25,May 3,False,MIA,"W,5-4",40,36,5,9,3,0,2,5,4,0,10,0,0,0,0,0,1,0,0.189,0.279,0.34,0.619,8,10,L,T.Rogers(33),0.25,0.325,0.5,0.825
26,May 4,False,MIA,"W,8-7",40,34,8,9,1,1,2,7,5,0,11,0,1,0,0,0,0,0,0.192,0.282,0.348,0.63,5,12,R,E.Hernández(32),0.2647058823529412,0.35,0.5294117647058824,0.8794117647058823
27,May 6,True,COL,"W,4-1",34,29,4,6,1,0,2,4,4,0,7,0,0,1,0,0,0,0,0.193,0.282,0.352,0.634,6,10,R,C.Kuhl(65),0.20689655172413793,0.29411764705882354,0.4482758620689655,0.7423935091277891
28,May 7,True,COL,"L,1-4",37,31,1,6,1,0,0,1,6,1,6,0,0,0,0,1,3,0,0.193,0.284,0.347,0.631,9,9,L,K.Freeland(65),0.1935483870967742,0.32432432432432434,0.22580645161290322,0.5501307759372276
29,May 8,True,COL,"W,4-0",34,29,4,8,3,0,0,3,4,0,9,0,1,0,0,0,0,1,0.195,0.286,0.348,0.635,6,9,R,G.Márquez(49),0.27586206896551724,0.35294117647058826,0.3793103448275862,0.7322515212981744
30,May 9,True,MIA,"W,4-3",34,31,4,7,2,0,1,4,3,0,9,0,0,0,1,1,1,0,0.196,0.287,0.349,0.636,6,12,R,E.Hernández(46),0.22580645161290322,0.29411764705882354,0.3870967741935484,0.6812144212523719
31,May 10,True,MIA,"W,9-3",39,33,9,11,3,0,1,8,6,0,9,0,0,0,0,1,0,1,0.201,0.292,0.355,0.647,6,9,L,J.Luzardo(40),0.3333333333333333,0.4358974358974359,0.5151515151515151,0.951048951048951
32,May 11,True,MIA,"L,3-11",34,31,3,4,0,0,2,3,3,0,8,0,0,0,0,0,1,0,0.199,0.289,0.354,0.643,4,10,R,S.Alcántara(72),0.12903225806451613,0.20588235294117646,0.3225806451612903,0.5284629981024668
33,May 13,True,CHC,"W,4-3",37,35,4,12,4,1,0,3,1,0,7,1,0,0,0,1,1,0,0.203,0.292,0.359,0.651,9,11,L,D.Smyly(39),0.34285714285714286,0.3783783783783784,0.5142857142857142,0.8926640926640926
34,May 14,True,CHC,"L,2-4",39,35,2,8,2,0,0,2,3,0,10,1,0,0,0,0,0,0,0.204,0.293,0.357,0.649,10,12,R,K.Hendricks(55),0.22857142857142856,0.3076923076923077,0.2857142857142857,0.5934065934065934
35,May 15,True,CHC,"L,2-3",34,32,2,6,0,1,0,1,2,0,11,0,0,0,1,1,0,1,0.204,0.291,0.354,0.645,5,11,L,J.Steele(68),0.1875,0.23529411764705882,0.25,0.4852941176470588
36,May 16,False,LAD,"L,4-5",35,31,4,5,1,0,2,4,3,0,11,0,0,1,1,1,0,0,0.203,0.289,0.355,0.644,4,12,R,T.Gonsolin(63),0.16129032258064516,0.22857142857142856,0.3870967741935484,0.6156682027649769
37,May 17 (1),False,LAD,"L,6-7",39,33,6,6,0,0,2,6,6,0,14,0,0,0,0,0,0,1,0.202,0.29,0.355,0.645,6,11,R,R.Pepiot(48),0.18181818181818182,0.3076923076923077,0.36363636363636365,0.6713286713286714
38,May 17 (2),False,LAD,"L,3-12",36,36,3,11,0,0,2,3,0,0,8,0,0,0,0,2,0,0,0.205,0.29,0.358,0.649,6,9,L,T.Anderson(62),0.3055555555555556,0.3055555555555556,0.4722222222222222,0.7777777777777778
39,May 18,False,LAD,"L,3-5",38,35,3,9,1,0,0,3,3,0,9,0,0,0,0,0,0,0,0.207,0.291,0.356,0.647,8,10,R,W.Buehler(49),0.2571428571428571,0.3157894736842105,0.2857142857142857,0.6015037593984962
40,May 19,False,CHC,"W,3-1",34,32,3,6,1,0,1,3,1,0,11,0,1,0,0,0,1,0,0.206,0.289,0.355,0.645,4,9,R,M.Stroman(53),0.1875,0.20588235294117646,0.3125,0.5183823529411764
41,May 20,False,CHC,"W,10-6",42,37,10,12,1,0,7,10,4,0,7,0,1,0,0,0,0,0,0.209,0.292,0.371,0.663,5,9,R,K.Hendricks(24),0.32432432432432434,0.38095238095238093,0.918918918918919,1.2998712998712998
42,May 21,False,CHC,"W,7-6",44,39,7,11,2,0,1,6,5,0,15,0,0,0,0,1,1,0,0.211,0.294,0.372,0.666,8,11,L,J.Steele(72),0.28205128205128205,0.36363636363636365,0.41025641025641024,0.7738927738927739
43,May 22,False,CHC,"L,4-5",36,34,4,8,1,0,0,4,2,0,7,0,0,0,0,1,0,0,0.212,0.294,0.37,0.663,5,10,L,W.Miley(49),0.23529411764705882,0.2777777777777778,0.2647058823529412,0.542483660130719
44,May 23,True,KCR,"W,9-5",39,34,9,10,2,0,2,9,5,0,8,0,0,0,0,0,0,0,0.214,0.296,0.373,0.669,6,10,R,Z.Greinke(24),0.29411764705882354,0.38461538461538464,0.5294117647058824,0.914027149321267
45,May 24,True,KCR,"W,8-6",38,30,8,9,2,0,4,7,8,0,11,0,0,0,0,2,0,0,0.216,0.299,0.382,0.681,6,11,R,J.Heasley(46),0.3,0.4473684210526316,0.7666666666666667,1.2140350877192982
46,May 26,True,LAD,"L,1-14",36,34,1,8,1,0,1,1,2,0,5,0,0,0,0,1,0,0,0.216,0.299,0.381,0.68,8,11,R,M.White(58),0.23529411764705882,0.2777777777777778,0.35294117647058826,0.630718954248366
47,May 27,True,LAD,"L,4-6",41,33,4,9,2,0,0,4,4,0,7,3,0,1,0,2,0,0,0.217,0.301,0.38,0.681,10,11,R,R.Pepiot(55),0.2727272727272727,0.3902439024390244,0.3333333333333333,0.7235772357723578
48,May 28,True,LAD,"L,2-3",33,32,2,5,2,2,0,2,1,0,12,0,0,0,0,0,0,0,0.216,0.299,0.379,0.678,4,10,R,T.Gonsolin(63),0.15625,0.18181818181818182,0.34375,0.5255681818181819
49,May 29,True,LAD,"L,1-3",37,33,1,8,1,1,0,1,2,0,11,1,1,0,0,2,0,0,0.217,0.299,0.378,0.677,9,11,L,T.Anderson(67),0.24242424242424243,0.2972972972972973,0.3333333333333333,0.6306306306306306
50,May 30,True,ATL,"W,6-2",34,31,6,7,3,0,1,6,3,0,9,0,0,0,1,0,0,0,0.217,0.299,0.379,0.678,4,9,R,S.Strider(44),0.22580645161290322,0.29411764705882354,0.41935483870967744,0.713472485768501
51,May 31,True,ATL,"W,8-7",42,35,8,12,3,0,1,8,4,2,7,1,0,2,0,2,1,0,0.22,0.301,0.382,0.683,7,12,R,C.Morton(46),0.34285714285714286,0.40476190476190477,0.5142857142857142,0.919047619047619
52,Jun 1,True,ATL,"L,0-6",34,29,0,3,1,0,0,0,5,0,9,0,0,0,0,1,0,0,0.218,0.3,0.378,0.678,7,10,R,K.Wright(66),0.10344827586206896,0.23529411764705882,0.13793103448275862,0.37322515212981744
53,Jun 3,False,PIT,"W,8-6",44,37,8,10,3,0,5,7,4,0,6,2,0,1,1,0,0,0,0.219,0.301,0.386,0.687,9,9,R,J.Brubaker(26),0.2702702702702703,0.36363636363636365,0.7567567567567568,1.1203931203931203
54,Jun 4,False,PIT,"L,1-2",35,32,1,4,3,0,0,0,3,0,11,0,0,0,1,0,0,0,0.217,0.3,0.383,0.682,7,10,R,R.Contreras(65),0.125,0.2,0.21875,0.41875
55,Jun 5,False,PIT,"L,0-3",34,32,0,5,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0.216,0.298,0.379,0.677,7,12,R,Z.Thompson(61),0.15625,0.20588235294117646,0.15625,0.36213235294117646
56,Jun 6,False,CIN,"L,0-7",21,21,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0.214,0.296,0.375,0.67,0,10,R,H.Greene(83),0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523
57,Jun 7,False,CIN,"L,8-14",38,36,8,10,3,0,2,8,1,0,6,1,0,0,0,0,0,0,0.215,0.296,0.378,0.674,3,10,R,G.Ashcraft(70),0.2777777777777778,0.3157894736842105,0.5277777777777778,0.8435672514619883
