Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 8,False,TBR,"L,1-2",37,33,1,7,2,0,1,1,3,0,14,1,0,0,0,1,0,0,0.212,0.297,0.364,0.661,9,12,L,S.McClanahan(60),0.21212121212121213,0.2972972972972973,0.36363636363636365,0.6609336609336609
2,Apr 9,False,TBR,"L,3-5",36,34,3,8,2,0,1,3,1,0,10,1,0,0,0,1,1,0,0.224,0.288,0.373,0.661,6,10,R,D.Rasmussen(50),0.23529411764705882,0.2777777777777778,0.38235294117647056,0.6601307189542484
3,Apr 10,False,TBR,"L,0-8",37,32,0,6,2,0,0,0,5,0,13,0,0,0,0,0,1,1,0.212,0.291,0.333,0.624,10,14,R,C.Kluber(59),0.1875,0.2972972972972973,0.25,0.5472972972972974
4,Apr 11,True,MIL,"W,2-0",37,31,2,6,1,0,0,2,6,0,7,0,0,0,2,1,1,0,0.208,0.299,0.308,0.607,11,10,R,A.Houser(45),0.1935483870967742,0.32432432432432434,0.22580645161290322,0.5501307759372276
5,Apr 12,True,MIL,"L,4-5",41,34,4,7,2,0,1,4,6,0,14,0,0,0,0,0,0,0,0.207,0.305,0.317,0.622,10,13,L,E.Lauer(46),0.20588235294117646,0.3170731707317073,0.35294117647058826,0.6700143472022956
6,Apr 13,True,MIL,"L,2-4",36,30,2,5,1,0,0,2,3,0,10,2,0,1,0,0,0,0,0.201,0.3,0.299,0.599,7,12,R,C.Burnes(78),0.16666666666666666,0.2777777777777778,0.2,0.4777777777777778
7,Apr 15,True,NYY,"W,2-1",47,36,2,6,1,0,0,2,10,1,9,0,1,0,0,0,0,0,0.196,0.309,0.283,0.591,15,13,L,J.Montgomery(61),0.16666666666666666,0.3404255319148936,0.19444444444444445,0.5348699763593381
8,Apr 16,True,NYY,"L,2-5",37,33,2,7,0,0,1,2,3,0,7,0,1,0,0,0,0,0,0.198,0.305,0.285,0.59,8,9,R,J.Taillon(51),0.21212121212121213,0.2702702702702703,0.30303030303030304,0.5733005733005734
9,Apr 17,True,NYY,"W,5-0",37,33,5,9,1,0,0,5,4,0,16,0,0,0,0,0,1,0,0.206,0.31,0.287,0.597,8,12,L,N.Cortés(72),0.2727272727272727,0.35135135135135137,0.30303030303030304,0.6543816543816544
10,Apr 18,False,OAK,"L,1-5",35,32,1,7,2,1,0,1,3,0,10,0,0,0,0,1,0,0,0.207,0.308,0.293,0.6,7,10,R,F.Montas(67),0.21875,0.2857142857142857,0.34375,0.6294642857142857
11,Apr 19,False,OAK,"L,1-2",38,35,1,8,1,0,0,1,3,0,8,0,0,0,0,0,0,0,0.209,0.306,0.289,0.595,10,11,L,C.Irvin(53),0.22857142857142856,0.2894736842105263,0.2571428571428571,0.5466165413533834
12,Apr 20,False,OAK,"W,1-0",34,31,1,5,2,0,0,0,1,0,7,2,0,0,1,1,0,1,0.206,0.301,0.284,0.585,6,10,R,D.Jefferies(69),0.16129032258064516,0.23529411764705882,0.22580645161290322,0.461100569259962
13,Apr 21,False,OAK,"L,4-6",34,31,4,7,2,0,0,4,1,0,9,1,0,1,1,1,0,1,0.207,0.298,0.285,0.583,3,10,R,P.Blackburn(61),0.22580645161290322,0.2647058823529412,0.2903225806451613,0.5550284629981025
