Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 7,True,MIL,"W,5-4",35,29,5,8,3,0,1,5,4,0,7,1,0,1,0,1,0,1,0.276,0.371,0.483,0.854,6,10,R,C.Burnes(48),0.27586206896551724,0.37142857142857144,0.4827586206896552,0.8541871921182267
2,Apr 9,True,MIL,"W,9-0",44,33,9,10,1,0,0,8,7,0,8,3,0,1,0,0,0,0,0.29,0.418,0.403,0.821,11,11,R,B.Woodruff(20),0.30303030303030304,0.45454545454545453,0.3333333333333333,0.7878787878787878
3,Apr 10,True,MIL,"L,4-5",36,30,4,4,1,0,1,3,6,0,13,0,0,0,0,1,1,1,0.239,0.374,0.359,0.733,5,12,R,F.Peralta(46),0.13333333333333333,0.2777777777777778,0.26666666666666666,0.5444444444444445
4,Apr 12,False,PIT,"W,2-1",34,32,2,8,1,0,2,2,2,0,9,0,0,0,0,2,0,1,0.242,0.356,0.387,0.743,5,10,L,J.Quintana(55),0.25,0.29411764705882354,0.46875,0.7628676470588236
5,Apr 13,False,PIT,"L,2-6",35,32,2,6,1,0,1,2,3,0,9,0,0,0,0,1,0,0,0.231,0.337,0.372,0.709,6,10,R,Z.Thompson(46),0.1875,0.2571428571428571,0.3125,0.5696428571428571
6,Apr 14,False,COL,"W,5-2",36,33,5,10,3,0,1,4,2,0,4,1,0,0,1,4,0,0,0.243,0.341,0.392,0.732,4,11,L,K.Freeland(29),0.30303030303030304,0.3611111111111111,0.48484848484848486,0.845959595959596
7,Apr 15,False,COL,"L,5-6",44,37,5,13,6,0,0,5,6,1,7,0,0,1,0,1,0,0,0.261,0.356,0.412,0.768,12,13,R,G.Márquez(29),0.35135135135135137,0.4318181818181818,0.5135135135135135,0.9453316953316953
8,Apr 16,False,COL,"L,6-9",39,37,6,13,4,1,0,6,1,0,4,0,1,0,1,2,0,0,0.274,0.358,0.426,0.783,6,9,R,A.Senzatela(51),0.35135135135135137,0.358974358974359,0.5135135135135135,0.8724878724878724
9,Apr 17,False,COL,"W,6-4",44,39,6,13,4,0,2,6,5,1,7,0,0,0,1,2,0,0,0.281,0.364,0.447,0.811,11,12,L,A.Gomber(27),0.3333333333333333,0.4090909090909091,0.5897435897435898,0.9988344988344988
10,Apr 18,True,TBR,"W,4-2",32,30,4,7,0,0,2,4,1,0,12,1,0,0,1,1,0,0,0.277,0.357,0.446,0.803,4,13,L,S.McClanahan(67),0.23333333333333334,0.28125,0.43333333333333335,0.7145833333333333
11,Apr 19,True,TBR,"L,5-6",37,32,5,5,1,1,1,4,4,0,6,1,0,0,0,0,0,0,0.266,0.349,0.437,0.786,5,11,R,M.Wisler(54),0.15625,0.2702702702702703,0.34375,0.6140202702702703
12,Apr 20,True,TBR,"L,2-8",23,20,2,4,1,0,0,2,3,0,6,0,0,0,1,0,0,0,0.263,0.347,0.427,0.774,6,10,R,D.Rasmussen(45),0.2,0.30434782608695654,0.25,0.5543478260869565
13,Apr 21,True,PIT,"L,3-4",35,29,3,4,0,0,0,3,5,0,12,0,0,1,0,1,1,0,0.254,0.34,0.407,0.747,5,10,R,B.Wilson(39),0.13793103448275862,0.2571428571428571,0.13793103448275862,0.39507389162561574
14,Apr 22,True,PIT,"L,2-4",37,33,2,7,1,0,0,2,4,0,10,0,0,0,0,1,0,0,0.251,0.337,0.395,0.732,8,12,L,J.Quintana(50),0.21212121212121213,0.2972972972972973,0.24242424242424243,0.5397215397215398
15,Apr 23,True,PIT,"W,21-0",53,48,21,23,4,0,1,19,4,0,3,1,0,0,0,1,2,0,0.273,0.355,0.417,0.772,8,10,R,Z.Thompson(11),0.4791666666666667,0.5283018867924528,0.625,1.1533018867924527
16,Apr 24,True,PIT,"L,3-4",41,37,3,10,4,0,1,2,4,2,11,0,0,0,2,2,0,0,0.273,0.354,0.42,0.774,11,11,R,J.Brubaker(49),0.2702702702702703,0.34146341463414637,0.4594594594594595,0.8009228740936059
17,Apr 26,False,ATL,"L,1-3",32,30,1,4,1,0,1,1,0,0,6,2,0,0,1,1,0,0,0.266,0.346,0.412,0.758,4,10,L,M.Fried(64),0.13333333333333333,0.1875,0.26666666666666666,0.45416666666666666
18,Apr 27,False,ATL,"W,6-3",45,38,6,11,4,0,1,6,6,0,10,0,0,1,0,0,0,1,0.267,0.348,0.416,0.764,10,11,R,C.Morton(34),0.2894736842105263,0.37777777777777777,0.47368421052631576,0.8514619883040935
19,Apr 28,False,ATL,"L,1-5",32,27,1,3,0,0,0,0,4,0,10,1,0,0,0,1,0,1,0.26,0.344,0.403,0.746,4,10,R,K.Wright(71),0.1111111111111111,0.25,0.1111111111111111,0.3611111111111111
