Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 8,True,SEA,"L,1-2",34,29,1,4,0,0,1,1,4,0,6,1,0,0,0,2,0,0,0.138,0.265,0.241,0.506,6,11,L,R.Ray(68),0.13793103448275862,0.2647058823529412,0.2413793103448276,0.5060851926977687
2,Apr 9,True,SEA,"L,3-4",34,31,3,4,0,0,2,3,2,0,14,1,0,0,0,0,0,0,0.133,0.235,0.283,0.519,4,9,R,L.Gilbert(63),0.12903225806451613,0.20588235294117646,0.3225806451612903,0.5284629981024668
3,Apr 10,True,SEA,"W,10-4",38,35,10,10,1,0,6,10,3,0,9,0,0,0,1,0,0,0,0.189,0.274,0.484,0.758,4,9,L,M.Gonzales(27),0.2857142857142857,0.34210526315789475,0.8285714285714286,1.1706766917293234
4,Apr 11,True,SEA,"W,4-0",36,32,4,10,3,0,0,4,3,0,8,0,0,0,0,1,1,0,0.22,0.298,0.465,0.762,8,10,R,C.Flexen(41),0.3125,0.3611111111111111,0.40625,0.7673611111111112
5,Apr 12,True,LAD,"L,2-7",37,33,2,5,3,0,0,1,3,0,9,1,0,0,0,0,0,0,0.206,0.287,0.419,0.705,8,12,L,A.Heaney(60),0.15151515151515152,0.24324324324324326,0.24242424242424243,0.4856674856674857
6,Apr 13,True,LAD,"L,0-7",29,28,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0.181,0.256,0.362,0.618,2,10,L,C.Kershaw(90),0.03571428571428571,0.06896551724137931,0.03571428571428571,0.10467980295566502
7,Apr 15,False,BOS,"W,8-4",44,34,8,9,4,0,1,8,8,0,13,2,0,0,0,1,2,1,0.194,0.287,0.378,0.665,9,12,R,N.Pivetta(30),0.2647058823529412,0.4318181818181818,0.47058823529411764,0.9024064171122994
8,Apr 16,False,BOS,"L,0-4",33,29,0,5,1,0,0,0,4,0,10,0,0,0,0,2,0,1,0.191,0.285,0.359,0.644,6,9,R,T.Houck(66),0.1724137931034483,0.2727272727272727,0.20689655172413793,0.4796238244514106
9,Apr 17,False,BOS,"L,1-8",33,29,1,4,0,0,0,1,3,0,10,0,0,1,0,1,0,0,0.186,0.278,0.336,0.613,5,10,R,M.Wacha(68),0.13793103448275862,0.21212121212121213,0.13793103448275862,0.3500522466039707
10,Apr 18,False,BOS,"W,8-3",42,35,8,9,0,0,2,6,7,1,6,0,0,0,0,1,1,0,0.194,0.29,0.346,0.636,7,11,L,R.Hill(36),0.2571428571428571,0.38095238095238093,0.42857142857142855,0.8095238095238095
11,Apr 19,False,KCR,"L,3-4",39,35,3,9,3,1,0,3,4,0,5,0,0,0,0,0,0,0,0.2,0.294,0.351,0.645,9,11,R,C.Hernández(34),0.2571428571428571,0.3333333333333333,0.4,0.7333333333333334
12,Apr 20,False,KCR,"L,0-2",32,29,0,5,0,0,0,0,2,0,6,1,0,0,0,3,0,0,0.198,0.291,0.338,0.628,5,12,L,D.Lynch(60),0.1724137931034483,0.25,0.1724137931034483,0.4224137931034483
13,Apr 21,False,KCR,"W,1-0",34,31,1,8,0,0,0,1,2,0,5,0,0,1,0,2,0,0,0.202,0.291,0.332,0.623,6,10,R,Z.Greinke(51),0.25806451612903225,0.29411764705882354,0.25806451612903225,0.5521821631878558
14,Apr 22,True,CHW,"W,2-1",30,27,2,5,2,0,0,1,3,0,9,0,0,0,0,1,0,1,0.201,0.289,0.327,0.617,4,11,R,M.Kopech(67),0.18518518518518517,0.26666666666666666,0.25925925925925924,0.5259259259259259
15,Apr 23,True,CHW,"W,9-2",43,38,9,14,2,0,2,9,4,0,11,1,0,0,0,0,0,0,0.215,0.302,0.347,0.649,10,11,R,V.Velasquez(29),0.3684210526315789,0.4418604651162791,0.5789473684210527,1.0208078335373316
16,Apr 24,True,CHW,"W,6-4",46,36,6,9,0,0,2,6,9,0,14,0,0,1,0,0,0,0,0.217,0.309,0.352,0.661,13,11,R,L.Giolito(56),0.25,0.391304347826087,0.4166666666666667,0.8079710144927537
17,Apr 26,True,DET,"W,5-4",34,29,5,5,1,0,1,3,5,0,10,0,0,0,0,1,0,0,0.215,0.308,0.35,0.658,4,12,L,E.Rodríguez(56),0.1724137931034483,0.29411764705882354,0.3103448275862069,0.6044624746450304
18,Apr 27,True,DET,"W,5-0",34,31,5,9,3,0,3,5,3,0,3,0,0,0,0,1,0,1,0.219,0.31,0.368,0.678,5,9,R,M.Pineda(39),0.2903225806451613,0.35294117647058826,0.6774193548387096,1.0303605313092978
19,Apr 28,True,DET,"W,7-1",39,35,7,12,2,0,0,6,3,0,8,0,1,0,0,1,0,0,0.226,0.315,0.37,0.685,8,9,L,T.Skubal(33),0.34285714285714286,0.38461538461538464,0.4,0.7846153846153847
20,Apr 29,False,TBR,"L,1-6",30,29,1,3,1,0,0,1,0,0,8,1,0,0,0,0,0,0,0.22,0.307,0.359,0.666,2,9,R,C.Kluber(72),0.10344827586206896,0.13333333333333333,0.13793103448275862,0.271264367816092
21,Apr 30,False,TBR,"W,9-1",45,42,9,14,4,0,3,9,3,0,14,0,0,0,1,0,0,0,0.227,0.312,0.377,0.688,9,12,L,S.McClanahan(56),0.3333333333333333,0.37777777777777777,0.6428571428571429,1.0206349206349206
22,May 1,False,TBR,"W,9-3",43,40,9,13,4,0,1,9,3,0,8,0,0,0,1,1,0,0,0.233,0.315,0.384,0.698,7,10,L,J.Fleming(27),0.325,0.37209302325581395,0.5,0.872093023255814
23,May 2,False,BAL,"W,2-1",33,32,2,7,1,0,0,2,1,0,8,0,0,0,0,1,0,1,0.232,0.312,0.378,0.69,4,10,R,T.Wells(59),0.21875,0.24242424242424243,0.25,0.49242424242424243
24,May 3,False,BAL,"W,7-2",41,35,7,10,7,0,1,7,3,0,7,2,0,1,0,0,0,0,0.235,0.314,0.386,0.701,7,10,L,B.Zimmermann(53),0.2857142857142857,0.36585365853658536,0.5714285714285714,0.9372822299651568
25,May 4,False,BAL,"L,4-9",34,28,4,8,0,0,1,4,4,0,6,1,0,1,0,4,0,0,0.236,0.317,0.387,0.704,3,9,R,K.Bradish(35),0.2857142857142857,0.38235294117647056,0.39285714285714285,0.7752100840336134
26,May 5,False,BAL,"L,3-5",37,32,3,9,1,0,1,3,4,0,5,1,0,0,0,1,0,1,0.238,0.319,0.387,0.707,7,10,R,S.Watkins(38),0.28125,0.3783783783783784,0.40625,0.7846283783783784
27,May 6,True,OAK,"W,2-1",36,32,2,8,2,0,2,2,4,0,8,0,0,0,0,0,0,0,0.239,0.32,0.392,0.711,10,9,L,Z.Logue(52),0.25,0.3333333333333333,0.5,0.8333333333333333
28,May 7,True,OAK,"W,1-0",31,28,1,5,2,0,1,1,2,0,9,1,0,0,1,1,0,0,0.237,0.318,0.39,0.708,6,10,R,J.Kaprielian(64),0.17857142857142858,0.25806451612903225,0.35714285714285715,0.6152073732718895
29,May 8,True,OAK,"W,4-3",33,31,4,9,3,0,0,4,1,0,5,0,0,1,1,2,1,0,0.239,0.317,0.39,0.708,5,9,R,D.Jefferies(40),0.2903225806451613,0.30303030303030304,0.3870967741935484,0.6901270772238515
30,May 10,True,HOU,"L,0-5",29,27,0,3,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0.235,0.314,0.383,0.696,2,9,R,J.Verlander(83),0.1111111111111111,0.1724137931034483,0.1111111111111111,0.2835249042145594
31,May 11 susp,True,HOU,"L,3-11",42,37,3,10,3,0,0,3,3,0,10,1,0,1,1,0,0,0,0.236,0.314,0.381,0.696,12,12,R,J.Urquidy(52),0.2702702702702703,0.3333333333333333,0.35135135135135137,0.6846846846846847
32,May 12,True,HOU,"L,0-5",36,34,0,7,2,0,0,0,2,0,13,0,0,0,0,0,0,0,0.235,0.312,0.378,0.69,9,10,R,L.García(64),0.20588235294117646,0.25,0.2647058823529412,0.5147058823529411
33,May 13,True,CLE,"W,12-8",41,34,12,13,3,0,4,11,5,0,8,1,0,1,0,2,0,0,0.24,0.318,0.392,0.709,5,9,R,A.Civale(29),0.38235294117647056,0.4634146341463415,0.8235294117647058,1.2869440459110473
34,May 14,True,CLE,"L,2-3",43,39,2,10,2,0,1,2,3,0,9,1,0,0,0,1,1,0,0.241,0.318,0.392,0.709,12,10,R,S.Bieber(58),0.2564102564102564,0.32558139534883723,0.38461538461538464,0.7101967799642219
35,May 15,True,CLE,"W,3-1",30,28,3,4,0,0,2,3,2,0,4,0,0,0,0,0,1,0,0.238,0.315,0.391,0.706,3,9,R,T.McKenzie(61),0.14285714285714285,0.2,0.35714285714285715,0.5571428571428572
36,May 16,False,OAK,"W,3-1",38,34,3,8,2,0,1,3,3,0,7,0,1,0,0,0,0,0,0.238,0.315,0.39,0.705,8,10,L,Z.Logue(45),0.23529411764705882,0.2894736842105263,0.38235294117647056,0.6718266253869969
37,May 17,False,OAK,"L,2-5",37,34,2,7,1,0,2,2,3,0,10,0,0,0,0,0,0,0,0.237,0.313,0.391,0.704,8,10,R,J.Kaprielian(57),0.20588235294117646,0.2702702702702703,0.4117647058823529,0.6820349761526232
38,May 18,False,OAK,"W,14-4",50,38,14,14,5,0,0,14,10,0,7,1,0,1,0,1,2,0,0.241,0.32,0.394,0.714,9,12,R,D.Jefferies(26),0.3684210526315789,0.5,0.5,1.0
39,May 20,False,KCR,"W,6-4",41,33,6,7,2,0,0,6,6,0,6,0,0,2,2,0,0,1,0.24,0.32,0.391,0.711,8,10,L,D.Lynch(35),0.21212121212121213,0.3170731707317073,0.2727272727272727,0.5898004434589801
40,May 21,False,KCR,"W,9-2",41,31,9,9,3,0,0,8,6,0,5,0,2,2,0,1,1,0,0.242,0.322,0.391,0.713,5,9,R,B.Keller(52),0.2903225806451613,0.36585365853658536,0.3870967741935484,0.7529504327301337
41,May 22,False,KCR,"W,7-6",44,35,7,12,1,1,1,7,7,0,6,0,0,2,0,2,0,0,0.244,0.325,0.394,0.719,10,11,R,B.Singer(69),0.34285714285714286,0.4318181818181818,0.5142857142857142,0.9461038961038961
42,May 23,True,DET,"W,5-4",35,31,5,7,0,0,1,5,4,0,8,0,0,0,0,1,0,0,0.244,0.325,0.393,0.717,5,11,R,E.Rodríguez(44),0.22580645161290322,0.3142857142857143,0.3225806451612903,0.6368663594470045
43,May 24,True,DET,"W,2-0",34,30,2,8,2,0,0,2,4,0,8,0,0,0,0,1,0,0,0.244,0.325,0.391,0.717,8,9,R,B.Brieske(44),0.26666666666666666,0.35294117647058826,0.3333333333333333,0.6862745098039216
44,May 25,True,DET,"L,2-4",41,38,2,7,1,0,1,2,2,0,13,1,0,0,1,0,0,0,0.243,0.323,0.389,0.712,10,11,R,R.García(51),0.18421052631578946,0.24390243902439024,0.2894736842105263,0.5333761232349166
45,May 26,True,KCR,"L,2-3",41,39,2,12,1,0,0,2,2,0,10,0,0,0,0,0,0,0,0.244,0.324,0.387,0.711,12,12,L,D.Lynch(50),0.3076923076923077,0.34146341463414637,0.3333333333333333,0.6747967479674797
46,May 27,True,KCR,"W,10-7",47,38,10,15,1,1,2,10,7,1,4,0,1,1,1,0,0,0,0.248,0.328,0.393,0.721,13,9,R,B.Keller(16),0.39473684210526316,0.46808510638297873,0.631578947368421,1.0996640537513998
47,May 28,True,KCR,"L,3-7",41,38,3,11,1,0,1,3,3,0,10,0,0,0,0,0,0,0,0.249,0.328,0.393,0.721,11,11,R,B.Singer(53),0.2894736842105263,0.34146341463414637,0.39473684210526316,0.7362002567394095
48,May 29,True,KCR,"W,7-3",38,34,7,11,3,0,3,7,3,0,5,1,0,0,0,0,0,0,0.251,0.329,0.399,0.729,7,10,R,Z.Greinke(30),0.3235294117647059,0.39473684210526316,0.6764705882352942,1.0712074303405572
49,May 30,False,DET,"L,5-7",38,36,5,10,1,0,3,4,2,0,7,0,0,0,0,1,0,0,0.251,0.329,0.403,0.732,6,10,R,B.Brieske(43),0.2777777777777778,0.3157894736842105,0.5555555555555556,0.8713450292397661
50,May 31 (1),False,DET,"W,8-2",40,38,8,9,2,0,1,8,2,0,12,0,0,0,2,0,0,0,0.251,0.328,0.402,0.73,5,9,R,R.García(35),0.23684210526315788,0.275,0.3684210526315789,0.6434210526315789
51,May 31 (2),False,DET,"L,0-4",32,30,0,3,1,0,0,0,2,0,8,0,0,0,0,0,0,0,0.248,0.325,0.397,0.723,5,9,L,J.Wentz(64),0.1,0.15625,0.13333333333333333,0.2895833333333333
52,Jun 1,False,DET,"L,0-5",30,29,0,2,0,0,0,0,1,0,9,0,0,0,1,1,0,0,0.245,0.322,0.392,0.713,3,9,L,T.Skubal(78),0.06896551724137931,0.1,0.06896551724137931,0.16896551724137931
53,Jun 2,False,DET,"L,2-3",37,32,2,5,2,0,0,2,5,0,9,0,0,0,0,0,2,0,0.244,0.321,0.389,0.709,8,10,R,A.Faedo(52),0.15625,0.2702702702702703,0.21875,0.4890202702702703
54,Jun 3,False,TOR,"W,9-3",39,37,9,12,2,0,5,9,1,0,12,1,0,0,0,1,1,0,0.245,0.321,0.397,0.718,3,11,L,Y.Kikuchi(40),0.32432432432432434,0.358974358974359,0.7837837837837838,1.1427581427581428
