Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
1,Apr 7,False,WSN,"W,5-1",42,35,5,12,2,0,0,5,4,0,9,3,0,0,0,2,0,1,0.343,0.452,0.4,0.852,10,11,L,P.Corbin(46),0.34285714285714286,0.4523809523809524,0.4,0.8523809523809525
2,Apr 8,False,WSN,"W,7-3",45,37,7,13,3,1,1,7,6,0,10,1,1,0,0,0,0,0,0.347,0.453,0.486,0.94,11,11,R,J.Gray(33),0.35135135135135137,0.4444444444444444,0.5675675675675675,1.012012012012012
3,Apr 9,False,WSN,"W,5-0",41,35,5,9,2,0,1,4,5,0,8,1,0,0,0,0,2,0,0.318,0.425,0.458,0.883,9,9,R,J.Adon(38),0.2571428571428571,0.36585365853658536,0.4,0.7658536585365854
4,Apr 10,False,WSN,"L,2-4",37,33,2,7,1,0,1,2,4,0,9,0,0,0,0,0,1,0,0.293,0.396,0.429,0.825,8,10,R,E.Fedde(52),0.21212121212121213,0.2972972972972973,0.3333333333333333,0.6306306306306306
5,Apr 11,False,PHI,"L,4-5",37,33,4,7,0,0,0,4,3,0,6,0,1,0,2,2,1,0,0.277,0.375,0.387,0.762,6,10,L,R.Suárez(36),0.21212121212121213,0.2702702702702703,0.21212121212121213,0.48239148239148244
6,Apr 12,False,PHI,"W,2-0",34,29,2,3,0,0,1,2,3,0,8,2,0,0,0,0,1,1,0.252,0.355,0.361,0.716,5,9,R,Z.Wheeler(58),0.10344827586206896,0.23529411764705882,0.20689655172413793,0.4421906693711968
7,Apr 13,False,PHI,"W,9-6",43,33,9,9,3,1,2,9,6,0,10,3,0,1,0,2,0,0,0.255,0.365,0.396,0.76,7,9,R,A.Nola(44),0.2727272727272727,0.4186046511627907,0.6060606060606061,1.0246652572233967
8,Apr 15,True,ARI,"W,10-3",41,34,10,12,1,0,4,10,4,0,5,1,0,2,0,0,2,0,0.268,0.371,0.439,0.81,7,11,R,Z.Davies(32),0.35294117647058826,0.4146341463414634,0.7352941176470589,1.1499282639885222
9,Apr 16,True,ARI,"L,2-3",34,30,2,5,0,0,1,2,3,0,6,1,0,0,0,1,0,0,0.258,0.361,0.421,0.782,5,13,R,Z.Gallen(59),0.16666666666666666,0.2647058823529412,0.26666666666666666,0.5313725490196078
10,Apr 17,True,ARI,"W,5-0",36,29,5,6,1,0,1,4,6,0,2,0,0,1,0,0,2,0,0.253,0.358,0.415,0.773,7,11,R,H.Castellanos(58),0.20689655172413793,0.3333333333333333,0.3448275862068966,0.6781609195402298
11,Apr 19 (1),True,SFG,"W,5-4",39,35,5,8,3,0,0,4,3,0,9,0,1,0,0,0,2,0,0.251,0.352,0.405,0.757,7,13,R,A.Cobb(41),0.22857142857142856,0.28205128205128205,0.3142857142857143,0.5963369963369963
12,Apr 19 (2),True,SFG,"W,3-1",34,31,3,8,2,0,0,3,3,0,7,0,0,0,0,1,0,0,0.251,0.35,0.398,0.748,7,10,R,L.Webb(35),0.25806451612903225,0.3235294117647059,0.3225806451612903,0.6461100569259962
13,Apr 20,True,SFG,"L,2-5",39,35,2,9,1,0,0,2,4,0,11,0,0,0,0,0,0,1,0.252,0.349,0.389,0.738,10,12,L,C.Rodón(67),0.2571428571428571,0.3333333333333333,0.2857142857142857,0.6190476190476191
14,Apr 21,True,SFG,"W,6-2",39,34,6,12,1,0,2,6,4,0,6,0,0,1,0,0,0,1,0.259,0.353,0.402,0.755,9,9,R,A.DeSclafani(32),0.35294117647058826,0.41025641025641024,0.5588235294117647,0.969079939668175
15,Apr 22,False,ARI,"W,6-5",40,38,6,9,1,0,1,6,1,0,7,0,0,1,0,0,0,0,0.257,0.346,0.397,0.743,5,11,R,Z.Gallen(65),0.23684210526315788,0.25,0.34210526315789475,0.5921052631578947
16,Apr 23,False,ARI,"L,2-5",35,32,2,7,1,1,0,2,3,0,10,0,0,0,0,1,0,0,0.255,0.343,0.392,0.735,6,11,R,H.Castellanos(55),0.21875,0.2857142857142857,0.3125,0.5982142857142857
17,Apr 24,False,ARI,"W,6-2",41,37,6,10,2,0,1,4,2,0,6,2,0,0,1,1,1,0,0.256,0.343,0.393,0.735,8,11,L,M.Bumgarner(61),0.2702702702702703,0.34146341463414637,0.40540540540540543,0.7468688200395518
