Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,LAD,"L,2-8",30,28,2,4,1,0,0,2,0,0,8,1,0,1,1,2,0,0,0.143,0.167,0.179,0.345,1,9,L,J.Urías(62),0.14285714285714285,0.16666666666666666,0.17857142857142858,0.34523809523809523
1,1,1,1,2,Mar 31,False,LAD,"W,2-1",35,34,2,7,2,0,1,2,1,0,5,0,0,0,0,0,0,0,0.177,0.2,0.274,0.474,6,15,R,D.May(74),0.20588235294117646,0.22857142857142856,0.35294117647058826,0.5815126050420169
2,2,2,2,3,Apr 1,False,LAD,"L,1-10",32,32,1,5,2,0,1,1,0,0,10,0,0,0,1,1,0,0,0.17,0.186,0.287,0.473,4,11,L,C.Kershaw(69),0.15625,0.15625,0.3125,0.46875
3,3,3,3,4,Apr 2,False,LAD,"W,2-1",34,33,2,9,2,0,0,2,0,0,6,1,0,0,0,2,4,0,0.197,0.214,0.299,0.513,5,9,R,N.Syndergaard(66),0.2727272727272727,0.29411764705882354,0.3333333333333333,0.6274509803921569
4,4,4,4,5,Apr 3,False,SDP,"L,4-5",35,34,4,9,1,0,2,3,1,0,8,0,0,0,0,2,0,0,0.211,0.229,0.335,0.564,4,10,L,R.Weathers(50),0.2647058823529412,0.2857142857142857,0.47058823529411764,0.7563025210084033
5,5,5,5,6,Apr 4,False,SDP,"W,8-6",43,31,8,9,2,0,0,7,7,0,5,2,1,2,0,2,5,1,0.224,0.269,0.339,0.608,8,9,R,Y.Darvish(56),0.2903225806451613,0.4186046511627907,0.3548387096774194,0.77344336084021
6,6,6,6,7,Apr 6,True,LAD,"L,2-5",35,32,2,5,3,1,0,1,3,0,8,0,0,0,0,0,0,0,0.214,0.263,0.335,0.598,6,10,R,D.May(67),0.15625,0.22857142857142856,0.3125,0.5410714285714285
7,7,7,7,8,Apr 7,True,LAD,"W,6-3",36,33,6,10,3,0,2,6,2,0,5,1,0,0,0,1,1,0,0.226,0.276,0.366,0.642,6,12,L,C.Kershaw(44),0.30303030303030304,0.3611111111111111,0.5757575757575758,0.9368686868686869
8,8,8,8,9,Apr 8,True,LAD,"W,12-8",42,39,12,17,4,2,2,12,0,0,6,2,0,1,0,0,2,0,0.253,0.299,0.422,0.721,6,9,R,N.Syndergaard(24),0.4358974358974359,0.4523809523809524,0.7948717948717948,1.2472527472527473
9,9,9,9,10,Apr 9,True,LAD,"W,11-6",44,40,11,16,4,0,0,11,4,0,10,0,0,0,0,0,5,0,0.271,0.318,0.432,0.749,9,9,R,M.Grove(3),0.4,0.45454545454545453,0.5,0.9545454545454546
10,10,10,10,11,Apr 10,True,MIL,"W,3-0",35,32,3,8,2,0,1,3,3,0,6,0,0,0,0,1,0,0,0.269,0.318,0.429,0.747,8,10,L,W.Miley(45),0.25,0.3142857142857143,0.40625,0.7205357142857143
11,11,11,11,12,Apr 11,True,MIL,"L,1-7",31,30,1,4,0,0,0,1,1,0,8,0,0,0,0,1,0,0,0.259,0.306,0.407,0.713,3,9,R,C.Burnes(84),0.13333333333333333,0.16129032258064516,0.13333333333333333,0.2946236559139785
12,12,12,12,13,Apr 12,True,MIL,"W,7-3",39,36,7,12,5,0,2,7,2,0,3,0,0,0,1,0,0,0,0.265,0.311,0.426,0.738,8,9,R,J.Junk(32),0.3333333333333333,0.358974358974359,0.6388888888888888,0.9978632478632479
13,13,13,13,14,Apr 14,False,MIA,"L,1-5",34,33,1,6,0,0,0,1,1,0,8,0,0,0,0,0,1,0,0.259,0.304,0.409,0.713,6,11,L,T.Rogers(64),0.18181818181818182,0.20588235294117646,0.18181818181818182,0.3877005347593583
