Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,WSN,"W,7-2",46,40,7,12,2,0,0,5,6,0,7,0,0,0,1,1,2,0,0.3,0.391,0.35,0.741,12,10,L,P.Corbin(33),0.3,0.391304347826087,0.35,0.741304347826087
1,1,1,1,2,Apr 1,False,WSN,"W,7-1",37,35,7,11,0,0,4,6,2,0,8,0,0,0,0,3,0,0,0.307,0.373,0.493,0.867,3,9,R,J.Gray(35),0.3142857142857143,0.35135135135135137,0.6571428571428571,1.0084942084942086
2,2,2,2,3,Apr 2,False,WSN,"L,1-4",33,28,1,4,1,0,0,1,5,0,6,0,0,0,0,3,0,0,0.262,0.345,0.408,0.753,5,9,L,M.Gore(60),0.14285714285714285,0.2727272727272727,0.17857142857142858,0.4512987012987013
3,3,3,3,4,Apr 3,False,STL,"W,8-4",40,35,8,10,3,0,3,8,5,0,9,0,0,0,0,1,0,1,0.268,0.353,0.464,0.816,5,9,R,J.Woodford(25),0.2857142857142857,0.375,0.6285714285714286,1.0035714285714286
4,4,4,4,5,Apr 4,False,STL,"W,4-1",38,37,4,12,1,0,2,4,1,0,12,0,0,0,0,1,1,0,0.28,0.351,0.474,0.825,7,10,L,S.Matz(38),0.32432432432432434,0.34210526315789475,0.5135135135135135,0.8556187766714083
5,5,5,5,6,Apr 5,False,STL,"W,5-2",38,36,5,10,3,0,1,5,1,0,8,0,0,1,0,0,1,0,0.28,0.341,0.469,0.81,6,9,R,M.Mikolas(39),0.2777777777777778,0.2894736842105263,0.4444444444444444,0.7339181286549707
6,6,6,6,7,Apr 6,True,SDP,"W,7-6",45,37,7,13,5,0,1,7,7,0,7,0,0,1,0,1,1,0,0.29,0.357,0.484,0.841,12,11,L,B.Snell(31),0.35135135135135137,0.4444444444444444,0.5675675675675675,1.012012012012012
7,7,7,7,8,Apr 7,True,SDP,"L,4-5",41,33,4,6,0,0,1,3,8,0,9,0,0,0,1,1,2,0,0.278,0.355,0.459,0.814,10,9,R,N.Martínez(39),0.18181818181818182,0.34146341463414637,0.2727272727272727,0.6141906873614191
8,8,8,8,9,Apr 8,True,SDP,"L,1-4",35,32,1,5,2,0,0,1,3,0,15,0,0,0,0,0,0,0,0.265,0.343,0.435,0.777,7,11,R,M.Wacha(77),0.15625,0.22857142857142856,0.21875,0.44732142857142854
9,9,9,9,10,Apr 9,True,SDP,"L,2-10",39,33,2,8,0,0,0,2,5,0,9,1,0,0,0,2,1,0,0.263,0.344,0.416,0.761,10,11,R,S.Lugo(59),0.24242424242424243,0.358974358974359,0.24242424242424243,0.6013986013986015
