Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,BOS,"W,10-9",49,38,10,15,4,0,2,9,9,0,8,1,1,0,0,1,5,0,0.395,0.521,0.658,1.179,12,10,R,C.Kluber(28),0.39473684210526316,0.5102040816326531,0.6578947368421053,1.1680988184747583
1,1,1,1,2,Apr 1,False,BOS,"L,8-9",43,38,8,13,3,0,3,8,4,0,11,1,0,0,0,1,5,0,0.368,0.473,0.658,1.13,8,10,L,C.Sale(21),0.34210526315789475,0.4186046511627907,0.6578947368421053,1.076499388004896
2,2,2,2,3,Apr 2,False,BOS,"L,5-9",38,36,5,10,2,0,2,5,2,0,10,0,0,0,0,1,0,0,0.339,0.426,0.607,1.033,6,10,R,T.Houck(49),0.2777777777777778,0.3157894736842105,0.5,0.8157894736842105
3,3,3,3,4,Apr 3,False,TEX,"W,2-0",33,29,2,4,0,0,2,2,4,0,12,0,0,0,0,2,1,0,0.298,0.389,0.553,0.942,4,10,R,J.Gray(62),0.13793103448275862,0.24242424242424243,0.3448275862068966,0.587251828631139
4,4,4,4,5,Apr 4,False,TEX,"W,7-2",39,35,7,8,3,0,2,7,3,0,6,1,0,0,0,0,0,0,0.284,0.373,0.54,0.913,5,9,L,A.Heaney(16),0.22857142857142856,0.3076923076923077,0.4857142857142857,0.7934065934065935
5,5,5,5,6,Apr 5,False,TEX,"L,2-5",32,29,2,2,1,0,0,2,3,0,15,0,0,0,0,0,0,1,0.254,0.343,0.478,0.821,3,10,R,J.deGrom(71),0.06896551724137931,0.15625,0.10344827586206896,0.25969827586206895
6,6,6,6,7,Apr 7,True,NYY,"W,7-6",41,34,7,10,4,0,0,6,6,0,10,0,0,1,0,0,2,0,0.259,0.35,0.469,0.819,10,10,R,C.Schmidt(34),0.29411764705882354,0.3902439024390244,0.4117647058823529,0.8020086083213773
7,7,7,7,8,Apr 8,True,NYY,"L,1-4",35,30,1,4,0,0,0,1,4,0,8,0,0,1,0,0,1,0,0.245,0.337,0.431,0.768,7,10,R,J.Brito(57),0.13333333333333333,0.22857142857142856,0.13333333333333333,0.3619047619047619
8,8,8,8,9,Apr 9,True,NYY,"L,3-5",35,32,3,6,2,0,1,3,3,0,11,0,0,0,0,1,1,0,0.239,0.328,0.422,0.75,5,12,L,N.Cortés(55),0.1875,0.2571428571428571,0.34375,0.6008928571428571
9,9,9,9,10,Apr 10,True,OAK,"W,5-1",34,30,5,6,1,0,3,5,3,0,8,1,0,0,0,0,1,0,0.236,0.325,0.432,0.757,5,10,L,J.Sears(52),0.2,0.29411764705882354,0.5333333333333333,0.8274509803921568
10,10,10,10,11,Apr 11,True,OAK,"W,12-8",43,34,12,12,3,0,3,12,6,1,9,1,1,1,0,0,1,0,0.247,0.338,0.458,0.796,7,12,L,K.Muller(24),0.35294117647058826,0.4418604651162791,0.7058823529411765,1.1477428180574556
11,11,11,11,12,Apr 12,True,OAK,"L,4-8",37,33,4,8,2,0,0,4,3,0,7,0,0,1,1,2,0,0,0.246,0.335,0.445,0.78,6,10,L,K.Waldichuk(52),0.24242424242424243,0.2972972972972973,0.30303030303030304,0.6003276003276004
12,12,12,12,13,Apr 13,True,OAK,"W,8-7",38,33,8,12,1,0,2,8,2,0,7,1,0,2,0,0,2,0,0.255,0.339,0.455,0.794,6,9,R,A.Oller(14),0.36363636363636365,0.39473684210526316,0.5757575757575758,0.970494417862839
13,13,13,13,14,Apr 14,False,CHW,"W,6-3",41,32,6,7,4,0,0,6,9,0,10,0,0,0,0,2,2,0,0.253,0.343,0.447,0.79,8,12,R,M.Clevinger(70),0.21875,0.3902439024390244,0.34375,0.7339939024390244
14,14,14,14,15,Apr 15,False,CHW,"L,6-7",48,36,6,11,1,1,2,6,10,0,7,1,1,0,0,3,1,1,0.257,0.353,0.455,0.808,13,17,R,M.Kopech(43),0.3055555555555556,0.4583333333333333,0.5555555555555556,1.0138888888888888
15,15,15,15,16,Apr 16,False,CHW,"W,8-4",47,39,8,12,1,1,0,7,7,1,7,0,0,1,1,0,2,0,0.26,0.357,0.45,0.807,12,10,R,D.Cease(48),0.3076923076923077,0.40425531914893614,0.38461538461538464,0.7888707037643208
16,16,16,16,17,Apr 18,False,WSN,"W,1-0",34,30,1,5,2,0,0,1,4,0,7,0,0,0,0,0,1,1,0.255,0.352,0.438,0.791,6,10,R,J.Gray(54),0.16666666666666666,0.2647058823529412,0.23333333333333334,0.4980392156862745
17,17,17,17,18,Apr 19,False,WSN,"W,4-0",35,30,4,4,0,0,1,4,5,0,10,0,0,0,1,2,0,0,0.249,0.348,0.428,0.776,4,11,L,M.Gore(57),0.13333333333333333,0.2571428571428571,0.23333333333333334,0.49047619047619045
18,18,18,18,19,Apr 21,True,DET,"W,2-1",32,31,2,7,2,0,1,2,1,0,8,0,0,0,0,2,0,0,0.248,0.343,0.426,0.769,5,10,R,M.Lorenzen(64),0.22580645161290322,0.25,0.3870967741935484,0.6370967741935484
19,19,19,19,20,Apr 22,True,DET,"W,5-1",33,30,5,6,1,0,1,5,3,0,10,0,0,0,0,0,0,0,0.246,0.34,0.422,0.762,4,11,L,J.Wentz(32),0.2,0.2727272727272727,0.3333333333333333,0.606060606060606
20,20,20,20,21,Apr 23,True,DET,"W,2-1",32,30,2,3,1,0,0,1,1,0,9,0,1,0,0,0,0,0,0.239,0.332,0.409,0.741,3,12,L,E.Rodríguez(81),0.1,0.125,0.13333333333333333,0.2583333333333333
21,21,21,21,22,Apr 24,True,BOS,"W,5-4",33,32,5,13,4,0,0,5,1,0,0,0,0,0,0,4,0,1,0.247,0.336,0.415,0.75,4,10,L,C.Sale(28),0.40625,0.42424242424242425,0.53125,0.9554924242424243
22,22,22,22,23,Apr 25,True,BOS,"L,6-8",39,39,6,11,0,0,3,6,0,0,4,0,0,0,0,0,0,0,0.249,0.333,0.42,0.753,6,10,R,C.Kluber(61),0.28205128205128205,0.28205128205128205,0.5128205128205128,0.7948717948717948
23,23,23,23,24,Apr 26,True,BOS,"W,6-2",39,30,6,11,1,0,0,6,4,0,4,0,2,3,1,1,1,0,0.253,0.336,0.419,0.755,9,10,R,T.Houck(39),0.36666666666666664,0.38461538461538464,0.4,0.7846153846153847
24,24,24,24,25,Apr 27,False,DET,"W,7-4",39,34,7,9,1,1,1,7,3,0,6,0,0,2,0,0,3,0,0.254,0.335,0.42,0.755,5,9,L,J.Wentz(58),0.2647058823529412,0.3076923076923077,0.4411764705882353,0.748868778280543
25,25,25,25,26,Apr 29 (1),False,DET,"L,4-7",38,35,4,9,2,0,2,4,3,0,7,0,0,0,0,1,0,0,0.254,0.334,0.423,0.757,7,12,L,E.Rodríguez(60),0.2571428571428571,0.3157894736842105,0.4857142857142857,0.8015037593984962
26,26,26,26,27,Apr 29 (2),False,DET,"W,6-4",39,36,6,11,0,0,1,5,3,0,5,0,0,0,0,1,0,1,0.256,0.335,0.421,0.757,6,12,L,M.Boyd(31),0.3055555555555556,0.358974358974359,0.3888888888888889,0.7478632478632479
27,27,27,27,28,Apr 30,False,DET,"W,5-3",38,34,5,9,4,0,2,5,3,0,6,0,0,1,1,2,1,0,0.256,0.335,0.426,0.761,6,11,R,S.Turnbull(43),0.2647058823529412,0.3157894736842105,0.5588235294117647,0.8746130030959752
28,28,28,28,29,May 2,False,KCR,"W,11-7",49,41,11,15,3,0,2,11,8,0,14,0,0,0,0,0,0,1,0.261,0.341,0.433,0.774,11,11,L,R.Yarbrough(33),0.36585365853658536,0.46938775510204084,0.5853658536585366,1.0547536087605773
29,29,29,29,30,May 3,False,KCR,"L,0-6",32,31,0,6,1,0,0,0,1,0,6,0,0,0,0,2,0,0,0.259,0.337,0.427,0.764,5,12,R,Z.Greinke(64),0.1935483870967742,0.21875,0.22580645161290322,0.44455645161290325
30,30,30,30,31,May 4,False,KCR,"W,13-10",47,37,13,10,3,0,2,12,9,0,6,1,0,0,1,1,5,0,0.259,0.341,0.43,0.77,7,11,R,J.Lyles(28),0.2702702702702703,0.425531914893617,0.5135135135135135,0.9390454284071306
31,31,31,31,32,May 5,False,ATL,"W,9-4",44,39,9,12,2,0,3,8,3,0,12,1,1,0,0,0,0,0,0.261,0.342,0.435,0.777,8,12,L,M.Fried(37),0.3076923076923077,0.36363636363636365,0.5897435897435898,0.9533799533799534
