Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,BAL,"L,9-10",41,35,9,11,2,1,0,8,3,0,9,2,0,1,0,2,0,0,0.314,0.39,0.429,0.819,5,12,R,K.Gibson(41),0.3142857142857143,0.3902439024390244,0.42857142857142855,0.8188153310104529
1,1,1,1,2,Apr 1,True,BAL,"W,9-8",41,37,9,11,3,1,4,8,2,0,8,2,0,0,1,0,0,0,0.306,0.378,0.597,0.975,6,12,R,D.Kremer(29),0.2972972972972973,0.36585365853658536,0.7567567567567568,1.1226104152933423
2,2,2,2,3,Apr 2,True,BAL,"W,9-5",43,38,9,14,2,0,1,9,4,0,7,0,1,0,1,0,1,0,0.327,0.395,0.564,0.959,10,11,L,C.Irvin(24),0.3684210526315789,0.4186046511627907,0.5,0.9186046511627908
3,3,3,3,4,Apr 3,True,PIT,"L,6-7",45,38,6,10,1,0,3,6,7,1,10,0,0,0,1,0,0,0,0.311,0.391,0.554,0.945,12,12,R,J.Oviedo(34),0.2631578947368421,0.37777777777777777,0.5263157894736842,0.904093567251462
4,4,4,4,5,Apr 4,True,PIT,"L,1-4",34,33,1,4,2,0,0,1,1,0,5,0,0,0,2,0,0,0,0.276,0.35,0.486,0.836,6,11,R,R.Contreras(60),0.12121212121212122,0.14705882352941177,0.18181818181818182,0.32887700534759357
5,5,5,5,6,Apr 5,True,PIT,"L,1-4",32,30,1,5,1,0,0,1,2,0,8,0,0,0,0,1,1,0,0.261,0.332,0.445,0.777,4,11,R,M.Keller(70),0.16666666666666666,0.21875,0.2,0.41875
6,6,6,6,7,Apr 6,False,DET,"W,6-3",36,31,6,7,2,0,2,6,4,0,3,1,0,0,0,2,1,0,0.256,0.332,0.45,0.783,3,9,R,S.Turnbull(38),0.22580645161290322,0.3333333333333333,0.4838709677419355,0.8172043010752688
7,7,7,7,8,Apr 8,False,DET,"W,14-5",45,39,14,12,3,0,4,14,6,0,3,0,0,0,0,0,0,0,0.263,0.342,0.484,0.826,4,12,L,J.Wentz(29),0.3076923076923077,0.4,0.6923076923076923,1.0923076923076924
8,8,8,8,9,Apr 9,False,DET,"W,4-1",39,32,4,7,2,0,1,4,5,0,9,1,0,1,0,1,0,0,0.259,0.341,0.473,0.814,8,10,L,M.Boyd(46),0.21875,0.3333333333333333,0.375,0.7083333333333333
9,9,9,9,10,Apr 10,False,TBR,"L,0-1",32,30,0,3,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0.245,0.326,0.44,0.766,5,11,L,J.Beeks(56),0.1,0.15625,0.1,0.25625
10,10,10,10,11,Apr 11,False,TBR,"L,2-7",37,32,2,6,1,0,0,1,5,0,10,0,0,0,0,1,1,0,0.24,0.323,0.421,0.744,8,12,L,S.McClanahan(64),0.1875,0.2972972972972973,0.21875,0.5160472972972974
11,11,11,11,12,Apr 12,False,TBR,"L,7-9",37,36,7,10,4,0,1,7,1,0,11,0,0,0,0,1,0,0,0.243,0.321,0.426,0.747,3,10,R,T.Bradley(52),0.2777777777777778,0.2972972972972973,0.4722222222222222,0.7695195195195195
12,12,12,12,13,Apr 13,False,TBR,"L,3-9",35,31,3,4,2,0,1,3,3,0,12,1,0,0,0,0,1,0,0.235,0.315,0.416,0.731,5,9,L,J.Springs(58),0.12903225806451613,0.22857142857142856,0.2903225806451613,0.5188940092165899
13,13,13,13,14,Apr 14,True,LAA,"W,5-3",39,31,5,5,1,0,1,2,6,0,9,2,0,0,3,1,0,0,0.23,0.316,0.408,0.724,10,9,L,P.Sandoval(54),0.16129032258064516,0.3333333333333333,0.2903225806451613,0.6236559139784946
14,14,14,14,15,Apr 15,True,LAA,"W,9-7",40,32,9,11,3,0,2,8,5,0,6,1,0,0,0,2,1,0,0.238,0.325,0.422,0.746,7,11,L,T.Anderson(20),0.34375,0.425,0.625,1.05
15,15,15,15,16,Apr 16,True,LAA,"W,2-1",30,28,2,7,0,0,1,2,1,0,7,1,0,0,0,3,1,0,0.238,0.323,0.418,0.742,4,9,L,R.Detmers(59),0.25,0.3,0.35714285714285715,0.6571428571428571
16,16,16,16,17,Apr 17,True,LAA,"L,4-5",40,34,4,8,3,0,0,4,5,0,9,0,0,1,0,0,1,0,0.238,0.323,0.413,0.736,9,12,R,S.Ohtani(54),0.23529411764705882,0.325,0.3235294117647059,0.6485294117647059
17,17,17,17,18,Apr 18,True,MIN,"W,5-4",46,43,5,12,4,0,0,5,3,0,14,0,0,0,1,1,0,0,0.241,0.324,0.41,0.733,13,15,R,S.Gray(54),0.27906976744186046,0.32608695652173914,0.37209302325581395,0.6981799797775531
18,18,18,18,19,Apr 19,True,MIN,"L,4-10",37,32,4,7,2,0,1,3,3,0,6,1,0,1,0,1,0,0,0.24,0.322,0.408,0.73,6,9,R,J.Ryan(50),0.21875,0.2972972972972973,0.375,0.6722972972972974
19,19,19,19,20,Apr 20,True,MIN,"W,11-5",41,37,11,14,3,0,2,11,3,0,4,0,0,1,0,0,0,0,0.247,0.327,0.42,0.747,6,11,R,K.Maeda(49),0.3783783783783784,0.4146341463414634,0.6216216216216216,1.036255767963085
20,20,20,20,21,Apr 21,False,MIL,"W,5-3",38,34,5,8,3,0,1,5,3,0,7,0,1,0,0,0,0,0,0.247,0.326,0.419,0.745,6,11,R,F.Peralta(45),0.23529411764705882,0.2894736842105263,0.4117647058823529,0.7012383900928792
21,21,21,21,22,Apr 22,False,MIL,"L,4-5",35,34,4,8,2,0,2,4,1,0,7,0,0,0,0,0,0,0,0.246,0.323,0.422,0.745,4,12,L,W.Miley(53),0.23529411764705882,0.2571428571428571,0.47058823529411764,0.7277310924369748
22,22,22,22,23,Apr 23,False,MIL,"W,12-5",46,36,12,13,2,0,3,12,7,1,9,1,0,2,0,1,2,0,0.252,0.33,0.433,0.763,7,9,R,C.Burnes(49),0.3611111111111111,0.45652173913043476,0.6666666666666666,1.1231884057971013
23,23,23,23,24,Apr 24,False,BAL,"L,4-5",34,31,4,7,0,0,2,4,3,0,10,0,0,0,0,1,0,1,0.251,0.329,0.432,0.761,3,11,R,D.Kremer(43),0.22580645161290322,0.29411764705882354,0.41935483870967744,0.713472485768501
24,24,24,24,25,Apr 25,False,BAL,"W,8-6",41,35,8,11,1,0,1,8,5,0,5,0,0,1,0,2,0,0,0.253,0.331,0.432,0.764,6,10,R,K.Bradish(10),0.3142857142857143,0.3902439024390244,0.42857142857142855,0.8188153310104529
25,25,25,25,26,Apr 26,False,BAL,"L,2-6",36,33,2,7,1,0,1,2,2,0,10,1,0,0,0,1,0,0,0.252,0.329,0.429,0.758,7,11,R,T.Wells(59),0.21212121212121213,0.2777777777777778,0.3333333333333333,0.6111111111111112
26,26,26,26,27,Apr 28,True,CLE,"L,2-5",36,34,2,8,5,0,0,2,2,0,5,0,0,0,0,1,0,0,0.251,0.328,0.427,0.754,7,10,R,S.Bieber(61),0.23529411764705882,0.2777777777777778,0.38235294117647056,0.6601307189542484
27,27,27,27,28,Apr 29,True,CLE,"W,8-7",46,42,8,16,3,0,1,7,3,0,4,0,1,0,0,0,1,0,0.257,0.331,0.431,0.763,11,9,R,Z.Plesac(24),0.38095238095238093,0.41304347826086957,0.5238095238095238,0.9368530020703933
28,28,28,28,29,Apr 30,True,CLE,"W,7-1",39,33,7,9,4,0,2,7,6,0,10,0,0,0,1,1,0,0,0.257,0.333,0.436,0.769,8,9,L,L.Allen(57),0.2727272727272727,0.38461538461538464,0.5757575757575758,0.9603729603729605
29,29,29,29,30,May 1,True,TOR,"W,6-5",37,35,6,13,2,0,3,6,2,0,7,0,0,0,0,2,3,0,0.261,0.336,0.444,0.78,7,11,R,J.Berríos(28),0.37142857142857144,0.40540540540540543,0.6857142857142857,1.0911196911196912
30,30,30,30,31,May 2,True,TOR,"W,7-6",38,36,7,14,4,0,4,7,1,0,4,1,0,0,0,1,0,0,0.266,0.338,0.458,0.796,7,10,L,Y.Kikuchi(27),0.3888888888888889,0.42105263157894735,0.8333333333333334,1.2543859649122808
31,31,31,31,32,May 3,True,TOR,"W,8-3",45,40,8,15,4,0,0,8,4,0,6,1,0,0,1,0,1,0,0.27,0.342,0.458,0.8,13,9,R,A.Manoah(39),0.375,0.4444444444444444,0.475,0.9194444444444444
32,32,32,32,33,May 4,True,TOR,"W,11-5",42,40,11,16,2,0,2,11,2,0,7,0,0,0,0,0,5,0,0.274,0.345,0.463,0.808,7,9,R,K.Gausman(11),0.4,0.42857142857142855,0.6,1.0285714285714285
33,33,33,33,34,May 5,False,PHI,"W,5-3",39,35,5,8,1,0,0,5,1,0,8,2,0,1,1,0,1,0,0.273,0.343,0.457,0.8,7,11,R,Z.Wheeler(41),0.22857142857142856,0.28205128205128205,0.2571428571428571,0.5391941391941392
34,34,34,34,35,May 6,False,PHI,"W,7-4",42,35,7,10,4,0,0,7,5,1,8,1,1,0,0,1,2,0,0.273,0.345,0.455,0.8,8,9,L,B.Falter(32),0.2857142857142857,0.38095238095238093,0.4,0.780952380952381
35,35,35,35,36,May 7,False,PHI,"L,1-6",30,30,1,5,1,0,1,1,0,0,9,0,0,0,0,0,0,1,0.271,0.341,0.452,0.792,2,11,R,T.Walker(68),0.16666666666666666,0.16666666666666666,0.3,0.4666666666666667
36,36,36,36,37,May 9,False,ATL,"L,3-9",38,33,3,8,2,0,1,3,4,0,12,0,0,1,0,1,1,0,0.27,0.34,0.45,0.79,8,11,R,C.Morton(59),0.24242424242424243,0.3157894736842105,0.3939393939393939,0.7097288676236044
37,37,37,37,38,May 10,False,ATL,"W,5-2",38,32,5,7,2,0,1,5,5,0,12,1,0,0,0,1,1,1,0.269,0.34,0.448,0.789,6,12,L,D.Lee(60),0.21875,0.34210526315789475,0.375,0.7171052631578947
38,38,38,38,39,May 12,True,STL,"L,6-8",37,33,6,9,4,0,2,6,4,0,8,0,0,0,0,3,0,0,0.269,0.34,0.451,0.792,4,13,R,A.Wainwright(37),0.2727272727272727,0.35135135135135137,0.5757575757575758,0.9271089271089272
39,39,39,39,40,May 13,True,STL,"L,3-4",36,34,3,10,3,0,0,3,1,0,6,1,0,0,0,2,1,0,0.269,0.34,0.45,0.79,6,13,L,S.Matz(43),0.29411764705882354,0.3333333333333333,0.38235294117647056,0.7156862745098038
40,40,40,40,41,May 14,True,STL,"L,1-9",36,31,1,5,1,0,0,1,5,0,7,0,0,0,0,0,0,0,0.267,0.339,0.444,0.783,8,9,R,M.Mikolas(58),0.16129032258064516,0.2777777777777778,0.1935483870967742,0.471326164874552
41,41,41,41,42,May 15,True,SEA,"L,1-10",35,33,1,9,2,0,0,1,1,0,8,1,0,0,0,2,0,1,0.267,0.338,0.442,0.78,7,11,R,G.Kirby(59),0.2727272727272727,0.3142857142857143,0.3333333333333333,0.6476190476190475
42,42,42,42,43,May 16,True,SEA,"W,9-4",39,36,9,11,2,1,3,8,3,0,7,0,0,0,1,0,1,0,0.268,0.339,0.447,0.786,6,9,R,L.Castillo(35),0.3055555555555556,0.358974358974359,0.6666666666666666,1.0256410256410255
43,43,43,43,44,May 17,True,SEA,"W,12-3",43,38,12,16,4,0,1,12,3,0,5,1,0,1,0,1,0,0,0.272,0.342,0.451,0.793,7,12,L,M.Gonzales(6),0.42105263157894735,0.46511627906976744,0.6052631578947368,1.0703794369645043
44,44,44,44,45,May 19,False,SDP,"W,6-1",38,35,6,8,2,0,2,6,3,0,8,0,0,0,1,1,0,0,0.271,0.341,0.451,0.792,5,10,L,B.Snell(31),0.22857142857142856,0.2894736842105263,0.45714285714285713,0.7466165413533834
45,45,45,45,46,May 20,False,SDP,"W,4-2",38,35,4,7,3,0,1,4,2,0,9,1,0,0,0,0,3,0,0.269,0.339,0.449,0.789,7,9,R,J.Musgrove(44),0.2,0.2631578947368421,0.37142857142857144,0.6345864661654135
46,46,46,46,47,May 21,False,SDP,"L,0-7",35,32,0,7,0,0,0,0,3,0,9,0,0,0,0,2,0,0,0.268,0.338,0.445,0.783,8,10,R,M.Wacha(65),0.21875,0.2857142857142857,0.21875,0.5044642857142857
