Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,MIL,"W,4-0",35,30,4,6,0,0,0,3,4,0,5,1,0,0,0,1,0,0,0.2,0.314,0.2,0.514,7,9,R,C.Burnes(43),0.2,0.3142857142857143,0.2,0.5142857142857142
1,1,1,1,2,Apr 1,True,MIL,"L,1-3",32,31,1,5,1,0,1,1,1,0,10,0,0,0,0,1,0,0,0.18,0.254,0.246,0.5,4,11,R,B.Woodruff(69),0.16129032258064516,0.1875,0.2903225806451613,0.4778225806451613
2,2,2,2,3,Apr 2,True,MIL,"L,5-9",38,33,5,9,1,0,2,5,4,0,8,0,0,1,0,1,1,1,0.213,0.286,0.33,0.616,6,10,L,E.Lauer(54),0.2727272727272727,0.34210526315789475,0.48484848484848486,0.8269537480063796
3,3,3,3,4,Apr 3,False,CIN,"L,6-7",44,39,6,12,3,0,1,6,3,0,8,1,0,0,0,0,0,0,0.241,0.311,0.368,0.679,11,13,R,C.Overton(30),0.3076923076923077,0.36363636363636365,0.46153846153846156,0.8251748251748252
4,4,4,4,5,Apr 4,False,CIN,"W,12-5",50,43,12,16,5,0,0,11,6,0,7,0,0,1,1,1,2,0,0.273,0.343,0.398,0.741,11,9,R,L.Cessa(51),0.37209302325581395,0.44,0.4883720930232558,0.9283720930232557
5,5,5,5,6,Apr 7,True,TEX,"W,2-0",30,28,2,6,1,0,0,2,2,0,9,0,0,0,0,2,1,0,0.265,0.333,0.377,0.711,4,9,R,N.Eovaldi(56),0.21428571428571427,0.26666666666666666,0.25,0.5166666666666666
6,6,6,6,7,Apr 8,True,TEX,"W,10-3",40,38,10,14,1,0,2,9,2,0,9,0,0,0,1,0,2,1,0.281,0.343,0.405,0.748,6,10,L,M.Pérez(52),0.3684210526315789,0.4,0.5526315789473685,0.9526315789473685
7,7,7,7,8,Apr 9,True,TEX,"L,2-8",35,31,2,7,0,0,1,2,4,0,9,0,0,0,0,2,0,0,0.275,0.34,0.396,0.736,6,11,R,J.Gray(50),0.22580645161290322,0.3142857142857143,0.3225806451612903,0.6368663594470045
8,8,8,8,9,Apr 10,True,SEA,"W,3-2",37,35,3,8,2,0,0,3,2,0,9,0,0,0,0,0,3,0,0.269,0.332,0.383,0.715,7,12,R,L.Castillo(55),0.22857142857142856,0.2702702702702703,0.2857142857142857,0.555984555984556
9,9,9,9,10,Apr 11,True,SEA,"W,14-9",45,40,14,18,3,0,2,14,4,0,4,1,0,0,0,1,1,1,0.29,0.353,0.417,0.77,7,10,R,C.Flexen(4),0.45,0.5111111111111111,0.675,1.1861111111111111
