Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,HOU,"W,3-2",41,38,3,11,2,0,1,3,1,0,9,1,0,0,1,0,0,0,0.289,0.325,0.421,0.746,11,10,L,F.Valdez(59),0.2894736842105263,0.3170731707317073,0.42105263157894735,0.7381258023106547
1,1,1,1,2,Mar 31,False,HOU,"L,3-6",39,37,3,11,4,0,0,3,1,0,11,1,0,0,0,1,2,0,0.293,0.329,0.413,0.742,9,9,R,C.Javier(44),0.2972972972972973,0.3333333333333333,0.40540540540540543,0.7387387387387387
2,2,2,2,3,Apr 1,False,HOU,"L,4-6",41,37,4,10,0,0,2,4,4,0,12,0,0,0,0,0,2,0,0.286,0.333,0.42,0.753,10,11,R,J.Urquidy(40),0.2702702702702703,0.34146341463414637,0.43243243243243246,0.7738958470665789
3,3,3,3,4,Apr 2,False,HOU,"W,6-3",45,40,6,13,7,0,2,6,3,0,7,2,0,0,0,0,1,0,0.296,0.352,0.48,0.832,12,10,R,L.García(43),0.325,0.4,0.65,1.05
4,4,4,4,5,Apr 3,True,SFG,"L,3-12",33,31,3,5,2,0,1,3,2,0,5,0,0,0,0,1,0,0,0.273,0.328,0.454,0.782,3,11,R,A.DeSclafani(70),0.16129032258064516,0.21212121212121213,0.3225806451612903,0.5347018572825024
5,5,5,5,6,Apr 5,True,SFG,"W,7-3",37,36,7,13,2,0,0,7,1,0,7,0,0,0,1,1,0,0,0.288,0.336,0.447,0.784,6,10,R,L.Webb(37),0.3611111111111111,0.3783783783783784,0.4166666666666667,0.795045045045045
6,6,6,6,7,Apr 6,True,SFG,"L,6-16",44,39,6,11,3,0,0,6,5,0,10,0,0,0,0,0,2,0,0.287,0.341,0.434,0.775,11,11,L,A.Wood(40),0.28205128205128205,0.36363636363636365,0.358974358974359,0.7226107226107226
7,7,7,7,8,Apr 7,False,PIT,"L,9-13",40,38,9,11,3,0,4,9,2,0,7,0,0,0,0,0,2,0,0.287,0.339,0.466,0.805,4,9,L,R.Hill(19),0.2894736842105263,0.325,0.6842105263157895,1.0092105263157896
8,8,8,8,9,Apr 8,False,PIT,"W,11-5",46,38,11,14,3,0,0,10,6,0,6,1,0,1,0,2,3,0,0.296,0.353,0.464,0.817,8,10,R,V.Velasquez(23),0.3684210526315789,0.45652173913043476,0.4473684210526316,0.9038901601830663
9,9,9,9,10,Apr 9,False,PIT,"L,0-1",33,32,0,6,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0.287,0.34,0.44,0.78,6,10,R,J.Oviedo(69),0.1875,0.18181818181818182,0.1875,0.3693181818181818
10,10,10,10,11,Apr 10,False,MIN,"W,4-3",37,35,4,8,2,0,1,4,2,0,6,0,0,0,0,0,0,0,0.282,0.334,0.434,0.768,6,11,R,K.Maeda(43),0.22857142857142856,0.2702702702702703,0.37142857142857144,0.6416988416988417
11,11,11,11,12,Apr 11,False,MIN,"L,3-4",35,34,3,4,1,0,1,3,1,0,14,0,0,0,0,0,0,0,0.269,0.32,0.418,0.738,3,12,R,P.López(74),0.11764705882352941,0.14285714285714285,0.23529411764705882,0.37815126050420167
12,12,12,12,13,Apr 12,False,MIN,"L,1-3",35,32,1,6,2,0,1,1,3,0,5,0,0,0,0,1,0,0,0.263,0.315,0.413,0.729,7,10,R,S.Gray(64),0.1875,0.2571428571428571,0.34375,0.6008928571428571
13,13,13,13,14,Apr 14,True,BAL,"L,3-6",36,32,3,6,2,0,1,3,4,0,9,0,0,0,0,1,0,0,0.259,0.313,0.409,0.722,6,11,R,T.Wells(48),0.1875,0.2777777777777778,0.34375,0.6215277777777778
14,14,14,14,15,Apr 15,True,BAL,"W,7-6",43,39,7,13,5,0,1,7,3,1,4,0,0,1,2,2,0,0,0.264,0.317,0.418,0.736,10,11,R,K.Gibson(37),0.3333333333333333,0.37209302325581395,0.5384615384615384,0.9105545617173524
15,15,15,15,16,Apr 16,True,BAL,"L,4-8",35,32,4,7,0,0,2,4,3,0,13,0,0,0,0,2,0,0,0.261,0.316,0.418,0.733,4,9,R,G.Rodriguez(45),0.21875,0.2857142857142857,0.40625,0.6919642857142857
16,16,16,16,17,Apr 18 (1),True,PHI,"L,4-7",36,35,4,8,3,0,0,4,0,0,13,1,0,0,0,0,0,0,0.26,0.312,0.412,0.723,5,10,R,Z.Wheeler(40),0.22857142857142856,0.25,0.3142857142857143,0.5642857142857143
17,17,17,17,18,Apr 18 (2),True,PHI,"W,3-0",29,26,3,3,0,0,1,3,3,0,4,0,0,0,0,0,0,1,0.254,0.307,0.404,0.712,2,11,L,B.Falter(59),0.11538461538461539,0.20689655172413793,0.23076923076923078,0.43766578249336874
18,18,18,18,19,Apr 19,True,PHI,"L,2-5",33,31,2,6,1,0,1,2,2,0,6,0,0,0,0,1,1,1,0.251,0.304,0.4,0.705,4,10,R,T.Walker(56),0.1935483870967742,0.24242424242424243,0.3225806451612903,0.5650048875855327
19,19,19,19,20,Apr 21,False,TBR,"L,7-8",47,37,7,10,3,0,1,6,8,1,11,2,0,0,0,0,0,0,0.252,0.312,0.402,0.714,13,10,R,C.Faucher(37),0.2702702702702703,0.425531914893617,0.43243243243243246,0.8579643473260494
20,20,20,20,21,Apr 22,False,TBR,"L,3-4",37,35,3,5,0,0,3,3,2,0,15,0,0,0,0,0,0,0,0.247,0.306,0.402,0.708,5,13,L,S.McClanahan(67),0.14285714285714285,0.1891891891891892,0.4,0.5891891891891892
21,21,21,21,22,Apr 23,False,TBR,"L,1-4",30,30,1,3,2,0,0,1,0,0,7,0,0,0,0,0,1,0,0.241,0.299,0.393,0.691,2,9,R,Z.Eflin(61),0.1,0.1,0.16666666666666666,0.26666666666666666
22,22,22,22,23,Apr 24,False,TOR,"L,2-5",36,31,2,3,1,0,0,2,4,0,6,1,0,0,1,0,0,0,0.235,0.296,0.382,0.678,7,11,R,C.Bassitt(60),0.0967741935483871,0.2222222222222222,0.12903225806451613,0.35125448028673834
23,23,23,23,24,Apr 25,False,TOR,"L,0-7",32,30,0,4,0,0,0,0,1,0,10,1,0,0,0,1,0,0,0.232,0.292,0.373,0.665,5,10,R,J.Berríos(77),0.13333333333333333,0.1875,0.13333333333333333,0.3208333333333333
