Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,PIT,"L,4-5",39,33,4,7,1,1,1,3,6,0,15,0,0,0,1,1,0,1,0.212,0.333,0.394,0.727,8,10,R,M.Keller(42),0.21212121212121213,0.3333333333333333,0.3939393939393939,0.7272727272727273
1,1,1,1,2,Apr 1,True,PIT,"W,6-2",33,30,6,6,1,0,3,6,3,0,8,0,0,0,0,0,1,0,0.206,0.306,0.46,0.766,3,11,L,R.Hill(54),0.2,0.2727272727272727,0.5333333333333333,0.806060606060606
2,2,2,2,3,Apr 2,True,PIT,"W,3-1",35,32,3,9,2,0,2,3,3,1,6,0,0,0,0,0,0,0,0.232,0.318,0.484,0.802,8,9,R,V.Velasquez(44),0.28125,0.34285714285714286,0.53125,0.8741071428571429
3,3,3,3,4,Apr 3,True,CHC,"W,7-6",37,33,7,10,1,1,1,7,2,0,6,2,0,0,0,1,0,0,0.25,0.333,0.484,0.818,6,10,L,D.Smyly(21),0.30303030303030304,0.3783783783783784,0.48484848484848486,0.8632268632268633
4,4,4,4,5,Apr 4,True,CHC,"L,5-12",36,33,5,9,1,0,3,5,2,0,10,0,1,0,0,0,0,1,0.255,0.33,0.503,0.833,4,10,R,H.Wesneski(42),0.2727272727272727,0.3055555555555556,0.5757575757575758,0.8813131313131314
5,5,5,5,6,Apr 7,False,PHI,"L,2-5",36,31,2,6,3,0,0,2,5,0,10,0,0,0,0,1,0,1,0.245,0.326,0.469,0.794,7,10,R,Z.Wheeler(52),0.1935483870967742,0.3055555555555556,0.2903225806451613,0.5958781362007168
6,6,6,6,7,Apr 8,False,PHI,"L,2-3",36,33,2,8,0,0,1,2,2,0,5,0,0,1,0,0,0,0,0.244,0.319,0.449,0.768,7,13,L,B.Falter(57),0.24242424242424243,0.2777777777777778,0.3333333333333333,0.6111111111111112
7,7,7,7,8,Apr 9,False,PHI,"W,6-4",41,32,6,6,3,0,0,6,9,0,12,0,0,0,0,0,1,1,0.237,0.325,0.428,0.753,8,11,R,T.Walker(50),0.1875,0.36585365853658536,0.28125,0.6471036585365854
8,8,8,8,9,Apr 10,False,ATL,"L,4-5",40,38,4,12,2,1,0,4,1,0,9,0,1,0,0,3,0,0,0.247,0.326,0.427,0.753,7,11,R,B.Elder(67),0.3157894736842105,0.325,0.42105263157894735,0.7460526315789473
9,9,9,9,10,Apr 11,False,ATL,"L,6-7",42,35,6,8,2,0,1,6,5,0,10,2,0,0,0,0,3,0,0.245,0.33,0.421,0.751,9,11,R,K.Wright(34),0.22857142857142856,0.35714285714285715,0.37142857142857144,0.7285714285714286
10,10,10,10,11,Apr 12,False,ATL,"L,4-5",37,33,4,6,0,0,0,4,4,0,14,0,0,0,0,0,0,0,0.24,0.324,0.399,0.724,6,11,R,S.Strider(54),0.18181818181818182,0.2702702702702703,0.18181818181818182,0.4520884520884521
11,11,11,11,12,Apr 13,True,PHI,"W,6-2",38,33,6,10,2,0,0,5,3,0,6,2,0,0,0,0,1,1,0.245,0.33,0.396,0.727,8,12,L,B.Falter(31),0.30303030303030304,0.39473684210526316,0.36363636363636365,0.7583732057416268
12,12,12,12,13,Apr 14,True,PHI,"L,3-8",38,33,3,6,1,0,0,3,4,0,8,0,0,1,1,0,2,0,0.24,0.325,0.382,0.707,8,10,R,T.Walker(62),0.18181818181818182,0.2631578947368421,0.21212121212121213,0.4752791068580542
13,13,13,13,14,Apr 15,True,PHI,"W,13-0",45,37,13,14,3,0,2,13,7,0,11,0,0,1,0,0,2,0,0.251,0.337,0.401,0.738,8,10,L,M.Strahm(45),0.3783783783783784,0.4666666666666667,0.6216216216216216,1.0882882882882883
14,14,14,14,15,Apr 16,True,PHI,"L,3-14",37,32,3,8,2,0,0,2,3,0,8,0,0,2,1,1,0,0,0.251,0.335,0.396,0.73,7,13,R,A.Nola(53),0.25,0.2972972972972973,0.3125,0.6097972972972974
15,15,15,15,16,Apr 17,True,TBR,"W,8-1",38,31,8,7,3,0,1,8,4,0,9,2,1,0,1,0,0,0,0.25,0.336,0.397,0.733,6,9,L,J.Beeks(52),0.22580645161290322,0.34210526315789475,0.41935483870967744,0.7614601018675722
16,16,16,16,17,Apr 18,True,TBR,"L,0-10",34,31,0,4,0,0,0,0,2,0,12,1,0,0,0,0,0,0,0.243,0.329,0.382,0.711,7,10,R,T.Bradley(70),0.12903225806451613,0.20588235294117646,0.12903225806451613,0.3349146110056926
17,17,17,17,18,Apr 19,True,TBR,"L,0-8",36,30,0,5,0,0,0,0,5,0,12,0,1,0,0,1,0,0,0.239,0.326,0.371,0.698,9,9,R,D.Rasmussen(65),0.16666666666666666,0.2777777777777778,0.16666666666666666,0.4444444444444444
18,18,18,18,19,Apr 20,False,PIT,"L,3-4",35,32,3,8,2,0,0,3,2,0,11,0,0,1,0,1,3,0,0.24,0.324,0.368,0.693,5,9,R,R.Contreras(66),0.25,0.2857142857142857,0.3125,0.5982142857142857
19,19,19,19,20,Apr 21,False,PIT,"L,2-4",35,32,2,5,0,0,0,2,1,0,8,1,0,1,1,0,0,0,0.235,0.319,0.358,0.676,6,9,R,M.Keller(60),0.15625,0.2,0.15625,0.35625
