Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,SEA,"L,0-3",31,31,0,4,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0.129,0.129,0.161,0.29,4,9,R,L.Castillo(76),0.12903225806451613,0.12903225806451613,0.16129032258064516,0.29032258064516125
1,1,1,1,2,Mar 31,False,SEA,"W,9-4",48,39,9,13,2,0,0,7,8,0,4,0,0,1,0,0,3,0,0.243,0.316,0.286,0.602,12,10,L,R.Ray(34),0.3333333333333333,0.4375,0.38461538461538464,0.8221153846153846
2,2,2,2,3,Apr 1,False,SEA,"W,2-0",35,32,2,5,0,0,2,2,3,0,9,0,0,0,0,0,1,0,0.216,0.289,0.304,0.593,6,10,R,L.Gilbert(66),0.15625,0.22857142857142856,0.34375,0.5723214285714285
3,3,3,3,4,Apr 2,False,SEA,"W,6-5",42,37,6,9,3,0,1,4,5,1,6,0,0,0,0,1,1,1,0.223,0.301,0.331,0.632,7,12,L,M.Gonzales(38),0.24324324324324326,0.3333333333333333,0.40540540540540543,0.7387387387387387
4,4,4,4,5,Apr 3,False,OAK,"W,12-11",52,43,12,16,3,1,1,11,4,1,8,1,1,3,0,0,3,0,0.258,0.329,0.385,0.713,11,10,R,J.Kaprielian(36),0.37209302325581395,0.40384615384615385,0.5581395348837209,0.9619856887298748
5,5,5,5,6,Apr 4,False,OAK,"L,3-4",36,33,3,8,1,1,1,3,3,0,10,0,0,0,0,1,0,0,0.256,0.325,0.391,0.716,6,11,L,J.Sears(40),0.24242424242424243,0.3055555555555556,0.42424242424242425,0.7297979797979799
6,6,6,6,7,Apr 5,False,OAK,"W,6-4",47,38,6,9,1,0,0,6,8,1,8,1,0,0,1,0,2,1,0.253,0.334,0.372,0.706,12,11,L,K.Muller(55),0.23684210526315788,0.3829787234042553,0.2631578947368421,0.6461366181410975
7,7,7,7,8,Apr 7,True,SEA,"L,3-5",35,32,3,7,1,0,0,2,3,0,13,0,0,0,0,0,1,0,0.249,0.329,0.358,0.687,5,10,R,L.Gilbert(42),0.21875,0.2857142857142857,0.25,0.5357142857142857
8,8,8,8,9,Apr 8,True,SEA,"L,2-3",41,35,2,9,5,0,0,2,6,1,8,0,0,0,0,1,2,0,0.25,0.333,0.363,0.696,12,13,L,M.Gonzales(55),0.2571428571428571,0.36585365853658536,0.4,0.7658536585365854
9,9,9,9,10,Apr 9,True,SEA,"W,7-6",51,43,7,9,2,1,0,7,7,5,11,0,0,1,0,0,2,0,0.245,0.331,0.355,0.686,13,11,R,G.Kirby(62),0.20930232558139536,0.3137254901960784,0.3023255813953488,0.6160510715914272
10,10,10,10,11,Apr 10,True,NYY,"W,3-2",37,26,3,4,3,0,0,3,9,0,4,0,0,2,1,1,4,0,0.239,0.333,0.35,0.682,10,9,R,D.Germán(44),0.15384615384615385,0.35135135135135137,0.2692307692307692,0.6205821205821206
11,11,11,11,12,Apr 11,True,NYY,"L,2-11",34,31,2,7,3,0,0,2,2,0,4,0,0,1,0,2,0,0,0.238,0.328,0.348,0.675,5,10,R,G.Cole(60),0.22580645161290322,0.2647058823529412,0.3225806451612903,0.5872865275142315
12,12,12,12,13,Apr 12,True,NYY,"L,3-4",38,32,3,6,1,0,1,3,5,0,7,1,0,0,1,2,0,0,0.235,0.327,0.345,0.672,8,10,R,C.Schmidt(40),0.1875,0.3157894736842105,0.3125,0.6282894736842105
13,13,13,13,14,Apr 14,False,WSN,"W,4-3",40,33,4,7,3,0,1,3,6,0,6,1,0,0,1,1,2,0,0.233,0.329,0.348,0.677,9,10,R,T.Williams(55),0.21212121212121213,0.35,0.3939393939393939,0.7439393939393939
