Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,SDP,"W,7-2",45,44,7,17,4,0,3,7,1,0,17,0,0,0,1,0,1,0,0.386,0.4,0.682,1.082,11,10,L,B.Snell(47),0.38636363636363635,0.4,0.6818181818181818,1.0818181818181818
1,1,1,1,2,Mar 31,False,SDP,"W,4-1",39,35,4,9,0,0,1,4,3,0,8,1,0,0,0,1,1,0,0.329,0.369,0.532,0.901,8,10,R,N.Martínez(52),0.2571428571428571,0.3333333333333333,0.34285714285714286,0.6761904761904762
2,2,2,2,3,Apr 1,False,SDP,"L,4-8",35,31,4,6,4,0,1,4,3,0,6,1,0,0,0,1,0,0,0.291,0.345,0.5,0.845,4,9,R,M.Wacha(43),0.1935483870967742,0.2857142857142857,0.41935483870967744,0.7050691244239631
3,3,3,3,4,Apr 2,False,SDP,"L,1-3",32,31,1,4,0,0,1,1,1,0,10,0,0,0,0,0,0,0,0.255,0.305,0.44,0.744,4,11,R,S.Lugo(72),0.12903225806451613,0.15625,0.22580645161290322,0.38205645161290325
4,4,4,4,5,Apr 3,False,LAD,"L,4-13",35,32,4,6,2,0,0,3,3,0,12,0,0,0,0,1,0,0,0.243,0.296,0.405,0.7,4,9,R,M.Grove(48),0.1875,0.2571428571428571,0.25,0.5071428571428571
5,5,5,5,6,Apr 4,False,LAD,"L,2-5",36,32,2,7,4,0,0,2,2,0,7,1,0,1,1,2,0,0,0.239,0.293,0.395,0.688,7,11,L,J.Urías(68),0.21875,0.2777777777777778,0.34375,0.6215277777777778
6,6,6,6,7,Apr 6,True,WSN,"W,1-0",34,33,1,9,2,0,0,1,1,0,9,0,0,0,0,0,0,0,0.244,0.293,0.387,0.68,9,10,R,J.Gray(57),0.2727272727272727,0.29411764705882354,0.3333333333333333,0.6274509803921569
7,7,7,7,8,Apr 7,True,WSN,"L,5-10",38,36,5,10,1,0,1,5,2,0,8,0,0,0,0,0,0,0,0.248,0.296,0.387,0.683,6,9,L,M.Gore(58),0.2777777777777778,0.3157894736842105,0.3888888888888889,0.7046783625730995
8,8,8,8,9,Apr 8,True,WSN,"L,6-7",39,36,6,11,3,0,1,6,2,0,6,0,0,1,0,1,0,0,0.255,0.3,0.397,0.697,6,12,R,T.Williams(54),0.3055555555555556,0.3333333333333333,0.4722222222222222,0.8055555555555556
9,9,9,9,10,Apr 9,True,WSN,"W,7-6",39,33,7,10,3,0,2,6,5,1,4,1,0,0,0,1,0,0,0.259,0.312,0.414,0.726,8,10,R,C.Kuhl(34),0.30303030303030304,0.41025641025641024,0.5757575757575758,0.986013986013986
10,10,10,10,11,Apr 10,True,STL,"W,7-4",38,35,7,13,3,0,0,6,2,0,7,0,0,1,2,2,0,1,0.27,0.32,0.418,0.738,7,10,L,S.Matz(29),0.37142857142857144,0.39473684210526316,0.45714285714285713,0.8518796992481203
11,11,11,11,12,Apr 11,True,STL,"L,6-9",41,37,6,12,1,0,3,6,2,0,10,0,0,1,1,2,0,0,0.275,0.322,0.434,0.756,8,9,R,M.Mikolas(24),0.32432432432432434,0.34146341463414637,0.5945945945945946,0.9360580092287409
12,12,12,12,13,Apr 12,True,STL,"L,4-7",35,32,4,7,2,0,1,3,3,0,11,0,0,0,0,2,0,0,0.271,0.32,0.43,0.749,4,10,R,J.Flaherty(57),0.21875,0.2857142857142857,0.375,0.6607142857142857
13,13,13,13,14,Apr 14,False,SEA,"L,3-5",37,33,3,7,0,0,1,3,4,0,8,0,0,0,0,1,0,0,0.267,0.318,0.421,0.739,7,10,L,T.Milone(55),0.21212121212121213,0.2972972972972973,0.30303030303030304,0.6003276003276004
14,14,14,14,15,Apr 15,False,SEA,"L,2-9",36,32,2,6,2,0,0,2,2,0,7,2,0,0,0,1,0,0,0.262,0.315,0.41,0.726,7,10,R,G.Kirby(56),0.1875,0.2777777777777778,0.25,0.5277777777777778
15,15,15,15,16,Apr 16,False,SEA,"L,0-1",30,30,0,3,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0.253,0.304,0.395,0.699,3,10,R,L.Castillo(82),0.1,0.1,0.13333333333333333,0.23333333333333334
16,16,16,16,17,Apr 17,True,PIT,"L,3-14",39,33,3,10,2,0,1,3,4,0,9,1,0,1,0,3,0,0,0.256,0.309,0.398,0.708,9,12,L,R.Hill(61),0.30303030303030304,0.38461538461538464,0.45454545454545453,0.8391608391608392
17,17,17,17,18,Apr 18,True,PIT,"L,3-5",40,36,3,10,5,0,1,3,3,0,10,0,1,0,1,1,0,0,0.257,0.311,0.404,0.715,10,11,R,V.Velasquez(54),0.2777777777777778,0.325,0.5,0.825
18,18,18,18,19,Apr 19,True,PIT,"L,3-14",41,32,3,5,1,0,0,3,7,0,8,1,0,1,1,1,0,0,0.252,0.311,0.393,0.705,11,11,R,J.Oviedo(65),0.15625,0.3170731707317073,0.1875,0.5045731707317074
19,19,19,19,20,Apr 20,False,PHI,"W,5-0",38,33,5,7,3,0,1,5,4,0,15,0,1,0,0,0,0,0,0.25,0.31,0.393,0.704,6,11,L,M.Strahm(59),0.21212121212121213,0.2894736842105263,0.3939393939393939,0.6834130781499203
20,20,20,20,21,Apr 21,False,PHI,"L,3-4",32,28,3,4,0,0,1,3,4,0,3,0,0,0,0,2,0,1,0.246,0.308,0.388,0.696,2,9,R,A.Nola(57),0.14285714285714285,0.25,0.25,0.5
21,21,21,21,22,Apr 22,False,PHI,"L,3-4",38,35,3,9,2,0,0,3,2,0,11,0,0,1,0,0,0,0,0.246,0.307,0.384,0.691,8,13,L,C.Sánchez(44),0.2571428571428571,0.2894736842105263,0.3142857142857143,0.6037593984962406
22,22,22,22,23,Apr 23,False,PHI,"L,3-9",39,34,3,7,0,0,0,3,3,0,15,1,0,1,1,0,0,0,0.245,0.306,0.376,0.682,9,10,R,Z.Wheeler(62),0.20588235294117646,0.28205128205128205,0.20588235294117646,0.4879336349924585
23,23,23,23,24,Apr 24,False,CLE,"W,6-0",40,37,6,10,1,0,1,6,3,0,7,0,0,0,0,0,0,0,0.246,0.307,0.377,0.683,7,9,R,C.Quantrill(24),0.2702702702702703,0.325,0.3783783783783784,0.7033783783783785
24,24,24,24,25,Apr 25,False,CLE,"W,5-1",40,33,5,8,2,0,1,5,6,0,8,0,0,1,0,1,3,0,0.246,0.309,0.377,0.686,8,9,R,P.Battenfield(36),0.24242424242424243,0.35,0.3939393939393939,0.7439393939393939
25,25,25,25,26,Apr 26,False,CLE,"L,1-4",34,33,1,7,2,0,0,1,0,0,12,1,0,0,0,1,0,0,0.244,0.306,0.373,0.679,6,9,R,T.Bibee(61),0.21212121212121213,0.23529411764705882,0.2727272727272727,0.5080213903743316
26,26,26,26,27,Apr 28,True,ARI,"L,1-9",34,33,1,7,0,0,0,1,1,0,8,0,0,0,0,1,0,0,0.243,0.304,0.367,0.671,6,9,R,M.Kelly(60),0.21212121212121213,0.23529411764705882,0.21212121212121213,0.4474153297682709
27,27,27,27,28,Apr 29,True,ARI,"L,4-11",36,34,4,8,3,1,0,4,2,0,7,0,0,0,0,0,1,0,0.243,0.303,0.368,0.671,5,10,L,T.Henry(40),0.23529411764705882,0.2777777777777778,0.38235294117647056,0.6601307189542484
28,28,28,28,29,Apr 30,True,ARI,"W,12-4",42,38,12,16,7,0,1,12,3,0,4,0,0,1,0,1,0,0,0.25,0.309,0.38,0.689,6,11,R,R.Nelson(21),0.42105263157894735,0.4523809523809524,0.6842105263157895,1.136591478696742
29,29,29,29,30,May 2,True,MIL,"W,3-2",34,30,3,9,2,0,2,3,3,0,12,1,0,0,0,2,0,0,0.251,0.311,0.386,0.697,7,11,R,F.Peralta(57),0.3,0.38235294117647056,0.5666666666666667,0.9490196078431372
30,30,30,30,31,May 3,True,MIL,"W,7-1",38,33,7,10,3,0,2,7,5,0,8,0,0,0,1,0,0,1,0.253,0.314,0.392,0.705,7,9,L,E.Lauer(50),0.30303030303030304,0.39473684210526316,0.5757575757575758,0.970494417862839
31,31,31,31,32,May 4,True,MIL,"W,9-6",38,32,9,11,3,0,0,8,3,0,4,1,0,2,0,1,1,0,0.256,0.316,0.393,0.709,5,12,L,W.Miley(48),0.34375,0.39473684210526316,0.4375,0.8322368421052632
32,32,32,32,33,May 5,False,NYM,"L,0-1",37,30,0,5,0,0,0,0,6,0,7,0,1,0,0,0,1,0,0.253,0.316,0.387,0.703,10,12,R,K.Senga(68),0.16666666666666666,0.2972972972972973,0.16666666666666666,0.463963963963964
33,33,33,33,34,May 6,False,NYM,"W,5-2",40,33,5,9,1,0,1,5,5,0,10,1,0,1,0,2,0,0,0.254,0.318,0.387,0.705,8,9,R,T.Megill(41),0.2727272727272727,0.375,0.3939393939393939,0.7689393939393939
34,34,34,34,35,May 7,False,NYM,"W,13-6",47,40,13,14,4,0,3,12,6,0,7,0,0,1,0,0,1,0,0.257,0.322,0.397,0.719,7,9,L,J.Lucchesi(43),0.35,0.425531914893617,0.675,1.100531914893617
35,35,35,35,36,May 8,False,PIT,"L,0-2",31,30,0,4,1,0,0,0,1,0,8,0,0,0,0,1,0,0,0.254,0.318,0.391,0.709,4,9,R,M.Keller(86),0.13333333333333333,0.16129032258064516,0.16666666666666666,0.3279569892473118
36,36,36,36,37,May 9,False,PIT,"W,10-1",42,37,10,11,1,1,2,9,4,0,4,0,0,1,0,1,0,0,0.255,0.319,0.396,0.715,5,11,R,L.Ortiz(39),0.2972972972972973,0.35714285714285715,0.5405405405405406,0.8976833976833978
37,37,37,37,38,May 10,False,PIT,"W,4-3",38,34,4,8,2,0,0,4,4,0,11,0,0,0,1,1,3,0,0.255,0.319,0.393,0.712,7,10,L,R.Hill(47),0.23529411764705882,0.3157894736842105,0.29411764705882354,0.609907120743034
38,38,38,38,39,May 12,True,PHI,"L,3-6",35,33,3,10,2,0,0,3,0,0,8,0,0,2,0,1,0,1,0.256,0.318,0.392,0.71,5,11,R,T.Walker(49),0.30303030303030304,0.2857142857142857,0.36363636363636365,0.6493506493506493
39,39,39,39,40,May 13,True,PHI,"L,4-7",38,35,4,8,6,0,0,4,2,0,10,0,0,1,1,0,1,0,0.255,0.317,0.392,0.709,7,9,L,R.Suárez(39),0.22857142857142856,0.2631578947368421,0.4,0.6631578947368422
40,40,40,40,41,May 14,True,PHI,"W,4-0",31,30,4,6,1,0,1,3,1,0,5,0,0,0,1,0,1,1,0.254,0.315,0.391,0.706,3,10,R,A.Nola(52),0.2,0.22580645161290322,0.3333333333333333,0.5591397849462365
41,41,41,41,42,May 15,True,CIN,"W,9-8",39,36,9,12,3,1,3,9,3,0,11,0,0,0,0,0,0,0,0.256,0.317,0.4,0.716,6,10,R,H.Greene(27),0.3333333333333333,0.38461538461538464,0.7222222222222222,1.106837606837607
42,42,42,42,43,May 16,True,CIN,"L,1-3",32,30,1,4,1,0,1,1,2,0,11,0,0,0,0,1,0,0,0.253,0.314,0.397,0.711,4,10,L,B.Williamson(65),0.13333333333333333,0.1875,0.26666666666666666,0.45416666666666666
43,43,43,43,44,May 17,True,CIN,"W,11-6",40,36,11,13,2,1,0,11,3,0,4,1,0,0,1,2,0,0,0.256,0.317,0.399,0.715,5,9,R,G.Ashcraft(21),0.3611111111111111,0.425,0.4722222222222222,0.8972222222222221
44,44,44,44,45,May 19,False,TEX,"L,2-7",35,35,2,8,3,0,0,2,0,0,7,0,0,0,0,0,0,0,0.255,0.315,0.397,0.712,6,9,L,M.Pérez(62),0.22857142857142856,0.22857142857142856,0.3142857142857143,0.5428571428571428
