Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,TBR,"L,0-4",35,32,0,6,2,0,0,0,3,0,6,0,0,0,0,1,0,0,0.188,0.257,0.25,0.507,8,11,L,S.McClanahan(69),0.1875,0.2571428571428571,0.25,0.5071428571428571
1,1,1,1,2,Apr 1,False,TBR,"L,2-12",36,34,2,6,2,0,0,2,2,0,10,0,0,0,1,1,0,0,0.182,0.239,0.242,0.482,7,11,R,Z.Eflin(61),0.17647058823529413,0.2222222222222222,0.23529411764705882,0.45751633986928103
2,2,2,2,3,Apr 2,False,TBR,"L,1-5",30,29,1,2,0,0,1,1,1,0,14,0,0,0,0,0,0,0,0.147,0.198,0.221,0.419,2,10,L,J.Springs(83),0.06896551724137931,0.1,0.1724137931034483,0.27241379310344827
3,3,3,3,4,Apr 3,False,HOU,"W,7-6",45,41,7,9,0,0,2,7,4,0,11,0,0,0,0,0,0,1,0.169,0.226,0.265,0.491,7,10,R,H.Brown(38),0.21951219512195122,0.28888888888888886,0.36585365853658536,0.6547425474254742
4,4,4,4,5,Apr 4,False,HOU,"W,6-3",38,37,6,12,2,0,1,6,1,0,11,0,0,0,0,0,0,1,0.202,0.25,0.306,0.556,5,9,L,F.Valdez(59),0.32432432432432434,0.34210526315789475,0.4594594594594595,0.8015647226173542
5,5,5,5,6,Apr 5,False,HOU,"L,2-8",35,33,2,7,0,1,0,2,2,0,9,0,0,0,0,1,4,0,0.204,0.251,0.301,0.552,6,10,R,C.Javier(63),0.21212121212121213,0.2571428571428571,0.2727272727272727,0.5298701298701298
6,6,6,6,7,Apr 6,True,BOS,"L,3-6",38,33,3,6,1,0,1,3,5,0,9,0,0,0,1,1,0,0,0.201,0.257,0.301,0.558,8,12,L,C.Sale(51),0.18181818181818182,0.2894736842105263,0.30303030303030304,0.5925039872408293
7,7,7,7,8,Apr 8,True,BOS,"L,5-14",40,33,5,6,1,0,0,4,4,0,10,1,0,1,2,1,0,0,0.199,0.26,0.29,0.551,8,10,R,T.Houck(55),0.18181818181818182,0.275,0.21212121212121213,0.4871212121212122
8,8,8,8,9,Apr 9,True,BOS,"L,1-4",37,36,1,9,2,0,0,1,1,0,10,0,0,0,0,1,0,0,0.205,0.261,0.292,0.553,9,12,R,K.Crawford(59),0.25,0.2702702702702703,0.3055555555555556,0.5758258258258259
9,9,9,9,10,Apr 11,False,TOR,"L,3-9",37,31,3,5,1,0,1,3,6,0,9,0,0,0,0,0,0,1,0.201,0.265,0.292,0.557,7,9,R,A.Manoah(41),0.16129032258064516,0.2972972972972973,0.2903225806451613,0.5876198779424586
