Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,CHW,"L,2-3",33,30,2,4,0,0,1,1,2,0,13,1,0,0,0,1,1,0,0.133,0.212,0.233,0.445,4,9,R,D.Cease(75),0.13333333333333333,0.21212121212121213,0.23333333333333334,0.44545454545454544
1,1,1,1,2,Mar 31,True,CHW,"W,6-3",36,28,6,7,1,0,1,6,7,0,8,1,0,0,0,2,2,1,0.19,0.319,0.31,0.629,6,9,R,L.Lynn(57),0.25,0.4166666666666667,0.39285714285714285,0.8095238095238095
2,2,2,2,3,Apr 1,True,CHW,"W,6-4",41,36,6,11,1,0,0,6,3,0,8,2,0,0,1,0,1,0,0.234,0.345,0.319,0.665,11,9,R,L.Giolito(52),0.3055555555555556,0.3902439024390244,0.3333333333333333,0.7235772357723578
3,3,3,3,4,Apr 2,True,CHW,"L,3-6",42,34,3,7,0,0,0,2,6,0,12,2,0,0,0,0,2,0,0.227,0.349,0.289,0.638,12,10,R,M.Clevinger(66),0.20588235294117646,0.35714285714285715,0.20588235294117646,0.5630252100840336
4,4,4,4,5,Apr 3,True,DET,"L,6-7",49,42,6,9,1,0,1,6,5,1,4,1,0,0,1,1,0,0,0.224,0.34,0.294,0.634,12,11,L,M.Boyd(51),0.21428571428571427,0.30612244897959184,0.30952380952380953,0.6156462585034014
5,5,5,5,6,Apr 4,True,DET,"L,3-6",37,34,3,10,0,0,1,3,3,0,6,0,0,0,0,1,0,0,0.235,0.342,0.309,0.651,7,9,R,M.Manning(51),0.29411764705882354,0.35135135135135137,0.38235294117647056,0.7337042925278219
6,6,6,6,7,Apr 5,True,DET,"W,8-2",38,34,8,11,4,0,3,8,2,0,4,0,0,2,1,0,0,0,0.248,0.342,0.366,0.707,6,9,L,E.Rodríguez(35),0.3235294117647059,0.34210526315789475,0.7058823529411765,1.0479876160990713
7,7,7,7,8,Apr 7,False,MIN,"L,2-3",37,34,2,5,2,0,0,2,2,0,16,0,1,0,0,0,0,0,0.235,0.325,0.346,0.67,6,9,R,S.Gray(77),0.14705882352941177,0.1891891891891892,0.20588235294117646,0.39507154213036566
8,8,8,8,9,Apr 8,False,MIN,"L,6-9",36,35,6,7,0,0,2,6,1,0,17,0,0,0,1,0,0,0,0.231,0.314,0.349,0.663,3,10,R,J.Ryan(59),0.2,0.2222222222222222,0.37142857142857144,0.5936507936507937
9,9,9,9,10,Apr 9,False,MIN,"W,5-1",38,35,5,11,3,0,1,5,3,0,7,0,0,0,1,2,1,1,0.24,0.319,0.363,0.682,6,10,R,T.Mahle(45),0.3142857142857143,0.3684210526315789,0.4857142857142857,0.8541353383458646
10,10,10,10,11,Apr 10,False,PIT,"W,8-2",48,38,8,13,3,0,0,8,8,1,7,1,1,0,1,0,0,0,0.25,0.336,0.368,0.704,13,10,R,R.Contreras(13),0.34210526315789475,0.4583333333333333,0.42105263157894735,0.8793859649122806
11,11,11,11,12,Apr 11,False,PIT,"L,4-7",40,37,4,9,2,0,2,4,3,1,9,0,0,0,1,0,1,0,0.249,0.333,0.376,0.709,9,12,R,M.Keller(57),0.24324324324324326,0.3,0.4594594594594595,0.7594594594594595
12,12,12,12,13,Apr 12,False,PIT,"W,7-0",44,37,7,12,3,0,2,7,5,0,2,0,0,2,0,0,1,0,0.256,0.337,0.392,0.729,10,10,L,R.Hill(52),0.32432432432432434,0.38636363636363635,0.5675675675675675,0.9539312039312039
13,13,13,13,14,Apr 14,True,TEX,"L,2-6",36,32,2,6,1,0,2,2,4,0,8,0,0,0,0,0,0,0,0.251,0.333,0.393,0.726,7,10,L,M.Pérez(49),0.1875,0.2777777777777778,0.40625,0.6840277777777778
14,14,14,14,15,Apr 15,True,TEX,"W,8-2",39,34,8,10,2,0,0,7,4,0,5,0,0,1,0,0,1,0,0.254,0.335,0.39,0.725,7,9,R,J.Gray(51),0.29411764705882354,0.358974358974359,0.35294117647058826,0.7119155354449472
15,15,15,15,16,Apr 16,True,TEX,"L,1-9",37,29,1,4,1,0,0,1,7,0,8,1,0,0,0,1,3,0,0.248,0.334,0.379,0.713,9,10,L,A.Heaney(64),0.13793103448275862,0.32432432432432434,0.1724137931034483,0.49673811742777263
