Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,MIN,"L,0-2",33,27,0,2,1,0,0,0,5,0,11,1,0,0,0,2,0,0,0.074,0.242,0.111,0.354,6,9,R,P.López(69),0.07407407407407407,0.24242424242424243,0.1111111111111111,0.35353535353535354
1,1,1,1,2,Apr 1,True,MIN,"L,0-2",35,30,0,4,1,0,0,0,5,0,5,0,0,0,1,2,0,0,0.105,0.25,0.14,0.39,8,10,R,S.Gray(58),0.13333333333333333,0.2571428571428571,0.16666666666666666,0.42380952380952375
2,2,2,2,3,Apr 2,True,MIN,"L,4-7",36,33,4,6,2,0,2,4,3,0,9,0,0,0,0,0,0,0,0.133,0.25,0.244,0.494,5,9,R,J.Ryan(66),0.18181818181818182,0.25,0.42424242424242425,0.6742424242424243
3,3,3,3,4,Apr 3,True,TOR,"W,9-5",37,33,9,10,2,1,1,9,3,0,11,1,0,0,0,0,2,0,0.179,0.284,0.317,0.601,4,9,R,J.Berríos(24),0.30303030303030304,0.3783783783783784,0.5151515151515151,0.8935298935298935
4,4,4,4,5,Apr 4,True,TOR,"L,1-4",31,30,1,4,0,0,1,1,1,0,7,0,0,0,0,0,0,0,0.17,0.262,0.301,0.562,3,10,L,Y.Kikuchi(58),0.13333333333333333,0.16129032258064516,0.23333333333333334,0.3946236559139785
5,5,5,5,6,Apr 5,True,TOR,"L,0-3",33,28,0,2,0,0,0,0,4,0,7,1,0,0,0,0,0,0,0.155,0.254,0.265,0.519,6,11,R,A.Manoah(76),0.07142857142857142,0.21212121212121213,0.07142857142857142,0.28354978354978355
6,6,6,6,7,Apr 6,True,TOR,"L,3-6",38,35,3,8,1,0,1,3,3,0,12,0,0,0,0,0,0,0,0.167,0.259,0.278,0.537,8,11,R,K.Gausman(69),0.22857142857142856,0.2894736842105263,0.34285714285714286,0.6323308270676692
7,7,7,7,8,Apr 7,False,SFG,"W,3-1",35,34,3,9,0,0,2,3,1,0,7,0,0,0,1,2,1,0,0.18,0.263,0.3,0.563,5,10,R,A.Cobb(61),0.2647058823529412,0.2857142857142857,0.4411764705882353,0.726890756302521
8,8,8,8,9,Apr 8,False,SFG,"W,6-5",36,34,6,8,2,0,3,5,1,0,10,1,0,0,0,1,0,0,0.187,0.264,0.331,0.595,3,12,L,S.Manaea(69),0.23529411764705882,0.2777777777777778,0.5588235294117647,0.8366013071895425
9,9,9,9,10,Apr 9,False,SFG,"L,1-3",32,31,1,5,2,0,0,1,0,0,10,0,0,0,0,1,0,0,0.184,0.255,0.321,0.576,4,11,R,A.DeSclafani(70),0.16129032258064516,0.15625,0.22580645161290322,0.38205645161290325
10,10,10,10,11,Apr 10,False,TEX,"L,2-11",34,32,2,4,0,0,1,1,2,0,13,0,0,0,1,0,1,0,0.179,0.248,0.311,0.559,5,11,L,A.Heaney(69),0.125,0.17647058823529413,0.21875,0.39522058823529416
11,11,11,11,12,Apr 11,False,TEX,"L,5-8",43,38,5,11,3,0,0,5,4,2,11,0,0,1,0,1,1,0,0.19,0.258,0.317,0.575,9,12,R,J.deGrom(64),0.2894736842105263,0.3488372093023256,0.3684210526315789,0.7172582619339045
12,12,12,12,13,Apr 12,False,TEX,"W,10-1",43,41,10,14,2,1,1,10,2,0,11,0,0,0,0,0,3,0,0.204,0.269,0.336,0.604,6,10,R,N.Eovaldi(30),0.34146341463414637,0.37209302325581395,0.5121951219512195,0.8842881452070335
