Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,OAK,"L,1-2",35,31,1,5,0,0,0,1,4,1,8,0,0,0,0,1,1,0,0.161,0.257,0.161,0.418,7,10,L,K.Muller(57),0.16129032258064516,0.2571428571428571,0.16129032258064516,0.41843317972350225
1,1,1,1,2,Apr 1,False,OAK,"W,13-1",44,36,13,11,2,0,1,13,6,0,7,0,0,2,1,1,0,0,0.239,0.329,0.313,0.643,4,11,R,S.Fujinami(16),0.3055555555555556,0.38636363636363635,0.4444444444444444,0.8308080808080808
2,2,2,2,3,Apr 2,False,OAK,"W,6-0",40,37,6,11,1,0,3,6,2,0,6,1,0,0,0,1,0,0,0.26,0.336,0.404,0.74,7,10,L,K.Waldichuk(30),0.2972972972972973,0.35,0.5675675675675675,0.9175675675675675
3,3,3,3,4,Apr 3,False,SEA,"W,7-3",44,37,7,11,2,0,2,7,6,0,11,1,0,0,0,1,0,0,0.27,0.356,0.433,0.788,10,10,R,G.Kirby(33),0.2972972972972973,0.4090909090909091,0.5135135135135135,0.9226044226044225
4,4,4,4,5,Apr 4,False,SEA,"L,2-11",37,33,2,7,2,0,0,2,3,0,8,0,0,1,0,0,0,0,0.259,0.34,0.402,0.742,8,10,R,L.Castillo(69),0.21212121212121213,0.2702702702702703,0.2727272727272727,0.542997542997543
5,5,5,5,6,Apr 5,False,SEA,"W,4-3",38,32,4,5,1,0,1,4,6,0,11,0,0,0,0,0,0,0,0.243,0.332,0.383,0.715,7,11,R,C.Flexen(57),0.15625,0.2894736842105263,0.28125,0.5707236842105263
6,6,6,6,7,Apr 7,True,TOR,"L,3-4",36,31,3,4,1,0,1,3,5,0,6,0,0,0,1,1,1,0,0.228,0.321,0.367,0.688,6,10,R,C.Bassitt(56),0.12903225806451613,0.25,0.25806451612903225,0.5080645161290323
7,7,7,7,8,Apr 8,True,TOR,"W,9-5",36,33,9,10,2,0,3,9,3,0,8,0,0,0,1,2,1,0,0.237,0.326,0.4,0.726,3,10,R,J.Berríos(34),0.30303030303030304,0.3611111111111111,0.6363636363636364,0.9974747474747474
8,8,8,8,9,Apr 9,True,TOR,"L,11-12",48,42,11,13,1,0,4,11,5,0,14,1,0,0,0,1,0,0,0.247,0.335,0.429,0.765,8,11,L,Y.Kikuchi(26),0.30952380952380953,0.3958333333333333,0.6190476190476191,1.0148809523809523
9,9,9,9,10,Apr 10,True,WSN,"L,4-6",38,33,4,7,1,0,1,4,4,0,8,1,0,0,0,1,0,0,0.243,0.333,0.42,0.754,7,10,L,P.Corbin(37),0.21212121212121213,0.3157894736842105,0.3333333333333333,0.6491228070175439
10,10,10,10,11,Apr 11,True,WSN,"W,2-0",33,26,2,5,0,0,1,2,4,0,7,2,0,1,0,2,0,0,0.24,0.333,0.412,0.746,7,9,R,J.Gray(54),0.19230769230769232,0.3333333333333333,0.3076923076923077,0.641025641025641
11,11,11,11,12,Apr 12,True,WSN,"W,3-2",35,29,3,7,2,0,0,2,6,0,9,0,0,0,1,1,2,0,0.24,0.336,0.405,0.741,8,9,L,M.Gore(47),0.2413793103448276,0.37142857142857144,0.3103448275862069,0.6817733990147783
12,12,12,12,13,Apr 14,False,BOS,"L,3-5",41,35,3,11,2,0,0,3,5,0,11,1,0,0,0,2,0,1,0.246,0.343,0.402,0.745,11,9,R,T.Houck(48),0.3142857142857143,0.4146341463414634,0.37142857142857144,0.7860627177700348
13,13,13,13,14,Apr 15,False,BOS,"L,7-9",42,36,7,9,2,0,1,7,3,0,10,2,0,0,0,0,0,0,0.246,0.342,0.401,0.744,8,9,R,N.Pivetta(29),0.25,0.3333333333333333,0.3888888888888889,0.7222222222222222
14,14,14,14,15,Apr 16,False,BOS,"L,1-2",30,27,1,4,1,0,0,1,3,0,6,0,0,0,0,2,0,1,0.241,0.337,0.39,0.726,2,12,R,G.Whitlock(70),0.14814814814814814,0.23333333333333334,0.18518518518518517,0.4185185185185185
15,15,15,15,16,Apr 17,False,BOS,"W,5-4",39,36,5,9,0,0,1,5,1,0,10,1,0,1,2,0,0,1,0.242,0.333,0.386,0.719,7,10,R,B.Bello(26),0.25,0.28205128205128205,0.3333333333333333,0.6153846153846154
16,16,16,16,17,Apr 18,False,NYY,"W,5-2",37,33,5,8,3,0,1,5,1,0,11,1,0,1,0,0,1,0,0.242,0.33,0.388,0.718,5,10,R,C.Schmidt(38),0.24242424242424243,0.2702702702702703,0.42424242424242425,0.6945126945126945
17,17,17,17,18,Apr 19,False,NYY,"L,2-3",42,35,2,7,2,0,0,2,5,0,10,2,0,0,0,1,0,0,0.239,0.33,0.38,0.711,11,11,R,J.Brito(53),0.2,0.3333333333333333,0.2571428571428571,0.5904761904761904
18,18,18,18,19,Apr 20,False,NYY,"L,3-9",37,32,3,7,2,0,0,3,3,0,9,1,0,1,0,1,0,0,0.238,0.329,0.375,0.704,7,10,L,N.Cortés(57),0.21875,0.2972972972972973,0.28125,0.5785472972972974
19,19,19,19,20,Apr 21,True,KCR,"W,2-0",32,28,2,6,0,0,1,2,2,0,4,2,0,0,0,2,0,0,0.237,0.328,0.373,0.701,6,10,R,T.Clarke(57),0.21428571428571427,0.3125,0.32142857142857145,0.6339285714285714
20,20,20,20,21,Apr 22,True,KCR,"L,8-11",39,39,8,12,1,0,4,8,0,0,9,0,0,0,0,0,0,0,0.241,0.327,0.388,0.715,4,11,R,Z.Greinke(39),0.3076923076923077,0.3076923076923077,0.6410256410256411,0.9487179487179488
21,21,21,21,22,Apr 23,True,KCR,"W,4-3",33,31,4,7,2,0,3,4,1,0,8,0,0,1,1,0,0,0,0.24,0.324,0.396,0.72,5,10,R,J.Lyles(52),0.22580645161290322,0.24242424242424243,0.5806451612903226,0.823069403714565
22,22,22,22,23,Apr 24,True,OAK,"L,10-11",47,40,10,13,4,0,3,10,4,0,8,2,0,0,0,1,0,1,0.245,0.328,0.409,0.738,8,10,L,K.Waldichuk(37),0.325,0.40425531914893614,0.65,1.054255319148936
23,23,23,23,24,Apr 25,True,OAK,"W,5-3",36,34,5,10,1,1,0,5,2,0,8,0,0,0,0,0,4,0,0.247,0.329,0.408,0.737,7,10,R,M.Miller(41),0.29411764705882354,0.3333333333333333,0.38235294117647056,0.7156862745098038
24,24,24,24,25,Apr 26,True,OAK,"W,11-3",42,37,11,12,4,0,3,10,5,0,10,0,0,0,0,0,0,0,0.25,0.332,0.42,0.752,7,10,R,L.Medina(24),0.32432432432432434,0.40476190476190477,0.6756756756756757,1.0804375804375805
25,25,25,25,26,Apr 27,True,OAK,"W,8-7",40,32,8,10,3,1,1,8,6,0,8,1,0,1,0,1,0,0,0.253,0.336,0.425,0.761,8,10,L,J.Sears(29),0.3125,0.425,0.5625,0.9875
26,26,26,26,27,Apr 28,False,MIL,"L,1-2",35,35,1,9,0,0,0,1,0,0,3,0,0,0,1,1,0,1,0.253,0.333,0.419,0.752,7,10,L,W.Miley(56),0.2571428571428571,0.2571428571428571,0.2571428571428571,0.5142857142857142
27,27,27,27,28,Apr 29,False,MIL,"L,5-7",40,36,5,11,0,0,2,5,2,0,7,1,0,1,0,1,3,0,0.255,0.334,0.421,0.754,8,11,R,C.Burnes(62),0.3055555555555556,0.35,0.4722222222222222,0.8222222222222222
28,28,28,28,29,Apr 30,False,MIL,"W,3-0",34,31,3,5,0,0,2,3,3,0,10,0,0,0,0,0,1,1,0.252,0.331,0.419,0.749,4,10,R,C.Rea(61),0.16129032258064516,0.23529411764705882,0.3548387096774194,0.5901328273244781
29,29,29,29,30,May 2,False,STL,"W,5-1",38,35,5,8,0,0,1,5,3,0,8,0,0,0,0,0,0,0,0.251,0.329,0.415,0.744,6,10,L,S.Matz(41),0.22857142857142856,0.2894736842105263,0.3142857142857143,0.6037593984962406
30,30,30,30,31,May 3,False,STL,"W,6-4",41,38,6,13,1,0,3,6,2,0,8,1,0,0,0,2,0,0,0.254,0.331,0.422,0.753,8,12,R,M.Mikolas(46),0.34210526315789475,0.3902439024390244,0.6052631578947368,0.9955070603337612
31,31,31,31,32,May 4,False,STL,"W,11-7",45,39,11,16,2,0,1,11,3,0,8,1,0,2,1,3,0,0,0.26,0.335,0.426,0.762,7,10,R,J.Flaherty(1),0.41025641025641024,0.4444444444444444,0.5384615384615384,0.9829059829059829
32,32,32,32,33,May 5,True,TEX,"W,5-4",39,37,5,9,1,0,0,4,2,1,3,0,0,0,1,1,0,0,0.259,0.334,0.421,0.755,7,11,R,D.Dunning(65),0.24324324324324326,0.28205128205128205,0.2702702702702703,0.5523215523215523
33,33,33,33,34,May 6,True,TEX,"L,1-10",34,32,1,6,1,0,1,1,2,0,5,0,0,0,0,0,0,1,0.257,0.331,0.418,0.749,6,9,R,N.Eovaldi(75),0.1875,0.23529411764705882,0.3125,0.5477941176470589
34,34,34,34,35,May 7,True,TEX,"L,8-16",44,37,8,13,0,0,2,8,6,0,6,0,0,1,0,2,0,0,0.26,0.335,0.421,0.755,9,10,L,M.Pérez(16),0.35135135135135137,0.4318181818181818,0.5135135135135135,0.9453316953316953
35,35,35,35,36,May 8,True,HOU,"W,6-4",35,31,6,11,3,1,1,6,2,0,6,1,0,1,0,2,0,1,0.263,0.336,0.426,0.762,5,9,R,H.Brown(31),0.3548387096774194,0.4,0.6129032258064516,1.0129032258064516
36,36,36,36,37,May 9,True,HOU,"L,1-3",32,31,1,3,0,0,1,1,0,0,14,0,0,0,1,0,0,0,0.259,0.331,0.42,0.751,4,11,L,F.Valdez(84),0.0967741935483871,0.09375,0.1935483870967742,0.2872983870967742
37,37,37,37,38,May 10,True,HOU,"L,4-5",35,33,4,8,0,0,2,4,2,0,14,0,0,0,0,2,0,0,0.258,0.33,0.42,0.75,4,9,R,C.Javier(68),0.24242424242424243,0.2857142857142857,0.42424242424242425,0.7099567099567099
38,38,38,38,39,May 12,False,CLE,"W,5-4",43,37,5,12,4,0,0,5,4,0,9,0,0,1,0,1,0,0,0.26,0.331,0.42,0.752,11,11,L,L.Allen(38),0.32432432432432434,0.37209302325581395,0.43243243243243246,0.8045254556882464
39,39,39,39,40,May 13,False,CLE,"L,6-8",42,36,6,10,2,0,2,6,4,0,6,1,0,1,1,1,3,0,0.26,0.332,0.423,0.755,9,11,R,C.Quantrill(47),0.2777777777777778,0.35714285714285715,0.5,0.8571428571428572
40,40,40,40,41,May 14,False,CLE,"L,3-4",32,31,3,5,1,0,0,3,0,0,8,1,0,0,0,0,1,0,0.258,0.329,0.418,0.747,2,11,R,T.Bibee(78),0.16129032258064516,0.1875,0.1935483870967742,0.3810483870967742
41,41,41,41,42,May 15,False,BAL,"W,9-5",49,43,9,17,4,1,2,9,5,0,8,0,0,1,0,0,0,0,0.262,0.333,0.425,0.758,13,10,R,G.Rodriguez(10),0.3953488372093023,0.4489795918367347,0.6744186046511628,1.1233981964878974
42,42,42,42,43,May 16,False,BAL,"L,3-7",35,35,3,8,1,0,1,3,0,0,8,0,0,0,0,0,0,0,0.262,0.331,0.423,0.754,5,10,R,D.Kremer(49),0.22857142857142856,0.22857142857142856,0.34285714285714286,0.5714285714285714
43,43,43,43,44,May 17,False,BAL,"L,1-3",31,30,1,4,0,0,1,1,1,0,9,0,0,0,0,1,0,0,0.259,0.327,0.419,0.747,3,11,R,K.Bradish(67),0.13333333333333333,0.16129032258064516,0.23333333333333334,0.3946236559139785
44,44,44,44,45,May 18,False,BAL,"W,6-5",44,39,6,13,0,0,2,6,4,0,13,1,0,0,0,1,1,0,0.261,0.329,0.421,0.751,11,12,R,T.Wells(49),0.3333333333333333,0.4090909090909091,0.48717948717948717,0.8962703962703963
45,45,45,45,46,May 19,True,MIN,"W,5-4",35,32,5,10,2,1,0,4,2,0,11,0,0,1,0,1,1,0,0.262,0.33,0.421,0.751,6,10,R,J.Ryan(56),0.3125,0.34285714285714286,0.4375,0.7803571428571429
46,46,46,46,47,May 20,True,MIN,"L,2-6",37,35,2,8,2,0,1,2,1,0,10,1,0,0,0,0,0,0,0.261,0.329,0.42,0.749,8,12,R,L.Varland(50),0.22857142857142856,0.2702702702702703,0.37142857142857144,0.6416988416988417
47,47,47,47,48,May 21,True,MIN,"W,4-2",36,32,4,9,3,0,0,4,3,1,11,0,0,1,0,0,2,0,0.262,0.329,0.42,0.748,8,10,R,P.López(60),0.28125,0.3333333333333333,0.375,0.7083333333333333
48,48,48,48,49,May 22,True,BOS,"W,2-1",32,28,2,5,1,0,1,2,3,0,11,1,0,0,0,1,0,0,0.26,0.328,0.418,0.746,6,10,R,T.Houck(68),0.17857142857142858,0.28125,0.32142857142857145,0.6026785714285714
49,49,49,49,50,May 23,True,BOS,"W,4-0",34,33,4,9,3,0,3,4,1,0,8,0,0,0,0,0,0,0,0.26,0.327,0.422,0.749,6,10,R,B.Bello(63),0.2727272727272727,0.29411764705882354,0.6363636363636364,0.9304812834224598
50,50,50,50,51,May 24,True,BOS,"W,7-3",35,30,7,7,2,0,3,7,4,0,8,0,0,1,0,0,0,0,0.26,0.327,0.425,0.752,4,10,L,J.Paxton(33),0.23333333333333334,0.3142857142857143,0.6,0.9142857142857143
51,51,51,51,52,May 26,True,MIA,"L,2-6",37,35,2,10,2,0,1,2,2,0,10,0,0,0,0,2,1,0,0.26,0.327,0.425,0.752,8,11,L,J.Luzardo(55),0.2857142857142857,0.32432432432432434,0.42857142857142855,0.752895752895753
52,52,52,52,53,May 27,True,MIA,"L,5-8",45,37,5,8,3,0,1,5,7,0,8,1,0,0,0,1,2,0,0.26,0.328,0.424,0.752,11,12,R,E.Cabrera(50),0.21621621621621623,0.35555555555555557,0.3783783783783784,0.7339339339339339
53,53,53,53,54,May 28,True,MIA,"L,0-2",38,30,0,5,2,1,0,0,8,1,9,0,0,0,0,2,0,0,0.258,0.328,0.422,0.75,11,13,R,E.Pérez(62),0.16666666666666666,0.34210526315789475,0.3,0.6421052631578947
54,54,54,54,55,May 29,False,CHW,"W,6-4",43,35,6,8,1,0,2,6,5,0,16,2,0,1,1,0,1,0,0.257,0.328,0.422,0.751,10,10,R,M.Kopech(45),0.22857142857142856,0.3488372093023256,0.42857142857142855,0.7774086378737541
55,55,55,55,56,May 30,False,CHW,"L,3-7",36,31,3,5,1,0,2,3,3,0,13,1,0,1,0,0,0,0,0.256,0.327,0.422,0.749,6,10,R,L.Giolito(50),0.16129032258064516,0.25,0.3870967741935484,0.6370967741935484
56,56,56,56,57,May 31,False,CHW,"W,12-5",44,38,12,13,4,0,5,12,4,0,6,2,0,0,0,1,0,1,0.258,0.329,0.43,0.759,5,11,R,L.Lynn(16),0.34210526315789475,0.4318181818181818,0.8421052631578947,1.2739234449760766
57,57,57,57,58,Jun 1,False,HOU,"L,2-5",42,38,2,11,1,0,1,2,4,0,9,0,0,0,0,0,0,0,0.258,0.33,0.429,0.759,13,9,R,R.Blanco(48),0.2894736842105263,0.35714285714285715,0.39473684210526316,0.7518796992481203
58,58,58,58,59,Jun 2,False,HOU,"L,2-6",37,33,2,9,2,0,0,2,3,0,8,1,0,0,0,3,0,0,0.258,0.33,0.428,0.758,8,11,L,F.Valdez(73),0.2727272727272727,0.35135135135135137,0.3333333333333333,0.6846846846846847
59,59,59,59,60,Jun 3,False,HOU,"L,6-9",41,38,6,12,3,1,1,4,3,0,8,0,0,0,0,1,0,0,0.26,0.331,0.43,0.76,8,9,R,C.Javier(61),0.3157894736842105,0.36585365853658536,0.5263157894736842,0.8921694480102695
60,60,60,60,61,Jun 4,False,HOU,"W,2-1",32,31,2,6,1,0,1,2,1,0,5,0,0,0,0,2,0,0,0.259,0.329,0.428,0.757,3,10,R,J.France(69),0.1935483870967742,0.21875,0.3225806451612903,0.5413306451612903
61,61,61,61,62,Jun 6,True,CHC,"W,7-4",36,29,7,5,1,0,2,6,6,0,10,1,0,0,0,1,0,0,0.257,0.329,0.428,0.757,5,11,R,H.Wesneski(51),0.1724137931034483,0.3333333333333333,0.41379310344827586,0.7471264367816092
