Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,ARI,"W,8-2",40,34,8,12,2,0,1,8,5,0,12,0,0,1,0,0,0,0,0.353,0.425,0.5,0.925,8,9,R,Z.Gallen(36),0.35294117647058826,0.425,0.5,0.925
1,1,1,1,2,Mar 31,True,ARI,"L,1-2",40,31,1,5,1,0,1,1,9,0,9,0,0,0,0,0,0,1,0.262,0.388,0.4,0.788,12,9,R,M.Kelly(55),0.16129032258064516,0.35,0.2903225806451613,0.6403225806451613
2,2,2,2,3,Apr 1,True,ARI,"W,10-1",37,30,10,8,2,0,4,10,5,0,7,1,0,1,0,0,0,1,0.263,0.385,0.505,0.89,3,11,L,M.Bumgarner(32),0.26666666666666666,0.3783783783783784,0.7333333333333333,1.1117117117117117
3,3,3,3,4,Apr 2,True,ARI,"L,1-2",36,31,1,4,0,0,1,1,4,0,11,1,0,0,0,0,1,0,0.23,0.353,0.437,0.789,8,12,R,Z.Davies(57),0.12903225806451613,0.25,0.22580645161290322,0.47580645161290325
4,4,4,4,5,Apr 3,True,COL,"W,13-4",43,36,13,13,2,2,3,13,5,0,11,1,0,1,1,1,0,0,0.259,0.372,0.512,0.885,6,10,R,R.Feltner(38),0.3611111111111111,0.4418604651162791,0.7777777777777778,1.2196382428940569
5,5,5,5,6,Apr 4,True,COL,"W,5-2",33,28,5,7,2,0,3,5,5,0,9,0,0,0,0,2,0,1,0.258,0.371,0.532,0.903,4,10,R,G.Márquez(44),0.25,0.36363636363636365,0.6428571428571429,1.0064935064935066
6,6,6,6,7,Apr 6,False,ARI,"W,5-2",39,32,5,7,3,0,1,4,6,0,8,1,0,0,1,1,0,0,0.252,0.369,0.514,0.883,7,10,R,M.Kelly(45),0.21875,0.358974358974359,0.40625,0.765224358974359
7,7,7,7,8,Apr 7,False,ARI,"L,3-6",40,30,3,5,1,0,2,3,9,0,10,0,0,1,0,0,0,0,0.242,0.367,0.5,0.867,10,10,L,M.Bumgarner(43),0.16666666666666666,0.35,0.4,0.75
8,8,8,8,9,Apr 8,False,ARI,"L,8-12",41,35,8,11,5,0,2,8,5,0,9,0,0,1,0,2,0,0,0.251,0.37,0.516,0.885,6,10,R,Z.Davies(32),0.3142857142857143,0.3902439024390244,0.6285714285714286,1.0188153310104529
9,9,9,9,10,Apr 9,False,ARI,"L,6-11",39,33,6,7,2,2,0,6,5,0,4,0,0,1,0,1,0,0,0.247,0.363,0.503,0.867,6,11,R,R.Nelson(53),0.21212121212121213,0.3076923076923077,0.3939393939393939,0.7016317016317016
10,10,10,10,11,Apr 10,False,SFG,"W,9-1",38,36,9,9,0,1,3,9,2,0,11,0,0,0,1,1,1,0,0.247,0.357,0.508,0.865,2,10,R,L.Webb(57),0.25,0.2894736842105263,0.5555555555555556,0.8450292397660819
11,11,11,11,12,Apr 11,False,SFG,"L,0-5",38,30,0,3,0,0,0,0,5,0,11,2,0,0,0,0,0,0,0.236,0.35,0.477,0.827,11,12,L,A.Wood(64),0.1,0.2631578947368421,0.1,0.3631578947368421
12,12,12,12,13,Apr 12,False,SFG,"W,10-5",46,38,10,13,2,1,3,10,7,0,9,0,0,1,0,0,0,1,0.245,0.358,0.495,0.853,9,11,R,A.Cobb(38),0.34210526315789475,0.43478260869565216,0.6842105263157895,1.1189931350114417
13,13,13,13,14,Apr 14,True,CHC,"L,2-8",31,30,2,3,0,0,2,2,1,0,10,0,0,0,1,1,0,0,0.236,0.344,0.482,0.827,2,10,L,J.Steele(70),0.1,0.12903225806451613,0.3,0.4290322580645161
14,14,14,14,15,Apr 15,True,CHC,"W,2-1",35,31,2,5,1,0,0,2,3,0,13,1,0,0,0,0,0,0,0.231,0.339,0.464,0.803,7,10,R,J.Taillon(68),0.16129032258064516,0.2571428571428571,0.1935483870967742,0.4506912442396313
15,15,15,15,16,Apr 16,True,CHC,"L,2-3",38,34,2,8,1,0,1,2,4,0,11,0,0,0,0,1,0,0,0.231,0.338,0.457,0.794,9,11,L,D.Smyly(58),0.23529411764705882,0.3157894736842105,0.35294117647058826,0.6687306501547987
16,16,16,16,17,Apr 17,True,NYM,"L,6-8",36,36,6,9,2,0,3,6,0,0,9,0,0,0,0,0,0,0,0.232,0.333,0.463,0.796,3,12,L,D.Peterson(40),0.25,0.25,0.5555555555555556,0.8055555555555556
17,17,17,17,18,Apr 18,True,NYM,"W,5-0",39,31,5,9,0,0,2,5,7,0,8,0,0,1,0,0,1,0,0.235,0.337,0.464,0.801,10,10,R,T.Megill(41),0.2903225806451613,0.41025641025641024,0.4838709677419355,0.8941273779983457
18,18,18,18,19,Apr 19,True,NYM,"L,3-5",37,31,3,5,2,0,1,3,5,1,7,0,0,1,0,0,0,0,0.232,0.334,0.457,0.791,7,12,R,M.Scherzer(58),0.16129032258064516,0.2702702702702703,0.3225806451612903,0.5928509154315607
