Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,NYM,"L,3-5",32,30,3,5,3,0,1,3,2,0,12,0,0,0,0,2,0,0,0.167,0.219,0.367,0.585,2,10,R,M.Scherzer(56),0.16666666666666666,0.21875,0.36666666666666664,0.5854166666666667
1,1,1,1,2,Mar 31,True,NYM,"W,2-1",33,32,2,10,0,1,2,2,1,0,5,0,0,0,0,1,0,0,0.242,0.277,0.468,0.745,7,11,L,D.Peterson(51),0.3125,0.3333333333333333,0.5625,0.8958333333333333
2,2,2,2,3,Apr 1,True,NYM,"L,2-6",39,36,2,10,2,0,1,2,3,0,12,0,0,0,0,1,0,0,0.255,0.298,0.449,0.747,10,9,R,T.Megill(52),0.2777777777777778,0.3333333333333333,0.4166666666666667,0.75
3,3,3,3,4,Apr 2,True,NYM,"L,1-5",34,29,1,4,1,0,0,1,5,0,12,0,0,0,0,2,0,0,0.228,0.29,0.386,0.676,6,9,R,K.Senga(63),0.13793103448275862,0.2647058823529412,0.1724137931034483,0.43711967545638947
4,4,4,4,5,Apr 3,True,MIN,"L,1-11",37,36,1,12,2,0,0,1,1,0,11,0,0,0,0,2,0,0,0.252,0.303,0.387,0.689,9,11,R,T.Mahle(59),0.3333333333333333,0.35135135135135137,0.3888888888888889,0.7402402402402403
5,5,5,5,6,Apr 4,True,MIN,"W,1-0",27,26,1,3,0,0,1,1,1,0,12,0,0,0,0,1,1,0,0.233,0.282,0.365,0.647,2,9,R,K.Maeda(66),0.11538461538461539,0.14814814814814814,0.23076923076923078,0.3789173789173789
6,6,6,6,7,Apr 5,True,MIN,"W,5-2",30,29,5,7,0,0,2,5,1,0,10,0,0,0,0,0,1,2,0.234,0.28,0.376,0.656,1,11,R,P.López(74),0.2413793103448276,0.26666666666666666,0.4482758620689655,0.7149425287356321
7,7,7,7,8,Apr 7,False,NYM,"L,3-9",35,31,3,6,1,0,1,3,4,0,7,0,0,0,0,2,0,0,0.229,0.281,0.369,0.65,5,9,R,T.Megill(67),0.1935483870967742,0.2857142857142857,0.3225806451612903,0.6082949308755761
8,8,8,8,9,Apr 8,False,NYM,"L,2-5",37,32,2,5,0,0,1,2,5,0,7,0,0,0,0,0,0,0,0.221,0.28,0.356,0.635,8,9,R,K.Senga(65),0.15625,0.2702702702702703,0.25,0.5202702702702703
9,9,9,9,10,Apr 9,False,NYM,"W,7-2",42,36,7,11,1,0,2,7,5,0,7,0,0,1,0,1,5,0,0.23,0.292,0.372,0.664,8,11,R,C.Carrasco(26),0.3055555555555556,0.38095238095238093,0.5,0.8809523809523809
10,10,10,10,11,Apr 10,False,PHI,"L,3-15",40,35,3,9,0,0,1,2,4,0,7,1,0,0,0,1,0,0,0.233,0.298,0.369,0.667,10,11,L,M.Strahm(64),0.2571428571428571,0.35,0.34285714285714286,0.6928571428571428
11,11,11,11,12,Apr 11,False,PHI,"W,8-4",43,40,8,14,3,2,2,8,3,0,10,0,0,0,1,1,2,0,0.245,0.308,0.401,0.708,8,11,R,A.Nola(41),0.35,0.3953488372093023,0.675,1.0703488372093024
12,12,12,12,13,Apr 12,False,PHI,"W,3-2",41,37,3,8,3,0,1,3,4,0,12,0,0,0,0,0,1,0,0.242,0.306,0.399,0.705,9,11,R,Z.Wheeler(65),0.21621621621621623,0.2926829268292683,0.3783783783783784,0.6710613052076466
13,13,13,13,14,Apr 14,True,ARI,"W,5-1",36,34,5,11,2,0,0,5,1,0,2,1,0,0,0,0,1,0,0.248,0.31,0.397,0.708,7,10,L,M.Bumgarner(29),0.3235294117647059,0.3611111111111111,0.38235294117647056,0.7434640522875817
14,14,14,14,15,Apr 15,True,ARI,"W,3-2",31,30,3,9,1,0,1,3,0,0,5,0,0,0,0,2,0,0,0.252,0.31,0.4,0.709,4,10,R,R.Nelson(62),0.3,0.2903225806451613,0.43333333333333335,0.7236559139784946
15,15,15,15,16,Apr 16,True,ARI,"L,0-5",31,29,0,4,1,0,0,0,1,0,8,1,0,0,0,2,0,0,0.245,0.303,0.387,0.69,4,10,R,Z.Gallen(77),0.13793103448275862,0.1935483870967742,0.1724137931034483,0.3659621802002225
16,16,16,16,17,Apr 17,True,SFG,"W,4-3",32,31,4,9,1,0,1,4,0,0,6,1,0,0,0,2,1,0,0.248,0.304,0.389,0.693,4,11,R,L.Webb(48),0.2903225806451613,0.3125,0.41935483870967744,0.7318548387096775
17,17,17,17,18,Apr 18,True,SFG,"W,4-2",34,30,4,9,2,0,1,4,1,0,8,0,1,1,0,1,2,0,0.25,0.304,0.393,0.697,6,9,L,A.Wood(53),0.3,0.29411764705882354,0.4666666666666667,0.7607843137254902
18,18,18,18,19,Apr 19,True,SFG,"L,2-5",48,43,2,10,1,0,0,2,4,2,16,1,0,0,0,0,3,0,0.249,0.305,0.383,0.688,15,11,R,A.Cobb(56),0.23255813953488372,0.3125,0.2558139534883721,0.5683139534883721
19,19,19,19,20,Apr 22 (1),False,CLE,"W,6-1",39,31,6,7,2,0,1,6,7,0,5,0,1,0,1,2,0,1,0.248,0.308,0.384,0.692,6,9,R,S.Bieber(49),0.22580645161290322,0.358974358974359,0.3870967741935484,0.7460711331679073
20,20,20,20,21,Apr 22 (2),False,CLE,"W,3-2",42,36,3,11,6,0,0,3,4,1,6,0,1,1,0,0,2,0,0.251,0.311,0.388,0.7,12,10,R,Z.Plesac(38),0.3055555555555556,0.35714285714285715,0.4722222222222222,0.8293650793650793
21,21,21,21,22,Apr 23,False,CLE,"L,4-7",36,34,4,8,1,0,2,4,2,0,11,0,0,0,0,1,1,0,0.25,0.31,0.391,0.7,5,9,L,L.Allen(65),0.23529411764705882,0.2777777777777778,0.4411764705882353,0.7189542483660131
22,22,22,22,23,Apr 24,False,ATL,"L,0-11",31,31,0,2,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0.243,0.301,0.377,0.678,4,12,R,S.Strider(91),0.06451612903225806,0.06451612903225806,0.06451612903225806,0.12903225806451613
23,23,23,23,24,Apr 25,False,ATL,"L,4-7",38,35,4,10,1,0,2,4,2,0,11,0,1,0,0,1,1,0,0.245,0.302,0.382,0.684,7,10,R,C.Morton(74),0.2857142857142857,0.3157894736842105,0.4857142857142857,0.8015037593984962
24,24,24,24,25,Apr 26,False,ATL,"L,4-6",36,32,4,5,1,0,3,4,4,0,7,0,0,0,0,0,0,0,0.241,0.3,0.385,0.685,5,10,R,B.Elder(43),0.15625,0.25,0.46875,0.71875
25,25,25,25,26,Apr 27,False,ATL,"W,5-4",39,37,5,11,2,0,0,5,2,0,14,0,0,0,0,1,2,0,0.244,0.301,0.384,0.685,7,12,R,K.Wright(60),0.2972972972972973,0.3333333333333333,0.35135135135135137,0.6846846846846847
26,26,26,26,27,Apr 28,True,CHC,"W,3-2",33,29,3,8,0,0,0,2,2,0,6,2,0,0,0,2,3,0,0.245,0.303,0.38,0.684,6,10,R,M.Stroman(54),0.27586206896551724,0.36363636363636365,0.27586206896551724,0.6394984326018809
27,27,27,27,28,Apr 29,True,CHC,"W,7-6",41,35,7,12,3,0,0,6,4,1,11,2,0,0,0,1,0,0,0.248,0.309,0.382,0.691,10,9,R,C.Kilian(14),0.34285714285714286,0.43902439024390244,0.42857142857142855,0.867595818815331
28,28,28,28,29,Apr 30,True,CHC,"W,4-3",32,28,4,8,2,0,0,3,2,0,4,1,0,1,0,1,1,1,0.249,0.31,0.382,0.691,4,10,L,J.Steele(50),0.2857142857142857,0.34375,0.35714285714285715,0.7008928571428572
29,29,29,29,30,May 2,True,ATL,"L,0-6",32,30,0,4,1,0,0,0,2,0,9,0,0,0,1,1,0,0,0.246,0.306,0.375,0.681,5,10,R,B.Elder(77),0.13333333333333333,0.1875,0.16666666666666666,0.35416666666666663
30,30,30,30,31,May 3,True,ATL,"L,6-14",40,38,6,12,3,0,1,5,2,0,11,0,0,0,1,0,0,1,0.249,0.308,0.379,0.686,7,12,R,K.Wright(32),0.3157894736842105,0.35,0.47368421052631576,0.8236842105263158
31,31,31,31,32,May 4,True,ATL,"L,3-6",38,35,3,10,1,0,1,3,3,1,3,0,0,0,0,1,1,1,0.25,0.309,0.379,0.688,8,10,L,D.Dodd(42),0.2857142857142857,0.34210526315789475,0.4,0.7421052631578948
32,32,32,32,33,May 5,False,CHC,"L,1-4",33,30,1,8,0,0,0,1,0,0,5,1,1,1,0,2,0,0,0.25,0.308,0.376,0.684,5,9,L,J.Steele(65),0.26666666666666666,0.2727272727272727,0.26666666666666666,0.5393939393939393
33,33,33,33,34,May 6,False,CHC,"L,2-4",34,31,2,6,0,0,1,2,3,0,8,0,0,0,0,1,0,1,0.249,0.307,0.374,0.681,5,10,L,D.Smyly(48),0.1935483870967742,0.2647058823529412,0.2903225806451613,0.5550284629981025
34,34,34,34,35,May 7,False,CHC,"W,5-4",51,48,5,9,1,1,1,4,1,0,10,0,1,1,0,1,1,0,0.246,0.303,0.371,0.674,9,12,R,H.Wesneski(64),0.1875,0.19607843137254902,0.3125,0.508578431372549
35,35,35,35,36,May 8,False,ARI,"L,2-5",36,35,2,9,3,0,0,2,1,0,8,0,0,0,0,1,0,0,0.246,0.302,0.371,0.672,7,12,R,Z.Gallen(69),0.2571428571428571,0.2777777777777778,0.34285714285714286,0.6206349206349207
36,36,36,36,37,May 9,False,ARI,"W,6-2",36,34,6,9,3,0,2,6,2,0,4,0,0,0,0,1,2,1,0.247,0.302,0.375,0.677,3,9,R,B.Pfaadt(30),0.2647058823529412,0.3055555555555556,0.5294117647058824,0.8349673202614379
37,37,37,37,38,May 10,False,ARI,"W,5-4",35,33,5,7,4,0,1,5,1,0,10,0,1,0,0,0,0,0,0.246,0.3,0.376,0.677,3,10,R,M.Kelly(53),0.21212121212121213,0.22857142857142856,0.42424242424242425,0.6528138528138528
38,38,38,38,39,May 12,True,CIN,"L,4-7",37,34,4,7,1,1,2,3,3,0,8,0,0,0,1,0,0,1,0.245,0.3,0.379,0.678,6,10,R,G.Ashcraft(44),0.20588235294117646,0.2702702702702703,0.47058823529411764,0.7408585055643879
39,39,39,39,40,May 13,True,CIN,"L,5-6",43,34,5,9,1,0,2,5,9,0,8,0,0,0,0,1,2,0,0.246,0.303,0.381,0.684,11,11,R,D.Law(51),0.2647058823529412,0.4186046511627907,0.47058823529411764,0.8891928864569083
40,40,40,40,41,May 14,True,CIN,"W,3-1",37,35,3,11,4,0,0,3,2,1,9,0,0,0,1,0,0,0,0.247,0.304,0.382,0.686,10,9,R,L.Weaver(55),0.3142857142857143,0.35135135135135137,0.42857142857142855,0.7799227799227799
41,41,41,41,42,May 16,True,WSN,"W,5-4",40,37,5,12,3,0,1,4,3,1,7,0,0,0,0,1,2,0,0.249,0.306,0.385,0.691,9,10,R,J.Gray(59),0.32432432432432434,0.375,0.4864864864864865,0.8614864864864865
42,42,42,42,43,May 17,True,WSN,"W,4-3",33,30,4,8,2,1,1,4,2,0,10,0,0,1,0,1,0,0,0.25,0.306,0.387,0.693,5,10,L,M.Gore(47),0.26666666666666666,0.30303030303030304,0.5,0.803030303030303
43,43,43,43,44,May 18,True,WSN,"W,5-3",36,34,5,9,1,0,1,5,1,0,6,1,0,0,1,0,3,0,0.25,0.306,0.387,0.693,7,10,R,T.Williams(54),0.2647058823529412,0.3055555555555556,0.38235294117647056,0.6879084967320261
44,44,44,44,45,May 19,False,SFG,"L,3-4",36,33,3,6,2,0,1,3,3,0,10,0,0,0,0,0,0,0,0.249,0.305,0.386,0.691,6,11,R,A.DeSclafani(54),0.18181818181818182,0.25,0.3333333333333333,0.5833333333333333
45,45,45,45,46,May 20,False,SFG,"W,1-0",35,31,1,5,0,0,0,1,3,1,11,0,1,0,2,2,2,0,0.247,0.303,0.382,0.685,7,10,R,L.Webb(69),0.16129032258064516,0.22857142857142856,0.16129032258064516,0.3898617511520737
46,46,46,46,47,May 21,False,SFG,"L,5-7",38,38,5,13,0,0,2,4,0,0,7,0,0,0,0,1,0,1,0.249,0.304,0.384,0.689,6,11,L,A.Wood(40),0.34210526315789475,0.34210526315789475,0.5,0.8421052631578947
47,47,47,47,48,May 22,False,COL,"L,3-5",40,35,3,11,1,0,0,3,3,0,4,1,1,0,1,2,0,0,0.25,0.306,0.383,0.69,10,9,R,C.Anderson(44),0.3142857142857143,0.375,0.34285714285714286,0.7178571428571429
48,48,48,48,49,May 23,False,COL,"L,4-5",40,38,4,11,1,0,2,4,2,0,6,0,0,0,0,0,0,0,0.251,0.306,0.386,0.692,9,11,L,A.Gomber(50),0.2894736842105263,0.325,0.47368421052631576,0.7986842105263158
49,49,49,49,50,May 24,False,COL,"W,10-2",41,35,10,14,4,1,2,9,3,0,6,1,0,2,0,3,2,0,0.254,0.309,0.393,0.702,4,11,R,K.Kauffmann(30),0.4,0.43902439024390244,0.7428571428571429,1.1818815331010453
50,50,50,50,51,May 25,False,COL,"L,6-7",44,38,6,12,1,2,2,6,5,0,10,1,0,0,0,1,0,0,0.256,0.312,0.398,0.709,11,11,L,K.Freeland(47),0.3157894736842105,0.4090909090909091,0.6052631578947368,1.014354066985646
51,51,51,51,52,May 26,False,LAA,"W,6-2",45,41,6,16,0,0,2,6,4,0,12,0,0,0,0,1,0,1,0.259,0.315,0.401,0.716,12,10,L,R.Detmers(38),0.3902439024390244,0.4444444444444444,0.5365853658536586,0.981029810298103
52,52,52,52,53,May 27,False,LAA,"W,8-5",46,37,8,8,0,0,1,7,9,2,17,0,0,0,2,3,0,0,0.258,0.316,0.399,0.715,9,12,R,S.Ohtani(61),0.21621621621621623,0.3695652173913043,0.2972972972972973,0.6668625146886016
53,53,53,53,54,May 28,False,LAA,"W,2-0",37,34,2,9,1,0,1,2,2,1,7,1,0,0,0,2,1,0,0.258,0.316,0.398,0.715,8,10,L,P.Sandoval(48),0.2647058823529412,0.32432432432432434,0.38235294117647056,0.7066772655007949
54,54,54,54,55,May 30,True,SDP,"L,4-9",42,33,4,10,0,0,1,4,8,0,7,0,1,0,0,3,1,0,0.259,0.319,0.398,0.717,11,11,L,R.Weathers(37),0.30303030303030304,0.42857142857142855,0.3939393939393939,0.8225108225108224
55,55,55,55,56,May 31,True,SDP,"W,2-1",34,27,2,6,0,0,0,2,5,0,8,0,2,0,0,3,1,0,0.258,0.319,0.396,0.715,7,11,L,B.Snell(70),0.2222222222222222,0.3235294117647059,0.2222222222222222,0.5457516339869282
56,56,56,56,57,Jun 1,True,SDP,"L,1-10",32,28,1,4,0,0,0,1,3,0,5,0,0,1,0,2,1,0,0.257,0.318,0.392,0.71,4,12,R,J.Musgrove(64),0.14285714285714285,0.21875,0.14285714285714285,0.36160714285714285
57,57,57,57,58,Jun 2,True,OAK,"W,4-0",32,32,4,9,1,0,1,4,0,0,8,0,0,0,0,0,0,0,0.257,0.317,0.392,0.71,4,10,R,S.Fujinami(42),0.28125,0.28125,0.40625,0.6875
58,58,58,58,59,Jun 3,True,OAK,"W,12-1",47,36,12,14,7,0,0,11,7,0,4,2,0,2,0,0,1,0,0.26,0.321,0.396,0.717,11,11,R,L.Medina(18),0.3888888888888889,0.48936170212765956,0.5833333333333334,1.072695035460993
59,59,59,59,60,Jun 4,True,OAK,"W,7-5",39,35,7,12,4,1,1,6,3,0,6,0,0,1,0,0,0,0,0.261,0.322,0.399,0.721,8,12,R,P.Blackburn(34),0.34285714285714286,0.38461538461538464,0.6,0.9846153846153847
60,60,60,60,61,Jun 5,True,KCR,"W,9-6",36,35,9,11,3,1,1,9,1,0,5,0,0,0,1,1,0,0,0.262,0.322,0.402,0.724,3,9,R,C.Hernández(59),0.3142857142857143,0.3333333333333333,0.5428571428571428,0.8761904761904762
61,61,61,61,62,Jun 6,True,KCR,"W,6-1",35,32,6,7,1,0,1,5,3,0,8,0,0,0,1,1,0,0,0.261,0.322,0.401,0.723,5,9,R,Z.Greinke(38),0.21875,0.2857142857142857,0.34375,0.6294642857142857
62,62,62,62,63,Jun 7,True,KCR,"W,6-1",32,31,6,8,1,0,1,6,1,0,3,0,0,0,0,1,0,0,0.261,0.321,0.401,0.722,2,10,R,J.Lyles(46),0.25806451612903225,0.28125,0.3870967741935484,0.6683467741935484
63,63,63,63,64,Jun 9,False,CHW,"L,1-2",32,30,1,4,1,0,1,1,2,0,7,0,0,0,0,1,0,0,0.259,0.319,0.399,0.718,4,10,R,D.Cease(65),0.13333333333333333,0.1875,0.26666666666666666,0.45416666666666666
