Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,CHC,"L,0-4",34,29,0,4,0,0,0,0,5,0,12,0,0,0,0,2,0,0,0.138,0.265,0.138,0.403,7,9,R,M.Stroman(71),0.13793103448275862,0.2647058823529412,0.13793103448275862,0.4026369168356998
1,1,1,1,2,Apr 1,False,CHC,"W,3-1",36,32,3,6,1,0,0,3,4,0,13,0,0,0,0,1,1,0,0.164,0.271,0.18,0.452,6,12,L,J.Steele(73),0.1875,0.2777777777777778,0.21875,0.4965277777777778
2,2,2,2,3,Apr 2,False,CHC,"W,9-5",46,37,9,13,2,1,0,9,6,0,10,0,0,3,1,0,0,0,0.235,0.328,0.286,0.613,10,9,R,J.Taillon(37),0.35135135135135137,0.41304347826086957,0.4594594594594595,0.872502937720329
3,3,3,3,4,Apr 3,True,NYM,"W,10-0",42,34,10,10,0,0,2,10,8,0,6,0,0,0,0,0,2,0,0.25,0.354,0.333,0.688,8,10,R,C.Carrasco(34),0.29411764705882354,0.42857142857142855,0.47058823529411764,0.8991596638655461
4,4,4,4,5,Apr 4,True,NYM,"W,9-0",37,35,9,13,1,0,5,9,2,0,3,0,0,0,0,1,1,0,0.275,0.364,0.437,0.801,4,10,R,M.Scherzer(32),0.37142857142857144,0.40540540540540543,0.8285714285714286,1.233976833976834
5,5,5,5,6,Apr 5,True,NYM,"W,7-6",37,32,7,10,2,0,2,7,5,0,10,0,0,0,0,0,1,1,0.281,0.371,0.457,0.828,6,11,L,D.Peterson(32),0.3125,0.40540540540540543,0.5625,0.9679054054054055
6,6,6,6,7,Apr 7,True,STL,"W,4-0",38,29,4,9,1,0,1,4,8,0,6,0,0,1,0,2,0,1,0.285,0.381,0.456,0.838,10,9,R,J.Flaherty(48),0.3103448275862069,0.4473684210526316,0.4482758620689655,0.8956442831215972
7,7,7,7,8,Apr 8,True,STL,"L,0-6",35,32,0,5,1,0,0,0,3,0,11,0,0,0,0,0,0,0,0.269,0.364,0.423,0.787,8,10,L,J.Montgomery(78),0.15625,0.22857142857142856,0.1875,0.41607142857142854
8,8,8,8,9,Apr 9,True,STL,"W,6-1",37,34,6,11,3,0,2,6,2,0,10,1,0,0,0,1,0,0,0.276,0.365,0.442,0.808,7,9,R,J.Woodford(44),0.3235294117647059,0.3783783783783784,0.5882352941176471,0.9666136724960255
9,9,9,9,10,Apr 10,False,ARI,"L,0-3",29,28,0,3,0,0,0,0,1,0,15,0,0,0,0,1,0,1,0.261,0.348,0.413,0.761,2,9,R,Z.Gallen(81),0.10714285714285714,0.13793103448275862,0.10714285714285714,0.24507389162561577
