Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,KCR,"W,2-0",41,37,2,11,0,1,0,2,4,0,9,0,0,0,0,1,0,0,0.297,0.366,0.351,0.717,12,11,R,Z.Greinke(49),0.2972972972972973,0.36585365853658536,0.35135135135135137,0.7172050098879368
1,1,1,1,2,Apr 1,False,KCR,"W,2-0",34,31,2,5,1,0,0,2,2,0,8,0,0,1,0,0,0,0,0.235,0.293,0.279,0.573,5,10,R,J.Lyles(52),0.16129032258064516,0.20588235294117646,0.1935483870967742,0.39943074003795065
2,2,2,2,3,Apr 2,False,KCR,"W,7-4",44,38,7,13,2,0,2,7,5,0,9,1,0,0,0,2,0,0,0.274,0.345,0.377,0.722,10,10,R,B.Keller(48),0.34210526315789475,0.4318181818181818,0.5526315789473685,0.9844497607655502
3,3,3,3,4,Apr 3,False,MIA,"W,11-1",40,36,11,10,1,1,4,11,4,0,3,0,0,0,0,1,0,0,0.275,0.346,0.458,0.804,2,13,R,J.Cueto(30),0.2777777777777778,0.35,0.6944444444444444,1.0444444444444443
4,4,4,4,5,Apr 4,False,MIA,"L,0-1",30,29,0,3,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0.246,0.312,0.398,0.71,3,9,R,S.Alcántara(85),0.10344827586206896,0.13333333333333333,0.10344827586206896,0.2367816091954023
5,5,5,5,6,Apr 5,False,MIA,"L,2-5",35,33,2,6,1,0,0,1,2,0,12,0,0,0,1,0,1,1,0.235,0.299,0.368,0.667,6,10,L,J.Luzardo(72),0.18181818181818182,0.22857142857142856,0.21212121212121213,0.4406926406926407
6,6,6,6,7,Apr 7,True,HOU,"W,3-2",42,38,3,11,1,0,0,2,4,1,12,0,0,0,0,1,0,0,0.244,0.308,0.36,0.668,12,10,R,J.Urquidy(55),0.2894736842105263,0.35714285714285715,0.3157894736842105,0.6729323308270676
7,7,7,7,8,Apr 8,True,HOU,"W,9-6",40,35,9,12,2,0,2,9,5,0,6,0,0,0,0,0,0,0,0.256,0.324,0.386,0.71,7,9,R,L.García(35),0.34285714285714286,0.425,0.5714285714285714,0.9964285714285714
8,8,8,8,9,Apr 9,True,HOU,"L,1-5",31,27,1,2,1,0,0,1,3,0,10,1,0,0,0,1,0,1,0.24,0.312,0.362,0.673,3,9,R,H.Brown(76),0.07407407407407407,0.1935483870967742,0.1111111111111111,0.3046594982078853
9,9,9,9,10,Apr 10,True,CHW,"L,3-4",39,34,3,4,0,0,0,1,2,0,13,3,0,0,2,0,0,0,0.228,0.303,0.337,0.64,9,11,R,D.Cease(57),0.11764705882352941,0.23076923076923078,0.11764705882352941,0.34841628959276016
10,10,10,10,11,Apr 11,True,CHW,"W,4-3",36,35,4,9,2,0,2,3,1,0,15,0,0,0,0,0,0,0,0.231,0.301,0.351,0.652,6,10,R,L.Lynn(56),0.2571428571428571,0.2777777777777778,0.4857142857142857,0.7634920634920634
11,11,11,11,12,Apr 12,True,CHW,"W,3-1",37,34,3,10,1,1,0,3,2,0,10,1,0,0,0,0,0,0,0.236,0.305,0.354,0.659,10,11,R,L.Giolito(63),0.29411764705882354,0.35135135135135137,0.38235294117647056,0.7337042925278219
12,12,12,12,13,Apr 13,False,NYY,"W,11-2",43,39,11,13,5,0,4,11,3,0,9,0,0,1,0,0,0,0,0.244,0.311,0.39,0.701,5,12,R,J.Brito(11),0.3333333333333333,0.37209302325581395,0.7692307692307693,1.1413237924865833
