Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,MIA,"W,5-3",40,32,5,8,1,0,0,5,5,0,5,1,0,2,0,0,1,0,0.25,0.35,0.281,0.631,8,10,R,S.Alcántara(49),0.25,0.35,0.28125,0.63125
1,1,1,1,2,Mar 31,False,MIA,"L,1-2",33,29,1,4,1,0,1,1,4,0,8,0,0,0,0,1,1,1,0.197,0.301,0.279,0.58,5,13,L,J.Luzardo(66),0.13793103448275862,0.24242424242424243,0.27586206896551724,0.5182863113897597
2,2,2,2,3,Apr 1,False,MIA,"W,6-2",45,38,6,12,5,0,1,6,6,0,5,0,0,1,0,0,1,0,0.242,0.339,0.374,0.713,12,11,R,E.Cabrera(46),0.3157894736842105,0.4,0.5263157894736842,0.9263157894736842
3,3,3,3,4,Apr 2,False,MIA,"W,5-1",38,31,5,5,1,0,1,4,4,0,7,3,0,0,0,1,1,0,0.223,0.333,0.354,0.687,6,10,L,T.Rogers(43),0.16129032258064516,0.3157894736842105,0.2903225806451613,0.6061120543293719
4,4,4,4,5,Apr 3,False,MIL,"L,0-10",36,29,0,3,0,0,0,0,6,0,9,1,0,0,0,0,0,0,0.201,0.323,0.308,0.631,9,11,R,F.Peralta(72),0.10344827586206896,0.2777777777777778,0.10344827586206896,0.38122605363984674
5,5,5,5,6,Apr 4,False,MIL,"L,0-9",35,34,0,8,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0.207,0.313,0.295,0.608,8,11,L,W.Miley(65),0.23529411764705882,0.2571428571428571,0.23529411764705882,0.49243697478991594
6,6,6,6,7,Apr 5,False,MIL,"L,6-7",37,33,6,7,3,0,2,6,3,0,5,1,0,0,0,1,2,0,0.208,0.311,0.323,0.634,4,11,R,C.Burnes(26),0.21212121212121213,0.2972972972972973,0.48484848484848486,0.7821457821457822
7,7,7,7,8,Apr 7,True,MIA,"W,9-3",42,28,9,6,0,0,3,9,12,0,11,1,0,1,0,0,2,0,0.209,0.33,0.346,0.677,9,11,R,E.Cabrera(47),0.21428571428571427,0.4523809523809524,0.5357142857142857,0.9880952380952381
8,8,8,8,9,Apr 8,True,MIA,"W,5-2",37,33,5,8,2,0,2,5,3,0,8,1,0,0,1,0,0,0,0.213,0.329,0.362,0.692,8,9,L,T.Rogers(47),0.24242424242424243,0.32432432432432434,0.48484848484848486,0.8091728091728092
9,9,9,9,10,Apr 9,True,MIA,"L,2-7",39,37,2,9,4,0,0,2,2,0,12,0,0,0,2,1,1,0,0.216,0.325,0.361,0.686,10,10,L,B.Garrett(44),0.24324324324324326,0.28205128205128205,0.35135135135135137,0.6334026334026335
10,10,10,10,11,Apr 10,True,SDP,"W,5-0",33,30,5,7,3,0,0,5,1,0,6,1,0,1,0,0,1,0,0.218,0.32,0.359,0.679,4,9,R,Y.Darvish(45),0.23333333333333334,0.2727272727272727,0.3333333333333333,0.606060606060606
11,11,11,11,12,Apr 11,True,SDP,"L,2-4",36,29,2,5,0,0,0,2,6,0,8,0,0,1,0,1,1,0,0.214,0.319,0.345,0.664,7,12,L,R.Weathers(58),0.1724137931034483,0.3055555555555556,0.1724137931034483,0.47796934865900387
12,12,12,12,13,Apr 12,True,SDP,"W,5-2",38,30,5,8,1,0,2,5,7,0,7,0,1,0,0,2,3,0,0.218,0.326,0.356,0.682,9,9,L,B.Snell(41),0.26666666666666666,0.39473684210526316,0.5,0.8947368421052632
13,13,13,13,14,Apr 14,False,OAK,"W,17-6",56,37,17,11,4,0,1,17,17,0,7,2,0,0,0,1,1,0,0.224,0.347,0.367,0.714,12,11,R,J.Kaprielian(26),0.2972972972972973,0.5357142857142857,0.4864864864864865,1.0222007722007722
14,14,14,14,15,Apr 15,False,OAK,"W,3-2",35,32,3,5,2,0,2,3,2,0,6,1,0,0,0,0,2,0,0.22,0.34,0.369,0.71,5,10,R,S.Fujinami(55),0.15625,0.22857142857142856,0.40625,0.6348214285714285
15,15,15,15,16,Apr 16,False,OAK,"W,4-3",41,34,4,6,0,0,3,3,7,0,6,0,0,0,0,2,3,0,0.217,0.339,0.374,0.713,8,11,L,J.Sears(59),0.17647058823529413,0.3170731707317073,0.4411764705882353,0.7582496413199427
16,16,16,16,17,Apr 17,False,LAD,"W,8-6",43,39,8,14,3,0,1,7,3,1,3,1,0,0,0,1,0,1,0.227,0.344,0.384,0.728,8,11,R,D.May(34),0.358974358974359,0.4186046511627907,0.5128205128205128,0.9314251639833036
17,17,17,17,18,Apr 18,False,LAD,"L,0-5",31,31,0,4,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0.222,0.334,0.37,0.705,4,12,L,C.Kershaw(80),0.12903225806451613,0.12903225806451613,0.12903225806451613,0.25806451612903225
18,18,18,18,19,Apr 19,False,LAD,"W,5-3",39,34,5,11,2,0,1,5,4,0,4,0,0,1,0,2,1,0,0.227,0.337,0.376,0.713,7,11,R,N.Syndergaard(54),0.3235294117647059,0.38461538461538464,0.47058823529411764,0.8552036199095023
19,19,19,19,20,Apr 20,False,SFG,"W,9-4",44,38,9,13,4,0,3,9,4,0,8,2,0,0,0,2,0,0,0.234,0.342,0.394,0.736,8,10,L,S.Manaea(33),0.34210526315789475,0.4318181818181818,0.6842105263157895,1.1160287081339713
20,20,20,20,21,Apr 21,False,SFG,"W,7-0",43,39,7,13,0,0,1,6,2,0,9,1,1,0,0,0,0,0,0.24,0.344,0.395,0.739,9,9,R,A.DeSclafani(40),0.3333333333333333,0.37209302325581395,0.41025641025641024,0.7823494335122242
21,21,21,21,22,Apr 22,False,SFG,"L,4-7",36,35,4,10,1,0,1,4,1,0,9,0,0,0,0,0,0,1,0.242,0.343,0.395,0.737,5,10,R,L.Webb(66),0.2857142857142857,0.3055555555555556,0.4,0.7055555555555556
22,22,22,22,23,Apr 23,False,SFG,"L,4-5",37,34,4,8,1,0,1,4,1,0,10,0,0,2,2,1,0,0,0.242,0.339,0.393,0.732,6,11,R,R.Stripling(38),0.23529411764705882,0.24324324324324326,0.35294117647058826,0.5961844197138315
23,23,23,23,24,Apr 25,True,WSN,"L,0-5",32,31,0,5,1,0,0,0,1,0,13,0,0,0,0,1,0,0,0.238,0.333,0.385,0.719,5,9,R,J.Gray(72),0.16129032258064516,0.1875,0.1935483870967742,0.3810483870967742
24,24,24,24,25,Apr 26,True,WSN,"L,1-4",36,32,1,4,0,1,0,1,4,0,15,0,0,0,1,0,0,0,0.234,0.329,0.378,0.707,8,12,L,M.Gore(68),0.125,0.2222222222222222,0.1875,0.4097222222222222
25,25,25,25,26,Apr 27,True,WSN,"W,9-8",43,39,9,16,3,1,1,9,3,0,5,0,0,1,1,1,1,0,0.242,0.334,0.388,0.722,10,11,R,T.Williams(35),0.41025641025641024,0.4418604651162791,0.6153846153846154,1.0572450805008944
26,26,26,26,27,Apr 28,True,ATL,"L,0-4",19,18,0,3,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0.24,0.332,0.384,0.715,4,9,L,M.Fried(67),0.16666666666666666,0.21052631578947367,0.16666666666666666,0.3771929824561403
27,27,27,27,28,May 1 (1),True,ATL,"L,8-9",43,35,8,9,0,1,3,7,4,0,11,3,1,0,0,0,2,0,0.241,0.334,0.391,0.725,8,13,R,S.Strider(46),0.2571428571428571,0.37209302325581395,0.5714285714285714,0.9435215946843853
28,28,28,28,29,May 1 (2),True,ATL,"W,5-3",36,33,5,9,3,0,1,5,3,0,9,0,0,0,1,1,1,0,0.242,0.334,0.393,0.727,7,10,R,C.Morton(43),0.2727272727272727,0.3333333333333333,0.45454545454545453,0.7878787878787878
29,29,29,29,30,May 3 (1),False,DET,"L,5-6",37,35,5,10,2,0,3,4,2,0,5,0,0,0,0,1,0,0,0.244,0.333,0.4,0.734,5,10,L,J.Wentz(35),0.2857142857142857,0.32432432432432434,0.6,0.9243243243243243
30,30,30,30,31,May 3 (2),False,DET,"L,1-8",33,31,1,5,2,0,0,1,2,0,2,0,0,0,1,0,0,0,0.241,0.33,0.395,0.725,5,9,R,M.Lorenzen(64),0.16129032258064516,0.21212121212121213,0.22580645161290322,0.43792766373411535
