Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,SFG,"W,5-0",34,32,5,8,0,0,2,5,2,0,16,0,0,0,0,0,2,0,0.25,0.294,0.438,0.732,5,10,R,L.Webb(58),0.25,0.29411764705882354,0.4375,0.7316176470588236
1,1,1,1,2,Apr 1,True,SFG,"L,5-7",40,37,5,10,2,0,2,4,3,0,9,0,0,0,0,1,1,0,0.261,0.311,0.464,0.775,8,10,R,A.Cobb(52),0.2702702702702703,0.325,0.4864864864864865,0.8114864864864866
2,2,2,2,3,Apr 2,True,SFG,"W,6-0",36,29,6,7,0,0,3,5,5,0,6,1,0,1,0,0,2,1,0.255,0.327,0.49,0.817,6,9,R,R.Stripling(40),0.2413793103448276,0.3611111111111111,0.5517241379310345,0.9128352490421456
3,3,3,3,4,Apr 3,True,PHI,"W,8-1",42,33,8,9,1,1,2,8,9,0,7,0,0,0,0,0,1,0,0.26,0.355,0.504,0.859,10,11,R,T.Walker(41),0.2727272727272727,0.42857142857142855,0.5454545454545454,0.974025974025974
4,4,4,4,5,Apr 4,True,PHI,"L,1-4",32,30,1,4,0,0,1,1,2,0,9,0,0,0,0,0,0,0,0.236,0.326,0.453,0.78,4,9,L,M.Strahm(62),0.13333333333333333,0.1875,0.23333333333333334,0.42083333333333334
5,5,5,5,6,Apr 5,True,PHI,"W,4-2",34,31,4,9,3,0,1,4,3,0,8,0,0,0,0,1,3,1,0.245,0.33,0.458,0.789,6,10,R,A.Nola(50),0.2903225806451613,0.35294117647058826,0.4838709677419355,0.8368121442125238
6,6,6,6,7,Apr 7,False,BAL,"L,6-7",39,34,6,9,2,0,1,6,5,0,9,0,0,0,0,1,2,1,0.248,0.335,0.451,0.786,6,10,R,D.Kremer(42),0.2647058823529412,0.358974358974359,0.4117647058823529,0.7707390648567118
7,7,7,7,8,Apr 8,False,BAL,"W,4-1",37,31,4,7,2,1,1,4,5,0,7,0,0,1,0,1,0,1,0.245,0.333,0.451,0.785,6,9,L,C.Irvin(45),0.22580645161290322,0.32432432432432434,0.45161290322580644,0.7759372275501308
8,8,8,8,9,Apr 9,False,BAL,"W,5-3",36,35,5,9,1,0,3,5,1,0,10,0,0,0,0,1,0,0,0.247,0.327,0.462,0.79,4,9,R,T.Wells(50),0.2571428571428571,0.2777777777777778,0.5428571428571428,0.8206349206349206
9,9,9,9,10,Apr 10,False,CLE,"L,2-3",34,31,2,6,3,1,0,2,3,0,8,0,0,0,0,1,1,0,0.241,0.321,0.452,0.773,5,10,R,S.Bieber(60),0.1935483870967742,0.2647058823529412,0.3548387096774194,0.6195445920303606
10,10,10,10,11,Apr 11,False,CLE,"W,11-2",42,37,11,13,1,0,1,8,3,0,7,1,0,1,0,2,0,0,0.253,0.33,0.453,0.783,4,11,R,H.Gaddis(12),0.35135135135135137,0.40476190476190477,0.4594594594594595,0.8642213642213643
11,11,11,11,12,Apr 12,False,CLE,"W,4-3",34,33,4,7,1,0,1,3,1,0,7,0,0,0,0,1,0,0,0.249,0.323,0.443,0.765,3,10,R,P.Battenfield(53),0.21212121212121213,0.23529411764705882,0.3333333333333333,0.5686274509803921
12,12,12,12,13,Apr 13,True,MIN,"L,2-11",31,31,2,4,0,0,2,2,0,0,12,0,0,0,0,0,0,0,0.241,0.31,0.434,0.744,2,10,R,J.Ryan(77),0.12903225806451613,0.12903225806451613,0.3225806451612903,0.45161290322580644
13,13,13,13,14,Apr 14,True,MIN,"L,3-4",35,34,3,8,0,0,3,3,1,0,11,0,0,0,0,1,1,0,0.24,0.306,0.439,0.745,5,11,R,L.Varland(55),0.23529411764705882,0.2571428571428571,0.5,0.7571428571428571
14,14,14,14,15,Apr 15,True,MIN,"W,6-1",37,31,6,6,2,0,2,6,5,0,9,1,0,0,1,0,3,0,0.237,0.308,0.44,0.747,7,10,R,T.Mahle(45),0.1935483870967742,0.32432432432432434,0.45161290322580644,0.7759372275501308
15,15,15,15,16,Apr 16,True,MIN,"W,2-0",33,30,2,7,0,0,1,2,2,0,10,1,0,0,0,0,1,1,0.237,0.307,0.434,0.741,7,9,R,P.López(56),0.23333333333333334,0.30303030303030304,0.3333333333333333,0.6363636363636364
16,16,16,16,17,Apr 18,True,LAA,"L,2-5",37,29,2,4,1,0,0,2,7,0,8,0,0,1,0,0,0,0,0.232,0.307,0.42,0.726,8,10,L,J.Suarez(41),0.13793103448275862,0.2972972972972973,0.1724137931034483,0.4697110904007456
17,17,17,17,18,Apr 19,True,LAA,"W,3-2",40,32,3,6,1,0,1,3,5,1,8,2,0,1,0,1,2,0,0.229,0.308,0.414,0.722,9,11,R,G.Canning(53),0.1875,0.325,0.3125,0.6375
18,18,18,18,19,Apr 20,True,LAA,"W,9-3",44,32,9,9,2,0,0,9,11,1,10,1,0,0,0,1,1,0,0.232,0.319,0.41,0.729,11,10,L,P.Sandoval(33),0.28125,0.4772727272727273,0.34375,0.8210227272727273
19,19,19,19,20,Apr 21,True,TOR,"L,1-6",31,29,1,5,0,0,1,1,2,0,7,0,0,0,0,2,0,1,0.229,0.315,0.404,0.719,3,9,L,Y.Kikuchi(61),0.1724137931034483,0.22580645161290322,0.27586206896551724,0.5016685205784205
20,20,20,20,21,Apr 22,True,TOR,"W,3-2",33,31,3,7,2,0,1,3,2,0,5,0,0,0,0,0,2,0,0.229,0.313,0.403,0.716,6,11,R,A.Manoah(77),0.22580645161290322,0.2727272727272727,0.3870967741935484,0.6598240469208211
21,21,21,21,22,Apr 23,True,TOR,"L,1-5",33,33,1,6,1,0,1,1,0,0,12,0,0,0,0,0,1,0,0.227,0.307,0.399,0.706,5,9,R,K.Gausman(82),0.18181818181818182,0.18181818181818182,0.30303030303030304,0.48484848484848486
22,22,22,22,23,Apr 24,False,MIN,"L,1-6",36,32,1,6,1,0,0,1,4,0,10,0,0,0,1,2,0,0,0.225,0.306,0.391,0.697,8,10,R,S.Gray(77),0.1875,0.2777777777777778,0.21875,0.4965277777777778
23,23,23,23,24,Apr 25,False,MIN,"L,2-6",35,35,2,8,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0.225,0.303,0.383,0.686,6,9,R,J.Ryan(64),0.22857142857142856,0.22857142857142856,0.22857142857142856,0.45714285714285713
24,24,24,24,25,Apr 26,False,MIN,"W,12-6",44,39,12,14,5,0,1,12,4,0,11,0,0,1,0,0,0,1,0.232,0.308,0.392,0.7,5,10,R,K.Maeda(-3),0.358974358974359,0.4090909090909091,0.5641025641025641,0.9731934731934733
25,25,25,25,26,Apr 27,False,TEX,"W,4-2",36,33,4,8,0,0,3,4,1,0,7,2,0,0,0,1,0,1,0.232,0.308,0.397,0.705,5,10,L,A.Heaney(57),0.24242424242424243,0.3055555555555556,0.5151515151515151,0.8207070707070707
26,26,26,26,27,Apr 28,False,TEX,"L,2-5",34,31,2,5,2,0,0,2,1,0,5,1,0,1,0,0,0,0,0.23,0.304,0.391,0.695,5,10,R,J.deGrom(60),0.16129032258064516,0.20588235294117646,0.22580645161290322,0.43168880455407965
27,27,27,27,28,Apr 29,False,TEX,"L,0-2",29,28,0,3,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0.226,0.299,0.382,0.681,2,10,R,N.Eovaldi(89),0.10714285714285714,0.10344827586206896,0.10714285714285714,0.2105911330049261
28,28,28,28,29,Apr 30,False,TEX,"L,2-15",36,33,2,8,1,0,0,2,3,0,6,0,0,0,0,1,0,0,0.226,0.299,0.378,0.677,7,10,L,M.Pérez(57),0.24242424242424243,0.3055555555555556,0.2727272727272727,0.5782828282828283
29,29,29,29,30,May 1,True,CLE,"L,2-3",32,31,2,6,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0.225,0.297,0.375,0.672,3,10,R,C.Quantrill(59),0.1935483870967742,0.21875,0.2903225806451613,0.5090725806451613
30,30,30,30,31,May 2,True,CLE,"W,4-2",33,32,4,9,1,0,2,4,1,0,6,0,0,0,0,0,2,1,0.227,0.297,0.379,0.676,5,9,R,T.Bibee(57),0.28125,0.30303030303030304,0.5,0.803030303030303
