Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,LAA,"W,2-1",33,29,2,6,2,0,0,2,4,1,12,0,0,0,0,1,1,0,0.207,0.303,0.276,0.579,7,12,R,S.Ohtani(75),0.20689655172413793,0.30303030303030304,0.27586206896551724,0.5788923719958203
1,1,1,1,2,Apr 1,True,LAA,"L,1-13",34,30,1,5,0,0,1,1,3,0,5,0,0,0,1,3,0,0,0.186,0.273,0.271,0.544,6,12,L,P.Sandoval(59),0.16666666666666666,0.23529411764705882,0.26666666666666666,0.5019607843137255
2,2,2,2,3,Apr 2,True,LAA,"L,0-6",35,31,0,5,1,0,0,0,3,0,9,1,0,0,0,1,0,0,0.178,0.267,0.244,0.512,8,11,L,T.Anderson(66),0.16129032258064516,0.2571428571428571,0.1935483870967742,0.4506912442396313
3,3,3,3,4,Apr 3,True,CLE,"L,11-12",46,43,11,14,3,0,3,11,3,0,9,0,0,0,1,1,0,0,0.226,0.299,0.361,0.66,6,9,R,Z.Plesac(15),0.32558139534883723,0.3695652173913043,0.6046511627906976,0.974216380182002
4,4,4,4,5,Apr 4,True,CLE,"W,4-3",37,32,4,6,3,0,0,3,4,0,10,0,0,1,0,0,1,0,0.218,0.293,0.345,0.639,7,10,R,S.Bieber(60),0.1875,0.2702702702702703,0.28125,0.5515202702702703
5,5,5,5,6,Apr 5,True,CLE,"L,4-6",39,34,4,4,1,0,2,4,5,0,7,0,0,0,0,0,3,0,0.201,0.283,0.342,0.624,6,12,R,H.Gaddis(72),0.11764705882352941,0.23076923076923078,0.3235294117647059,0.5542986425339367
6,6,6,6,7,Apr 7,False,TBR,"L,5-9",38,36,5,12,2,0,2,5,1,0,9,1,0,0,0,2,1,0,0.221,0.295,0.374,0.669,6,9,R,Z.Eflin(49),0.3333333333333333,0.3684210526315789,0.5555555555555556,0.9239766081871346
7,7,7,7,8,Apr 8,False,TBR,"L,0-11",32,28,0,3,0,0,0,0,3,0,10,0,0,0,0,1,0,0,0.209,0.284,0.346,0.63,5,11,L,J.Springs(75),0.10714285714285714,0.1875,0.10714285714285714,0.29464285714285715
8,8,8,8,9,Apr 9,False,TBR,"L,0-11",29,28,0,1,1,0,0,0,1,0,9,0,0,0,0,0,1,0,0.192,0.265,0.32,0.584,2,11,R,D.Rasmussen(83),0.03571428571428571,0.06896551724137931,0.07142857142857142,0.14039408866995073
9,9,9,9,10,Apr 10,False,BAL,"L,1-5",35,32,1,8,2,1,0,1,3,0,11,0,0,0,0,2,0,0,0.198,0.27,0.325,0.595,7,10,R,K.Gibson(60),0.25,0.3142857142857143,0.375,0.6892857142857143
10,10,10,10,11,Apr 11,False,BAL,"L,8-12",43,39,8,12,1,0,1,8,4,0,13,0,0,0,0,0,1,0,0.21,0.281,0.334,0.615,8,9,R,G.Rodriguez(33),0.3076923076923077,0.37209302325581395,0.41025641025641024,0.7823494335122242
11,11,11,11,12,Apr 12,False,BAL,"W,8-4",43,37,8,15,1,0,2,8,3,0,3,1,1,1,0,3,2,0,0.228,0.297,0.358,0.655,8,11,R,D.Kremer(36),0.40540540540540543,0.4418604651162791,0.5945945945945946,1.0364550597108737
12,12,12,12,13,Apr 13,False,BAL,"L,7-8",39,34,7,9,1,0,2,7,3,0,10,1,0,1,0,0,0,1,0.231,0.3,0.367,0.667,5,12,L,C.Irvin(30),0.2647058823529412,0.3333333333333333,0.47058823529411764,0.803921568627451
13,13,13,13,14,Apr 14,True,NYM,"L,6-17",44,39,6,13,1,0,3,6,4,0,12,0,0,1,0,0,1,0,0.239,0.307,0.386,0.693,11,11,R,K.Senga(37),0.3333333333333333,0.38636363636363635,0.5897435897435898,0.9761072261072261
14,14,14,14,15,Apr 15,True,NYM,"L,2-3",38,30,2,5,2,0,0,2,3,0,8,4,1,0,0,0,4,0,0.235,0.308,0.376,0.685,9,13,R,C.Carrasco(53),0.16666666666666666,0.3157894736842105,0.23333333333333334,0.5491228070175438
15,15,15,15,16,Apr 16,True,NYM,"L,3-4",46,38,3,9,2,0,0,3,7,0,6,1,0,0,0,0,3,0,0.235,0.313,0.37,0.683,14,11,R,J.Buttó(51),0.23684210526315788,0.3695652173913043,0.2894736842105263,0.6590389016018307
16,16,16,16,17,Apr 17,True,CHC,"L,1-10",34,34,1,8,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0.235,0.309,0.362,0.671,6,10,R,H.Wesneski(70),0.23529411764705882,0.23529411764705882,0.23529411764705882,0.47058823529411764
