Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,TEX,"L,7-11",41,39,7,12,4,3,1,6,2,1,13,0,0,0,0,0,1,0,0.308,0.341,0.641,0.982,7,9,R,J.deGrom(36),0.3076923076923077,0.34146341463414637,0.6410256410256411,0.9824890556597874
1,1,1,1,2,Apr 1,False,TEX,"L,3-16",37,34,3,9,4,1,0,3,3,0,7,0,0,0,0,1,1,0,0.288,0.333,0.548,0.881,7,13,R,N.Eovaldi(47),0.2647058823529412,0.32432432432432434,0.4411764705882353,0.7655007949125596
2,2,2,2,3,Apr 2,False,TEX,"L,1-2",36,33,1,9,2,0,0,0,3,0,8,0,0,0,0,3,0,0,0.283,0.333,0.481,0.814,8,10,L,M.Pérez(53),0.2727272727272727,0.3333333333333333,0.3333333333333333,0.6666666666666666
3,3,3,3,4,Apr 3,False,NYY,"L,1-8",37,37,1,11,2,0,0,1,0,0,7,0,0,0,0,0,0,0,0.287,0.325,0.448,0.772,9,9,L,N.Cortés(52),0.2972972972972973,0.2972972972972973,0.35135135135135137,0.6486486486486487
4,4,4,4,5,Apr 4,False,NYY,"W,4-1",38,37,4,10,1,0,2,4,1,0,12,0,0,0,0,0,1,0,0.283,0.317,0.45,0.767,7,9,R,D.Germán(48),0.2702702702702703,0.2894736842105263,0.4594594594594595,0.7489331436699858
5,5,5,5,6,Apr 5,False,NYY,"L,2-4",34,29,2,5,1,0,1,2,3,0,12,1,0,1,0,0,0,0,0.268,0.309,0.431,0.74,5,11,R,G.Cole(68),0.1724137931034483,0.2647058823529412,0.3103448275862069,0.5750507099391481
6,6,6,6,7,Apr 7,True,CIN,"W,5-2",38,34,5,10,3,0,2,5,4,0,9,0,0,0,0,0,1,0,0.272,0.318,0.449,0.767,9,12,R,H.Greene(48),0.29411764705882354,0.3684210526315789,0.5588235294117647,0.9272445820433437
7,7,7,7,8,Apr 8,True,CIN,"W,3-2",35,30,3,6,1,0,0,3,3,1,15,0,1,1,1,1,1,0,0.264,0.312,0.425,0.737,7,10,L,N.Lodolo(81),0.2,0.2571428571428571,0.23333333333333334,0.49047619047619045
8,8,8,8,9,Apr 9,True,CIN,"L,4-6",33,30,4,7,1,1,1,4,3,0,9,0,0,0,0,1,1,0,0.261,0.311,0.426,0.737,2,9,R,C.Overton(35),0.23333333333333334,0.30303030303030304,0.43333333333333335,0.7363636363636363
9,9,9,9,10,Apr 10,True,MIA,"W,15-3",46,44,15,20,5,0,3,15,2,0,6,0,0,0,0,0,2,0,0.285,0.332,0.47,0.801,7,11,R,S.Alcántara(9),0.45454545454545453,0.4782608695652174,0.7727272727272727,1.2509881422924902
10,10,10,10,11,Apr 11,True,MIA,"L,4-8",40,35,4,11,2,0,1,4,4,0,9,1,0,0,0,2,0,0,0.288,0.338,0.469,0.807,9,10,L,J.Luzardo(48),0.3142857142857143,0.4,0.45714285714285713,0.8571428571428572
11,11,11,11,12,Apr 12,True,MIA,"L,2-3",38,37,2,8,3,0,0,2,1,0,12,0,0,0,0,1,2,0,0.282,0.33,0.453,0.783,7,12,R,E.Cabrera(48),0.21621621621621623,0.23684210526315788,0.2972972972972973,0.5341394025604552
12,12,12,12,13,Apr 13,False,CIN,"L,2-6",38,35,2,9,1,0,1,2,3,0,13,0,0,0,0,1,0,0,0.28,0.329,0.447,0.776,9,12,L,N.Lodolo(47),0.2571428571428571,0.3157894736842105,0.37142857142857144,0.687218045112782
13,13,13,13,14,Apr 14,False,CIN,"W,8-3",44,38,8,13,4,1,1,8,4,0,6,1,0,1,0,0,0,1,0.285,0.335,0.457,0.793,9,9,R,C.Overton(26),0.34210526315789475,0.4090909090909091,0.5789473684210527,0.9880382775119618
14,14,14,14,15,Apr 15,False,CIN,"L,0-13",36,31,0,5,2,0,0,0,5,0,7,0,0,0,0,1,0,0,0.277,0.332,0.444,0.775,9,11,R,G.Ashcraft(64),0.16129032258064516,0.2777777777777778,0.22580645161290322,0.503584229390681
