Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,CIN,"W,5-4",41,30,5,6,1,0,1,4,9,0,11,0,1,1,0,1,2,0,0.2,0.375,0.333,0.708,9,10,R,H.Greene(43),0.2,0.36585365853658536,0.3333333333333333,0.6991869918699187
1,1,1,1,2,Apr 1,False,CIN,"L,2-6",36,34,2,7,1,0,0,2,2,0,12,0,0,0,0,0,0,0,0.203,0.316,0.281,0.597,7,11,L,N.Lodolo(52),0.20588235294117646,0.25,0.23529411764705882,0.4852941176470588
2,2,2,2,3,Apr 2,False,CIN,"L,1-3",34,33,1,6,1,0,1,1,1,0,7,0,0,0,0,0,1,0,0.196,0.282,0.289,0.57,6,11,R,G.Ashcraft(70),0.18181818181818182,0.20588235294117646,0.30303030303030304,0.5089126559714795
3,3,3,3,4,Apr 3,False,BOS,"W,7-6",38,35,7,9,2,0,3,7,3,0,10,0,0,0,1,1,0,0,0.212,0.291,0.364,0.654,4,11,R,K.Crawford(22),0.2571428571428571,0.3157894736842105,0.5714285714285714,0.8872180451127819
4,4,4,4,5,Apr 4,False,BOS,"W,4-1",37,33,4,5,1,0,2,4,4,0,9,0,0,0,0,0,2,0,0.2,0.281,0.364,0.645,6,10,R,N.Pivetta(56),0.15151515151515152,0.24324324324324326,0.36363636363636365,0.606879606879607
5,5,5,5,6,Apr 5,False,BOS,"W,4-1",40,34,4,9,3,0,1,4,4,0,5,1,0,1,0,1,2,0,0.211,0.293,0.377,0.67,9,10,R,C.Kluber(58),0.2647058823529412,0.35,0.4411764705882353,0.7911764705882353
6,6,6,6,7,Apr 7,True,CHW,"W,13-9",45,42,13,19,5,1,2,12,3,0,8,0,0,0,0,0,0,1,0.253,0.326,0.444,0.77,8,10,R,L.Giolito(13),0.4523809523809524,0.4888888888888889,0.7619047619047619,1.2507936507936508
7,7,7,7,8,Apr 8,True,CHW,"L,5-11",40,35,5,10,2,0,1,5,3,0,6,0,0,2,0,0,3,0,0.257,0.326,0.442,0.768,8,9,R,M.Clevinger(35),0.2857142857142857,0.325,0.42857142857142855,0.7535714285714286
8,8,8,8,9,Apr 9,True,CHW,"W,1-0",30,25,1,2,0,1,0,1,4,0,8,0,0,1,0,0,1,0,0.243,0.315,0.419,0.733,5,10,R,M.Kopech(66),0.08,0.2,0.16,0.36
9,9,9,9,10,Apr 10,True,HOU,"L,2-8",33,27,2,3,1,0,1,2,5,0,7,1,0,0,0,2,0,0,0.232,0.311,0.405,0.716,4,9,L,F.Valdez(63),0.1111111111111111,0.2727272727272727,0.25925925925925924,0.531986531986532
10,10,10,10,11,Apr 11,True,HOU,"W,7-4",37,34,7,10,2,0,3,7,1,0,7,1,0,1,0,0,1,0,0.238,0.312,0.425,0.738,5,10,R,C.Javier(48),0.29411764705882354,0.32432432432432434,0.6176470588235294,0.9419713831478538
11,11,11,11,12,Apr 12,True,HOU,"L,0-7",34,28,0,3,1,0,0,0,6,0,8,0,0,0,0,1,2,1,0.228,0.309,0.405,0.714,7,10,R,J.Urquidy(67),0.10714285714285714,0.2647058823529412,0.14285714285714285,0.40756302521008403
12,12,12,12,13,Apr 13,False,STL,"W,5-0",40,34,5,9,4,0,2,4,5,0,9,0,0,1,0,1,0,0,0.231,0.312,0.417,0.729,8,10,L,J.Montgomery(56),0.2647058823529412,0.35,0.5588235294117647,0.9088235294117647
13,13,13,13,14,Apr 14,False,STL,"L,0-3",35,32,0,8,1,0,0,0,2,0,8,1,0,0,0,2,2,0,0.232,0.312,0.408,0.72,8,9,R,J.Woodford(56),0.25,0.3142857142857143,0.28125,0.5955357142857143
14,14,14,14,15,Apr 15,False,STL,"W,6-3",43,37,6,10,2,1,2,6,6,0,10,0,0,0,0,2,2,1,0.235,0.317,0.418,0.735,8,12,L,S.Matz(56),0.2702702702702703,0.37209302325581395,0.5405405405405406,0.9126335637963545
15,15,15,15,16,Apr 16,False,STL,"L,4-5",42,37,4,8,1,1,0,3,4,0,6,0,0,1,1,1,0,0,0.234,0.315,0.409,0.724,9,11,R,M.Mikolas(47),0.21621621621621623,0.2857142857142857,0.2972972972972973,0.583011583011583
16,16,16,16,17,Apr 17,False,COL,"W,14-3",48,43,14,16,1,0,2,14,2,0,4,1,1,1,2,1,2,0,0.244,0.321,0.419,0.74,7,12,L,K.Freeland(10),0.37209302325581395,0.3958333333333333,0.5348837209302325,0.9307170542635659
17,17,17,17,18,Apr 18,False,COL,"W,5-3",39,33,5,9,3,2,2,4,6,0,7,0,0,0,1,1,1,2,0.246,0.325,0.432,0.757,7,10,R,J.Ureña(30),0.2727272727272727,0.38461538461538464,0.6666666666666666,1.0512820512820513
