Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,COL,"L,2-7",36,32,2,7,3,0,0,2,1,0,10,0,0,1,0,2,0,0,0.219,0.235,0.313,0.548,7,9,R,G.Márquez(59),0.21875,0.2222222222222222,0.3125,0.5347222222222222
1,1,1,1,2,Mar 31,True,COL,"L,1-4",33,29,1,5,2,0,0,1,2,0,5,0,1,1,0,1,0,0,0.197,0.227,0.279,0.506,5,10,L,K.Freeland(66),0.1724137931034483,0.21212121212121213,0.2413793103448276,0.4535005224660397
2,2,2,2,3,Apr 1,True,COL,"W,8-4",41,32,8,10,3,0,1,8,8,0,4,0,0,1,0,0,0,0,0.237,0.308,0.355,0.663,9,10,R,J.Ureña(27),0.3125,0.43902439024390244,0.5,0.9390243902439024
3,3,3,3,4,Apr 2,True,COL,"W,3-1",29,27,3,4,0,0,2,3,2,0,5,0,0,0,0,0,1,1,0.217,0.287,0.358,0.645,2,9,L,A.Gomber(55),0.14814814814814814,0.20689655172413793,0.37037037037037035,0.5772669220945083
4,4,4,4,5,Apr 3,True,ARI,"W,5-4",36,31,5,8,2,0,3,5,5,0,6,0,0,0,0,1,0,0,0.225,0.302,0.411,0.713,7,11,R,R.Nelson(43),0.25806451612903225,0.3611111111111111,0.6129032258064516,0.9740143369175627
5,5,5,5,6,Apr 4,True,ARI,"L,6-8",39,37,6,10,3,0,3,5,2,0,6,0,0,0,0,0,0,0,0.234,0.303,0.447,0.75,6,12,R,Z.Gallen(42),0.2702702702702703,0.3076923076923077,0.5945945945945946,0.9022869022869023
6,6,6,6,7,Apr 6,False,ATL,"L,6-7",40,33,6,7,1,0,2,5,7,0,12,0,0,0,0,1,0,0,0.231,0.311,0.443,0.754,7,10,R,S.Strider(53),0.21212121212121213,0.35,0.42424242424242425,0.7742424242424242
7,7,7,7,8,Apr 7,False,ATL,"W,5-4",40,32,5,7,2,0,0,5,6,0,11,0,1,1,0,0,3,0,0.229,0.314,0.423,0.737,8,9,L,J.Shuster(34),0.21875,0.325,0.28125,0.60625
8,8,8,8,9,Apr 8,False,ATL,"W,4-1",41,35,4,8,2,0,1,2,5,1,11,1,0,0,0,1,1,0,0.229,0.317,0.417,0.734,10,10,R,C.Morton(48),0.22857142857142856,0.34146341463414637,0.37142857142857144,0.7128919860627179
9,9,9,9,10,Apr 9,False,ATL,"W,10-2",42,38,10,13,4,0,3,10,3,0,8,1,0,0,0,1,0,0,0.242,0.327,0.448,0.775,5,9,L,D.Dodd(17),0.34210526315789475,0.40476190476190477,0.6842105263157895,1.0889724310776943
10,10,10,10,11,Apr 10,False,NYM,"L,0-5",34,28,0,2,0,0,0,0,6,0,14,0,0,0,0,1,1,0,0.229,0.319,0.418,0.737,7,9,R,M.Scherzer(68),0.07142857142857142,0.23529411764705882,0.07142857142857142,0.3067226890756303
11,11,11,11,12,Apr 11,False,NYM,"W,4-2",38,34,4,9,2,0,1,4,2,0,9,1,1,0,0,1,1,0,0.232,0.32,0.418,0.737,7,10,L,D.Peterson(53),0.2647058823529412,0.3157894736842105,0.4117647058823529,0.7275541795665634
12,12,12,12,13,Apr 12,False,NYM,"L,2-5",38,31,2,6,1,0,1,2,6,0,7,1,0,0,0,2,0,0,0.229,0.322,0.411,0.732,9,12,R,T.Megill(53),0.1935483870967742,0.34210526315789475,0.3225806451612903,0.6646859083191851
