Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,CLE,"W,3-0",32,30,3,7,2,0,1,3,1,0,5,1,0,0,0,1,1,0,0.233,0.281,0.4,0.681,5,9,R,S.Bieber(63),0.23333333333333334,0.28125,0.4,0.68125
1,1,1,1,2,Mar 31,True,CLE,"L,4-9",38,34,4,7,4,0,0,4,3,0,13,1,0,0,0,0,1,0,0.219,0.286,0.359,0.645,7,9,R,H.Gaddis(38),0.20588235294117646,0.2894736842105263,0.3235294117647059,0.6130030959752322
2,2,2,2,3,Apr 1,True,CLE,"L,0-2",31,29,0,3,1,0,0,0,2,0,6,0,0,0,1,1,1,1,0.183,0.248,0.29,0.538,4,11,R,A.Civale(75),0.10344827586206896,0.16129032258064516,0.13793103448275862,0.2992213570634038
3,3,3,3,4,Apr 2,True,CLE,"L,5-6",41,39,5,9,3,0,1,4,2,0,11,0,0,0,1,0,1,1,0.197,0.254,0.318,0.572,7,12,R,C.Quantrill(31),0.23076923076923078,0.2682926829268293,0.38461538461538464,0.6529080675422139
4,4,4,4,5,Apr 3,True,LAA,"L,3-7",38,33,3,5,3,0,0,3,4,0,8,1,0,0,1,0,2,0,0.188,0.256,0.303,0.559,8,10,L,R.Detmers(50),0.15151515151515152,0.2631578947368421,0.24242424242424243,0.5055821371610845
5,5,5,5,6,Apr 4,True,LAA,"W,11-2",37,37,11,13,4,0,4,10,0,0,9,0,0,0,1,0,0,0,0.218,0.272,0.391,0.663,2,9,L,J.Suarez(25),0.35135135135135137,0.35135135135135137,0.7837837837837838,1.135135135135135
6,6,6,6,7,Apr 5,True,LAA,"L,3-4",38,32,3,8,1,0,0,3,4,0,10,2,0,0,0,1,0,0,0.222,0.286,0.376,0.662,8,11,R,S.Ohtani(66),0.25,0.3684210526315789,0.28125,0.649671052631579
7,7,7,7,8,Apr 7,False,CLE,"W,5-3",41,37,5,10,3,0,1,5,4,0,9,0,0,0,0,0,1,0,0.229,0.294,0.384,0.678,9,9,R,A.Civale(39),0.2702702702702703,0.34146341463414637,0.43243243243243246,0.7738958470665789
8,8,8,8,9,Apr 8,False,CLE,"W,3-2",38,35,3,11,2,0,0,3,1,0,7,1,1,0,0,1,1,0,0.239,0.3,0.382,0.683,8,9,R,C.Quantrill(43),0.3142857142857143,0.34210526315789475,0.37142857142857144,0.7135338345864661
9,9,9,9,10,Apr 9,False,CLE,"L,6-7",51,44,6,9,2,0,1,6,6,1,13,0,0,1,1,1,3,0,0.234,0.299,0.374,0.674,12,15,R,Z.Plesac(64),0.20454545454545456,0.29411764705882354,0.3181818181818182,0.6122994652406417
10,10,10,10,11,Apr 10,False,CHC,"L,2-3",39,34,2,6,2,0,1,2,3,0,9,1,0,1,0,0,0,1,0.229,0.296,0.37,0.665,8,12,L,D.Smyly(65),0.17647058823529413,0.2564102564102564,0.3235294117647059,0.5799396681749622
11,11,11,11,12,Apr 11,False,CHC,"L,9-14",43,38,9,11,3,0,2,9,4,0,8,0,0,1,0,0,0,0,0.235,0.3,0.384,0.684,7,9,R,H.Wesneski(14),0.2894736842105263,0.3488372093023256,0.5263157894736842,0.8751529987760098
12,12,12,12,13,Apr 12,False,CHC,"W,5-2",39,36,5,10,1,0,2,5,3,0,11,0,0,0,0,0,0,1,0.238,0.303,0.391,0.694,7,9,R,M.Stroman(58),0.2777777777777778,0.3333333333333333,0.4722222222222222,0.8055555555555556
13,13,13,13,14,Apr 14,True,COL,"W,5-3",36,30,5,7,3,0,1,5,5,0,9,1,0,0,0,1,1,0,0.238,0.307,0.393,0.7,7,10,L,A.Gomber(27),0.23333333333333334,0.3611111111111111,0.43333333333333335,0.7944444444444445
14,14,14,14,15,Apr 15,True,COL,"W,9-2",41,33,9,8,0,1,1,9,6,0,12,2,0,0,0,0,0,0,0.238,0.313,0.393,0.706,8,12,R,R.Feltner(33),0.24242424242424243,0.3902439024390244,0.3939393939393939,0.7841832963784183
15,15,15,15,16,Apr 16,True,COL,"W,1-0",31,26,1,4,0,0,0,1,5,0,8,0,0,0,0,2,1,0,0.234,0.312,0.382,0.694,6,9,R,N.Davis(63),0.15384615384615385,0.2903225806451613,0.15384615384615385,0.44416873449131516
16,16,16,16,17,Apr 17,True,MIL,"L,3-7",33,31,3,6,1,0,2,3,2,0,7,0,0,0,0,1,0,1,0.232,0.308,0.384,0.692,3,9,R,C.Burnes(55),0.1935483870967742,0.24242424242424243,0.41935483870967744,0.6617790811339199
17,17,17,17,18,Apr 18,True,MIL,"L,5-6",46,37,5,7,1,0,0,5,6,0,10,1,0,2,0,1,1,0,0.229,0.308,0.374,0.682,10,11,R,C.Rea(41),0.1891891891891892,0.30434782608695654,0.21621621621621623,0.5205640423031728
18,18,18,18,19,Apr 19,True,MIL,"L,3-5",35,33,3,7,2,0,1,3,1,0,6,1,0,0,0,0,0,1,0.228,0.305,0.373,0.679,5,11,L,E.Lauer(66),0.21212121212121213,0.2571428571428571,0.36363636363636365,0.6207792207792208
19,19,19,19,20,Apr 21,True,STL,"W,5-2",33,28,5,6,2,0,1,5,4,0,10,0,0,1,0,2,1,0,0.228,0.305,0.374,0.68,4,9,L,S.Matz(49),0.21428571428571427,0.30303030303030304,0.39285714285714285,0.6958874458874459
20,20,20,20,21,Apr 22,True,STL,"W,5-4",34,31,5,7,2,0,2,5,3,0,7,0,0,0,0,0,0,0,0.228,0.305,0.379,0.684,5,9,R,M.Mikolas(48),0.22580645161290322,0.29411764705882354,0.4838709677419355,0.7779886148007591
21,21,21,21,22,Apr 23,True,STL,"L,3-7",36,31,3,6,1,0,1,3,4,0,14,1,0,0,0,2,0,0,0.226,0.305,0.377,0.682,6,9,R,J.Flaherty(57),0.1935483870967742,0.3055555555555556,0.3225806451612903,0.6281362007168458
22,22,22,22,23,Apr 25,False,PHI,"W,5-3",36,34,5,8,2,1,2,5,1,0,9,0,0,1,0,0,2,0,0.227,0.303,0.383,0.686,4,9,L,B.Falter(53),0.23529411764705882,0.25,0.5294117647058824,0.7794117647058824
23,23,23,23,24,Apr 26,False,PHI,"L,5-6",37,35,5,8,2,0,2,5,2,0,14,0,0,0,0,0,0,0,0.227,0.301,0.387,0.688,5,10,R,T.Walker(36),0.22857142857142856,0.2702702702702703,0.45714285714285713,0.7274131274131275
24,24,24,24,25,Apr 27,False,PHI,"L,0-1",31,28,0,3,1,0,0,0,2,0,9,1,0,0,0,2,0,0,0.223,0.298,0.378,0.676,4,11,L,M.Strahm(69),0.10714285714285714,0.1935483870967742,0.14285714285714285,0.33640552995391704
25,25,25,25,26,Apr 28,False,TOR,"L,2-3",36,31,2,6,1,0,1,2,4,0,15,1,0,0,0,1,2,1,0.222,0.298,0.376,0.674,7,10,R,A.Manoah(50),0.1935483870967742,0.3055555555555556,0.3225806451612903,0.6281362007168458
26,26,26,26,27,Apr 29,False,TOR,"L,0-1",37,35,0,6,0,0,0,0,2,0,19,0,0,0,0,0,1,0,0.22,0.295,0.368,0.663,8,11,R,K.Gausman(77),0.17142857142857143,0.21621621621621623,0.17142857142857143,0.38764478764478766
27,27,27,27,28,Apr 30,False,TOR,"W,10-8",42,36,10,7,0,0,4,10,5,0,11,1,0,0,1,1,0,1,0.219,0.296,0.375,0.67,3,11,R,C.Bassitt(50),0.19444444444444445,0.30952380952380953,0.5277777777777778,0.8373015873015873
28,28,28,28,29,May 2,False,OAK,"W,2-1",34,29,2,3,2,0,1,2,5,0,9,0,0,0,0,0,0,1,0.215,0.294,0.372,0.665,5,10,R,M.Miller(79),0.10344827586206896,0.23529411764705882,0.27586206896551724,0.511156186612576
29,29,29,29,30,May 3,False,OAK,"W,7-2",45,39,7,11,2,0,2,7,6,0,10,0,0,0,1,1,0,1,0.218,0.297,0.376,0.673,9,12,L,J.Sears(69),0.28205128205128205,0.37777777777777777,0.48717948717948717,0.864957264957265
30,30,30,30,31,May 4,False,OAK,"W,5-3",40,33,5,7,2,0,1,5,7,0,6,0,0,0,0,1,0,0,0.218,0.299,0.376,0.675,8,10,R,D.Rucinski(31),0.21212121212121213,0.35,0.36363636363636365,0.7136363636363636
31,31,31,31,32,May 5,True,HOU,"L,4-6",35,33,4,8,1,0,0,4,2,0,10,0,0,0,0,1,0,0,0.218,0.298,0.373,0.671,4,9,R,C.Javier(65),0.24242424242424243,0.2857142857142857,0.2727272727272727,0.5584415584415584
32,32,32,32,33,May 6,True,HOU,"W,7-5",40,35,7,12,3,0,0,7,4,0,9,1,0,0,0,1,0,0,0.222,0.302,0.374,0.677,9,12,R,J.France(65),0.34285714285714286,0.425,0.42857142857142855,0.8535714285714285
33,33,33,33,34,May 7,True,HOU,"W,3-1",37,32,3,11,3,0,1,1,4,0,6,1,0,0,1,2,0,0,0.226,0.306,0.379,0.685,10,9,R,B.Bielak(32),0.34375,0.43243243243243246,0.53125,0.9636824324324325
34,34,34,34,35,May 8,True,TEX,"L,1-2",33,30,1,4,0,0,1,1,0,0,13,3,0,0,0,1,1,0,0.223,0.304,0.375,0.679,5,9,R,J.Gray(73),0.13333333333333333,0.21212121212121213,0.23333333333333334,0.44545454545454544
35,35,35,35,36,May 9,True,TEX,"W,5-0",34,30,5,6,2,0,1,5,3,0,9,0,0,1,1,0,0,0,0.223,0.303,0.375,0.678,5,10,L,A.Heaney(57),0.2,0.2647058823529412,0.36666666666666664,0.6313725490196078
36,36,36,36,37,May 10,True,TEX,"L,3-4",35,32,3,7,0,1,0,2,2,0,11,1,0,0,0,1,1,0,0.223,0.302,0.372,0.675,5,10,R,D.Dunning(56),0.21875,0.2857142857142857,0.28125,0.5669642857142857
37,37,37,37,38,May 12,False,DET,"W,9-2",42,37,9,11,1,0,1,8,5,0,4,0,0,0,1,1,0,1,0.225,0.305,0.373,0.678,6,9,L,M.Boyd(19),0.2972972972972973,0.38095238095238093,0.40540540540540543,0.7863577863577864
38,38,38,38,39,May 13,False,DET,"W,5-0",36,33,5,6,0,0,2,4,3,0,13,0,0,0,0,0,1,0,0.224,0.303,0.373,0.677,4,10,R,A.Faedo(58),0.18181818181818182,0.25,0.36363636363636365,0.6136363636363636
39,39,39,39,40,May 14,False,DET,"L,3-5",42,37,3,10,1,0,0,2,4,0,9,0,0,1,0,0,1,0,0.225,0.304,0.371,0.675,12,12,L,J.Wentz(36),0.2702702702702703,0.3333333333333333,0.2972972972972973,0.6306306306306306
40,40,40,40,41,May 15,False,BOS,"W,10-1",46,43,10,15,4,0,3,10,3,0,10,0,0,0,0,0,1,0,0.229,0.307,0.38,0.687,9,12,R,T.Houck(45),0.3488372093023256,0.391304347826087,0.6511627906976745,1.0424671385237614
