Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,TOR,"L,9-10",47,41,9,15,2,0,2,9,6,1,8,0,0,0,0,1,1,0,0.366,0.447,0.561,1.008,11,10,R,A.Manoah(23),0.36585365853658536,0.44680851063829785,0.5609756097560976,1.0077841203943954
1,1,1,1,2,Apr 1,True,TOR,"W,4-1",35,33,4,10,0,0,0,3,2,0,8,0,0,0,1,1,1,0,0.338,0.402,0.446,0.848,7,10,R,K.Gausman(56),0.30303030303030304,0.34285714285714286,0.30303030303030304,0.645887445887446
2,2,2,2,3,Apr 2,True,TOR,"W,9-4",40,36,9,16,4,0,4,9,2,0,3,1,0,1,0,3,1,0,0.373,0.426,0.591,1.017,7,10,R,C.Bassitt(4),0.4444444444444444,0.475,0.8888888888888888,1.363888888888889
3,3,3,3,4,Apr 3,True,ATL,"L,4-8",42,39,4,12,0,0,1,4,3,0,6,0,0,0,0,0,0,0,0.356,0.409,0.537,0.945,11,10,R,C.Morton(37),0.3076923076923077,0.35714285714285715,0.38461538461538464,0.7417582417582418
4,4,4,4,5,Apr 4,True,ATL,"L,1-4",35,34,1,10,1,0,0,1,1,0,6,0,0,0,0,1,0,0,0.344,0.392,0.497,0.889,7,10,L,D.Dodd(54),0.29411764705882354,0.3142857142857143,0.3235294117647059,0.6378151260504201
5,5,5,5,6,Apr 5,True,ATL,"L,2-5",35,30,2,6,3,0,1,2,4,0,7,1,0,0,0,1,0,0,0.324,0.38,0.484,0.864,6,11,R,B.Elder(71),0.2,0.3142857142857143,0.4,0.7142857142857143
6,6,6,6,7,Apr 7,False,MIL,"L,0-4",35,30,0,5,0,0,0,0,5,0,8,0,0,0,0,1,0,1,0.305,0.368,0.444,0.812,8,9,R,B.Woodruff(62),0.16666666666666666,0.2857142857142857,0.16666666666666666,0.45238095238095233
7,7,7,7,8,Apr 8,False,MIL,"W,6-0",43,37,6,12,1,0,2,6,4,0,9,1,0,1,0,1,0,0,0.307,0.372,0.454,0.825,10,9,L,E.Lauer(25),0.32432432432432434,0.3953488372093023,0.5135135135135135,0.9088623507228157
8,8,8,8,9,Apr 9,False,MIL,"L,1-6",40,33,1,6,1,0,0,1,6,0,11,0,0,0,0,0,0,0,0.294,0.365,0.428,0.793,12,11,R,F.Peralta(64),0.18181818181818182,0.3,0.21212121212121213,0.5121212121212121
9,9,9,9,10,Apr 10,False,COL,"L,4-7",34,32,4,6,1,1,0,4,2,0,6,0,0,0,1,2,0,0,0.284,0.353,0.414,0.768,3,10,R,G.Márquez(57),0.1875,0.23529411764705882,0.28125,0.5165441176470589
10,10,10,10,11,Apr 11,False,COL,"W,9-6",43,36,9,11,2,0,3,9,6,0,8,0,1,0,1,2,0,0,0.286,0.358,0.433,0.791,7,10,L,K.Freeland(55),0.3055555555555556,0.3953488372093023,0.6111111111111112,1.0064599483204135
11,11,11,11,12,Apr 12,False,COL,"W,7-4",41,38,7,11,3,0,3,7,3,1,13,0,0,0,0,0,1,0,0.286,0.357,0.449,0.806,7,9,R,J.Ureña(50),0.2894736842105263,0.34146341463414637,0.6052631578947368,0.9467265725288831
12,12,12,12,13,Apr 13,True,PIT,"L,0-5",37,34,0,6,3,0,0,0,3,0,10,0,0,0,1,0,2,0,0.278,0.349,0.435,0.783,10,9,R,V.Velasquez(70),0.17647058823529413,0.24324324324324326,0.2647058823529412,0.5079491255961844
13,13,13,13,14,Apr 14,True,PIT,"W,3-0",35,33,3,9,1,0,0,3,2,0,12,0,0,0,0,0,0,0,0.278,0.346,0.426,0.772,8,10,R,J.Oviedo(70),0.2727272727272727,0.3142857142857143,0.30303030303030304,0.6173160173160173
14,14,14,14,15,Apr 15,True,PIT,"L,3-6",41,32,3,7,2,0,0,3,7,1,11,0,1,1,0,1,4,1,0.274,0.347,0.417,0.764,9,11,R,R.Contreras(55),0.21875,0.34146341463414637,0.28125,0.6227134146341464
15,15,15,15,16,Apr 16,True,PIT,"W,5-4",45,40,5,12,4,0,1,5,5,2,6,0,0,0,0,1,0,0,0.276,0.349,0.421,0.77,12,11,R,M.Keller(47),0.3,0.37777777777777777,0.475,0.8527777777777777
16,16,16,16,17,Apr 17,True,ARI,"L,3-6",33,31,3,6,2,0,1,3,0,0,7,2,0,0,0,2,1,0,0.272,0.343,0.418,0.761,3,10,R,M.Kelly(61),0.1935483870967742,0.24242424242424243,0.3548387096774194,0.5972629521016618
17,17,17,17,18,Apr 18,True,ARI,"L,7-8",43,35,7,8,3,0,3,7,8,0,9,0,0,0,0,0,0,0,0.269,0.345,0.426,0.772,9,10,R,D.Jameson(46),0.22857142857142856,0.37209302325581395,0.5714285714285714,0.9435215946843853
18,18,18,18,19,Apr 19,True,ARI,"W,14-5",45,36,14,13,4,1,2,13,9,0,6,0,0,0,0,0,3,0,0.274,0.354,0.441,0.795,7,12,L,M.Bumgarner(15),0.3611111111111111,0.4888888888888889,0.6944444444444444,1.1833333333333333
19,19,19,19,20,Apr 21,False,SEA,"L,2-5",31,30,2,3,1,0,0,2,0,0,7,1,0,0,0,0,0,0,0.267,0.345,0.428,0.772,2,9,R,G.Kirby(63),0.1,0.12903225806451613,0.13333333333333333,0.26236559139784943
20,20,20,20,21,Apr 22,False,SEA,"L,4-5",38,35,4,9,2,0,1,4,2,0,15,1,0,0,0,1,1,0,0.266,0.344,0.426,0.77,7,9,R,L.Castillo(47),0.2571428571428571,0.3157894736842105,0.4,0.7157894736842105
21,21,21,21,22,Apr 23,False,SEA,"W,7-3",42,37,7,13,0,0,3,6,5,0,8,0,0,0,0,0,0,2,0.27,0.348,0.434,0.782,8,11,R,C.Flexen(20),0.35135135135135137,0.42857142857142855,0.5945945945945946,1.0231660231660231
22,22,22,22,23,Apr 24,False,SFG,"L,0-4",33,32,0,6,2,0,0,0,1,0,4,0,0,0,0,1,0,0,0.267,0.343,0.427,0.77,6,9,R,A.Cobb(78),0.1875,0.21212121212121213,0.25,0.46212121212121215
23,23,23,23,24,Apr 25,False,SFG,"L,4-5",36,34,4,9,1,0,1,4,0,0,8,1,1,0,0,0,0,0,0.267,0.341,0.425,0.766,5,11,R,J.Brebbia(54),0.2647058823529412,0.2777777777777778,0.38235294117647056,0.6601307189542484
24,24,24,24,25,Apr 26,False,SFG,"L,3-7",38,31,3,8,3,0,2,3,6,0,6,0,0,0,0,2,0,1,0.267,0.342,0.43,0.772,8,9,R,A.DeSclafani(57),0.25806451612903225,0.3684210526315789,0.5483870967741935,0.9168081494057725
25,25,25,25,26,Apr 27,False,SFG,"W,6-0",40,38,6,12,2,0,2,6,2,0,9,0,0,0,0,1,1,0,0.269,0.342,0.434,0.776,7,10,R,L.Webb(58),0.3157894736842105,0.35,0.5263157894736842,0.8763157894736842
26,26,26,26,27,Apr 28,False,LAD,"L,3-7",39,31,3,6,2,0,0,2,7,0,7,0,0,1,0,1,3,0,0.266,0.342,0.428,0.77,9,10,R,D.May(53),0.1935483870967742,0.3333333333333333,0.25806451612903225,0.5913978494623655
27,27,27,27,28,Apr 29,False,LAD,"L,0-1",32,31,0,3,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0.261,0.336,0.417,0.753,5,10,L,C.Kershaw(82),0.0967741935483871,0.125,0.0967741935483871,0.2217741935483871
28,28,28,28,29,Apr 30,False,LAD,"L,3-6",35,34,3,10,2,0,0,3,0,0,5,0,0,1,0,2,0,0,0.262,0.334,0.415,0.749,5,10,R,N.Syndergaard(40),0.29411764705882354,0.2857142857142857,0.35294117647058826,0.6386554621848739
29,29,29,29,30,May 2,True,LAA,"L,1-5",33,30,1,4,1,0,0,1,3,0,9,0,0,0,0,1,0,0,0.258,0.33,0.408,0.738,5,10,L,P.Sandoval(58),0.13333333333333333,0.21212121212121213,0.16666666666666666,0.3787878787878788
30,30,30,30,31,May 3,True,LAA,"L,4-6",36,34,4,7,2,0,2,4,1,0,17,1,0,0,1,0,0,0,0.256,0.328,0.409,0.737,5,10,R,S.Ohtani(53),0.20588235294117646,0.25,0.4411764705882353,0.6911764705882353
31,31,31,31,32,May 4,True,LAA,"L,7-11",41,37,7,10,3,0,1,7,4,0,5,0,0,0,0,0,0,0,0.257,0.328,0.41,0.738,7,10,R,G.Canning(35),0.2702702702702703,0.34146341463414637,0.43243243243243246,0.7738958470665789
32,32,32,32,33,May 5,True,DET,"L,4-5",41,40,4,12,3,0,1,4,1,0,12,0,0,0,1,1,0,0,0.258,0.328,0.411,0.739,10,13,L,M.Boyd(62),0.3,0.3170731707317073,0.45,0.7670731707317073
33,33,33,33,34,May 6,True,DET,"L,5-6",43,38,5,9,0,0,2,5,5,0,8,0,0,0,0,1,1,0,0.258,0.328,0.41,0.738,9,13,R,S.Turnbull(35),0.23684210526315788,0.32558139534883723,0.39473684210526316,0.7203182374541004
34,34,34,34,35,May 7,True,DET,"W,12-6",41,37,12,10,2,0,4,12,1,0,3,2,0,1,2,0,2,0,0.258,0.328,0.418,0.745,5,9,R,A.Faedo(49),0.2702702702702703,0.3170731707317073,0.6486486486486487,0.9657218193803561
35,35,35,35,36,May 8,False,CHC,"W,3-1",35,33,3,6,2,0,0,3,2,0,9,0,0,0,0,0,1,0,0.256,0.325,0.413,0.738,5,9,R,M.Stroman(61),0.18181818181818182,0.22857142857142856,0.24242424242424243,0.47099567099567097
36,36,36,36,37,May 9,False,CHC,"W,6-4",39,34,6,9,2,1,3,6,5,0,7,0,0,0,0,2,0,0,0.256,0.326,0.419,0.745,6,9,R,J.Taillon(35),0.2647058823529412,0.358974358974359,0.6470588235294118,1.0060331825037707
37,37,37,37,38,May 10,False,CHC,"L,4-10",40,35,4,10,0,1,0,4,4,0,5,0,1,0,0,1,0,0,0.257,0.327,0.417,0.744,9,11,L,J.Steele(46),0.2857142857142857,0.35,0.34285714285714286,0.6928571428571428
38,38,38,38,39,May 12,False,BOS,"W,8-6",40,38,8,14,2,0,3,7,2,0,10,0,0,0,0,2,2,0,0.26,0.329,0.424,0.753,5,12,L,J.Paxton(59),0.3684210526315789,0.4,0.6578947368421053,1.0578947368421052
39,39,39,39,40,May 13,False,BOS,"W,4-3",35,31,4,4,2,0,1,3,4,1,9,0,0,0,0,0,1,0,0.257,0.327,0.421,0.748,4,12,L,C.Sale(80),0.12903225806451613,0.22857142857142856,0.2903225806451613,0.5188940092165899
40,40,40,40,41,May 14,False,BOS,"W,9-1",46,42,9,14,4,0,3,9,4,0,8,0,0,0,1,0,1,0,0.259,0.328,0.428,0.756,10,12,R,C.Kluber(39),0.3333333333333333,0.391304347826087,0.6428571428571429,1.03416149068323
41,41,41,41,42,May 15,True,MIL,"W,18-1",48,38,18,16,2,0,4,18,8,0,7,1,0,1,0,1,0,0,0.264,0.334,0.437,0.771,6,11,R,F.Peralta(31),0.42105263157894735,0.5208333333333334,0.7894736842105263,1.3103070175438596
42,42,42,42,43,May 16,True,MIL,"L,2-3",41,34,2,7,2,0,1,2,7,1,9,0,0,0,0,0,3,0,0.262,0.334,0.435,0.769,12,11,L,W.Miley(48),0.20588235294117646,0.34146341463414637,0.35294117647058826,0.6944045911047346
43,43,43,43,44,May 17,True,MIL,"W,3-0",33,32,3,8,0,0,1,3,1,0,9,0,0,0,0,0,1,0,0.262,0.333,0.433,0.766,6,10,R,C.Burnes(50),0.25,0.2727272727272727,0.34375,0.6164772727272727
44,44,44,44,45,May 18,True,LAD,"W,16-8",43,37,16,12,1,0,7,14,6,1,5,0,0,0,1,0,3,0,0.264,0.335,0.445,0.78,3,11,L,J.Urías(22),0.32432432432432434,0.4186046511627907,0.918918918918919,1.3375235700817096
45,45,45,45,46,May 19,True,LAD,"L,0-5",33,29,0,2,0,0,0,0,4,0,7,0,0,0,1,1,1,0,0.26,0.332,0.438,0.77,6,11,R,T.Gonsolin(65),0.06896551724137931,0.18181818181818182,0.06896551724137931,0.2507836990595611
46,46,46,46,47,May 20,True,LAD,"W,6-5",33,29,6,8,2,0,1,6,2,1,7,1,0,1,0,1,2,1,0.26,0.332,0.438,0.77,3,11,R,N.Syndergaard(50),0.27586206896551724,0.3333333333333333,0.4482758620689655,0.7816091954022988
47,47,47,47,48,May 21,True,LAD,"W,10-5",39,35,10,12,3,0,1,10,4,0,11,0,0,0,0,0,0,1,0.262,0.334,0.44,0.774,5,10,L,C.Kershaw(38),0.34285714285714286,0.41025641025641024,0.5142857142857142,0.9245421245421245
48,48,48,48,49,May 22,False,CIN,"L,5-6",46,37,5,7,3,0,1,5,9,0,14,0,0,0,0,0,1,0,0.26,0.334,0.438,0.772,12,13,L,B.Williamson(40),0.1891891891891892,0.34782608695652173,0.35135135135135137,0.699177438307873
49,49,49,49,50,May 23,False,CIN,"W,8-5",39,35,8,12,2,1,2,8,2,0,8,1,0,1,0,2,2,1,0.262,0.335,0.442,0.777,4,10,R,G.Ashcraft(24),0.34285714285714286,0.38461538461538464,0.6285714285714286,1.0131868131868131
50,50,50,50,51,May 24,False,CIN,"L,3-10",39,35,3,8,1,0,2,3,4,0,9,0,0,0,0,0,0,0,0.261,0.335,0.441,0.776,9,12,R,B.Lively(60),0.22857142857142856,0.3076923076923077,0.42857142857142855,0.7362637362637363
51,51,51,51,52,May 25,False,CIN,"W,2-1",36,32,2,6,3,0,0,1,3,1,9,1,0,0,0,0,2,1,0.26,0.334,0.438,0.772,7,9,R,L.Weaver(72),0.1875,0.2777777777777778,0.28125,0.5590277777777778
52,52,52,52,53,May 26,False,CLE,"L,3-4",39,31,3,8,2,0,0,3,6,0,4,0,0,2,0,1,0,1,0.26,0.334,0.436,0.771,9,9,R,S.Bieber(54),0.25806451612903225,0.358974358974359,0.3225806451612903,0.6815550041356493
53,53,53,53,54,May 27,False,CLE,"W,2-1",37,32,2,2,0,0,1,1,5,0,12,0,0,0,0,0,1,0,0.257,0.332,0.432,0.763,6,11,R,T.Bibee(72),0.0625,0.1891891891891892,0.15625,0.3454391891891892
54,54,54,54,55,May 28,False,CLE,"L,3-4",37,34,3,8,2,0,3,3,2,0,3,1,0,0,0,1,0,0,0.256,0.331,0.434,0.765,7,9,R,H.Gaddis(43),0.23529411764705882,0.2972972972972973,0.5588235294117647,0.8561208267090621
55,55,55,55,56,May 29,True,KCR,"L,0-7",29,29,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.254,0.328,0.428,0.756,2,11,R,J.Staumont(55),0.06896551724137931,0.06896551724137931,0.06896551724137931,0.13793103448275862
56,56,56,56,57,May 30,True,KCR,"W,2-1",31,28,2,5,2,0,0,2,2,0,9,0,0,1,0,0,1,0,0.252,0.326,0.426,0.752,5,10,R,Z.Greinke(68),0.17857142857142858,0.22580645161290322,0.25,0.47580645161290325
57,57,57,57,58,Jun 2,False,PIT,"L,5-7",44,39,5,13,2,0,2,5,5,0,9,0,0,0,0,0,0,1,0.254,0.328,0.428,0.756,12,9,R,R.Contreras(34),0.3333333333333333,0.4090909090909091,0.5384615384615384,0.9475524475524475
58,58,58,58,59,Jun 3,False,PIT,"L,3-4",37,32,3,6,1,0,2,3,4,0,6,1,0,0,0,1,0,0,0.253,0.327,0.428,0.755,7,9,R,L.Ortiz(49),0.1875,0.2972972972972973,0.40625,0.7035472972972974
59,59,59,59,60,Jun 4,False,PIT,"L,1-2",36,32,1,5,1,0,1,1,3,0,8,1,0,0,0,0,0,0,0.251,0.326,0.425,0.752,8,11,L,R.Hill(65),0.15625,0.25,0.28125,0.53125
60,60,60,60,61,Jun 5,False,TEX,"L,3-4",34,30,3,6,1,0,0,3,3,0,6,0,0,1,1,1,1,1,0.251,0.325,0.423,0.748,4,10,L,M.Pérez(73),0.2,0.2647058823529412,0.23333333333333334,0.4980392156862745
61,61,61,61,62,Jun 6,False,TEX,"L,4-6",38,34,4,7,0,0,3,4,3,0,6,1,0,0,1,1,1,0,0.25,0.325,0.423,0.748,7,9,R,D.Dunning(38),0.20588235294117646,0.2894736842105263,0.47058823529411764,0.760061919504644
62,62,62,62,63,Jun 7,False,TEX,"W,1-0",29,28,1,4,1,0,1,1,0,0,12,1,0,0,0,1,0,1,0.249,0.323,0.422,0.744,1,10,R,J.Gray(87),0.14285714285714285,0.1724137931034483,0.2857142857142857,0.458128078817734
63,63,63,63,64,Jun 9,True,CIN,"W,7-4",38,35,7,11,0,0,3,7,2,0,8,1,0,0,0,0,0,0,0.25,0.323,0.424,0.748,7,9,R,B.Lively(33),0.3142857142857143,0.3684210526315789,0.5714285714285714,0.9398496240601504
64,64,64,64,65,Jun 10,True,CIN,"L,4-8",42,36,4,10,2,0,2,4,5,0,6,1,0,0,0,1,0,0,0.25,0.324,0.425,0.75,11,11,L,A.Abbott(60),0.2777777777777778,0.38095238095238093,0.5,0.8809523809523809
65,65,65,65,66,Jun 11,True,CIN,"L,3-4",37,33,3,7,2,1,0,3,3,0,10,1,0,0,0,0,0,1,0.25,0.324,0.424,0.748,7,10,R,H.Greene(51),0.21212121212121213,0.2972972972972973,0.3333333333333333,0.6306306306306306
66,66,66,66,67,Jun 12,True,SFG,"L,3-4",38,35,3,10,0,0,2,3,2,0,6,1,0,0,1,2,1,1,0.25,0.324,0.424,0.749,8,9,R,L.Webb(57),0.2857142857142857,0.34210526315789475,0.45714285714285713,0.7992481203007519
67,67,67,67,68,Jun 13,True,SFG,"L,3-11",39,33,3,7,3,0,0,3,5,0,10,1,0,0,0,1,0,0,0.25,0.324,0.423,0.747,9,11,R,A.Cobb(47),0.21212121212121213,0.3333333333333333,0.30303030303030304,0.6363636363636364
68,68,68,68,69,Jun 14,True,SFG,"L,5-8",41,39,5,9,0,0,1,5,2,0,17,0,0,0,0,0,0,0,0.249,0.324,0.421,0.744,7,9,R,A.DeSclafani(31),0.23076923076923078,0.2682926829268293,0.3076923076923077,0.575984990619137
69,69,69,69,70,Jun 16,False,NYM,"L,1-6",32,30,1,5,1,0,1,1,0,0,11,2,0,0,0,1,0,1,0.248,0.322,0.419,0.742,4,9,R,T.Megill(67),0.16666666666666666,0.21875,0.3,0.51875
70,70,70,70,71,Jun 17,False,NYM,"W,5-3",39,36,5,8,1,0,2,5,2,0,10,1,0,0,1,0,1,0,0.248,0.322,0.419,0.741,7,11,R,K.Senga(55),0.2222222222222222,0.28205128205128205,0.4166666666666667,0.6987179487179487
71,71,71,71,72,Jun 18,False,NYM,"W,8-7",42,35,8,8,2,0,4,8,7,0,8,0,0,0,2,2,2,0,0.248,0.322,0.422,0.745,7,10,R,C.Carrasco(28),0.22857142857142856,0.35714285714285715,0.6285714285714286,0.9857142857142858
