Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,DET,"W,4-0",32,29,4,6,0,0,2,4,3,0,7,0,0,0,0,1,0,0,0.207,0.281,0.414,0.695,4,11,L,E.Rodríguez(53),0.20689655172413793,0.28125,0.41379310344827586,0.6950431034482758
1,1,1,1,2,Apr 1,True,DET,"W,12-2",45,36,12,13,7,0,1,12,7,0,15,2,0,0,0,1,0,0,0.292,0.403,0.538,0.941,9,10,R,S.Turnbull(13),0.3611111111111111,0.4888888888888889,0.6388888888888888,1.1277777777777778
2,2,2,2,3,Apr 2,True,DET,"W,5-1",35,32,5,8,2,0,1,4,2,0,4,1,0,0,0,0,2,0,0.278,0.375,0.495,0.87,6,12,L,J.Wentz(50),0.25,0.3142857142857143,0.40625,0.7205357142857143
3,3,3,3,4,Apr 3,False,WSN,"W,6-2",37,34,6,9,0,0,3,6,1,0,5,0,0,2,0,0,1,0,0.275,0.349,0.504,0.853,4,10,R,T.Williams(43),0.2647058823529412,0.2702702702702703,0.5294117647058824,0.7996820349761526
4,4,4,4,5,Apr 4,False,WSN,"W,10-6",40,35,10,10,3,0,4,10,4,0,7,0,0,1,0,0,1,1,0.277,0.349,0.548,0.897,3,12,R,C.Kuhl(46),0.2857142857142857,0.35,0.7142857142857143,1.0642857142857143
5,5,5,5,6,Apr 5,False,WSN,"W,7-2",38,35,7,11,1,0,2,7,2,0,6,0,0,1,0,0,1,1,0.284,0.348,0.542,0.89,4,9,L,P.Corbin(31),0.3142857142857143,0.34210526315789475,0.5142857142857142,0.8563909774436089
6,6,6,6,7,Apr 7,True,OAK,"W,9-5",40,34,9,10,0,0,5,9,6,0,6,0,0,0,0,0,0,0,0.285,0.356,0.57,0.926,7,9,L,K.Waldichuk(11),0.29411764705882354,0.4,0.7352941176470589,1.1352941176470588
7,7,7,7,8,Apr 8,True,OAK,"W,11-0",40,31,11,8,1,0,3,11,6,0,1,3,0,0,0,1,0,0,0.282,0.365,0.571,0.936,5,11,R,S.Fujinami(34),0.25806451612903225,0.425,0.5806451612903226,1.0056451612903226
8,8,8,8,9,Apr 9,True,OAK,"W,11-0",44,35,11,12,4,0,3,11,7,0,7,2,0,0,0,1,1,1,0.289,0.379,0.588,0.967,9,10,R,J.Kaprielian(25),0.34285714285714286,0.4772727272727273,0.7142857142857143,1.1915584415584415
9,9,9,9,10,Apr 10,True,BOS,"W,1-0",31,29,1,5,1,0,1,1,2,0,7,0,0,0,0,0,1,0,0.279,0.366,0.564,0.93,6,10,R,N.Pivetta(65),0.1724137931034483,0.22580645161290322,0.3103448275862069,0.5361512791991101
