Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,PHI,"W,11-7",38,32,11,10,1,0,2,10,6,0,8,0,0,0,0,1,1,0,0.313,0.421,0.531,0.952,3,10,R,A.Nola(35),0.3125,0.42105263157894735,0.53125,0.9523026315789473
1,1,1,1,2,Apr 1,True,PHI,"W,16-3",50,40,16,17,2,0,3,15,6,0,12,1,0,3,1,0,0,0,0.375,0.455,0.625,1.08,10,13,R,Z.Wheeler(37),0.425,0.48,0.7,1.18
2,2,2,2,3,Apr 2,True,PHI,"W,2-1",30,30,2,8,1,0,1,2,0,0,6,0,0,0,0,0,0,1,0.343,0.407,0.559,0.966,4,10,L,B.Falter(49),0.26666666666666666,0.26666666666666666,0.4,0.6666666666666667
3,3,3,3,4,Apr 3,True,BAL,"L,0-2",31,29,0,1,0,0,0,0,1,0,7,1,0,0,1,0,0,0,0.275,0.342,0.443,0.785,4,10,R,K.Bradish(54),0.034482758620689655,0.0967741935483871,0.034482758620689655,0.13125695216907673
4,4,4,4,5,Apr 4,True,BAL,"L,2-7",33,32,2,7,1,0,2,2,1,0,8,0,0,0,0,2,0,0,0.264,0.324,0.442,0.766,4,9,R,K.Gibson(62),0.21875,0.24242424242424243,0.4375,0.6799242424242424
5,5,5,5,6,Apr 5,True,BAL,"W,5-2",34,33,5,9,2,0,1,5,1,0,9,0,0,0,0,0,0,0,0.265,0.319,0.439,0.758,5,10,R,G.Rodriguez(55),0.2727272727272727,0.29411764705882354,0.42424242424242425,0.7183600713012478
6,6,6,6,7,Apr 7,False,CHC,"L,0-2",33,29,0,3,1,0,0,0,3,0,11,1,0,0,0,1,0,0,0.244,0.305,0.4,0.705,6,9,R,M.Stroman(71),0.10344827586206896,0.21212121212121213,0.13793103448275862,0.3500522466039707
7,7,7,7,8,Apr 8,False,CHC,"L,3-10",40,34,3,7,2,0,0,3,6,0,6,0,0,0,0,0,0,0,0.239,0.308,0.382,0.69,10,10,L,J.Steele(59),0.20588235294117646,0.325,0.2647058823529412,0.5897058823529412
8,8,8,8,9,Apr 9,False,CHC,"W,8-2",41,39,8,10,5,1,0,7,2,0,10,0,0,0,1,0,1,0,0.242,0.306,0.389,0.695,6,9,R,J.Taillon(43),0.2564102564102564,0.2926829268292683,0.4358974358974359,0.7285803627267042
9,9,9,9,10,Apr 10,True,KCR,"W,11-2",40,35,11,11,3,0,3,11,5,0,6,0,0,0,1,0,1,0,0.249,0.316,0.417,0.734,5,12,R,Z.Greinke(43),0.3142857142857143,0.4,0.6571428571428571,1.0571428571428572
10,10,10,10,11,Apr 11,True,KCR,"W,8-5",42,36,8,10,4,0,1,8,5,0,6,0,0,1,0,2,1,0,0.252,0.32,0.423,0.743,6,11,R,J.Lyles(43),0.2777777777777778,0.35714285714285715,0.4722222222222222,0.8293650793650793
11,11,11,11,12,Apr 12,True,KCR,"L,1-10",33,31,1,4,1,0,1,1,1,0,10,1,0,0,0,0,0,0,0.243,0.31,0.41,0.72,5,10,R,B.Keller(70),0.12903225806451613,0.18181818181818182,0.25806451612903225,0.4398826979472141
12,12,12,12,13,Apr 14,False,HOU,"W,6-2",42,37,6,11,2,1,1,6,4,0,11,0,1,0,0,0,0,0,0.247,0.315,0.416,0.731,9,9,R,L.García(40),0.2972972972972973,0.35714285714285715,0.4864864864864865,0.8436293436293436
13,13,13,13,14,Apr 15,False,HOU,"L,2-8",36,32,2,7,0,0,0,2,3,0,8,1,0,0,1,2,0,0,0.245,0.314,0.403,0.717,7,10,R,H.Brown(67),0.21875,0.3055555555555556,0.21875,0.5243055555555556
14,14,14,14,15,Apr 16,False,HOU,"W,9-1",40,36,9,8,4,0,1,9,2,0,11,1,0,1,2,0,0,0,0.244,0.311,0.404,0.715,4,11,L,F.Valdez(57),0.2222222222222222,0.275,0.4166666666666667,0.6916666666666667
