Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,False,STL,"W,10-9",49,43,10,19,3,0,0,10,3,0,11,1,0,2,0,0,0,1,0.442,0.469,0.512,0.981,12,11,R,M.Mikolas(26),0.4418604651162791,0.46938775510204084,0.5116279069767442,0.9810156620787851
1,1,1,1,2,Apr 1,False,STL,"L,1-4",40,29,1,3,0,0,0,0,10,0,8,1,0,0,0,1,0,0,0.306,0.416,0.347,0.763,12,10,R,J.Flaherty(64),0.10344827586206896,0.35,0.10344827586206896,0.45344827586206893
2,2,2,2,3,Apr 2,False,STL,"L,4-9",37,35,4,10,3,0,0,4,1,0,6,0,0,1,0,1,1,0,0.299,0.381,0.355,0.736,6,9,L,J.Montgomery(45),0.2857142857142857,0.2972972972972973,0.37142857142857144,0.6687258687258688
3,3,3,3,4,Apr 3,False,KCR,"L,5-9",42,36,5,10,2,0,1,3,6,0,8,0,0,0,0,1,1,0,0.294,0.381,0.371,0.752,10,10,R,B.Singer(59),0.2777777777777778,0.38095238095238093,0.4166666666666667,0.7976190476190477
4,4,4,4,5,Apr 4,False,KCR,"W,4-1",39,37,4,11,2,0,1,3,2,0,7,0,0,0,0,0,2,0,0.294,0.372,0.383,0.755,8,9,L,K.Bubic(48),0.2972972972972973,0.3333333333333333,0.43243243243243246,0.7657657657657657
5,5,5,5,6,Apr 5,False,KCR,"W,3-0",38,36,3,10,1,0,1,3,2,0,6,0,0,0,0,1,0,0,0.292,0.363,0.384,0.748,8,10,R,Z.Greinke(57),0.2777777777777778,0.3157894736842105,0.3888888888888889,0.7046783625730995
6,6,6,6,7,Apr 6,False,KCR,"W,6-3",38,38,6,11,3,0,2,6,0,0,12,0,0,0,0,0,0,0,0.291,0.353,0.406,0.759,5,10,R,J.Lyles(42),0.2894736842105263,0.2894736842105263,0.5263157894736842,0.8157894736842105
7,7,7,7,8,Apr 7,False,LAA,"W,4-3",36,35,4,9,1,0,1,4,1,0,7,0,0,0,0,0,0,1,0.287,0.345,0.401,0.746,5,11,L,P.Sandoval(57),0.2571428571428571,0.2777777777777778,0.37142857142857144,0.6492063492063492
8,8,8,8,9,Apr 8,False,LAA,"L,5-9",41,36,5,10,1,0,3,5,4,0,10,1,0,0,0,0,0,1,0.286,0.347,0.418,0.766,9,9,L,T.Anderson(32),0.2777777777777778,0.36585365853658536,0.5555555555555556,0.9214092140921409
9,9,9,9,10,Apr 9,False,LAA,"W,12-11",49,43,12,13,1,1,1,12,4,1,10,2,0,0,1,0,2,0,0.288,0.352,0.421,0.773,8,11,L,R.Detmers(42),0.3023255813953488,0.3877551020408163,0.4418604651162791,0.8296155671570954
