Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,gameBA,gameOBP,gameSLG,gameOPS
0,0,0,0,1,Mar 30,True,ATL,"L,2-7",38,33,2,8,1,0,0,2,4,0,5,0,0,1,0,1,0,0,0.242,0.316,0.273,0.589,9,10,L,M.Fried(50),0.24242424242424243,0.3157894736842105,0.2727272727272727,0.5885167464114832
1,1,1,1,2,Apr 1,True,ATL,"L,1-7",33,30,1,5,1,0,1,1,3,0,11,0,0,0,0,2,0,0,0.206,0.282,0.286,0.567,5,10,R,S.Strider(72),0.16666666666666666,0.24242424242424243,0.3,0.5424242424242425
2,2,2,2,3,Apr 2,True,ATL,"W,4-1",33,27,4,6,1,0,0,4,5,0,4,0,0,1,0,1,0,1,0.211,0.298,0.278,0.576,5,9,L,J.Shuster(32),0.2222222222222222,0.3333333333333333,0.25925925925925924,0.5925925925925926
3,3,3,3,4,Apr 3,True,TBR,"L,2-6",34,32,2,4,0,0,1,2,1,0,8,1,0,0,1,0,0,0,0.189,0.268,0.262,0.53,5,9,R,D.Rasmussen(75),0.125,0.17647058823529413,0.21875,0.39522058823529416
4,4,4,4,5,Apr 4,True,TBR,"L,6-10",43,40,6,16,3,0,0,6,2,0,6,1,0,0,0,3,0,0,0.241,0.309,0.315,0.624,10,10,L,J.Fleming(20),0.4,0.4418604651162791,0.475,0.916860465116279
5,5,5,5,6,Apr 5,True,TBR,"L,2-7",37,31,2,6,2,0,0,2,6,0,7,0,0,0,0,1,1,1,0.233,0.312,0.306,0.618,8,10,L,S.McClanahan(56),0.1935483870967742,0.32432432432432434,0.25806451612903225,0.5823888404533566
6,6,6,6,7,Apr 6,False,COL,"L,0-1",34,32,0,6,0,0,0,0,2,0,8,0,0,0,0,0,0,1,0.227,0.302,0.289,0.59,7,9,L,K.Freeland(69),0.1875,0.23529411764705882,0.1875,0.4227941176470588
7,7,7,7,8,Apr 7,False,COL,"W,10-5",46,40,10,18,1,2,2,9,4,0,4,0,0,2,2,4,1,1,0.26,0.329,0.355,0.684,9,10,R,J.Ureña(22),0.45,0.4782608695652174,0.725,1.2032608695652174
8,8,8,8,9,Apr 8,False,COL,"W,7-6",40,36,7,11,5,0,1,7,2,0,10,0,2,0,0,0,0,0,0.266,0.33,0.375,0.706,6,10,L,A.Gomber(34),0.3055555555555556,0.325,0.5277777777777778,0.8527777777777779
9,9,9,9,10,Apr 9,False,COL,"L,6-7",42,35,6,8,0,0,0,4,6,0,6,1,0,0,0,0,0,0,0.262,0.333,0.36,0.693,9,10,R,R.Feltner(43),0.22857142857142856,0.35714285714285715,0.22857142857142856,0.5857142857142857
10,10,10,10,11,Apr 10,False,LAA,"W,6-4",43,40,6,14,2,0,0,6,2,0,6,0,1,0,0,0,2,0,0.271,0.338,0.364,0.702,10,9,L,J.Suarez(27),0.35,0.37209302325581395,0.4,0.772093023255814
11,11,11,11,12,Apr 11,False,LAA,"L,0-2",34,27,0,1,1,0,0,0,6,0,6,1,0,0,0,1,0,0,0.256,0.33,0.345,0.675,7,9,R,S.Ohtani(76),0.037037037037037035,0.23529411764705882,0.07407407407407407,0.3093681917211329
12,12,12,12,13,Apr 12,False,LAA,"L,2-3",33,32,2,6,0,0,0,2,0,0,6,1,0,0,0,1,0,0,0.251,0.322,0.333,0.656,4,9,R,G.Canning(53),0.1875,0.21212121212121213,0.1875,0.39962121212121215
