,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,LAD,"L,2-8",8.0,12,8,8,0,5,12,1,0,9.0,40,158,96,6.0,2.0,0,0,34,2,0,0,0,1,0,0,5,Marvin Hudson,"Z.Gallen (99-36-L), C.Sulser (99), K.Nelson (99), C.Vargas (99), K.Ginkel (99)"
1,2,Mar 31,False,LAD,"W,2-1",9.0,5,1,1,0,9,9,1,0,4.76,40,163,91,4.0,0.0,0,1,31,1,0,0,0,0,0,0,4,Hunter Wendelstedt,"M.Kelly (99-55), D.Jameson (99-W), S.McGough (99-H), A.Chafin (99-Sv)"
2,3,Apr 1,False,LAD,"L,1-10",8.0,8,10,10,0,5,7,4,1,6.84,37,145,85,0.0,0.0,0,1,30,2,0,0,0,1,0,0,4,John Tumpane,"M.Bumgarner (99-32-L), K.Ginkel (1), C.Sulser (1), C.Vargas (1)"
3,4,Apr 2,False,LAD,"W,2-1",9.0,4,1,1,0,4,11,1,1,5.29,36,148,89,2.0,0.0,1,0,31,0,0,0,0,0,0,0,5,Ryan Blakney,"Z.Davies (99-57), K.Nelson (2), M.Castro (99), A.Chafin (1-W), S.McGough (1-Sv)"
4,5,Apr 3,False,SDP,"L,4-5",8.0,8,5,5,0,5,6,3,0,5.36,36,144,85,2.0,0.0,0,0,31,2,0,0,0,0,0,1,5,Jansen Visconti,"R.Nelson (99-43), C.Sulser (1), M.Castro (0), A.Chafin (0), S.McGough (0-BL)"
5,6,Apr 4,False,SDP,"W,8-6",9.0,10,6,5,1,2,6,3,0,5.29,39,135,84,0.0,0.0,0,0,37,3,0,0,0,0,0,0,3,Ron Kulpa,"Z.Gallen (4-42), K.Ginkel (2-W), D.Jameson (3-Sv)"
6,7,Apr 6,True,LAD,"L,2-5",9.0,7,5,3,2,6,8,1,1,4.95,39,148,87,2.0,0.0,0,0,32,3,0,0,0,0,1,1,4,Ramon De Jesus,"M.Kelly (5-45-L), K.Nelson (3), K.Ginkel (1), C.Vargas (4)"
7,8,Apr 7,True,LAD,"W,6-3",9.0,5,3,2,1,9,10,2,0,4.57,40,170,88,3.0,0.0,0,0,30,1,0,0,0,1,0,0,4,Alfonso Márquez,"M.Bumgarner (5-43), D.Jameson (2-W), M.Castro (3-H), A.Chafin (3)"
8,9,Apr 8,True,LAD,"W,12-8",9.0,11,8,8,0,5,9,2,0,4.96,41,159,100,0.0,0.0,0,0,35,5,0,0,0,1,0,2,5,Doug Eddings,"Z.Davies (5-32), K.Nelson (1-W), K.Ginkel (1-H), S.McGough (4-H), L.Frías (99)"
9,10,Apr 9,True,LAD,"W,11-6",9.0,7,6,6,0,5,4,0,0,5.07,39,155,91,0.0,0.0,0,0,33,2,2,0,0,1,0,1,3,Lance Barrett,"R.Nelson (5-53-W), C.Vargas (2), P.Solomon (99)"
