,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,WSN,"W,7-2",9.0,8,2,2,0,4,5,0,0,2.0,38,143,91,3.0,1.0,0,0,33,1,0,0,0,1,0,1,6,Dan Bellino,"M.Fried (99-50), L.Luetge (99-W), J.Chavez (99-H), D.Lee (99-H), C.McHugh (99-H), A.Minter (99)"
1,2,Apr 1,False,WSN,"W,7-1",9.0,5,1,1,0,3,11,1,0,1.5,33,125,87,0.0,0.0,0,0,30,1,0,0,0,0,0,2,4,Phil Cuzzi,"S.Strider (99-72-W), N.Anderson (99), J.Jiménez (99), K.Yates (99)"
2,3,Apr 2,False,WSN,"L,1-4",8.0,6,4,4,0,5,4,0,0,2.42,33,127,75,1.0,0.0,0,1,27,1,0,0,0,1,0,1,3,Mark Ripperger,"J.Shuster (99-32-L), M.Tonkin (99), J.Chavez (2)"
3,4,Apr 3,False,STL,"W,8-4",9.0,12,4,4,0,3,6,1,0,2.83,42,151,96,1.0,0.0,0,0,39,0,0,0,0,0,0,0,4,Tony Randazzo,"C.Morton (99-37-W), N.Anderson (1-H), C.McHugh (3), A.Minter (3)"
4,5,Apr 4,False,STL,"W,4-1",9.0,10,1,1,0,1,6,0,0,2.45,35,134,90,2.0,0.0,0,0,34,1,0,0,0,0,0,1,6,Junior Valentine,"D.Dodd (99-54-W), J.Chavez (1-H), J.Jiménez (2-H), D.Lee (4-H), K.Yates (2-H), A.Minter (0-Sv)"
5,6,Apr 5,False,STL,"W,5-2",9.0,6,2,2,0,4,7,1,1,2.38,35,142,88,2.0,0.0,0,0,30,3,0,0,0,0,0,1,5,Todd Tichenor,"B.Elder (99-71-W), M.Tonkin (2), D.Lee (0), C.McHugh (1), J.Chavez (0-Sv)"
6,7,Apr 6,True,SDP,"W,7-6",9.0,7,6,6,0,7,12,2,0,2.9,40,183,113,0.0,0.0,0,0,33,1,0,0,0,0,0,1,5,Jeremie Rehak,"S.Strider (4-53), L.Luetge (6-BSv), N.Anderson (2), K.Yates (1), A.Minter (1-W)"
7,8,Apr 7,True,SDP,"L,4-5",9.0,7,5,5,0,6,11,0,0,3.17,40,165,100,2.0,1.0,3,0,32,2,0,0,1,1,0,0,5,Paul Emmel,"J.Shuster (4-34), M.Tonkin (1-L), J.Jiménez (2), J.Chavez (1), L.Luetge (0)"
8,9,Apr 8,True,SDP,"L,1-4",9.0,8,4,3,1,5,11,1,1,3.15,41,172,109,2.0,1.0,1,0,35,2,0,1,0,0,0,1,4,Chad Fairchild,"C.Morton (4-48-L), D.Lee (2), D.Young (99), K.Yates (1)"
9,10,Apr 9,True,SDP,"L,2-10",9.0,13,10,10,0,3,8,3,1,3.84,42,163,107,1.0,1.0,0,0,38,4,0,0,0,0,0,1,5,Nic Lentz,"D.Dodd (4-17-L), L.Luetge (1), J.Jiménez (1), A.Minter (2), D.Young (0)"
10,11,Apr 10,True,CIN,"W,5-4",10.0,12,4,3,1,1,9,0,0,3.73,40,165,114,1.0,0.0,0,0,38,2,1,0,1,0,0,3,5,John Tumpane,"B.Elder (4-67), J.Chavez (2-H), N.Anderson (3-H), A.Minter (0-BSv), D.Lee (1-W)"
11,12,Apr 11,True,CIN,"W,7-6",9.0,8,6,6,0,5,10,1,2,3.92,42,166,108,1.0,0.0,3,0,35,2,0,0,0,0,0,0,6,Ryan Blakney,"K.Wright (99-34), M.Tonkin (3-W), J.Chavez (0-H), J.Jiménez (1-H), D.Lee (0-H), N.Anderson (0-Sv)"
12,13,Apr 12,True,CIN,"W,5-4",9.0,6,4,4,0,4,14,0,0,3.92,37,163,113,0.0,0.0,0,0,33,0,0,0,0,0,0,0,4,Marvin Hudson,"S.Strider (5-54), L.Luetge (2), K.Yates (3-W), A.Minter (1-Sv)"
13,14,Apr 14,False,KCR,"W,10-3",9.0,7,3,2,1,2,9,0,1,3.79,37,133,89,0.0,0.0,0,0,33,2,1,0,0,1,2,1,4,Quinn Wolcott,"C.Morton (5-53-W), D.Lee (2), J.Jiménez (2), D.Young (4)"
14,15,Apr 15,False,KCR,"W,9-3",9.0,11,3,3,0,2,9,0,0,3.73,40,145,95,1.0,1.0,1,0,38,6,0,0,0,0,0,0,5,Junior Valentine,"B.Elder (4-42-W), J.Chavez (3-H), D.Lee (0-H), N.Anderson (3), K.Yates (2)"
15,16,Apr 16,False,KCR,"W,5-4",9.0,7,4,4,0,3,10,1,0,3.75,37,136,94,2.0,1.0,0,0,33,0,0,0,1,0,0,1,4,Adrian Johnson,"K.Wright (4-56), M.Tonkin (4-BSv), N.Anderson (0-W), A.Minter (3-Sv)"
16,17,Apr 17,False,SDP,"W,2-0",9.0,6,0,0,0,1,9,0,0,3.53,33,128,91,0.0,0.0,1,0,32,1,0,0,0,0,0,1,4,Bill Miller,"M.Fried (17-63-W), D.Lee (1-H), J.Chavez (1-H), A.Minter (0-Sv)"
17,18,Apr 18,False,SDP,"W,8-1",9.0,4,1,1,0,3,13,0,2,3.39,35,147,95,0.0,0.0,0,0,30,2,0,0,0,0,0,1,4,Chad Whitson,"S.Strider (5-76-W), J.Chavez (0-H), N.Anderson (1), K.Yates (2)"
18,19,Apr 19,False,SDP,"L,0-1",8.0,6,1,1,0,3,8,1,0,3.28,31,113,78,0.0,0.0,0,1,28,1,0,0,0,0,0,1,3,Roberto Ortiz,"C.Morton (4-60-L), J.Jiménez (4), D.Lee (1)"
19,20,Apr 21,True,HOU,"L,4-6",9.0,11,6,5,1,3,8,1,1,3.37,40,162,100,1.0,0.0,1,1,36,3,0,0,0,0,1,2,5,Jeff Nelson,"B.Elder (5-65), J.Chavez (2-BSv), D.Lee (1), N.Anderson (2), A.Minter (3-L)"
20,21,Apr 22,True,HOU,"L,3-6",9.0,11,6,4,2,1,7,2,0,3.4,41,144,94,1.0,0.0,1,0,40,0,0,0,0,0,3,1,4,CB Bucknor,"K.Wright (5-40-L), M.Tonkin (5), K.Yates (3), J.Jiménez (2)"
21,22,Apr 23,True,HOU,"L,2-5",9.0,9,5,5,0,5,11,0,1,3.47,39,172,111,7.0,4.0,1,1,33,1,0,0,0,0,0,2,4,Chris Segal,"M.Fried (5-70), N.Anderson (1-H), A.Minter (1-BL), D.Young (8)"
22,23,Apr 24,True,MIA,"W,11-0",9.0,2,0,0,0,0,14,0,0,3.32,31,115,92,0.0,0.0,0,0,31,0,0,0,0,0,2,0,2,Alfonso Márquez,"S.Strider (5-91-W), J.Jiménez (1)"
23,24,Apr 25,True,MIA,"W,7-4",9.0,10,4,4,0,2,11,2,0,3.35,38,161,102,2.0,1.0,1,0,35,1,0,0,1,0,0,1,4,Brian O'Nora,"C.Morton (5-74-W), D.Lee (3), C.McHugh (19-H), J.Chavez (3)"
24,25,Apr 26,True,MIA,"W,6-4",9.0,5,4,4,0,4,7,3,0,3.38,36,145,94,3.0,1.0,0,0,32,1,0,0,0,0,0,0,3,Pat Hoberg,"B.Elder (4-43), M.Tonkin (3-W), A.Minter (2-Sv)"
25,26,Apr 27,True,MIA,"L,4-5",9.0,11,5,5,0,2,14,0,0,3.44,39,145,103,2.0,2.0,2,0,37,2,0,0,0,0,0,1,7,Nestor Ceja,"K.Wright (4-60), C.McHugh (1), D.Lee (1), K.Yates (4), N.Anderson (3), A.Minter (0-L), J.Chavez (1-BSv)"
26,27,Apr 28,False,NYM,"W,4-0",5.0,3,0,0,0,1,7,0,0,3.37,19,86,50,,,1,0,18,0,0,0,0,0,0,0,1,Quinn Wolcott,M.Fried (4-67-W)
27,28,May 1(1),False,NYM,"W,9-8",9.0,9,8,8,0,4,11,3,3,3.53,43,186,127,3.0,0.0,2,0,35,0,1,0,1,0,0,0,6,Manny Gonzalez,"S.Strider (6-46-W), D.Lee (3-H), C.McHugh (3-H), J.Chavez (3-H), N.Anderson (3-H), A.Minter (3-Sv)"
28,29,May 1(2),False,NYM,"L,3-5",8.0,9,5,5,0,3,9,1,0,3.6,36,137,92,2.0,2.0,1,0,33,3,0,0,0,0,1,1,3,Junior Valentine,"C.Morton (5-43-L), M.Tonkin (4-BSv), J.Jiménez (6)"
29,30,May 2,False,MIA,"W,6-0",9.0,4,0,0,0,2,9,0,0,3.48,32,136,89,0.0,0.0,0,0,30,1,0,0,0,0,1,1,3,Lance Barrett,"B.Elder (5-77-W), K.Yates (4), J.Jiménez (0)"
30,31,May 3,False,MIA,"W,14-6",9.0,12,6,5,1,2,11,1,0,3.53,40,168,111,2.0,1.0,0,1,38,3,0,0,0,0,1,0,6,Charlie Ramos,"K.Wright (5-32), C.McHugh (1-W), J.Chavez (1), D.Lee (1), K.Yates (0), A.Minter (1)"
31,32,May 4,False,MIA,"W,6-3",9.0,10,3,3,0,3,3,1,0,3.51,38,126,91,0.0,0.0,1,1,35,1,0,1,0,0,0,1,4,Ramon De Jesus,"D.Dodd (24-42-W), M.Tonkin (2-H), N.Anderson (2-H), A.Minter (0-Sv)"
32,33,May 5,True,BAL,"L,4-9",9.0,12,9,7,2,3,12,3,1,3.62,44,147,99,3.0,3.0,0,0,39,2,0,0,1,0,0,0,4,Stu Scheurwater,"M.Fried (6-37-L), J.Jiménez (2), K.Yates (1), J.Chavez (1)"
33,34,May 6,True,BAL,"W,5-4",9.0,8,4,3,1,1,16,0,0,3.6,36,164,113,0.0,0.0,1,1,35,3,0,0,0,0,1,0,5,Malachi Moore,"S.Strider (4-61), N.Anderson (1-BSv), D.Lee (2), A.Minter (1-W), R.Iglesias (99-Sv)"
34,35,May 7,True,BAL,"W,3-2",12.0,5,2,1,1,5,9,0,1,3.49,46,180,111,2.0,0.0,1,0,40,2,0,0,0,0,1,1,6,Mark Wegner,"B.Elder (4-56), C.McHugh (3), D.Lee (0), R.Iglesias (0), J.Chavez (1), M.Tonkin (2-W)"
35,36,May 9,True,BOS,"W,9-3",9.0,8,3,3,0,4,12,1,0,3.48,38,156,96,0.0,0.0,1,0,33,2,0,0,0,1,0,1,4,Cory Blaser,"C.Morton (7-59-W), K.Yates (3), A.Minter (2), D.Young (15)"
36,37,May 10,True,BOS,"L,2-5",9.0,7,5,5,0,5,12,1,1,3.52,38,153,103,3.0,1.0,1,1,32,2,0,0,0,0,0,1,8,Clint Vondrak,"D.Lee (2-60), C.McHugh (2), D.Young (0), J.Chavez (2), A.Minter (0-L), N.Anderson (3), R.Iglesias (2), J.Jiménez (4)"
37,38,May 12,False,TOR,"L,0-3",8.0,6,3,2,1,3,14,1,1,3.49,33,138,95,1.0,1.0,1,0,29,2,0,0,0,0,0,0,3,Laz Diaz,"S.Strider (5-69-L), D.Young (1), K.Yates (2)"
38,39,May 13,False,TOR,"L,2-5",8.0,9,5,5,0,3,7,0,0,3.54,36,162,100,1.0,0.0,5,0,32,4,0,0,0,1,0,0,5,Mike Estabrook,"B.Elder (5-51), J.Chavez (2), D.Lee (2), A.Minter (2-L), J.Jiménez (2)"
39,40,May 14,False,TOR,"L,5-6",8.2,13,6,3,3,4,6,1,0,3.53,44,165,102,3.0,0.0,1,0,40,1,0,0,0,0,3,1,6,Andy Fletcher,"C.McHugh (3-37), M.Tonkin (6), J.Chavez (0-H), K.Yates (1-H), N.Anderson (3-H), R.Iglesias (3-BL)"
40,41,May 15,False,TEX,"W,12-0",9.0,10,0,0,0,1,12,0,0,3.44,38,145,95,2.0,0.0,0,0,37,0,0,0,0,0,0,0,2,Ryan Additon,"C.Morton (5-69-W), D.Young (2)"
41,42,May 16,False,TEX,"L,4-7",8.0,10,7,6,1,3,5,2,0,3.51,35,126,85,2.0,0.0,1,0,32,1,0,0,0,0,0,2,3,Dan Merzel,"J.Shuster (38-50-L), D.Lee (2), J.Jiménez (2)"
42,43,May 17,False,TEX,"W,6-5",9.0,7,5,5,0,4,11,2,0,3.55,37,142,90,1.0,1.0,0,0,32,1,1,0,0,1,0,0,5,Lance Barksdale,"S.Strider (4-43), J.Chavez (2), A.Minter (3), N.Anderson (2-W), R.Iglesias (2-Sv)"
43,44,May 19,True,SEA,"W,6-2",9.0,8,2,2,0,1,8,0,0,3.51,32,117,80,2.0,1.0,0,1,31,2,0,0,0,0,0,2,4,Edwin Jimenez,"B.Elder (5-55), C.McHugh (4-W), N.Anderson (1-H), R.Iglesias (1)"
44,45,May 20,True,SEA,"L,3-7",9.0,9,7,4,3,5,14,1,1,3.52,42,168,102,1.0,0.0,1,0,34,0,0,0,0,2,0,1,6,Edwin Moscoso,"J.Chavez (2-57), M.Tonkin (5-L), J.Jiménez (3), K.Yates (5), L.Luetge (37), A.Minter (2)"
45,46,May 21,True,SEA,"W,3-2",9.0,3,2,2,0,1,12,2,1,3.49,32,132,83,0.0,0.0,3,0,30,0,0,0,0,0,0,0,4,Chris Guccione,"J.Shuster (4-72-W), C.McHugh (1-H), N.Anderson (1-H), R.Iglesias (1-Sv)"
46,47,May 22,True,LAD,"L,6-8",9.0,12,8,8,0,3,10,3,0,3.59,41,177,106,1.0,1.0,0,1,38,2,1,0,0,0,0,0,5,Alan Porter,"C.Morton (6-32-L), J.Jiménez (1), A.Minter (1), K.Yates (1), L.Luetge (1)"
47,48,May 23,True,LAD,"L,1-8",9.0,9,8,6,2,5,11,2,0,3.64,42,161,103,0.0,0.0,0,0,37,2,0,1,0,0,2,1,3,Jim Wolf,"S.Strider (5-58-L), C.McHugh (1), M.Tonkin (2)"
48,49,May 24,True,LAD,"W,4-3",9.0,12,3,3,0,2,8,1,1,3.62,40,153,99,0.0,0.0,0,0,37,2,0,0,0,0,0,1,4,Mike Muchlinski,"B.Elder (4-59), J.Chavez (3-H), N.Anderson (2-BSv), R.Iglesias (2-W)"
49,50,May 25,True,PHI,"W,8-5",9.0,11,5,5,0,1,8,2,1,3.65,38,134,93,0.0,0.0,0,0,36,2,0,0,0,0,0,1,5,Gabe Morales,"D.Dodd (20-39), K.Yates (2-H), A.Minter (2-BSv), N.Anderson (0-W), R.Iglesias (0-Sv)"
50,51,May 26,True,PHI,"L,4-6",9.0,7,6,6,0,7,5,0,0,3.7,41,180,112,3.0,1.0,3,0,33,2,1,0,0,1,0,0,5,Nate Tomlinson,"J.Shuster (4-53), J.Jiménez (3-BL), L.Luetge (3), C.McHugh (2), J.Chavez (1)"
51,52,May 27,True,PHI,"L,1-2",9.0,9,2,2,0,5,15,0,0,3.66,41,151,94,2.0,0.0,1,0,35,3,0,1,0,1,0,0,5,Adam Beck,"C.Morton (4-51-L), A.Minter (1), K.Yates (1), J.Chavez (0), J.Jiménez (0)"
52,53,May 28,True,PHI,"W,11-4",9.0,6,4,4,0,3,10,2,0,3.67,35,151,98,0.0,0.0,0,0,32,3,0,0,0,0,0,1,3,Dan Iassogna,"S.Strider (4-68-W), C.McHugh (1), D.Rodríguez (15)"
53,54,May 29,False,OAK,"L,2-7",8.0,8,7,7,0,4,6,1,4,3.74,38,135,83,2.0,0.0,0,0,30,0,0,0,0,0,0,1,4,Mark Ripperger,"M.Soroka (99-47-L), K.Yates (1), L.Luetge (2), J.Jiménez (1)"
54,55,May 30,False,OAK,"L,1-2",8.1,5,2,1,1,6,7,0,0,3.7,34,120,73,1.0,0.0,0,1,28,0,0,0,0,0,0,2,3,Dan Bellino,"B.Elder (5-66), A.Minter (2), R.Iglesias (4-L)"
55,56,May 31,False,OAK,"W,4-2",9.0,3,2,2,0,4,3,0,0,3.67,33,102,64,2.0,1.0,1,1,29,1,0,0,0,0,1,1,5,Phil Cuzzi,"J.Shuster (4-51-W), J.Chavez (3-H), A.Minter (0-H), N.Anderson (5-H), R.Iglesias (0-Sv)"
56,57,Jun 2,False,ARI,"L,2-3",8.0,6,3,3,0,2,10,0,0,3.66,31,106,74,0.0,0.0,0,1,28,3,0,0,0,0,0,1,2,Tony Randazzo,"C.Morton (5-60-L), C.McHugh (4)"
57,58,Jun 3,False,ARI,"W,5-2",9.0,6,2,2,0,5,10,1,1,3.63,37,145,92,1.0,1.0,0,1,31,2,0,0,0,0,0,1,4,Todd Tichenor,"S.Strider (5-61-W), J.Chavez (2), N.Anderson (2-H), R.Iglesias (2-Sv)"
58,59,Jun 4,False,ARI,"W,8-5",9.0,8,5,5,0,6,8,2,0,3.66,40,166,97,3.0,0.0,2,0,34,2,0,0,0,0,0,1,5,Brian Knight,"M.Soroka (5-25), C.McHugh (1), A.Smith-Shawver (99), A.Minter (3-W), R.Iglesias (0-Sv)"
59,60,Jun 6,True,NYM,"W,6-4",9.0,4,4,4,0,3,10,2,0,3.66,33,152,95,0.0,0.0,0,0,30,0,0,0,0,0,1,2,4,D.J. Reyburn,"B.Elder (6-54-W), J.Chavez (2-H), A.Minter (1-H), R.Iglesias (1-Sv)"
60,61,Jun 7,True,NYM,"W,7-5",9.0,6,5,5,0,6,7,2,1,3.68,38,169,94,0.0,0.0,0,0,30,1,0,0,0,1,0,2,5,John Libka,"C.Morton (4-41), C.McHugh (2), K.Yates (8-BSv), N.Anderson (3-W), A.Minter (0-Sv)"
61,62,Jun 8,True,NYM,"W,13-10",10.0,14,10,10,0,5,16,3,0,3.78,48,183,122,0.0,0.0,2,0,43,1,0,0,0,0,0,1,5,Clint Vondrak,"S.Strider (4-20), M.Tonkin (15), J.Jiménez (9), J.Chavez (1), R.Iglesias (1-W)"
62,63,Jun 9,True,WSN,"W,3-2",9.0,6,2,0,2,2,7,0,0,3.72,34,140,87,1.0,1.0,2,1,32,1,0,0,0,0,1,1,4,Alex MacKay,"A.Smith-Shawver (4-58), C.McHugh (1), K.Yates (1-W), R.Iglesias (0-Sv)"
63,64,Jun 10,True,WSN,"W,6-4",9.0,9,4,4,0,0,4,1,0,3.72,35,134,92,2.0,0.0,0,0,34,1,1,0,0,1,0,1,4,Stu Scheurwater,"J.Shuster (9-39-W), J.Chavez (1-H), J.Jiménez (1-H), A.Minter (2-Sv)"
64,65,Jun 11,True,WSN,"L,2-6",9.0,9,6,6,0,1,4,2,0,3.76,36,143,93,1.0,1.0,0,0,35,1,0,0,0,0,0,0,3,Malachi Moore,"B.Elder (4-32-L), K.Yates (1), M.Tonkin (2)"
65,66,Jun 12,False,DET,"L,5-6",9.1,15,6,5,1,3,13,2,0,3.78,47,183,117,3.0,0.0,0,0,43,3,0,0,1,0,0,0,6,Jordan Baker,"C.Morton (4-66), C.McHugh (2-H), A.Minter (1-H), N.Anderson (4), R.Iglesias (2-BSv), J.Jiménez (1-L)"
66,67,Jun 14(1),False,DET,"W,10-7",9.0,15,7,7,0,3,10,3,1,3.82,45,179,114,1.0,0.0,0,0,41,2,0,0,0,0,0,0,6,Scott Barry,"S.Strider (5-37-W), J.Chavez (3), K.Yates (2-H), A.Minter (1-H), N.Anderson (1), R.Iglesias (1)"
