,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,BOS,"W,10-9",9.0,11,9,8,1,3,9,0,2,8.0,41,153,99,3,2,0,0,35,2,1,0,0,1,0,2,6,Lance Barksdale,"K.Gibson (99-41-W), K.Akin (99), C.Pérez (99), B.Baker (99), L.Gillaspie (99-H), F.Bautista (99-Sv)"
1,2,Apr 1,False,BOS,"L,8-9",8.2,11,9,7,2,2,8,4,2,7.64,41,152,96,1,0,0,0,37,3,1,0,0,0,1,0,8,Will Little,"D.Kremer (99-29), M.Baumann (99), D.Coulombe (99-H), A.Voth (99-H), C.Pérez (1-H), L.Gillaspie (1-H), K.Akin (1-H), F.Bautista (1-BL)"
2,3,Apr 2,False,BOS,"L,5-9",8.0,14,9,9,0,4,7,1,0,8.42,43,164,110,4,4,1,0,38,2,0,0,1,0,1,0,4,Ryan Additon,"C.Irvin (99-24-L), B.Baker (2), K.Akin (0), M.Baumann (0)"
3,4,Apr 3,False,TEX,"W,2-0",9.0,1,0,0,0,1,7,0,1,6.23,31,108,71,2,0,0,0,29,0,0,0,0,0,1,0,4,Marvin Hudson,"K.Bradish (99-54), D.Coulombe (1-W), T.Wells (99-H), F.Bautista (1-Sv)"
4,5,Apr 4,False,TEX,"W,7-2",9.0,7,2,2,0,1,8,2,0,5.36,33,121,78,1,0,0,0,32,1,0,0,0,0,0,2,3,Hunter Wendelstedt,"K.Gibson (4-62-W), L.Gillaspie (2), C.Pérez (2)"
5,6,Apr 5,False,TEX,"L,2-5",8.0,9,5,5,0,1,9,1,0,5.4,34,141,90,1,1,0,0,33,2,0,0,0,0,0,0,4,John Tumpane,"G.Rodriguez (99-55), A.Voth (3-L), K.Akin (2), B.Baker (2)"
6,7,Apr 7,True,NYY,"W,7-6",9.0,9,6,6,0,5,9,1,0,5.49,39,150,92,4,1,2,1,34,2,0,0,0,0,0,1,6,Chad Whitson,"D.Kremer (5-42), L.Gillaspie (2-BSv), D.Coulombe (3), C.Pérez (2-W), B.Baker (1-H), F.Bautista (3-Sv)"
7,8,Apr 8,True,NYY,"L,1-4",9.0,7,4,4,0,5,7,1,0,5.3,37,168,113,1,0,0,1,31,2,1,0,0,1,0,1,4,Roberto Ortiz,"C.Irvin (5-45-L), A.Voth (2), K.Akin (2), M.Baumann (5)"
8,9,Apr 9,True,NYY,"L,3-5",9.0,9,5,5,0,1,10,3,0,5.26,36,139,91,1,0,0,0,35,1,0,0,0,0,0,1,4,Bill Miller,"T.Wells (5-50-L), D.Coulombe (1), L.Gillaspie (1), M.Baumann (0)"
9,10,Apr 10,True,OAK,"W,5-1",9.0,8,1,1,0,3,11,0,0,4.83,35,134,89,1,0,0,0,32,2,1,0,0,0,0,2,4,Malachi Moore,"K.Gibson (5-60-W), B.Baker (2-H), C.Pérez (2-H), F.Bautista (2)"
10,11,Apr 11,True,OAK,"W,12-8",9.0,12,8,8,0,4,13,1,0,5.12,43,168,116,3,3,1,0,39,1,0,0,0,0,0,0,5,Mark Wegner,"G.Rodriguez (5-33), A.Voth (2), B.Baker (0-W), D.Coulombe (1), L.Gillaspie (1)"
11,12,Apr 12,True,OAK,"L,4-8",9.0,15,8,8,0,3,3,2,1,5.37,43,153,97,7,2,2,0,37,1,0,0,1,1,0,3,5,Bruce Dreckman,"D.Kremer (4-36), M.Baumann (2), K.Akin (3-L), C.Pérez (1), L.Gillaspie (0)"
12,13,Apr 13,True,OAK,"W,8-7",9.0,9,7,7,0,3,10,2,1,5.49,39,158,106,0,0,0,1,34,1,0,0,0,1,0,0,5,Stu Scheurwater,"C.Irvin (4-30), A.Voth (1), B.Baker (1), D.Coulombe (1), F.Bautista (2-W)"
13,14,Apr 14,False,CHW,"W,6-3",9.0,6,3,3,0,4,9,1,0,5.31,36,153,96,4,0,0,0,32,2,0,0,0,0,0,1,5,Alex MacKay,"T.Wells (4-48), M.Baumann (1-W), C.Pérez (1-H), Y.Cano (99-H), F.Bautista (0-Sv)"
14,15,Apr 15,False,CHW,"L,6-7",9.0,13,7,6,1,3,4,1,0,5.36,43,158,101,1,1,0,0,39,5,0,1,0,1,2,2,6,Todd Tichenor,"K.Gibson (4-37), D.Coulombe (1), B.Baker (1-BSv), C.Pérez (0), Y.Cano (0), L.Gillaspie (2-BL)"
15,16,Apr 16,False,CHW,"W,8-4",9.0,7,4,4,0,3,13,2,0,5.27,35,149,99,0,0,0,0,32,0,0,0,0,0,0,2,4,Brian Knight,"G.Rodriguez (4-45), M.Baumann (1-W), A.Voth (2-H), F.Bautista (1)"
16,17,Apr 18,False,WSN,"W,1-0",9.0,5,0,0,0,0,7,0,1,4.96,33,131,90,1,0,1,0,32,0,0,0,0,0,1,1,4,Ron Kulpa,"D.Kremer (5-72-W), D.Coulombe (2-H), Y.Cano (2-H), F.Bautista (1-Sv)"
17,18,Apr 19,False,WSN,"W,4-0",9.0,6,0,0,0,3,11,0,0,4.68,36,140,87,2,0,0,0,33,1,0,0,0,0,1,1,5,Cory Blaser,"K.Bradish (15-67-W), B.Baker (3-H), C.Pérez (3-H), Y.Cano (0-H), M.Baumann (2)"
18,19,Apr 21,True,DET,"W,2-1",9.0,5,1,1,0,1,8,0,0,4.48,31,127,82,0,0,2,0,30,0,0,0,0,0,0,1,3,Brock Ballou,"T.Wells (6-75), B.Baker (1-H), F.Bautista (2-BW)"
19,20,Apr 22,True,DET,"W,5-1",9.0,2,1,1,0,4,15,1,0,4.31,33,132,81,0,0,1,0,29,0,0,0,0,0,0,0,3,Vic Carapazza,"K.Gibson (6-73-W), Y.Cano (2), D.Coulombe (3)"
20,21,Apr 23,True,DET,"W,2-1",10.0,7,1,1,0,7,12,0,0,4.12,43,160,102,3,1,0,0,34,1,0,3,1,1,0,1,7,Nick Mahrley,"G.Rodriguez (6-60), M.Baumann (3), B.Baker (1), C.Pérez (3), A.Voth (6), F.Bautista (1), K.Akin (10-W)"
