,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,BAL,"L,9-10",9.0,15,10,10,0,9,8,2,1,10.0,49,191,117,3,2,5,0,38,4,0,0,1,0,0,1,6,Lance Barksdale,"C.Kluber (99-28-L), Z.Kelly (99), R.Brasier (99), K.Ort (99), J.Winckowski (99), C.Martin (99)"
1,2,Apr 1,True,BAL,"W,9-8",9.0,13,8,8,0,4,11,3,1,9.0,43,162,99,0,0,5,0,38,3,0,0,0,0,0,1,6,Will Little,"C.Sale (99-21), Z.Kelly (1), J.Winckowski (1), J.Schreiber (99), C.Martin (1), K.Jansen (99-W)"
2,3,Apr 2,True,BAL,"W,9-5",9.0,10,5,5,0,2,10,2,0,7.67,38,153,103,0,0,0,0,36,2,0,0,0,0,0,1,5,Ryan Additon,"T.Houck (99-49-W), J.Schreiber (0-H), R.Bleier (99-H), C.Martin (0-H), K.Ort (2)"
3,4,Apr 3,True,PIT,"L,6-7",9.0,9,7,7,0,3,10,3,0,7.5,38,161,105,0,0,0,0,35,2,0,0,0,0,1,1,5,Adam Beck,"K.Crawford (99-22-L), Z.Kelly (1), R.Bleier (0), K.Ort (0), R.Brasier (3)"
4,5,Apr 4,True,PIT,"L,1-4",9.0,5,4,2,2,4,9,2,0,6.4,37,153,96,0,0,2,0,33,1,0,0,0,0,0,0,3,Dan Iassogna,"N.Pivetta (99-56-L), J.Winckowski (2), R.Brasier (0)"
5,6,Apr 5,True,PIT,"L,1-4",9.0,9,4,4,0,4,5,1,1,6.0,40,161,102,0,0,2,0,34,3,0,0,0,1,0,1,5,Scott Barry,"C.Kluber (5-58-L), J.Schreiber (2), K.Ort (1), R.Bleier (1), Z.Kelly (1)"
6,7,Apr 6,False,DET,"W,6-3",9.0,6,3,3,0,5,9,1,0,5.57,38,143,90,0,0,0,0,33,1,0,0,0,0,1,1,5,Edwin Moscoso,"C.Sale (4-51-W), J.Schreiber (0-H), C.Martin (3-H), R.Brasier (1-H), K.Jansen (4-Sv)"
7,8,Apr 8,False,DET,"W,14-5",9.0,6,5,4,1,4,10,0,1,5.38,40,156,98,0,0,0,0,33,1,0,0,0,1,2,1,4,Chris Guccione,"T.Houck (5-55-W), Z.Kelly (2), K.Ort (2), R.Brasier (1)"
8,9,Apr 9,False,DET,"W,4-1",9.0,9,1,1,0,1,10,0,0,4.89,37,135,94,0,0,0,0,36,2,0,0,0,0,0,1,5,David Rackley,"K.Crawford (5-59-W), J.Schreiber (2-H), J.Winckowski (4-H), C.Martin (2-H), K.Jansen (2-Sv)"
9,10,Apr 10,False,TBR,"L,0-1",8.0,5,1,1,0,2,7,1,0,4.55,31,128,83,0,0,1,0,29,1,0,0,0,0,0,0,3,Jeremie Rehak,"N.Pivetta (5-65), J.Winckowski (0), C.Martin (0-L)"
10,11,Apr 11,False,TBR,"L,2-7",8.0,11,7,6,1,1,9,4,0,4.73,35,137,94,0,0,1,2,34,2,0,0,0,0,0,0,4,Paul Emmel,"G.Whitlock (99-36-L), R.Bleier (5), K.Ort (2), R.Brasier (2)"
11,12,Apr 12,False,TBR,"L,7-9",8.0,11,9,8,1,4,11,1,1,5.06,41,157,98,2,0,1,0,34,5,0,0,0,2,1,0,5,Chad Fairchild,"C.Sale (5-30-L), Z.Kelly (3), R.Brasier (0), J.Schreiber (2), C.Martin (1)"
12,13,Apr 13,False,TBR,"L,3-9",8.0,10,9,9,0,1,9,2,1,5.42,36,122,81,2,2,0,0,34,3,0,0,0,0,0,0,3,Nic Lentz,"C.Kluber (7-46-L), R.Bleier (1), K.Crawford (3)"
13,14,Apr 14,True,LAA,"W,5-3",9.0,11,3,3,0,5,11,0,1,5.24,41,168,107,0,0,0,1,35,2,0,0,0,0,0,2,4,Ron Kulpa,"T.Houck (5-48), J.Winckowski (3-W), J.Schreiber (1-H), K.Jansen (4-Sv)"
14,15,Apr 15,True,LAA,"W,9-7",9.0,9,7,7,0,3,10,1,2,5.36,42,174,109,2,1,0,0,36,2,0,0,0,0,0,0,6,Cory Blaser,"N.Pivetta (4-29), K.Ort (3), R.Bleier (1), J.Schreiber (0), R.Brasier (2-W), K.Jansen (0-Sv)"
15,16,Apr 16,True,LAA,"W,2-1",9.0,4,1,1,0,3,6,0,0,5.08,30,125,74,0,0,0,1,27,1,0,0,0,0,0,2,3,Carlos Torres,"G.Whitlock (4-70-W), K.Ort (0-H), R.Brasier (0-Sv)"
16,17,Apr 17,True,LAA,"L,4-5",9.0,9,5,5,0,1,10,1,1,5.07,39,144,102,2,0,0,1,36,0,0,0,0,1,2,0,2,Jansen Visconti,"B.Bello (99-26-L), K.Crawford (3)"
17,18,Apr 18,True,MIN,"W,5-4",10.0,4,4,3,1,4,16,1,3,4.92,41,159,97,0,0,0,0,32,0,0,0,0,2,0,0,4,Jordan Baker,"C.Sale (5-71), J.Winckowski (3), K.Jansen (2), J.Schreiber (2-W)"
18,19,Apr 19,True,MIN,"L,4-10",9.0,9,10,10,0,4,6,3,2,5.2,43,171,106,0,0,0,0,37,2,0,0,0,0,1,0,4,Tripp Gibson,"C.Kluber (5-29-L), R.Brasier (2), R.Bleier (3), K.Ort (2)"
19,20,Apr 20,True,MIN,"W,11-5",9.0,10,5,5,0,2,10,1,1,5.19,39,142,91,0,0,0,0,36,3,0,0,0,0,0,0,3,Brennan Miller,"T.Houck (5-59-W), K.Ort (0), R.Brasier (0)"
20,21,Apr 21,False,MIL,"W,5-3",9.0,8,3,3,0,2,13,1,0,5.08,36,153,97,1,0,1,0,34,2,0,0,0,0,0,0,3,Alfonso Márquez,"N.Pivetta (5-49-W), J.Winckowski (2-H), K.Jansen (2-Sv)"
21,22,Apr 22,False,MIL,"L,4-5",8.0,9,5,5,0,1,4,1,1,5.1,33,128,91,3,1,1,0,31,3,0,0,0,0,0,2,4,Doug Eddings,"G.Whitlock (5-26-L), R.Bleier (2), J.Schreiber (3), K.Crawford (4)"
22,23,Apr 23,False,MIL,"W,12-5",9.0,6,5,5,0,6,8,2,0,5.1,38,155,95,1,0,1,0,29,1,0,0,2,1,0,1,5,Lance Barrett,"B.Bello (5-43), R.Bleier (0), K.Ort (2-W), J.Schreiber (0), R.Brasier (2)"
23,24,Apr 24,False,BAL,"L,4-5",8.0,13,5,5,0,1,0,0,0,5.12,33,128,84,0,0,0,1,32,4,0,0,0,0,0,4,3,Junior Valentine,"C.Sale (5-28-L), R.Brasier (0), B.Bernardino (99)"
24,25,Apr 25,False,BAL,"W,8-6",9.0,11,6,5,1,0,4,3,0,5.11,39,135,97,0,0,0,0,39,0,0,0,0,0,0,0,4,Adrian Johnson,"C.Kluber (5-61-W), J.Winckowski (3), K.Ort (1), K.Jansen (3-Sv)"
25,26,Apr 26,False,BAL,"L,2-6",8.0,11,6,5,1,4,4,0,0,5.13,39,130,85,0,0,1,0,30,1,0,0,2,3,1,1,4,Manny Gonzalez,"T.Houck (5-39-L), R.Bleier (2), B.Bernardino (1), J.Schreiber (2)"
26,27,Apr 28,True,CLE,"L,2-5",9.0,8,5,5,0,2,8,2,1,5.13,37,152,111,0,0,2,0,33,2,0,0,0,1,0,0,2,Chris Segal,"N.Pivetta (6-44-L), K.Crawford (5)"
