,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,True,MIL,"W,4-0",9.0,4,0,0,0,5,12,0,0,0.0,34,133,82,0.0,0.0,0,0,29,0,0,0,0,0,0,2,4,Ron Kulpa,"M.Stroman (99-71-W), K.Thompson (99), B.Boxberger (99), M.Fulmer (99)"
1,2,Apr 1,True,MIL,"L,1-3",9.0,6,3,3,0,4,13,0,0,1.5,36,144,90,4.0,2.0,1,0,32,1,0,0,0,0,0,1,5,Cory Blaser,"J.Steele (99-73), J.Assad (99-BL), M.Fulmer (1), M.Rucker (99), M.Leiter (99)"
2,3,Apr 2,True,MIL,"L,5-9",9.0,13,9,9,0,6,10,0,0,4.0,46,168,97,2.0,0.0,0,0,37,2,1,0,0,3,1,0,5,Carlos Torres,"J.Taillon (99-37-L), M.Leiter (0), J.Merryweather (99), M.Rucker (0), A.Alzolay (99)"
3,4,Apr 3,False,CIN,"L,6-7",8.0,10,7,6,1,2,6,1,2,4.63,37,125,88,0.0,0.0,0,0,33,1,1,0,0,0,0,1,2,Bill Miller,"D.Smyly (99-21-L), K.Thompson (3)"
4,5,Apr 4,False,CIN,"W,12-5",9.0,9,5,5,0,2,10,3,0,4.7,36,155,102,1.0,0.0,0,1,33,1,0,0,1,0,0,0,5,Rob Drake,"H.Wesneski (99-42), M.Rucker (1), A.Alzolay (1-W), B.Boxberger (4), J.Merryweather (1)"
5,6,Apr 7,True,TEX,"W,2-0",9.0,3,0,0,0,3,11,0,1,3.91,33,130,79,0.0,0.0,0,0,29,1,0,0,0,0,0,1,3,Nestor Ceja,"M.Stroman (7-71-W), M.Leiter (4-H), M.Fulmer (5-Sv)"
6,7,Apr 8,True,TEX,"W,10-3",9.0,7,3,3,0,6,6,0,0,3.77,40,162,98,0.0,0.0,0,0,34,2,0,0,0,0,0,0,4,Charlie Ramos,"J.Steele (6-59-W), K.Thompson (4), B.Boxberger (3), M.Rucker (3)"
7,8,Apr 9,True,TEX,"L,2-8",9.0,10,8,7,1,2,10,0,0,4.18,41,137,92,0.0,0.0,1,0,39,5,1,0,0,0,1,0,3,Brian O'Nora,"J.Taillon (6-43-L), J.Assad (7), J.Merryweather (4)"
8,9,Apr 10,True,SEA,"W,3-2",10.0,6,2,2,0,3,9,1,1,3.89,39,152,92,0.0,0.0,0,1,34,2,0,0,0,1,0,0,6,Junior Valentine,"D.Smyly (6-65), A.Alzolay (5-H), M.Leiter (2-H), B.Boxberger (1-H), M.Fulmer (2-BSv), K.Thompson (1-W)"
9,10,Apr 11,True,SEA,"W,14-9",9.0,11,9,7,2,4,8,2,0,4.2,43,168,109,3.0,1.0,0,0,38,3,0,0,0,1,0,0,5,Adrian Johnson,"H.Wesneski (6-14), M.Rucker (2-W), A.Alzolay (0-H), M.Leiter (0), J.Merryweather (1)"
10,11,Apr 12,True,SEA,"L,2-5",9.0,10,5,5,0,3,11,2,0,4.27,39,152,101,0.0,0.0,0,1,36,1,0,0,0,0,0,0,4,Manny Gonzalez,"M.Stroman (4-58-L), B.Boxberger (1), J.Merryweather (0), M.Fulmer (1)"
11,12,Apr 14,False,LAD,"W,8-2",9.0,3,2,2,0,1,10,2,0,4.08,31,135,83,0.0,0.0,0,0,30,0,0,0,0,0,1,1,3,Jim Wolf,"J.Steele (5-70-W), B.Boxberger (1), M.Rucker (2)"
12,13,Apr 15,False,LAD,"L,1-2",8.2,5,2,2,0,3,13,0,1,3.93,35,149,87,0.0,0.0,0,0,31,1,0,0,0,0,0,0,4,Mike Muchlinski,"J.Taillon (5-68), M.Leiter (3-H), K.Thompson (4-H), M.Fulmer (2-BL)"
13,14,Apr 16,False,LAD,"W,3-2",9.0,8,2,2,0,4,11,1,0,3.8,38,151,93,2.0,0.0,0,0,34,1,0,0,0,0,0,1,5,Sean Barber,"D.Smyly (5-58-W), A.Alzolay (4-H), M.Leiter (0-H), M.Fulmer (0-H), B.Boxberger (1-Sv)"
14,15,Apr 17,False,OAK,"W,10-1",9.0,8,1,1,0,0,9,0,0,3.61,34,118,87,0.0,0.0,0,0,34,0,0,0,0,0,0,1,3,Vic Carapazza,"H.Wesneski (5-70-W), B.Hughes (99), J.Merryweather (4)"
15,16,Apr 18,False,OAK,"W,4-0",9.0,2,0,0,0,5,8,0,0,3.38,33,144,87,0.0,0.0,0,0,28,1,0,0,0,0,0,1,4,Nick Mahrley,"M.Stroman (5-71), M.Leiter (1-W), M.Fulmer (1), M.Rucker (3)"
16,17,Apr 19,False,OAK,"W,12-2",9.0,5,2,1,1,3,8,0,1,3.24,34,127,85,0.0,0.0,1,1,30,2,0,0,0,0,0,1,3,Adam Hamari,"J.Steele (4-61-W), K.Thompson (3), J.Merryweather (1)"
17,18,Apr 20,True,LAD,"L,2-6",9.0,9,6,6,0,5,10,3,0,3.4,39,163,102,0.0,0.0,3,0,34,1,0,1,0,0,0,1,7,Ryan Wills,"J.Assad (10-46), A.Alzolay (3), B.Hughes (2), M.Rucker (1), B.Boxberger (3), M.Fulmer (1-L), J.Merryweather (0)"
18,19,Apr 21,True,LAD,"W,13-0",9.0,1,0,0,0,2,13,0,0,3.22,30,134,84,1.0,0.0,0,0,28,0,0,0,0,0,0,0,2,Andy Fletcher,"D.Smyly (4-87-W), J.Estrada (99)"
19,20,Apr 22,True,LAD,"L,4-9",9.0,11,9,9,0,5,8,4,0,3.51,43,162,92,3.0,1.0,2,0,38,2,0,0,0,0,1,1,7,Mike Estabrook,"H.Wesneski (4-41-L), B.Hughes (1), M.Rucker (1), M.Leiter (3), A.Alzolay (1), B.Boxberger (1), J.Merryweather (1)"
20,21,Apr 23,True,LAD,"L,3-7",9.0,8,7,7,0,3,10,3,0,3.67,38,154,92,0.0,0.0,0,0,35,2,0,0,0,0,0,0,4,Erich Bacchus,"M.Stroman (4-39-L), B.Hughes (0), K.Thompson (3), M.Fulmer (2)"
21,22,Apr 25,True,SDP,"W,6-0",9.0,5,0,0,0,5,10,0,1,3.51,37,167,102,0.0,0.0,0,1,31,1,0,0,0,0,0,0,5,Adam Beck,"J.Steele (5-65-W), A.Alzolay (2-H), M.Leiter (2-H), K.Thompson (1-H), M.Rucker (2)"
22,23,Apr 26,True,SDP,"L,3-5",9.0,9,5,5,0,2,7,0,0,3.57,38,152,101,2.0,1.0,3,0,35,1,1,0,1,0,0,0,6,Clint Vondrak,"D.Smyly (4-54), A.Alzolay (0-H), B.Hughes (2-BL), M.Rucker (0), B.Boxberger (3), J.Merryweather (3)"
23,24,Apr 27,True,SDP,"W,5-2",9.0,6,2,2,0,5,5,1,0,3.51,37,142,86,2.0,0.0,1,0,30,0,0,0,0,1,0,2,5,Gabe Morales,"H.Wesneski (4-57-W), M.Fulmer (3-H), M.Leiter (1-H), K.Thompson (1-H), B.Boxberger (0-Sv)"
24,25,Apr 28,False,MIA,"L,2-3",8.0,8,3,3,0,2,6,0,2,3.5,33,123,81,2.0,0.0,3,0,29,0,0,0,0,0,0,2,4,Roberto Ortiz,"M.Stroman (4-54), M.Leiter (0), M.Fulmer (0), M.Rucker (1-L)"
