,Game,Date,Home,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,NumPlayers,Umpire,PitchersUsed
0,1,Mar 30,False,HOU,"W,3-2",9.0,4,2,2,0,2,13,1,1,2.0,33,141,98,2.0,1.0,1,0,30,0,0,0,0,0,0,1,4,Bill Miller,"D.Cease (99-75), A.Bummer (99), K.Graveman (99-W), R.López (99-Sv)"
1,2,Mar 31,False,HOU,"L,3-6",8.0,7,6,6,0,7,8,1,1,4.24,36,145,83,4.0,4.0,2,1,28,1,0,0,0,0,0,2,5,Rob Drake,"L.Lynn (99-57), J.Lambert (99-H), K.Graveman (0-L), J.Diekman (99-BSv), J.Ruiz (99)"
2,3,Apr 1,False,HOU,"L,4-6",8.0,11,6,5,1,3,8,0,2,4.68,41,174,113,5.0,3.0,1,0,36,1,0,0,0,0,1,0,5,Chad Whitson,"L.Giolito (99-52), J.Lambert (0), J.Kelly (99-L), J.Ruiz (0), G.Santos (99)"
3,4,Apr 2,False,HOU,"W,6-3",9.0,7,3,3,0,6,12,0,2,4.24,42,179,110,0.0,0.0,2,0,34,0,0,0,0,0,0,0,5,Roberto Ortiz,"M.Clevinger (99-66-W), G.Santos (0-H), A.Bummer (2-H), K.Graveman (1-H), R.López (2)"
4,5,Apr 3,True,SFG,"L,3-12",9.0,14,12,12,0,8,9,7,0,5.86,48,190,109,1.0,0.0,1,0,40,1,0,0,0,0,0,1,5,James Hoye,"M.Kopech (99-22-L), J.Diekman (2), J.Lambert (1), J.Ruiz (1), H.Alberto (99)"
5,6,Apr 5,True,SFG,"W,7-3",9.0,4,3,3,0,9,13,1,0,5.37,41,179,96,2.0,0.0,0,0,32,2,0,0,0,0,1,0,6,D.J. Reyburn,"D.Cease (5-64-W), J.Diekman (1-H), A.Bummer (2-H), R.López (2-H), J.Lambert (1), J.Kelly (3)"
6,7,Apr 6,True,SFG,"L,6-16",9.0,20,16,16,0,5,9,5,2,6.93,54,187,117,0.0,0.0,0,0,47,3,0,0,0,0,0,0,4,John Libka,"L.Lynn (5-15-L), J.Ruiz (2), G.Santos (3), H.Alberto (2)"
7,8,Apr 7,False,PIT,"L,9-13",8.0,19,13,12,1,3,8,2,0,7.7,45,172,107,3.0,3.0,0,1,42,5,1,0,0,0,0,0,4,Ryan Wills,"L.Giolito (5-13), J.Diekman (1-L), J.Lambert (1), J.Scholtens (99)"
8,9,Apr 8,False,PIT,"W,11-5",9.0,10,5,5,0,3,6,1,0,7.38,40,143,92,1.0,0.0,3,0,35,2,0,0,0,2,0,0,5,Mike Estabrook,"M.Clevinger (5-35-W), J.Kelly (2-H), A.Bummer (2), K.Graveman (5), R.López (2)"
9,10,Apr 9,False,PIT,"L,0-1",8.0,2,1,1,0,4,8,0,0,6.8,30,129,85,0.0,0.0,1,0,25,0,1,0,0,1,0,0,3,Laz Diaz,"M.Kopech (5-66-L), J.Lambert (1), J.Diekman (1)"
